# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-02 14:56:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpaSY9Le/standata-16784a3ba9ff7.json
# init = /tmp/RtmpaSY9Le/init-16784af8054d3_3.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604021656-3-946d9d.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604021656-3-862bc9.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.332836
# Diagonal elements of inverse mass matrix:
# 0.0333763, 0.000758657, 6.37578e-05, 0.0435687, 0.0572308, 0.00457185, 0.0173872
-12.822456,0.98979531,0.33283601,3,7,0,16.441413,0.52660557,-0.059812591,0.016857061,-0.2744566,0.10187199,0.51496216,0.34399177,0.77229565,-1.1346005,-0.19277876,-0.95017055,-1.9952635,0.14510565,0.13195835,-0.7874207,0.14774203,-0.010272941,0.14263654,-0.24794814,0.14412814,-0.14953921,0.096984214,0.061430308,-0.66914418,0.10050826,-1.2040798,0.078213002,-0.28620778,0.1481171,0.11856441,0.051483489,-1.1036699,-0.027322572,-0.63112857,0.055349283,0.12004499,0.12503351,0.13027824,0.55098838,0.28407047,0.50984398,0.7122312,0.47294307,0.43800382,0.47055753,0.51039949,0.8063403,0.46371751,0.69380978,1.0310389,0.73455146,0.61009327,0.64329948,0.56018982,0.10623806,0.43428697,0.12869707,0.82063531,0.50440301,0.41625429,0.15129032,0.45569482,0.79618867,0.57053965,0.35176411,1.0816269,0.074042992,0.065124045
-15.061285,0.96100799,0.33283601,3,11,0,15.625104,0.56705302,-0.065409744,0.0099583906,-0.5911861,-0.31061842,0.55056773,0.31211582,1.6576563,-3.4431702,-0.32236285,-0.76587583,-2.9055354,0.2180474,0.22225073,-0.49624936,0.23009278,0.17378776,0.21136668,0.026470493,0.23994935,0.039025525,0.22265122,0.10441131,-0.95740616,0.22580954,-0.0440744,-0.65924001,-0.0043235482,0.24440391,0.24268088,-0.067018288,-1.6687012,-0.36434759,-0.98556623,0.13868394,0.23065394,0.24496072,-0.08626086,0.84773928,0.33260631,0.44388933,0.78352608,0.57305777,0.43278027,0.38013907,0.55468642,1.1181552,0.41851958,0.7934501,0.9672857,0.7994589,0.56663681,0.66576324,0.51589869,0.06184756,0.76249778,0.41983521,0.72059588,0.51422431,0.47680443,0.2467337,0.3893139,0.65531616,0.51026479,0.35577786,0.9463225,0.0096874881,0.25421762
-14.99287,0.90918694,0.33283601,3,15,0,18.017342,0.7151799,-0.098143722,0.0249472,-0.44060582,0.12156177,0.52396568,0.38192391,1.1731222,-1.3092822,-0.12488401,-0.98863353,-2.0026756,0.037414596,-0.084895961,-0.6951194,0.018867728,0.0081598986,-0.049706193,-0.19059701,-0.13705261,-0.084690039,-0.099106143,-0.029434267,-0.4086,0.012976272,-0.99215738,0.033661322,-0.90151578,0.029447865,-0.1041298,0.041810886,-1.0009558,0.042928602,-0.38028076,-0.071828522,-0.24103457,-0.036400037,0.018233485,0.62823349,0.22169975,0.54875671,0.77263328,0.54246319,0.30638958,0.46422682,0.58493429,0.89832578,0.33501811,0.73861648,1.2295664,0.80654478,0.70403567,0.64596252,0.63679243,-0.09451221,0.45030741,-0.053833744,1.0250894,0.56424384,0.29240396,0.022816347,0.44797759,0.98605323,0.64834944,0.31649848,1.288159,-0.15276516,-0.086016637
-14.483406,0.95531848,0.33283601,4,15,0,19.913069,0.60233135,-0.078779152,0.011536928,-0.50916076,-0.2148704,0.48730958,0.28036841,1.7110272,-2.8083594,-0.18610159,-0.75742538,-3.2544118,0.30944708,0.16425749,-0.23242676,0.33193812,0.33682169,0.11923661,-0.11078021,0.32057427,0.021425213,0.34708433,0.27723121,-1.2032818,0.34295529,-0.6418693,0.11964963,0.069360062,0.35243615,0.26793287,0.12109852,-2.6256495,-0.352953,-1.2521026,0.13786039,0.28854187,0.28536088,0.084570959,0.70495475,0.29104722,0.41776542,0.75305138,0.58247331,0.32787353,0.30330083,0.55714862,0.95001796,0.30841351,0.73006114,0.928919,0.77178389,0.52974534,0.60893391,0.50540692,-0.039165344,0.60457486,0.19141695,0.7110607,0.50658865,0.38455125,0.19082103,0.31572166,0.66692392,0.49770767,0.31621348,0.8995589,-0.10290047,0.20531749
-14.302987,0.95278794,0.33283601,3,7,0,18.244744,0.683717,-0.070417405,0.02773142,-0.27846205,0.048544019,0.53942431,0.31464633,0.30719867,-1.4323475,-0.059177772,-1.7945194,-3.1421331,0.21478696,0.22825146,-0.45208431,0.23205575,0.21879492,0.17380464,-0.87607841,0.17752988,0.12701762,0.23734278,-0.14817255,-0.28695882,0.18282158,-1.5918947,0.22654951,-0.28320342,0.22100861,0.22658542,0.23257796,-2.0411063,0.21534783,-0.1999211,0.15112852,-0.052025716,0.20358025,0.099411331,0.57498808,0.2423166,0.63428937,0.81802002,0.43313409,0.54248549,0.36947889,0.53243069,0.93935797,0.61218618,0.53046039,1.1088491,0.85218327,0.50221204,0.77629461,0.67779038,0.10392471,0.39816747,0.046281862,0.82105366,0.5569134,0.45379501,0.030795305,0.32832422,1.0660303,0.70574643,0.36932592,1.2393767,0.08179261,-0.1652754
-14.898297,0.98486807,0.33283601,3,15,0,15.411177,0.39342721,-0.049869329,0.0069248397,-0.19449889,-0.0017921981,0.45113628,0.33105736,1.1335701,-0.82703642,-0.34139676,-0.5966756,-1.7078493,0.18340079,0.1129135,-0.3826295,0.18626917,-0.40927405,0.095522274,-0.39347071,-0.074890773,-0.35373161,0.18650809,0.17453243,-1.0921901,0.11208678,-1.4031616,0.086894176,0.13188291,0.18343416,0.15109962,-0.16955538,-1.6692338,-0.66675528,-1.1195334,0.089061557,-0.12512781,0.15228443,-0.20537919,0.47134977,0.34017553,0.41433801,0.6443935,0.52616949,0.37297437,0.35321031,0.50748985,0.63861662,0.35876391,0.6434416,0.76062201,0.65587333,0.49806918,0.55127151,0.47057414,0.12773694,0.40969833,0.14777988,0.60944156,0.47397064,0.41187967,0.27937808,0.36220806,0.5675219,0.46494361,0.35383637,0.73863115,0.086634193,0.29309489
-15.894641,0.9808372,0.33283601,4,15,0,17.649068,0.42214214,-0.032264204,0.016461828,-0.55755638,-0.076565561,0.54073272,0.37966528,0.45416992,-2.3314352,-0.11239832,-0.67094201,-1.1680502,-0.1056862,0.049088131,-1.2699114,-0.01821518,0.011776968,0.044122978,-0.2214218,0.031592454,-0.4730017,-0.042120017,0.020086137,-0.93158679,-0.071060147,-0.20577547,-1.0823313,-0.35722068,0.0048362058,0.02624463,0.019620323,-0.54319378,-0.26551032,-0.85804572,-0.093715174,-0.045495839,-0.06768329,0.043392845,0.82849923,0.21605927,0.45574661,0.5924669,0.28846617,0.48875532,0.61675176,0.36025233,1.1043213,0.53946966,0.7205145,1.0719048,0.6118757,0.66254529,0.59212746,0.46816672,0.18645151,0.72870415,0.57123111,0.8424351,0.38649276,0.41807303,0.092853433,0.58662819,0.69863231,0.48848717,0.29678727,1.1655119,0.18382232,-0.042051695
-17.622597,0.98290871,0.33283601,4,15,0,21.449934,0.6347062,-0.075610998,-0.00052585459,-0.520653,-0.32370189,0.46509536,0.39214103,2.4072361,-1.418555,-0.33274942,-0.2096005,-2.1504253,-0.060082239,-0.067281728,-0.13949627,0.009494299,0.010988237,-0.16676246,0.00093979336,-0.052702173,-0.084824968,0.01628362,-0.029759744,-1.2675256,-0.011084254,-0.4372396,-0.13734725,0.0080994359,0.010238312,0.016558207,-0.30147227,-1.7334278,-1.2977952,-1.3955986,-0.13644626,-0.23624496,-0.085396789,-0.68936992,0.66450266,0.32806277,0.26410383,0.81648632,0.65416424,0.33881436,0.21952297,0.54866628,0.95630849,0.26214284,0.929294,0.85338185,0.82286666,0.48325614,0.62017053,0.37141841,-0.093259445,0.62615371,0.21801239,0.55289042,0.45374434,0.48600329,0.31305897,0.26624073,0.36405644,0.34083115,0.28262404,0.72081312,-0.17762906,0.46615826
-17.041203,0.96441426,0.33283601,4,15,0,21.518873,0.51750658,-0.053963453,0.025516815,-0.14383185,0.43144757,0.51332224,0.26126129,-0.070232064,-0.87351183,0.12659156,-1.9556944,-2.5794948,0.21265958,0.40825936,-2.5414431,0.39364521,-0.26470383,0.41694964,-0.40600317,0.11584161,-0.3710378,0.066035793,0.30025145,-0.78006191,0.29256906,-3.5455652,0.42327982,-1.4342444,0.41763492,0.26415342,0.42266158,-0.79697921,0.4063659,-0.60876787,0.1968555,-0.43994441,0.30854761,0.15288152,0.42075359,0.20125742,0.56988389,0.64025441,0.33042707,0.45469337,0.63618479,0.43637816,0.6935327,0.52943361,0.66353057,1.2048709,0.67070017,0.72084228,0.62960471,0.5946899,0.13358945,0.26392341,-0.0014742961,1.0035692,0.47220098,0.35260495,0.0093044134,0.59185084,0.95192532,0.62464406,0.32418057,1.3432858,0.12515922,-0.19213426
-15.573655,1,0.33283601,3,7,0,19.432724,0.66396978,-0.079542948,0.010977366,-0.6624921,-0.18006623,0.476005,0.39152676,1.8211331,-1.8668024,-0.11089504,-0.30813963,-1.6767585,0.01871859,-0.12830334,-0.49019346,0.01500221,0.005586262,-0.16189709,-0.016642142,-0.0027205168,-0.2030362,-0.033302946,0.0017994774,-1.1304807,-0.045239453,-0.35315225,-0.17620837,-0.2814324,-0.0063189956,-0.054373625,-0.015759765,-1.1182857,-0.6124234,-1.1660537,-0.2355714,0.012019249,-0.11934985,-0.032670205,0.76032144,0.19937742,0.31658153,0.72098807,0.49631467,0.28765945,0.39501784,0.46604454,1.0635592,0.26465367,0.8958141,1.0811574,0.73923078,0.62634349,0.57211624,0.40641559,-0.14007943,0.66232542,0.24449036,0.80337402,0.4123087,0.35025802,0.10287943,0.40957334,0.56009872,0.39729886,0.22075918,1.0454699,-0.20577533,0.12557343
-18.247687,0.94072296,0.33283601,3,7,0,19.216502,0.81790448,-0.059086894,0.0073689548,-0.4140164,-0.37777092,0.56096735,0.38935761,1.5094386,-1.4510023,-0.34917558,-0.53284585,-3.5972859,0.012353412,-0.13718246,-0.057364132,0.020888607,-0.1335159,-0.10796253,-0.03094193,0.024000103,0.012185575,-0.068382057,-0.59511749,-0.8698572,0.0046166997,-0.50352332,-0.25073418,0.018159013,0.023933103,-0.22341693,-0.21670916,-2.2448292,-0.55062683,-0.89874142,-0.052196803,0.018105206,0.021928867,-0.26585367,0.66881638,0.33651586,0.41101279,1.0478863,0.56023123,0.72128462,0.1573724,0.53224813,1.2187583,0.70026842,0.87055931,0.99017451,1.0606522,0.3323495,0.93337304,0.47931496,0.077288828,0.59994881,0.288783,0.45678483,0.48919007,0.77406763,0.27033179,0.17054075,0.58248032,0.47097205,0.34768669,0.95659648,0.026917212,0.29661394
-20.984684,0.95732317,0.33283601,4,15,0,23.121373,0.52317451,-0.012909822,0.031610619,0.074238343,0.25522073,0.43161872,0.33798243,-1.5701303,-0.12157521,0.11445635,-1.4342557,-1.6171076,-0.7716426,-0.10094309,-0.31737237,-0.12757403,-0.17520861,-0.50774929,-2.6177533,0.13688106,-0.3079005,-0.10668833,-0.13742122,-0.68335396,-0.28715422,-3.4493193,0.15343144,0.15587407,0.069548124,0.16434075,0.10678857,-2.3283504,0.16580377,-0.47384221,-0.025784372,0.021865317,-0.43564141,-0.80271109,0.25624242,0.10833008,0.60461619,0.63822869,0.037207031,0.7468734,0.33225416,0.24109713,0.72087012,0.89228452,0.20253676,0.9186848,0.67101847,0.25048235,0.76321175,0.55953827,0.32169716,0.091192702,0.053207059,0.54767534,0.35169177,0.51840121,-0.11613449,0.24512954,1.0020869,0.61771661,0.29077429,1.1813536,0.3706927,-0.47039916
-19.335606,1,0.33283601,3,7,0,23.134346,0.41873547,-0.088708932,0.0023707637,-0.20504975,0.24382848,0.52930312,0.32281915,2.3236883,-0.89022127,-0.83202092,-0.71368612,-2.2514838,-0.33334477,-0.29810706,-1.3244701,-0.051428242,-1.0085838,-0.55975272,0.21125362,0.21120172,-0.14589089,-0.42158165,0.21171836,-0.72091944,0.21171965,-1.4061277,0.1963844,-0.85671605,0.12456606,0.061082942,-0.66675213,-0.51171683,-0.5857846,-0.85175413,0.18890172,0.11891449,0.16931855,-1.3562341,0.47924148,0.466414,0.43917896,0.71651429,0.8370545,0.17402249,0.5658449,0.73419533,0.49567666,0.099007881,1.0099066,0.9895617,0.7269876,0.86331317,0.50112968,0.559108,-0.0010035781,0.41931086,-0.056544209,0.97189945,0.6347811,0.32280696,0.42789715,0.61169235,0.59229869,0.5291976,0.43103028,0.86091776,-0.09401294,0.57166497
