# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-03 18:10:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmp93m80m/standata-9fc24ce381dc.json
# init = /tmp/Rtmp93m80m/init-9fc27dfa91a7_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604032010-1-59d0da.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604032010-1-4b4c22.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.216101
# Diagonal elements of inverse mass matrix:
# 0.0185322, 0.000516221, 4.31476e-05, 0.0253064, 0.029554, 0.0184905, 0.0131995, 0.0224344, 0.0128569, 0.00211441, 0.0278172
-9.9084171,0.99625949,0.21610102,5,31,0,16.535593,0.17613658,0.010562518,0.013670038,0.10881809,0.13478336,0.50621703,0.093020702,-0.094874972,0.23317655,0.50990407,0.26048939,-1.0838134,0.38951667,0.28604371,-0.55233087,-0.053229723,0.18077976,0.42616008,0.40018793,0.40038091,-2.336634,0.42389124,0.043245789,0.35927644,0.36959698,-0.44499671,0.37692618,0.418111,-1.1283776,-0.050930639,0.38073608,0.1871708,0.4068907,0.42586841,0.36637898,0.24825017,-0.46653563,0.42623133,0.41186523,0.015056028,-0.091704854,0.027227777,0.070609402,0.13794182,0.36442186,0.2550893,0.6825192,0.49641811,0.059476863,0.55925629,0.38766833,0.48209097,0.77201334,1.0953392,0.91231319,0.15614388,0.58181892,0.96675594,0.45932371,0.745523,0.078595778,0.68012755,0.44873727,0.5072397,0.090142611,0.84457515,0.65191945,0.998222,0.54419023,1.2362277,0.26512637,-0.2327052
-7.358641,0.99337654,0.21610102,4,15,0,12.77029,0.17244989,0.015322644,0.0032226401,0.01074376,-0.080029813,0.26058717,0.40104295,0.050928718,0.19594509,0.50720859,0.18965227,-0.56121613,0.74361716,-0.96175827,-1.6283393,0.41213289,-0.33975553,0.33731794,0.73840513,0.52147803,-1.0210409,0.19332647,0.67550591,0.73958238,-0.82851769,-0.02520087,-1.0350585,0.58314154,-0.18588428,0.60853898,0.65742605,0.63033166,0.71846475,0.63377906,0.30656768,0.29012966,-0.7059208,0.61812706,0.12256795,0.67163649,0.64088846,0.47897018,0.0007275677,0.3502547,0.41307325,0.15442205,0.7791666,0.67096215,-0.019376834,0.6264133,0.64370951,0.30103714,0.92999873,1.0170521,0.66370613,0.2648273,0.85770278,0.89255468,0.25858289,0.90142258,0.078744965,0.59027641,0.54254283,0.41110771,0.17731358,0.81938275,0.67708447,0.90498536,0.2886323,1.071962,0.085967536,-0.13797886
-8.6032838,0.99791865,0.21610102,4,15,0,11.840448,0.17333608,0.027070108,0.0038497441,-0.21858843,-0.29200079,0.13250672,0.29350782,0.29830322,0.2137978,0.54739622,0.22116826,-0.65811753,0.13424308,0.21774482,-0.16796354,0.42588444,0.16442531,0.45899926,-0.011438601,0.56050232,0.18404441,0.4047331,0.56627258,0.54890831,0.061571226,-0.81943529,-2.1833198,0.42019898,-0.29900129,0.37595973,-0.70802487,0.54329714,0.4552731,0.56581219,-0.95799978,0.37393785,0.14996883,0.46491977,0.40729959,0.37871039,0.44605899,0.087445171,0.2111317,0.19080763,0.27228975,0.1266692,0.70401922,0.61316112,0.24254638,0.55362195,0.80074015,0.36541048,0.95192918,1.0633211,0.77265414,0.12868382,1.0208701,0.87115397,0.2948919,1.1446695,0.35633739,0.56751673,0.3852395,0.45146296,0.38914211,0.85464848,0.79254367,0.88942772,0.3663465,1.1437364,0.11862291,-0.22170898
-5.4177606,0.98543554,0.21610102,4,15,0,10.793088,0.29121805,0.00018740027,0.0066308914,-0.15422574,0.012788935,0.22129918,0.26102609,0.075579871,0.23108793,0.4951804,0.20757376,-0.33482685,0.50337735,0.32976298,-0.21289492,0.16961198,0.32727639,0.65289057,0.32112436,0.65005593,-0.63526411,0.083811364,0.63958161,0.24714769,-0.13871202,0.30790673,-0.42967838,0.13008366,0.19951679,0.45605143,0.56292677,0.26111812,0.6171532,0.58419419,0.33257903,0.434268,-0.69455313,0.19373872,-0.11477398,-0.055126854,0.64875052,0.089892748,0.11367489,0.16698197,0.2732139,0.20416608,0.66762236,0.5061536,0.16919634,0.48320302,0.6667689,0.27846547,1.0344202,1.1870889,0.73874683,0.32747055,0.80549447,0.78765573,0.19775434,0.86961507,0.08826315,0.68384331,0.44416552,0.42281393,0.16625375,0.86260499,0.65918903,0.80099071,0.24272508,1.2470837,-0.019865309,-0.22034857
-10.404061,0.79296406,0.21610102,4,15,0,13.816468,0.31505308,-0.017602998,0.010112275,-0.33827066,-0.12950473,0.24527059,0.033772708,0.20655487,0.34425873,0.52010164,0.27058548,0.013978185,-0.20195652,0.37148787,0.3208186,0.092925819,-0.15312682,-0.2599341,-0.19252651,0.38656177,-0.91607542,-0.26182524,0.38100597,-0.0394294,0.3865343,-0.50027311,-0.21823083,0.31987237,-0.055826131,0.36049012,0.23643146,0.11657411,0.31386737,0.37427472,-0.66325886,0.31307223,0.10473541,0.33689572,0.34383233,-0.27439076,0.33482292,-0.023674679,0.2939772,-0.04951169,0.09935321,0.20794732,0.78155339,0.1919214,0.29161915,0.48437657,0.56297234,0.19147229,1.0325214,1.2502464,1.0157516,0.13929792,0.79800283,0.89995191,0.25499859,1.0637326,0.14909099,0.69944722,0.39564986,0.45479689,0.39239327,0.89509345,0.79625317,0.91330029,0.41937066,1.3114954,-0.088432836,-0.24559366
-6.5338231,0.99609656,0.21610102,4,15,0,13.285563,0.27126561,0.010364375,0.0089942681,-0.17442264,-0.2306811,0.41650968,0.23166451,-0.002393746,0.1478787,0.44844087,0.19984823,-0.66396255,0.3178367,0.46873501,-0.32448809,0.18095222,0.52590217,0.65665846,0.5935331,0.66705952,-0.27179406,0.49885368,0.092536551,0.69114028,0.040126598,-1.5820705,0.40744468,0.25947634,0.2507196,0.62457033,0.19935796,0.64806869,0.31409865,0.50257462,0.68905875,-0.63488798,-2.1488836,0.3558679,0.49732163,0.57732596,0.63144868,-0.33843184,0.17270907,0.13332244,0.2848446,0.20189742,0.61492797,0.55257192,-0.088352553,0.54396571,0.72264225,0.37602808,0.78131052,0.99692646,0.77193965,0.073865746,0.6505678,0.81428471,0.18758903,0.92701396,0.19822296,0.55873624,0.32642865,0.37723269,-0.013255782,0.67452994,0.52369479,0.83632183,0.37553549,1.095398,0.069119671,-0.28679305
