# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-03 18:10:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/Rtmp93m80m/standata-9fc24ce381dc.json
# init = /tmp/Rtmp93m80m/init-9fc27dfa91a7_4.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604032010-4-59d0da.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604032010-4-4b4c22.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.225743
# Diagonal elements of inverse mass matrix:
# 0.0159299, 0.000434868, 3.79607e-05, 0.0221305, 0.0310002, 0.0197317, 0.0123045, 0.022852, 0.012601, 0.00172767, 0.0230654
-6.5880941,0.9723147,0.22574318,4,15,0,14.344714,0.27983254,0.002142039,0.0099703048,-0.14154895,-0.034038296,0.26486273,0.22616864,0.15878763,0.13140684,0.45561409,0.23382405,-0.61580198,0.44172953,0.4421747,-0.090821168,0.27581906,0.4308395,0.52460969,0.24126177,0.51352174,-0.81217721,0.14358416,0.37986131,0.44059722,-0.11802182,-0.2938872,0.0083445697,0.14444293,0.42932548,0.27955457,0.48496589,0.12958614,0.16062044,0.12694605,0.45153497,0.051469272,-0.47215818,0.21895339,0.35202155,0.18810808,0.53421149,-0.39575736,0.10058148,0.10033921,0.26143767,0.16810267,0.6063364,0.46753607,0.17898954,0.54760614,0.61629694,0.29331655,0.87007017,1.1011951,0.73293452,0.19907743,0.73980438,0.79354385,0.10711202,0.83311669,0.073408802,0.71035373,0.29787337,0.28896119,0.095102235,0.77023802,0.66826539,0.81432119,0.35884064,1.1945494,-0.0019938345,-0.31889438
-11.239715,0.95003505,0.22574318,3,15,0,14.543791,0.4683833,-0.021145154,0.007739216,-0.1254285,-0.047632798,0.38973866,0.38289211,-0.045993902,0.029990434,0.52247081,0.28505869,0.067405338,0.26379411,-0.43631522,-0.98066631,-0.68203075,-0.17316782,0.081549613,0.31502327,-0.15809319,0.22197499,0.17563073,0.30781232,0.016298999,0.065235715,0.28905362,-0.074080463,0.19873504,0.32341482,0.12527609,0.32194978,-0.40364586,0.33216746,0.15529456,0.2695845,-0.10098799,-0.80591778,0.21168855,0.19725128,-0.085892913,0.29347079,0.21585612,0.10841794,0.35430786,0.46260168,0.40677633,0.78769455,0.70340173,-0.058556339,0.78340478,0.86379881,0.33849926,1.0678288,1.2279838,0.79018211,0.41253943,0.75819524,0.85057561,-0.045443101,0.8148893,-0.047991347,0.84673438,0.47464996,0.32857229,-0.10398756,0.73347099,0.56918598,0.85779422,0.34977089,1.2618864,-0.083255549,-0.13980409
-11.123346,0.99262067,0.22574318,4,15,0,19.324134,0.18274742,-0.0074477077,0.0015496677,-0.3166864,-0.21695956,0.25639762,0.061603277,0.07299777,0.37540231,0.44292559,0.23486104,0.33725526,-0.14522532,0.52496742,0.51347505,0.37312209,-0.053408575,-0.54507981,0.42216873,0.39726839,-1.8886529,-0.96071669,0.51450503,0.52857096,0.29342171,-0.79876952,0.37626801,-0.015912511,-0.34047293,0.52296272,0.081035567,0.52043797,0.47486596,0.52226614,-0.90065544,0.1750972,-1.5592652,-0.015067328,0.15284586,0.52884302,0.48457218,0.50211758,0.27289358,0.023143789,0.042467245,0.13148051,0.75365673,0.15564173,0.10897856,0.37907309,0.48346848,0.094493604,0.95889234,0.98824865,0.83850813,0.11715601,0.63015401,0.75463254,0.30985562,1.0275098,0.22250829,0.46782358,0.42213602,0.4711272,0.39725246,0.80217909,0.51993026,0.75482261,0.29606896,0.98960377,-0.070654187,-0.055284865
-16.755531,0.90201829,0.22574318,4,31,0,22.280488,0.52080641,-0.049818559,0.027158377,-0.29670755,0.028316799,0.17312987,0.075414317,0.03009296,0.16987362,0.45505371,0.38066444,-0.35278031,-0.35620039,0.045253353,-0.56111252,-0.50063897,0.046898304,-0.059906718,-0.068367123,0.039251524,-0.23913595,-0.046295349,-0.52228736,-0.060528142,-0.086802865,-0.10261291,-0.067278858,-0.079553247,0.021237254,-0.43185255,0.033458706,-0.24027367,0.04315265,-0.097453115,0.036065177,-0.65352482,0.04605303,-0.037696826,-0.11299678,-0.34414549,0.022426266,-0.76536422,0.34179295,0.021835194,0.41977158,0.39834946,0.4997739,0.32406449,0.18277095,0.45292378,0.71208355,0.33565712,0.59385197,1.1764466,0.80315463,0.29184136,0.6819061,0.80856573,0.086237473,0.6275121,-0.062409873,0.78848848,0.46705182,0.29546478,-0.056032213,0.54945559,1.0156531,0.84342211,0.28473416,1.3366434,-0.084215871,-0.48518299
-15.383597,0.98654837,0.22574318,4,15,0,22.373173,0.62299828,-0.057251801,0.011219299,-0.4570482,-0.32927188,-0.011075384,-0.002734988,0.21778482,0.19441951,0.44361194,0.23086753,0.97880967,-1.2494262,0.54140451,0.30134659,-2.3005621,0.39817736,-0.010465718,0.25573806,0.50481584,0.16504654,0.002119764,0.14375189,0.54691869,0.53768086,-0.88789632,-0.73629202,-0.80075719,0.54650581,-0.044640064,0.52056736,0.54008139,0.44407865,0.53956369,-0.58009513,-3.3275903,0.12976352,-0.80022664,0.046860787,0.546567,0.059256606,0.47255049,0.43760194,0.024363094,0.16181362,0.55095025,0.62594254,0.25623223,0.17619733,0.43296345,0.79822492,0.25899975,0.79267613,1.0023981,0.96852779,0.10890345,0.86985882,0.62096503,0.0070543668,0.74887115,0.053054632,0.47289641,0.39526957,0.47189677,0.34661941,0.35732823,0.7891106,0.62103964,0.26910664,1.0065758,-0.22801393,-0.089069495
-11.086768,0.98621534,0.22574318,4,15,0,19.135733,0.47169561,-0.034745262,0.01762102,-0.39445252,-0.28804112,0.49289792,0.20657896,-0.22411637,0.28347006,0.47420383,0.30009939,-0.043712069,-0.40419031,0.22216894,-0.44501674,-0.29053957,-0.026570335,0.24566002,-0.23158094,0.27974861,0.19509598,-0.025452116,0.082321582,0.094625404,0.22341758,-0.29994688,0.24275592,0.25622671,0.15949182,0.28460744,0.2529474,0.18044758,0.2556072,0.24716032,0.11848617,-0.41150785,-0.27609514,0.27085202,-0.049560163,-0.16585768,0.18150385,-0.50179036,0.35225414,0.10613007,0.36254187,0.32188863,0.73678331,0.41614062,-0.30494705,0.52987279,0.87295688,0.26364238,0.80907384,1.1850315,0.89493484,0.17549002,0.58692227,0.92838205,0.1501764,1.004149,0.075629344,0.63703435,0.5723928,0.41776763,-0.1730285,0.64587995,0.6821784,0.95005172,0.25462835,1.2848766,-0.1363384,-0.37638096
-8.4749372,0.99290101,0.22574318,4,15,0,15.586463,0.29690935,-0.0090703246,0.0036885269,-0.22162759,-0.042305469,0.40981143,0.24006998,-0.26264313,0.40023654,0.51836821,0.21123345,0.17239048,0.11935877,0.067461764,-0.22750439,-0.1705578,-0.35083877,0.628006,0.46475604,0.54529492,-0.30309037,-0.10411868,0.37118993,0.038606868,0.27351637,0.51413315,0.4126545,0.31331854,-0.88669087,0.6308192,0.39659067,0.5547678,0.32411219,0.47084194,0.53540156,0.56574268,-2.4861068,0.32773147,-0.74177646,-0.057383998,0.62270907,0.58162065,0.21468928,0.22521707,0.27757027,0.26825993,0.79673474,0.47353785,-0.1235659,0.41010388,0.71053414,0.24302837,1.1536824,1.230863,0.82018177,0.39577831,0.64113124,0.8303454,0.36860614,0.9788057,0.1461217,0.58506444,0.66679169,0.62134839,0.094679386,0.92090151,0.47217334,0.83417936,0.1493742,1.2487245,-0.034248198,-0.06956748
-9.365727,0.99067765,0.22574318,4,15,0,13.738825,0.36475419,-0.011541927,-0.00028822802,-0.16532776,-0.15410198,0.075101802,0.2519471,0.27434988,0.1705536,0.48510685,0.24541263,0.37152402,0.41627195,0.1268151,0.17059476,-0.25253669,-0.15842377,0.48110192,0.17233175,0.41792588,-0.4969764,-0.20592476,0.44221268,0.45970051,0.21392268,-0.19781214,-1.3021038,-0.11182408,0.45560098,0.32013013,0.48099759,0.44374639,0.39651505,0.431082,-0.84301827,-0.26280147,-0.51638094,-0.13469314,0.14473496,0.47625455,0.35933506,0.4828951,0.091564757,0.20796766,0.1948771,0.29823692,0.77858377,0.47602023,0.19433953,0.59047033,0.65592271,0.21132954,1.0725219,1.056151,0.8190082,0.21302712,0.96408035,0.73167974,0.060388227,0.858703,0.024240386,0.57123678,0.3962507,0.4187586,0.40008943,0.69969731,0.65254274,0.72659471,0.29728834,1.0340429,-0.12346021,-0.018948144
-6.0421191,0.98416909,0.22574318,4,15,0,15.114069,0.23477283,0.0078401772,0.011573123,-0.21300608,-0.23205003,0.37131215,0.29919459,0.058380396,0.15686514,0.51919745,0.17202543,-0.72265291,-0.051062291,0.13293759,-1.8039365,0.36994808,0.086042952,0.71956342,0.83908836,0.48047073,0.16074218,0.46700794,0.31531512,0.68422118,-0.096544408,-0.90518728,-0.29565793,0.79559246,0.097743913,0.77636328,-0.052791856,0.13358211,0.75648202,0.38172815,0.81177467,0.15912445,-0.31181822,0.82998745,0.70143793,0.068886531,0.7200097,-0.97246853,0.22979877,0.20473727,0.39566678,0.16700229,0.71140679,0.58483872,0.011111559,0.64611101,0.79932185,0.35118726,0.82358219,1.0963813,0.76441699,0.17850462,0.75939157,0.94805972,0.20976249,1.0619345,0.23002139,0.70464409,0.42920054,0.33509834,0.041713797,0.79908343,0.73877129,0.97426853,0.40905839,1.2137949,0.084682917,-0.32762991
-5.6004398,0.96672766,0.22574318,3,7,0,7.8986357,0.30431665,0.0099616558,0.010154206,-0.18874662,-0.21181771,0.39581355,0.29110174,0.10064965,0.2218877,0.51243266,0.17763269,-0.79041622,0.59998223,0.60932007,-0.45165903,0.42910654,-0.16024776,0.73278019,0.79412728,0.617582,-0.13840706,0.39744814,0.78463556,0.15825789,0.59013743,-1.9249001,-1.0746204,0.7908995,0.24100995,0.71031005,0.52726977,0.38972605,0.61105657,0.65099704,0.71972513,0.41178817,-0.50108881,0.807611,0.59638774,-0.72250869,0.80907367,-1.5841577,0.11487676,0.11228263,0.28206795,0.15485503,0.74733037,0.56939901,-0.03073772,0.60993637,0.75547185,0.33882327,0.96070879,1.2026634,0.88245025,0.084628146,0.84478311,0.96611044,0.1893416,1.0789572,0.1333616,0.66268145,0.38820642,0.40011361,0.0751005,0.84165549,0.71245578,0.99031012,0.38414014,1.3108935,-0.0012606556,-0.3886266
-7.1720454,0.9773349,0.22574318,4,15,0,8.2573938,0.35683386,-0.004083795,0.015937225,-0.25137963,-0.2146119,0.31726214,0.094728723,0.044120014,0.28671058,0.48876634,0.21294059,-0.69409968,-0.24581353,0.62725629,-0.11212177,-0.21959104,0.4970623,0.59062955,0.62113,0.57101858,-0.27091576,0.5622487,-0.067386811,0.48942856,0.59021844,-1.8539463,-0.18800424,0.47164632,-0.50107777,0.59121045,0.21495958,0.61473556,0.54299807,0.62559743,0.43979146,-0.51601475,0.12685229,0.54100268,0.43285968,-0.053418139,0.58727511,-0.99455719,0.28147123,0.0070447712,0.25904033,0.27721472,0.60888793,0.44193786,0.024600925,0.42823873,0.71451356,0.42289619,0.74891237,1.1120217,0.94161769,0.025591514,0.77199904,0.88099794,0.3199614,0.9423933,0.19349352,0.53442529,0.41230287,0.51414447,0.13057689,0.67792874,0.78685695,0.91127716,0.36703779,1.2485522,0.060625223,-0.38357224
-8.0410503,0.98736157,0.22574318,4,15,0,11.89909,0.45549807,-0.025113558,0.0087934843,-0.19153075,-0.082319526,0.38794984,0.22709969,-0.20765155,0.23456219,0.45723689,0.21386877,0.15739793,0.27151993,0.16657873,-0.54317496,-1.0667594,0.22158017,0.62083748,0.20495257,0.62096568,-0.06998646,0.21941608,0.59163362,0.44686223,0.26598597,0.14509822,0.44751866,-0.010121916,0.36864735,0.013646003,0.62320839,0.56204468,0.60274915,0.62345407,0.57935995,-0.77317481,-2.1708244,0.030150379,-0.38443484,0.33022346,0.530984,0.386629,0.1794292,0.20443783,0.32668468,0.39321779,0.69173761,0.51547161,-0.195664,0.48491215,0.74813547,0.30774683,0.94604695,1.1271006,0.8191656,0.29081143,0.6268642,0.75925252,0.15267498,0.76381137,-0.0047413685,0.57495144,0.5435211,0.50007654,-0.063511598,0.64256021,0.49441146,0.76702951,0.19635319,1.1637823,-0.091973588,-0.14718931
-11.50936,0.89455924,0.22574318,4,15,0,16.584437,0.022933011,0.039512942,0.011626228,0.047257444,0.057831322,0.34660063,0.12618046,0.05350757,0.24334904,0.50681004,0.2635642,-1.5456033,0.30085817,0.32419352,-0.35545831,0.34739246,0.40319825,0.40272315,-0.012681326,0.38015422,-1.7314804,0.41362854,-0.21153259,0.41427502,-0.042398353,-0.55458175,0.1840066,0.3301661,-1.7749332,0.27057616,-0.29327701,0.34404719,0.29128821,0.41378882,0.093824798,0.34437959,-0.19956732,0.37968358,0.41097405,0.18832702,-0.59752418,-0.24194636,0.12566326,0.11202331,0.32706991,0.096571962,0.53966011,0.54048371,0.24362261,0.43090238,0.45397027,0.51112753,0.70507829,1.0058314,0.74804638,0.13306761,0.67895725,0.89174364,0.5515301,0.8585843,0.31358531,0.59894902,0.36915342,0.48992261,0.2110802,0.90128461,0.70791019,0.93043084,0.47780507,1.1772723,0.37497395,-0.30200044
-11.367925,0.9301384,0.22574318,4,15,0,17.158967,0.12669355,-0.0038017333,0.0059893762,-0.14235205,-0.057251791,0.59462159,0.11108354,0.014260136,0.14600938,0.49332476,0.27694735,-0.12579627,0.13055102,0.27188864,0.070500507,0.24832589,-0.51174585,-0.020144533,0.28543507,-0.067345967,-1.9029042,-0.33600882,0.35759468,0.29866489,0.29312395,-0.23552025,0.32864996,0.35497117,0.13607802,0.36135675,0.23144963,-0.49407723,0.13932765,-0.038744111,0.26177966,0.34632074,-1.6067839,0.35961672,0.21612667,0.22153486,0.34922868,0.30118145,0.1896385,0.11950572,0.21254291,0.13377643,0.86672999,0.25693744,0.11046989,0.75752688,0.4101745,0.17207793,0.96632008,1.100867,0.89500416,0.19649058,0.42533777,0.96079818,0.18738975,1.0236059,0.14312563,0.86301588,0.31394509,0.25113743,0.12582658,0.94648593,0.45002785,0.97129188,0.65111414,1.1483438,0.049169891,-0.098934865
-16.696111,0.97236665,0.22574318,4,15,0,22.824335,-0.019983461,0.051683042,0.0054667876,0.15044228,0.046485487,0.67482621,0.1666902,-0.072601308,-0.033491005,0.50742038,0.23935518,-1.4269825,0.41200007,-0.064635804,-0.76418966,0.24293219,0.45190744,0.16505556,0.34543156,0.074727377,-1.7811867,0.40466718,0.037712795,0.47569567,-0.057984768,-0.40376519,0.41563566,0.35740221,-0.82043191,0.2944726,-0.82474469,-0.15812058,-0.42151821,0.33341892,0.49584761,0.42086935,-4.1513992,0.42098487,-0.052321982,0.46423413,-1.6012276,0.42125548,0.10643537,0.2567923,0.38222824,0.17521584,0.58219385,0.69905737,0.13768089,0.72354821,0.48752777,0.61031185,0.76715886,0.93651669,0.74469587,0.17627119,0.39553989,0.86739378,0.39056724,0.84253573,0.39119935,0.77686448,0.1731445,0.35740807,-0.041485953,0.89845086,0.2691026,0.89851605,0.75403021,1.0730987,0.49194283,-0.10133107
-19.959577,0.9776566,0.22574318,5,31,0,26.186904,-0.075160461,0.076681453,0.0088246068,-0.044992392,-0.085521075,0.19209924,0.49508859,0.16994059,0.40489979,0.48894639,0.41566822,-2.4058694,-0.060980378,-0.078678394,-0.32191128,-0.30083242,-0.041912399,-0.19371077,-0.061012142,-0.18473919,-0.32869235,-0.10293304,-0.10644818,-0.080943037,-0.85654788,-0.48682359,-0.79634763,-0.047450307,-0.84087444,-0.13123878,-0.36913841,-0.043092254,-0.048457456,-0.057841138,-0.1069902,-0.071680081,-0.07968033,-0.041071878,-0.55940362,-0.34946424,-0.18493482,-1.3739789,-0.082945808,0.11399884,0.3115242,-0.29960526,0.51705501,0.72966571,0.083011948,0.27718591,0.68473726,0.35379065,0.84969409,1.117381,0.46915499,0.10752777,1.0108753,0.95304733,0.52571885,1.1765177,0.33670037,0.47356925,0.44947689,0.42387372,0.15092769,1.1028465,0.88449258,1.0006502,0.076779949,1.3264484,0.22296574,-0.67867515
