# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-04 12:47:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpclRvpS/standata-ef0715984235.json
# init = /tmp/RtmpclRvpS/init-ef07109a6afe_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604041447-1-2603d8.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604041447-1-46b29d.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.286449
# Diagonal elements of inverse mass matrix:
# 0.0286027, 0.000681923, 6.16406e-05, 0.046657, 0.0555059, 0.00469781, 0.0235565
-25.332121,0.94181413,0.28644858,3,7,0,28.543527,0.48219948,0.018326437,0.033497909,0.2976414,0.61234851,0.36828036,0.49101754,-2.6733196,-0.20813589,-0.20941569,-0.76920495,-0.77265514,-1.3481918,-0.44452418,-0.64609206,-0.69032389,-0.62722104,-0.77576738,-1.4596442,-0.20782877,-0.62059246,-0.32475187,-0.32354996,-0.88712329,-0.49678739,-3.0594532,-0.21104149,-0.21202156,-0.42798145,-0.21024964,-0.3468077,-1.0882958,-0.2298451,-0.72247635,-0.41716014,-0.44938316,-0.64758238,-1.2139424,-0.015099079,-0.0290705,0.52035899,0.52195512,-0.24159211,0.83795499,0.45979222,0.017571438,0.55021189,1.0233907,0.22301812,1.008938,0.55377912,0.26238731,0.73639001,0.4276074,0.37338279,-0.17265641,-0.040361507,0.54584358,0.17406024,0.53531601,-0.25902709,0.3483575,0.89657813,0.50176198,0.18216557,1.3414038,0.46057303,-0.69658042
-22.703835,0.99135896,0.28644858,3,7,0,26.690788,0.44741326,0.0030666906,0.032043453,0.21023878,0.72652865,0.4178973,0.47259784,-2.1446387,-0.18088119,-0.17016285,-0.80556016,-0.73692123,-1.038865,-0.27290217,-1.0946042,-0.5182962,-0.65797179,-0.48965527,-0.93615883,-0.2227654,-0.65296237,-0.16946529,-0.23531681,-0.81098052,-0.40356986,-2.8146877,-0.17273811,-0.35698962,-0.32406787,-0.17440583,-0.26390171,-0.63308344,-0.18626475,-0.66404449,-0.35499105,-0.61859719,-0.51144922,-0.96437733,0.071526855,0.018117173,0.53306527,0.5034856,-0.12319761,0.71499215,0.64286376,0.10523614,0.53284774,0.87821248,0.41476784,1.1543556,0.53524895,0.50407856,0.67155856,0.46466847,0.32340462,-0.087028384,-0.038452541,0.7894534,0.23717456,0.45284534,-0.20542917,0.54490256,0.91327682,0.52995331,0.21209286,1.4479316,0.3908708,-0.59590419
-18.088866,0.99481145,0.28644858,4,15,0,25.3313,0.37871732,-0.040119879,-0.0011442912,-0.46680317,-0.15967441,0.55152292,0.31256576,1.7410347,-2.6992566,-0.55943277,-0.37733737,-2.2383633,0.21694576,0.22420187,-1.2409228,0.24341877,0.23369475,0.1851788,0.24089731,0.20719022,-0.21977544,0.074380191,0.20440928,-1.5550351,0.10488646,-0.095792531,-1.1660718,0.015688167,0.23447134,0.24133625,-0.55172846,-0.71981041,-1.6535692,-1.6656819,0.15335503,0.10812595,0.17228966,-0.96446716,0.75835158,0.39621569,0.34843421,0.69644885,0.57270916,0.43780018,0.53865241,0.51067411,0.95512286,0.39279124,0.97537044,0.9151896,0.69896905,0.68205268,0.58795558,0.40710684,0.1648709,0.74232961,0.52490087,0.71121385,0.45684659,0.5228221,0.39431142,0.56603708,0.39108676,0.38914643,0.36691389,0.83706002,0.11837309,0.4859305
-17.755866,0.99048058,0.28644858,4,15,0,22.600387,0.59652778,-0.070939423,0.025056472,-0.47845307,-0.075064652,0.58093939,0.47955181,0.71551398,-1.5488409,-0.35727109,-1.0498891,-1.4634451,-0.18445968,-0.18570997,-0.67602429,-0.19347625,-0.19382622,-0.18574714,-0.52137266,-0.2166762,-0.27218811,-0.21583284,-0.28052886,-0.40577258,-0.21376244,-0.48399693,-0.34393405,-0.560681,-0.19761754,-0.20327011,-0.20139173,-0.8588769,-0.1861841,-0.37575442,-0.20895514,-0.29715546,-0.20120801,-0.19581608,0.79229322,0.28227309,0.63106319,0.76710603,0.48602725,0.47224574,0.47569465,0.56589627,1.0671065,0.5280605,0.60610287,1.1225271,0.798642,0.6209339,0.71066866,0.68064774,0.11693052,0.62856445,0.27118971,0.9162144,0.57903836,0.405942,0.089347434,0.44287648,1.0314383,0.70304997,0.39294079,1.2280976,0.088873298,-0.073610458
-15.869969,0.96553259,0.28644858,3,11,0,21.519286,0.6386655,-0.069971673,0.019524682,-0.3614363,-0.3131102,0.4630474,0.37878667,0.89543487,-1.3026222,-0.20670913,-0.93956101,-2.1544765,0.051723103,0.049435443,0.018348477,0.047183166,0.041216888,0.051815952,-1.2622054,-0.12309931,-0.059059024,-0.14545594,-0.10785589,-0.52636124,0.03819223,-0.86206255,-0.0072347514,0.0516918,0.048958614,0.043073221,0.0029735044,-2.8897722,-0.010718988,-0.49357631,-0.026143327,-0.044921536,0.04974592,0.050454322,0.62343862,0.27238566,0.53337806,0.79569007,0.49412011,0.47371242,0.098039337,0.53656976,0.94477842,0.5028159,0.38593343,0.77594335,0.82160587,0.26205713,0.71407277,0.59266612,0.062588935,0.48789328,0.13020384,0.50659969,0.52877268,0.44983296,0.11842168,0.081238785,0.86601167,0.6043828,0.35040381,0.8333639,0.024534527,0.019966498
-14.270599,0.97796184,0.28644858,3,7,0,17.630538,0.60603935,-0.063436596,0.019638043,-0.51700571,-0.099019629,0.41960189,0.35370267,0.75599418,-1.5124287,0.066502099,-0.46802296,-1.4133419,-0.024886472,0.017008192,-0.33624832,0.043592472,0.11314918,0.058172311,-0.56676278,0.11927118,-0.38357754,0.11859058,0.10819769,-1.1619304,0.10751823,-0.85258253,-0.015327458,-0.069738557,0.044342496,-0.036251003,0.11487186,-1.7442146,-0.2192369,-1.0971371,-0.24309021,0.10914065,0.089892706,0.030963459,0.63917288,0.11608563,0.38369259,0.61947506,0.3093634,0.33919017,0.33800669,0.36140665,0.9575235,0.37525996,0.58536062,0.98349361,0.64490731,0.47895831,0.55516493,0.43356961,-0.056684908,0.50660249,0.18425673,0.71809357,0.36208534,0.30204585,-0.037056951,0.31696457,0.70850221,0.44806578,0.19843853,1.0529833,-0.087311407,-0.14955948
