# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-04 12:48:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpclRvpS/standata-ef0715984235.json
# init = /tmp/RtmpclRvpS/init-ef07109a6afe_2.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604041447-2-2603d8.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604041447-2-46b29d.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.31913
# Diagonal elements of inverse mass matrix:
# 0.0343961, 0.000666723, 6.02178e-05, 0.0509466, 0.061806, 0.0042526, 0.020419
-16.021508,1,0.31913009,4,15,0,20.496528,0.68686501,-0.093847671,0.0093593419,-0.34356779,0.13213,0.57541854,0.32209371,2.0655977,-1.3702932,-0.4758221,-0.80196771,-3.6347955,-0.070672379,0.12061607,-1.0145446,0.054040976,0.082124116,0.05030207,0.187108,-2.2016724e-05,0.17627944,-0.19745176,0.021143023,-0.66765272,0.19965143,-1.1109699,0.21187128,-0.84483806,0.16144678,0.20752325,-0.19026465,-0.8378817,-0.21020723,-0.74316639,0.14685858,0.12446128,0.12057551,-0.40887963,0.573339,0.37831859,0.45912578,0.89363095,0.7430246,0.36082111,0.50487997,0.68216571,0.83459924,0.31571727,1.0746622,1.2107174,0.9115622,0.79217503,0.70002575,0.57229959,-0.054514394,0.47568049,-0.020888698,0.9687127,0.60439758,0.46341442,0.28961182,0.53282955,0.70333038,0.55435903,0.38199263,1.1362825,-0.13920912,0.3594929
-16.422737,1,0.31913009,3,15,0,18.058265,0.80152247,-0.082510402,0.031889568,-0.51877198,-0.11201485,0.41927613,0.36661668,0.34684967,-1.3461332,0.077721885,-0.8170995,-1.8281388,-0.11453811,0.039946452,-0.085013332,0.031651336,0.076115385,0.080973565,-1.1878384,0.061288654,-0.13612937,0.022988871,-0.016935115,-0.68738267,0.026457045,-1.184336,0.08446516,-0.12900622,0.052380122,-0.077257354,-0.065690053,-2.4964317,0.084194484,-0.58416566,-0.27789857,-0.1063389,-0.0015070906,-0.58245132,0.62014229,0.042685373,0.49230475,0.7170405,0.26868955,0.39056205,0.21346616,0.38080888,1.0474752,0.46921138,0.41517152,1.0789908,0.75646645,0.37141101,0.66512818,0.54448484,-0.12491128,0.41597701,0.0030567506,0.73956998,0.40707906,0.29147452,-0.20093134,0.16705665,0.99093878,0.57603335,0.18788086,1.226496,-0.1520527,-0.42342282
-17.156014,0.84374912,0.31913009,3,15,0,21.464309,0.61340458,-0.072327347,0.00722888,-0.31415647,0.37874537,0.48496766,0.37842976,1.5710703,-0.56914626,-0.11968587,-0.23038133,-1.6749818,0.052748902,-0.096918321,-1.4048291,0.046172972,-0.24601959,-0.1512662,-0.046898974,-0.20969878,-0.22624191,-0.41871008,0.042478569,-1.3242596,0.0096301466,-1.4372784,0.048268997,-0.83296648,0.015462037,-0.0045319175,-0.02978332,-0.33291732,-0.91620356,-1.3854203,-0.21089528,-0.11156896,-0.055880652,-0.097469845,0.42205779,0.2222592,0.28478824,0.70346582,0.50327107,0.29292969,0.64613274,0.45647799,0.70745355,0.25824737,1.1689724,1.2741906,0.71730097,0.86748486,0.55433516,0.37197855,-0.11117866,0.34671477,-0.035969795,1.0036821,0.39660592,0.37187129,0.1537837,0.66762594,0.47318287,0.35818344,0.22518518,1.2169662,-0.17642046,0.20745139
-15.273788,0.99034915,0.31913009,3,7,0,19.125825,0.51938736,-0.04412789,0.019491449,-0.072880169,0.039381542,0.5455974,0.36757848,0.16869734,-0.76398708,-0.38275359,-1.4045872,-2.3350094,0.077466406,0.0006413577,-0.36552106,0.07520102,-0.070074126,-0.069732294,-0.86134378,0.049318233,-0.022970062,0.059614818,-0.23488198,-0.35394657,-0.22215689,-1.449434,0.011074489,0.0080393563,0.065623859,0.060684738,-0.076678943,-1.6515992,0.063591492,-0.30046455,0.071331976,0.081697941,-0.20204433,0.069099966,0.4780971,0.35434012,0.63378612,0.80815274,0.46546521,0.64816518,0.34770708,0.5424832,0.79736186,0.70241009,0.49513831,0.90619663,0.83167477,0.42243294,0.79257117,0.65682007,0.28663429,0.35672425,0.13832425,0.64125783,0.56627849,0.57568042,0.20699522,0.31557734,0.92970035,0.67856551,0.44661137,1.0070123,0.27699141,0.058766461
-15.073438,0.97439582,0.31913009,4,15,0,19.324331,0.57673442,-0.042901001,0.015247949,-0.13728346,-0.071847127,0.50211053,0.33225971,0.41532072,-0.80956484,-0.25510387,-1.0579892,-2.8644223,0.16306386,0.090915044,-0.099541136,0.18155785,0.081385769,0.041422375,-0.76476523,0.09037189,0.066122319,0.062825725,-0.18913219,-0.72114044,-0.020353548,-1.6225834,0.077441256,0.1816513,0.1825422,0.13609707,0.013069821,-2.5052799,-0.063618481,-0.66639901,0.11601296,0.15517947,0.010566966,0.14291999,0.46811247,0.31097936,0.52343066,0.82026063,0.43382115,0.64251174,0.24972183,0.48278676,0.8502883,0.67674058,0.54257477,0.85706813,0.8394271,0.33717641,0.78660439,0.55322736,0.21184175,0.36862205,0.15259264,0.5166031,0.49111415,0.6016549,0.19364214,0.22959013,0.76669865,0.56696505,0.37847572,0.92176665,0.19506381,0.093953531
-15.712321,0.98247587,0.31913009,2,7,0,17.189528,0.6413824,-0.040905774,0.012730389,-0.15005795,-0.085446884,0.52272683,0.33274738,0.54076625,-0.81586245,-0.26785463,-0.89866078,-3.4010489,0.16505897,-0.018375508,-0.10946779,0.17833655,0.15657809,-0.065715069,-0.33299309,0.15307813,0.14249848,0.072136078,-0.37032855,-0.85431971,-0.0076417749,-1.5314825,0.041029448,0.18143051,0.17850138,0.025441075,-0.029650705,-2.4266819,-0.22686281,-0.81371225,0.10385213,0.17626605,0.026869647,0.089282735,0.46993912,0.31542198,0.48905805,0.89067991,0.43978433,0.71034723,0.25380619,0.47381377,0.9258114,0.73394211,0.66248646,0.92075995,0.90714657,0.34442711,0.84954687,0.5210858,0.20461931,0.38411783,0.17632705,0.49923336,0.47452022,0.68585786,0.21620073,0.24003601,0.69931124,0.53056776,0.36892876,0.96617378,0.18500486,0.14284937
