# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-04 12:52:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/Rtmp4g3j43/standata-f1f51597ac64.json
# init = /tmp/Rtmp4g3j43/init-f1f5583188ff_4.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604041452-4-585666.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604041452-4-75232c.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.309671
# Diagonal elements of inverse mass matrix:
# 0.0322466, 0.000711942, 6.13153e-05, 0.0424293, 0.0461895, 0.00444559, 0.0174977
-16.512537,0.97468293,0.30967084,3,7,0,23.257998,0.70592245,-0.12388933,0.018371518,-0.47930735,-0.06322384,0.53723669,0.37410227,2.2599144,-1.6517144,-0.40314075,-1.074755,-2.4998587,-0.29949523,-0.30175466,-0.33652072,-0.21755531,-0.030486723,-0.37223737,-0.14155458,0.042581938,0.010122233,-0.064877438,0.011388809,-0.25294645,-0.022133398,-0.71137074,0.016659339,-0.74973905,-0.081886676,-0.12930773,-0.08220744,-1.4275871,0.058344953,-0.27823914,0.030435782,0.060199086,-0.1685783,-0.11266493,0.69304947,0.36171193,0.56464478,0.84718203,0.8190997,0.17991088,0.33494513,0.78087226,0.83712646,0.15044956,0.75996617,1.0779455,0.87686942,0.69014185,0.62168245,0.70201445,-0.15553023,0.53404867,-0.11546156,0.97733649,0.70227431,0.26721623,0.20249612,0.35379322,0.95921571,0.69036322,0.40265897,1.0338286,-0.25530436,0.2225531
-16.235237,0.96147601,0.30967084,3,15,0,20.360617,0.72837503,-0.060741159,0.012081085,-0.34403771,-0.12922025,0.62045349,0.3319658,1.2338106,-1.8623368,-0.45582796,-1.0626671,-4.342729,0.14911209,0.019793093,-0.47960713,0.14687652,0.11351019,0.018194286,0.14578361,0.10099734,0.18255613,0.17490834,-0.55541986,-0.59634131,0.08233692,-0.62337253,-0.12968004,-0.021487021,0.16522839,-0.013134807,-0.16154934,-1.546831,-0.089722786,-0.5947048,0.15021342,0.093435595,0.13207145,-0.097146254,0.67154337,0.37546279,0.52413854,0.99882698,0.58741827,0.69011627,0.38237847,0.59019246,1.1244536,0.69104077,0.90848191,1.1350799,1.0164561,0.54423115,0.90363674,0.58534133,0.14953051,0.57821859,0.26284684,0.7127027,0.56395218,0.70833048,0.275885,0.38239804,0.75447652,0.58577649,0.41398129,1.1411141,0.10676028,0.24883314
-14.544652,0.99839144,0.30967084,4,15,0,17.85235,0.54693084,-0.088329455,0.014261694,-0.60166765,-0.17826895,0.53629196,0.33775823,1.8715669,-2.8702249,-0.30189896,-0.88671763,-2.0918777,0.070021101,-0.10950827,-0.67455207,0.093274053,0.1645042,-0.14392885,-0.085374851,0.16565799,-0.1294456,0.013800556,0.14916473,-0.58537888,0.16216435,-0.19401678,-0.11026375,-0.54137275,0.1399166,-0.0053418378,-0.018146179,-1.168974,-0.035204235,-0.60724777,0.084320283,0.16625694,0.12247173,-0.018758312,0.83238202,0.32690578,0.49020439,0.7178239,0.64835648,0.24905919,0.43805523,0.62924481,0.97873354,0.23387084,0.76028146,1.0137482,0.74015348,0.68664671,0.56286602,0.58581825,-0.031402645,0.71320241,0.25128402,0.90187812,0.57786014,0.30199862,0.20524619,0.44800335,0.78548196,0.57983795,0.36307986,0.99276426,-0.10021199,0.20558615
-16.251486,0.90355286,0.30967084,3,15,0,19.393111,0.85028722,-0.085290082,0.018813301,-0.36488179,0.020352884,0.62599303,0.34952256,1.3049663,-1.5408928,-0.30548916,-1.1760971,-4.2243275,0.075975417,0.083316785,-0.61012536,0.058648753,0.088939488,0.073422655,0.12333011,-0.27138302,0.11832527,0.045290596,-0.54674558,-0.37592106,0.12938765,-0.89469383,0.11843095,-0.51922578,0.087423509,0.073193726,0.0079539879,-1.2427968,0.099844003,-0.36356518,0.084705204,-0.33853649,0.12858528,0.07897692,0.6393763,0.32703726,0.56539437,1.0317224,0.61725762,0.60934175,0.42589406,0.63409999,1.1028679,0.61988774,0.95331939,1.3140384,1.058326,0.64576225,0.90730829,0.64763352,0.026439161,0.49908588,0.058104223,0.89896876,0.60465282,0.62012079,0.17426751,0.42037283,0.91101973,0.65194368,0.39222068,1.3391576,-0.029917799,0.11408762
-14.677446,0.99136025,0.30967084,4,15,0,18.903269,0.46449093,-0.066157636,0.024540074,-0.44238771,-0.092201858,0.57506826,0.34187324,0.65925113,-2.6483766,-0.30645574,-1.7789352,-1.880648,0.1535925,0.12818781,-0.85648228,0.1147594,0.15145794,0.15260921,-0.95280851,0.15437662,-0.18032254,0.095956763,0.066972835,-0.19031061,0.0086492115,-0.36709841,-0.28027222,-0.53967805,0.099577653,0.058817793,0.070431464,-1.1304333,0.13912523,-0.1361856,0.1381717,0.10368304,0.04383817,0.15149287,0.80941741,0.32820987,0.6722504,0.68970751,0.51353936,0.4217582,0.48609975,0.5962327,0.97387954,0.47967355,0.4912666,0.99984967,0.72029033,0.61685861,0.64293727,0.71614747,0.18456565,0.65086217,0.31874943,0.90278842,0.61317922,0.35054318,0.14008066,0.45197602,1.0597085,0.73938479,0.43845328,1.1088572,0.16074482,-0.02596368
-14.565555,0.9812195,0.30967084,4,15,0,17.842576,0.74993721,-0.083637521,0.009198427,-0.33166485,0.026241548,0.49088027,0.31756895,1.7558778,-0.93045871,-0.15304038,-0.42519283,-3.5692917,0.17965566,0.18382847,-0.30071897,0.21541016,0.12250764,0.14377912,0.21771649,0.18322663,0.17031148,0.1970159,0.015838766,-1.2060852,0.17779304,-1.6040759,0.21592589,-0.067669422,0.22696988,0.22763128,0.044943991,-1.873434,-0.60151432,-1.2832209,0.00041680736,0.22150258,0.077120203,-0.06754856,0.48341056,0.27727322,0.36300635,0.87517917,0.59887174,0.40548034,0.32659948,0.55063532,0.85404664,0.36957024,0.95418789,1.0951596,0.89201693,0.57920896,0.7069239,0.46215275,-0.10075373,0.39209014,-0.049597517,0.74425624,0.4847573,0.49005335,0.19221596,0.34893629,0.59093073,0.4478787,0.28569155,1.0365389,-0.17451943,0.24420633
