# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-04 12:55:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpMYxNdb/standata-f52c969f6a2.json
# init = /tmp/RtmpMYxNdb/init-f52c445caeff_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604041455-1-528a0b.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604041455-1-542b92.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.297575
# Diagonal elements of inverse mass matrix:
# 0.0335889, 0.000721965, 0.048437, 0.055375, 6.94497e-05, 0.00476191, 0.0190625
-15.711941,0.98485277,0.29757511,4,15,0,21.679038,0.37777013,-0.022716105,0.0438731,0.29401038,0.0091262637,0.53038019,0.30372246,0.24194973,-0.35541629,-0.45083496,-1.0537417,-2.4478418,0.24317847,0.19378532,-1.3762937,0.26380784,-0.53000134,0.16023016,-0.047555008,0.25785131,-0.15324921,0.22514638,0.064673737,-1.0373834,-0.29047395,-2.5178456,0.11763846,0.059891771,0.2671902,0.22820109,-0.20175779,-0.88544027,-0.44492581,-0.98787439,0.22624081,0.27230021,-0.26703519,-0.015147356,0.3404182,0.36536117,0.49469371,0.70846728,0.42619611,0.62066394,0.55157138,0.45949069,0.61516944,0.64405046,0.75692432,0.94765545,0.7196684,0.59366877,0.69590861,0.50836615,0.32233994,0.28247563,0.1691404,0.6981475,0.46810991,0.59061049,0.29586378,0.53775424,0.63613384,0.5177452,0.40741533,0.99138554,0.31556095,0.23044902
-13.976592,0.99807236,0.29757511,4,15,0,17.268036,0.79316212,-0.082064963,-0.43886828,-0.12084541,0.018788741,0.45983333,0.3439462,1.1660681,-1.2329159,0.014630934,-0.59082784,-2.7746664,0.13952604,0.12721823,-0.060707387,0.14576742,0.14810362,0.13455284,-0.25659338,0.13630019,0.062980137,0.12832454,-0.047650882,-0.92551471,0.10156254,-1.209294,0.14793994,0.0098458687,0.13767326,0.13003134,0.14546188,-2.4560661,-0.097174894,-0.90212003,-0.12715507,0.11871839,0.042759571,0.14153861,0.57166454,0.17785748,0.41819087,0.83161011,0.45435623,0.42932217,0.22239195,0.4753696,0.99265717,0.44290357,0.69047713,1.0533534,0.85789455,0.43119879,0.7153347,0.49594659,-0.1051924,0.43324481,0.0096250585,0.68101221,0.44978328,0.43419892,0.026056626,0.21501898,0.75898897,0.50146745,0.24469711,1.0837043,-0.15804463,-0.040089697
-15.348629,0.83844285,0.29757511,3,15,0,19.16542,0.42211662,-0.056891951,-0.18568842,-0.10432108,0.014543625,0.48833868,0.30468898,0.85351642,-1.3194603,-0.49421719,-1.4648694,-2.3964518,0.24870101,0.24590719,-0.13156831,0.22840635,-0.19198526,0.25648047,-1.4329839,-0.14000045,-0.14283875,0.22741585,0.17774511,-0.5149981,0.066805809,-1.4218179,0.15241978,0.21734819,0.23865242,0.2392412,-0.096537804,-2.6541044,0.098787957,-0.48703373,0.24463255,-0.043403467,0.13094907,0.061288902,0.54316493,0.37656955,0.56747365,0.70355807,0.56218077,0.43377933,0.27289437,0.58737604,0.70727317,0.45078588,0.43776682,0.72425204,0.72329812,0.41157783,0.63054073,0.61834173,0.1940079,0.43961357,0.14745527,0.59842637,0.57571114,0.42501428,0.26070519,0.26322832,0.82195249,0.62520556,0.43201587,0.75895705,0.1604043,0.1966301
-14.12554,1,0.29757511,3,7,0,16.599659,0.52459671,-0.050696079,-0.16310387,0.11454921,0.016019714,0.56189631,0.37181042,0.59298511,-0.91302164,-0.37486154,-1.1044838,-2.2084188,0.070373671,0.051822687,-0.73815246,0.06213089,-0.051834602,0.032666098,-0.24660349,0.067264365,-0.054130397,0.044812623,-0.14490602,-0.48205063,-0.097909836,-1.1720891,-0.018260957,-0.20949885,0.061479039,0.064806324,-0.11465219,-1.0037326,-0.029907707,-0.44799806,0.046496547,0.042384326,-0.06278303,0.0070319626,0.52145116,0.35088117,0.5699543,0.79376978,0.50403832,0.57173141,0.4728239,0.54790951,0.81613815,0.60218573,0.70393236,1.0295971,0.81442,0.584164,0.74400435,0.60916259,0.21574137,0.41387729,0.15659674,0.77820341,0.54975489,0.53944111,0.2262153,0.45503061,0.83343859,0.62139887,0.41864892,1.0880623,0.19191735,0.13239865
-18.008318,0.95365723,0.29757511,4,15,0,18.933153,0.18251666,-0.036617352,-0.2256043,0.23275692,0.0065203297,0.59258061,0.3152051,1.0354887,-1.8608554,-0.80552398,-1.1901427,-1.418385,0.19866159,0.16624151,-2.8701461,0.20175506,-0.33972533,0.16234107,0.13999756,0.23382149,-0.63885947,-0.51501722,0.23485757,-0.69194973,-0.25358023,-0.59809658,-0.57809441,-0.92824992,0.21553661,0.1849558,-0.5702034,0.0091573,-0.33944001,-0.69741521,0.23205486,0.23315983,-0.17163757,-0.54164009,0.64543178,0.45483936,0.53226484,0.57328837,0.58566578,0.38260847,0.78558058,0.58199955,0.66188657,0.37935249,0.86217523,0.98123689,0.58315328,0.8862029,0.51209034,0.57068581,0.31177384,0.59298494,0.40210279,0.98090075,0.56313015,0.39969006,0.40014828,0.78788036,0.66197042,0.56942281,0.47348399,0.97801064,0.2844648,0.3929922
-20.420797,0.90655559,0.29757511,3,7,0,26.120784,0.23545446,-0.041333427,-0.19370134,0.088309279,0.0035634728,0.63244867,0.29085345,1.3665273,-2.3519553,-1.4592763,-1.6361341,-2.6416091,0.053070287,0.31045303,-2.3738964,0.12407282,-0.14783304,0.29921523,0.21647251,0.27558296,-0.16499162,-0.2280148,0.23183754,-0.51221227,-0.41796069,-0.4859851,-0.68910823,-0.52008583,0.19392483,0.31385737,-1.2388085,-0.25713257,-0.30616675,-0.55260155,0.30331702,0.23017278,-0.26664495,-1.47436,0.6718592,0.54805211,0.57470336,0.70739079,0.71091465,0.46937277,0.6746162,0.6801998,0.71986411,0.44671428,0.87023587,0.91730934,0.7147296,0.80338455,0.61932769,0.62566596,0.35239099,0.63164072,0.41237757,0.87610917,0.64371362,0.51902742,0.5128936,0.68860208,0.67555458,0.61664704,0.54631825,0.87949788,0.31397146,0.55037546
-14.454868,0.99636864,0.29757511,3,7,0,23.364337,0.57859139,-0.037084071,-0.38618833,-0.064219179,0.013836373,0.45000123,0.32731738,0.47643576,-1.2972683,0.082234442,-0.37891953,-1.9497106,-0.06873275,0.19405636,-0.44739301,0.025665342,0.19529309,0.18022639,-0.24694101,0.19566977,-0.2345945,0.1836737,0.089284132,-1.619281,0.16976324,-1.079955,-0.19636915,0.14563068,0.042826044,0.19722375,0.18555586,-1.7589256,-0.66617988,-1.5432888,-0.16878538,0.19040628,0.17850909,0.1894008,0.56601396,0.15742028,0.35155959,0.67836036,0.26098245,0.5286477,0.37184161,0.30790004,0.97642689,0.5615149,0.69126927,0.978206,0.69558394,0.4448147,0.65254699,0.37600439,0.077627688,0.47673396,0.29065179,0.60581599,0.31772188,0.48808352,0.05140156,0.3524719,0.56971361,0.38919117,0.21970016,1.0400351,0.064436444,-0.042640959
-16.473196,0.94206301,0.29757511,4,15,0,19.672309,0.66319968,-0.087247955,-0.31583067,-0.079329947,0.023423237,0.36244349,0.34986698,0.84672647,-0.68048419,0.039011427,-0.7366767,-1.6953489,0.1115062,-0.1006822,0.085051021,0.12908926,-0.20445805,-0.043112033,-1.5863067,-0.0060583141,-0.23609913,-0.0091899804,0.11539164,-0.74539692,0.07282131,-1.9781135,0.01932828,0.080763545,0.1258268,-0.14633435,0.12619069,-3.2648299,0.056439319,-0.69775033,-0.14056949,0.072389961,0.014725813,0.043069349,0.44578818,0.15028185,0.46095965,0.66871518,0.43045208,0.26170698,0.10636497,0.47692756,0.7133132,0.2933854,0.35155188,0.81664698,0.70010752,0.31456806,0.56233541,0.5367305,-0.119614,0.28138698,-0.16553955,0.61118966,0.46351668,0.23930892,-0.035241281,0.088182792,0.86465582,0.54949574,0.24203,0.87994539,-0.16890852,-0.14693944
-14.449593,0.99324263,0.29757511,3,15,0,18.110753,0.82841195,-0.083479458,-0.50217402,-0.08498559,0.014729185,0.50117918,0.35014075,1.5180663,-1.4358684,-0.030150693,-0.43633271,-3.0326526,0.13045087,0.11821363,-0.29843105,0.12988937,0.11074975,0.11432165,0.10037394,-0.0051928555,0.092132592,0.11848494,-0.10537219,-1.0558404,0.062699085,-0.88568033,0.11296514,-0.16442257,0.11786907,0.12958607,0.10770753,-1.7005829,-0.32210739,-1.0697419,-0.14489338,0.0072667813,-0.019000869,0.11577921,0.61972933,0.19846046,0.37280183,0.88067661,0.49725864,0.44515429,0.32429634,0.48795037,1.069557,0.43705276,0.91407974,1.1823923,0.90303069,0.55423586,0.74048003,0.46066458,-0.1289188,0.50084077,0.065535986,0.76890449,0.44438942,0.48518234,0.07472695,0.32994651,0.66687317,0.45751378,0.24015173,1.1738157,-0.19144881,0.060041365
-16.255087,0.95402662,0.29757511,4,15,0,17.289843,0.29853993,-0.037622312,-0.16218222,-0.026242732,0.0030468223,0.49332339,0.33560862,1.1618789,-1.0109338,-0.60801303,-0.68860295,-1.6938909,0.15207819,0.15151878,-0.58531532,0.16608258,-0.38871431,0.13614129,-0.2825985,-0.18013259,-0.35563465,0.16853154,0.1527443,-0.99400222,-0.081865059,-1.0238952,-0.17766432,0.13222283,0.17275525,0.17060698,-0.49813848,-1.2867183,-0.80791521,-1.0334889,0.14203407,-0.27654457,-0.01220552,-0.62995669,0.5164023,0.41941253,0.44052362,0.64847402,0.5684393,0.43064618,0.41327211,0.53910524,0.64432281,0.40903855,0.67968462,0.7180074,0.65495721,0.53126584,0.56733413,0.48730397,0.23954846,0.48077836,0.281005,0.59569055,0.50510815,0.47741623,0.38878765,0.42659239,0.52995948,0.47870139,0.41665411,0.68182049,0.20418501,0.42526467
-17.969288,0.97456687,0.29757511,4,15,0,22.437361,0.30935804,-0.012157401,0.018731848,0.3310585,0.022481045,0.50564811,0.45520797,-0.84288195,-0.49669589,-0.29084965,-1.0221428,-0.90229837,-0.32274069,-0.16881218,-0.96487532,-0.17937038,-0.43942482,-0.25314001,-0.9019928,-0.14008723,-0.54028746,-0.13573579,-0.18357908,-0.55856357,-0.50267367,-1.4184846,-0.25599922,-0.28756464,-0.14219686,-0.1346035,-0.15429421,-0.6709967,-0.15892113,-0.48086439,-0.16400739,-0.1688357,-0.56478834,-0.18616748,0.38880103,0.25662751,0.60739318,0.56503054,0.21879858,0.62361983,0.58753144,0.35979487,0.64302454,0.72411989,0.43508153,0.94188444,0.58862203,0.53967439,0.64629315,0.57951697,0.39197399,0.26980697,0.22674802,0.75396117,0.43479487,0.46676138,0.09625589,0.52734634,0.8942516,0.61973007,0.38471505,1.1236592,0.4235395,-0.14991462
-18.173504,0.93130963,0.29757511,4,15,0,24.756844,0.67768707,-0.079429598,-0.67538531,-0.62907517,0.019859659,0.56787625,0.35887224,1.4529935,-3.6980888,-0.35541091,-1.3109185,-2.963239,0.062547344,0.10547783,0.038903256,0.032268077,-0.26082692,0.10204401,-1.0295617,0.017257014,0.078608541,-0.010718251,-0.20937629,-0.30168921,0.077271454,0.015573062,-0.64292312,0.078729437,0.050314225,0.10584542,-0.02852522,-2.9063681,0.097649314,-0.28011568,0.080647319,0.061719144,0.10024672,0.065514053,0.98985513,0.34468972,0.60409377,0.88911846,0.60561209,0.50979495,0.13131688,0.63767064,1.3073242,0.53131162,0.45920632,0.84893799,0.9162331,0.32672115,0.78494844,0.67600395,0.085798009,0.84750908,0.43916738,0.58358082,0.61960311,0.50112083,0.18604369,0.11915784,0.95403917,0.68469608,0.41942862,0.89338274,0.037991598,0.10193014
-18.881178,0.98545527,0.29757511,4,15,0,25.527379,0.45940682,-0.085000657,-0.52293941,-0.11134649,0.010988931,0.54532911,0.50011522,1.9772767,-1.4862811,-0.52310418,-0.72355308,-1.1834125,-0.310671,-0.37772253,-0.70287988,-0.28260401,-0.26089923,-0.41048356,-0.31500913,-0.22781866,-0.39322914,-0.33979937,-0.22773128,-0.55172182,-0.22653843,-0.4144596,-0.34673506,-0.58046035,-0.24927388,-0.30811493,-0.39134042,-0.71350635,-0.35075911,-0.57008964,-0.24448432,-0.23720425,-0.23220393,-0.43165254,0.79398998,0.38549925,0.49887906,0.69203758,0.70577688,0.22452705,0.4884045,0.66823841,0.86791377,0.19623462,0.78901614,0.97001897,0.71079035,0.7385687,0.529243,0.5963602,0.016076453,0.69297827,0.24573251,0.92107123,0.60784905,0.29735374,0.28757161,0.50618359,0.75020524,0.58513468,0.40389831,0.92520815,-0.055610321,0.32072228
-14.231994,0.98462531,0.29757511,4,15,0,21.549218,0.6767738,-0.067579194,-0.23911115,0.078483881,0.014941576,0.4683204,0.26763425,0.95684049,-0.90235682,0.016820453,-0.85257445,-4.0180714,0.39007875,0.38859231,-0.33737527,0.39564606,0.12581641,0.39272604,-0.05450644,0.39219167,0.16440728,0.39918712,0.12805936,-1.4267127,0.39909376,-2.8241126,0.39336399,0.1203967,0.38459001,0.39261093,0.31044737,-2.8252073,-0.2385494,-1.4019135,0.079228205,0.38039775,0.38284244,0.37001734,0.43180482,0.23404611,0.42346638,0.79548776,0.46386106,0.4610261,0.32483582,0.47745066,0.80210296,0.4695569,0.74505765,1.0316755,0.81660192,0.49890755,0.69708354,0.48855829,-0.0038168605,0.32047164,-0.028903153,0.69984905,0.45425811,0.46928726,0.11275509,0.32035626,0.69774036,0.49204332,0.28590356,1.051893,-0.048401139,0.06465249
-14.415094,0.96714997,0.29757511,3,7,0,16.01791,0.41251102,-0.058544995,-0.49728587,-0.016122405,0.024118573,0.47453792,0.33259252,0.44725146,-2.3005965,0.018321634,-1.1027965,-1.0123109,0.072783604,-0.014971701,-0.9865702,0.16257919,0.12529733,0.086292958,-1.1165617,0.17765023,-0.7601664,0.12259879,0.18083064,-0.66492081,0.1494411,-0.58249339,-0.21754925,-0.50274456,0.17438493,-0.20069794,0.18168117,-1.0828503,0.14095418,-0.56856734,0.005062074,0.14734971,0.16071155,0.053062763,0.74109125,0.19023422,0.53312313,0.51400548,0.34462905,0.29130231,0.50843571,0.43462298,0.88809724,0.35456485,0.46402834,0.96934214,0.54347147,0.61453926,0.48462841,0.56716448,0.084739417,0.58876927,0.29727443,0.88918817,0.45922862,0.20906362,0.0069367308,0.4710317,0.9048245,0.59253249,0.3022058,1.0874269,0.068464172,-0.16882856
-16.190835,0.9791058,0.29757511,4,15,0,18.145699,0.74601834,-0.085952415,-0.55779239,-0.21987474,0.0068102864,0.53653653,0.29744865,2.2081103,-2.6634586,-0.26971119,-0.44508718,-4.3129781,0.15466191,0.24181095,-0.31656646,0.24910035,0.25778567,0.17340257,0.29346763,0.2493608,0.25512042,0.23846312,0.028141447,-1.3015991,0.24088137,-0.42777633,0.097703124,-0.044490712,0.29295917,0.29271331,-0.05064517,-2.0250626,-0.78043891,-1.423675,0.086346208,0.2934645,0.11521393,-0.32911339,0.72336109,0.31571238,0.36153469,0.90284886,0.65678293,0.40429345,0.3285809,0.58871232,1.0795801,0.35417578,1.0043615,1.0884522,0.91750991,0.59875296,0.71672301,0.46871071,-0.096562071,0.64272678,0.1861715,0.74458378,0.51044002,0.5123491,0.24680005,0.35946413,0.56405472,0.44875612,0.30850732,1.0044244,-0.1776549,0.33194217
