# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-04 12:55:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpMYxNdb/standata-f52c969f6a2.json
# init = /tmp/RtmpMYxNdb/init-f52c445caeff_2.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604041455-2-528a0b.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604041455-2-542b92.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.306002
# Diagonal elements of inverse mass matrix:
# 0.0263024, 0.000572645, 0.0453073, 0.0547406, 5.93181e-05, 0.00462591, 0.0218941
-17.387103,0.99831611,0.3060019,4,15,0,23.553907,0.39683951,-0.079291461,-0.0019802445,0.30355419,0.019334025,0.59237327,0.36068264,0.95735274,-0.71995338,-0.83800049,-2.0342612,-2.1048839,-0.1523759,0.041668002,-1.0160375,-0.21186966,-0.86248465,0.058418207,-0.52331176,0.098374461,-0.078284346,-0.11341059,0.013056641,-0.02635877,-0.10493048,-1.6634808,0.072623662,-0.81478784,-0.16955546,0.037071193,-0.34165475,-0.75399601,0.07053067,-0.015826822,0.084129704,0.099984195,-0.027424396,-0.16145335,0.46211643,0.49423229,0.74532769,0.75755413,0.75666527,0.37594374,0.53906209,0.7852304,0.49936446,0.39496752,0.5970253,0.974784,0.78413053,0.7360909,0.6511098,0.818095,0.23137097,0.32247341,-0.085649233,0.98808401,0.76522991,0.37121346,0.33929983,0.52839747,1.0887714,0.82578982,0.56589464,1.0147316,0.18266551,0.2612257
-16.443033,0.99538549,0.3060019,2,3,0,17.711784,0.43086662,-0.077017688,-0.047501963,0.34886479,0.019057706,0.59219544,0.36774977,0.9301205,-0.72737415,-0.67095466,-1.7273616,-2.0124792,-0.073814546,0.031293709,-1.2278279,-0.12206235,-0.66956794,0.046939889,-0.27170511,0.066141077,-0.099716138,-0.21962187,-0.0023990889,-0.11488038,-0.063953029,-1.5748145,0.065575847,-0.96739999,-0.091532591,0.025250659,-0.24839306,-0.55873671,0.076518873,-0.1014367,0.079561194,0.040203102,-0.0034852569,-0.096717171,0.46771877,0.45111032,0.69945497,0.75256615,0.70490531,0.3835675,0.59508275,0.73459804,0.5493056,0.40343629,0.69095051,1.064273,0.77865854,0.78534912,0.65056476,0.76957938,0.1982898,0.33068964,-0.065451512,1.032619,0.71628351,0.37674803,0.29867398,0.58388964,1.0363873,0.77760976,0.5223863,1.105578,0.15153723,0.21950144
-14.974346,0.99834723,0.3060019,4,15,0,18.034311,0.53313021,-0.054618667,-0.061322475,0.36621013,0.026858893,0.54229239,0.32185961,-0.1541331,-0.60447872,-0.12632297,-1.8587307,-2.2909388,0.1588421,0.20740115,-1.2687041,0.21447255,-0.22723127,0.14554622,-0.67886813,0.11822591,-0.081292128,0.12550644,-0.0081854051,-0.28426649,0.008661994,-2.5141556,0.21286443,-0.68351285,0.2039162,0.1891949,0.19474455,-0.96116884,0.20036663,-0.18882137,0.16291901,-0.1933602,0.021360329,0.10323357,0.41197528,0.26581171,0.6554301,0.72051134,0.39242069,0.5388908,0.55438492,0.50688402,0.69740658,0.61969981,0.56972548,1.1413806,0.75235903,0.63594128,0.71489363,0.67847279,0.20661246,0.24807961,-0.019508253,0.93139134,0.54727082,0.42730478,0.064302246,0.5064159,1.0544973,0.71085516,0.39642092,1.2907664,0.20014438,-0.15196935
-14.444523,0.8961821,0.3060019,3,7,0,19.27616,0.51834055,-0.082405038,-0.21783672,0.27818024,0.020898601,0.49686628,0.36445339,0.93493075,-0.75607576,-0.21611836,-1.0867201,-1.5780064,0.079080737,-0.10187263,-0.89967113,0.059788567,-0.45648187,-0.06351083,-0.3393805,0.070239703,-0.26165672,-0.082615337,0.077247177,-0.41599025,0.088997185,-1.6244203,0.05405239,-0.78970276,0.070555456,-0.12168662,0.037371691,-0.85309048,0.069692508,-0.38980729,0.021479511,0.034408704,0.087124648,0.087486863,0.47420802,0.28536325,0.55920457,0.6657486,0.55487981,0.27398559,0.51285448,0.59020425,0.61883683,0.29778327,0.662099,1.073215,0.69417396,0.71439862,0.55915136,0.63321851,0.019428413,0.32505468,-0.09828854,0.98353525,0.5726399,0.26262655,0.11870934,0.49935496,0.92579892,0.64282624,0.36467186,1.1219796,-0.029578834,0.027904912
-13.964413,0.99206572,0.3060019,3,15,0,15.861442,0.44041988,-0.071570164,-0.17671422,0.27617425,0.020048955,0.50167852,0.32351697,0.74851671,-0.87078745,-0.24606438,-1.3811076,-1.6945339,0.20360695,0.023160855,-1.1536736,0.17953651,-0.58803735,0.075736234,-0.5015403,0.20850401,-0.34947075,0.01532052,0.19844814,-0.41811798,0.1665019,-1.893426,0.2054732,-0.76850602,0.18506025,-0.027116102,0.10092791,-0.90595372,0.17760495,-0.37677504,0.15080973,0.1831638,0.19448932,0.19802151,0.47554851,0.30882895,0.57703544,0.63133059,0.53531595,0.30246682,0.5341928,0.579283,0.59139345,0.33262635,0.61418503,1.0149041,0.65791666,0.70164461,0.54823992,0.63752146,0.09494358,0.33651549,-0.029267063,0.95247782,0.57162074,0.27741596,0.15080005,0.51677374,0.91820683,0.64966227,0.38909883,1.0743405,0.056176296,0.049156856
-13.991192,0.97451125,0.3060019,3,15,0,15.902553,0.66859513,-0.058998226,-0.28968204,0.11616018,0.023477784,0.45905052,0.35790143,0.23515233,-0.77520417,0.033384198,-0.75766761,-1.8987916,-0.051226109,0.10797097,-0.44891572,0.054736026,0.049368869,0.099811476,-0.50532181,0.074345133,-0.14330505,0.10801076,-0.022698226,-0.8400068,0.10611616,-1.6622404,0.10459162,-0.15021027,0.072630722,0.07796564,0.10226746,-1.5778724,0.0032252371,-0.75022425,-0.14198624,-0.055759662,0.10837,-0.059253589,0.47582408,0.13877619,0.47107952,0.71711707,0.2976763,0.4877248,0.37791234,0.38257439,0.87685875,0.54733957,0.60342941,1.0936225,0.74598367,0.48814731,0.68337506,0.50703942,0.025017151,0.32646041,0.031881434,0.7574749,0.4040605,0.41146949,-0.040147775,0.34270127,0.83572839,0.5309488,0.24664958,1.2051739,0.0069608997,-0.20734371
