# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-04 12:57:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpYqolTs/standata-f7c16cf3f73a.json
# init = /tmp/RtmpYqolTs/init-f7c197c79d7_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604041457-1-6a2e15.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604041457-1-614002.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.34088
# Diagonal elements of inverse mass matrix:
# 0.0440782, 0.0473831, 0.0283031, 0.000683116, 7.00264e-05, 0.00435272, 0.0198104
-15.544161,1,0.34087995,4,15,0,20.155031,-0.34025665,0.16894898,0.66930145,-0.09688369,0.0156169,0.54897616,0.39676399,1.7045753,-1.0013173,-0.33721032,-0.8114985,-2.1648299,-0.098757923,-0.1064194,-0.77310977,-0.07584592,-0.13070059,-0.12733237,-0.015627608,-0.11642348,-0.064954722,-0.2224441,-0.072345334,-0.47245144,-0.0078506136,-1.0177238,-0.012039596,-0.80043052,-0.028579019,-0.0477249,-0.115559,-0.76932111,-0.085530568,-0.48888159,-0.049874163,-0.089206817,-0.057043283,-0.1164092,0.56301143,0.32846952,0.50716733,0.82662329,0.68115485,0.31230545,0.49510833,0.66001058,0.79293959,0.29551638,0.91848894,1.1959055,0.8510894,0.76787841,0.65652875,0.61209281,-0.064772817,0.43241973,-0.074258945,1.0037202,0.60354573,0.37057948,0.19520959,0.50609776,0.83072941,0.60548142,0.36799109,1.1726557,-0.1402979,0.19589402
-16.544063,0.93926962,0.34087995,4,15,0,23.297117,-0.28524993,0.29506322,0.21545613,-0.04904899,0.011313538,0.534038,0.37282186,0.96583865,-1.2980988,-0.39125704,-0.83945969,-0.79391864,0.065955501,-0.15805189,-2.0889834,0.063241532,-0.48166092,-0.14292832,-0.085371185,0.067152243,-0.81294794,-0.5043023,0.044888319,-0.66562182,-0.060478996,-0.71667666,-0.21416307,-1.01583,0.066232014,-0.15402471,-0.18658548,-0.12316435,-0.24135817,-0.65440194,0.030033672,0.06416625,-0.02135543,-0.11494901,0.61618663,0.35719878,0.50218308,0.48941576,0.52212275,0.24947707,0.77430342,0.53526866,0.60920268,0.25801342,0.79370636,1.0125192,0.50520936,0.89876895,0.42033865,0.54848892,0.18877825,0.53303629,0.27992894,1.0488328,0.52031127,0.2517215,0.26588316,0.76964533,0.70687845,0.55195623,0.39765057,1.0314136,0.15735686,0.22534301
-21.145602,0.88317074,0.34087995,3,7,0,24.130163,-0.061821948,0.15805309,0.13752573,0.0053392492,0.031008019,0.55513117,0.43262747,-1.5847464,-1.0860941,-0.3069187,-1.751751,-0.67015927,-0.41989651,-0.17663826,-1.1250113,-0.12753427,-0.2161744,-0.40722395,-2.2115481,-0.16319475,-0.7486073,-0.081867085,-0.13216502,-0.28856021,-1.0403934,-0.85653215,-0.80622282,-0.25673946,-0.081064852,-0.093782592,-0.096099702,-0.67390001,-0.14558235,-0.20408639,-0.082150053,-0.11502378,-1.2701059,-0.33354449,0.61336562,0.29076843,0.79081905,0.46959475,0.14385732,0.68915074,0.62512828,0.36810323,0.77510516,0.8494193,0.10696472,0.82465561,0.50011509,0.48262129,0.63831197,0.72129929,0.59925795,0.46121919,0.52101086,0.75644206,0.49868966,0.43098994,0.075031715,0.52891666,1.1554116,0.78540097,0.47980239,1.1127549,0.66715746,-0.30742998
-22.071551,0.96691837,0.34087995,4,15,0,27.351992,-0.062197295,0.38431278,0.067332391,0.0079841832,0.0329715,0.57238194,0.4311189,-1.7817176,-1.0709624,-0.26321797,-1.7825562,-0.46275059,-0.51533561,-0.12050079,-1.9767139,-0.14803371,-0.3019112,-0.31808066,-1.7633497,-0.079460531,-1.0119841,-0.16541081,-0.088484777,-0.29006591,-1.0571362,-0.89980074,-0.81385295,-0.6707954,-0.078660445,-0.1401619,-0.080653748,-0.2642996,-0.16525816,-0.19846453,-0.080863691,-0.29410518,-1.3148218,-0.46049428,0.6076774,0.26270024,0.79610958,0.3783954,0.096601497,0.62633126,0.84021671,0.33815342,0.71121853,0.79900729,0.20838717,0.97347051,0.41063764,0.68070377,0.56370533,0.7189457,0.60343374,0.44714701,0.52316088,0.96959446,0.47984064,0.34746099,0.03387277,0.7365356,1.1805467,0.78800752,0.4649942,1.2837129,0.67817473,-0.3772855
-22.518938,0.98275311,0.34087995,3,7,0,24.6177,-0.094956013,0.44386848,-0.031680916,0.010275777,0.030151068,0.52922271,0.38826538,-1.6573357,-1.146456,-0.15481463,-1.7122907,-0.18432194,-0.58734907,0.02711286,-2.688132,-0.11297926,-0.47796823,-0.056411577,-1.9330491,0.01241015,-1.6841454,-0.17790778,0.010675167,-0.38048695,-1.0211495,-0.97745013,-0.92292517,-0.83517171,0.0097849955,-0.20185924,0.02493792,-0.094879596,0.010147917,-0.24464154,0.006357364,-0.13651122,-1.3052755,-0.39338292,0.59484073,0.23421274,0.72417861,0.25249171,0.06957609,0.49788648,0.90479324,0.29447082,0.60976107,0.6587044,0.23123911,0.93338668,0.2817042,0.74863264,0.42956967,0.64943501,0.56218821,0.44965446,0.53520178,1.0098855,0.42768943,0.23724621,0.025694582,0.80820534,1.07155,0.71375112,0.42086562,1.2221196,0.63381351,-0.35606734
-16.605203,0.97838851,0.34087995,3,7,0,24.194961,0.030440335,0.31462832,0.24620283,-0.026592015,0.016193194,0.46676302,0.42067175,-0.13636895,-0.39531474,-0.32852796,-0.91337181,-0.82702832,-0.10728638,-0.059101978,-0.87126361,-0.063557432,-0.8357682,-0.053244633,-0.85630359,-0.14786229,-0.64567283,-0.065113953,-0.056746596,-0.60802498,-0.32716439,-1.6310086,-0.097547366,-0.21210506,-0.05539495,-0.097603915,-0.15755481,-0.74411566,-0.18546513,-0.55429707,-0.084456552,-0.072229028,-0.33261936,-0.059998401,0.3480553,0.3122574,0.5518135,0.52339148,0.36143314,0.45366541,0.53814014,0.43897697,0.47366176,0.50859109,0.46680208,0.81680125,0.54201355,0.56538126,0.53623886,0.55679925,0.31148366,0.25267749,0.12551434,0.7372745,0.47110593,0.37440596,0.1923337,0.50543615,0.78350396,0.57879813,0.39454563,0.91758069,0.31456756,0.049640349
