# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-04 12:57:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpYqolTs/standata-f7c16cf3f73a.json
# init = /tmp/RtmpYqolTs/init-f7c197c79d7_3.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604041457-3-6a2e15.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604041457-3-614002.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.362731
# Diagonal elements of inverse mass matrix:
# 0.048398, 0.0534866, 0.0264013, 0.000657877, 6.68726e-05, 0.00349071, 0.0209019
-17.545089,0.99528131,0.36273108,4,15,0,19.798212,0.039828206,0.43833053,0.13767737,-0.014503142,0.0071081399,0.44315827,0.38618312,0.14592181,-0.25855815,-0.29413943,-0.54549287,-0.58441261,-0.047158523,-0.015294512,-1.4890149,-0.018978973,-1.3127534,0.00026323591,-0.32301838,-0.069462671,-1.0286679,-0.095529312,0.014811981,-1.0899544,-0.26164181,-1.8470783,-0.076323015,-0.2185695,-0.010526064,-0.041770278,-0.19203838,-0.35277171,-0.73706323,-1.0570236,-0.04630915,-0.028546136,-0.25814648,-0.10382786,0.29464696,0.31213751,0.41521347,0.42896504,0.34585186,0.38059557,0.67366985,0.37607906,0.36655172,0.40193404,0.67435649,0.82560271,0.43739787,0.69542118,0.42735423,0.42137975,0.29620366,0.25124612,0.18016848,0.77365896,0.38670786,0.35115622,0.25879656,0.66100389,0.52089371,0.42993074,0.34667583,0.86505541,0.29443851,0.20165486
-18.152206,0.93510746,0.36273108,3,7,0,19.191309,0.10962605,0.34137043,0.11912911,-0.017624577,0.0047953435,0.44296409,0.37931282,0.34845162,-0.20613862,-0.4645188,-0.64929506,-0.73329791,0.038477893,0.01071629,-1.0402912,0.042154596,-1.599614,0.015552382,-0.52353209,-0.28564847,-0.88451674,0.014268876,0.04301528,-0.94828828,-0.33029548,-1.966315,-0.025646342,-0.041351682,0.041300002,0.0068865567,-0.36805301,-0.6334628,-0.71380586,-0.93823081,0.018339489,-0.25739097,-0.3080158,-0.31367743,0.27172892,0.38495086,0.44872901,0.47490008,0.44129195,0.39306444,0.56024047,0.45112628,0.31092953,0.39978225,0.59359058,0.68900791,0.48130522,0.60204379,0.45372935,0.46390771,0.33100384,0.23820037,0.14798242,0.66253648,0.44867208,0.38803016,0.34702812,0.55637641,0.53104252,0.4666138,0.40386681,0.70236801,0.32117351,0.32369985
-19.832853,0.83730592,0.36273108,3,7,0,22.299532,-0.15076546,0.46702219,0.31437889,0.011079458,0.019200828,0.45752503,0.36298824,-1.1351412,-0.51733447,0.07544084,-0.47131601,-0.59326677,-1.0681681,0.048157855,-2.2780226,-0.52548634,-0.11308543,-0.084736772,-0.26443524,0.016365113,-1.07909,-0.022503128,0.084924106,-1.5981115,-0.25768469,-1.7042959,-0.48406603,-0.33770539,-0.27917924,0.078847667,0.080373031,-0.18946072,-0.50980221,-1.3884579,-0.2651419,-0.33137804,-0.38441239,-0.27688974,0.40151841,0.070769594,0.38612201,0.4257074,-0.053509917,0.61044443,0.79069287,0.095815358,0.7661433,0.71729816,0.6924731,1.1434435,0.44389624,0.67555233,0.55009288,0.33214941,0.30462089,0.31151891,0.3904486,0.83746261,0.18621959,0.43588631,-0.060898274,0.72647588,0.60096099,0.37487898,0.19217047,1.334983,0.35523131,-0.31281755
-17.492833,0.99273983,0.36273108,3,7,0,21.57284,-0.11394229,0.37693206,0.28082176,-0.0017074778,0.022684279,0.47248344,0.3848647,-1.0431724,-0.61200756,-0.036784173,-0.83677109,-0.63848776,-0.6077033,0.01824648,-1.612593,-0.22903873,-0.24563387,-0.078505629,-0.79210609,0.033811379,-0.91293868,-0.0079435085,0.025329403,-0.92849896,-0.35778049,-1.5077123,-0.34800419,-0.30938541,-0.087899667,-0.0019160615,0.035401795,-0.42172755,-0.12292957,-0.77393333,-0.12462464,-0.13693719,-0.46442992,-0.23127273,0.43811482,0.14676328,0.50845739,0.44697778,0.063342817,0.57236772,0.69882737,0.2198335,0.71119307,0.68411707,0.50472504,1.0250223,0.46981802,0.61399848,0.55602527,0.46548851,0.3415142,0.32376804,0.33724739,0.81983637,0.30847455,0.39412237,-0.01244862,0.6317939,0.78306841,0.51019008,0.28191409,1.226294,0.38500124,-0.28134512
-16.862407,0.99842902,0.36273108,4,15,0,18.849708,0.14034117,0.49569243,0.359968,-0.049715888,0.0089784147,0.55525557,0.35233063,0.78640438,-0.15911624,-0.69905433,-1.1354627,-1.9941499,0.056977748,0.11988274,-1.497656,0.061176324,-1.3270118,0.11881925,0.031291641,0.12360455,-0.15068266,-0.17086405,0.04216085,-0.48475587,-0.1459422,-2.4962454,0.10689503,-0.52144355,0.083953884,0.12378303,-0.44814958,-0.40557949,-0.15466201,-0.48934854,0.1223288,0.12389253,-0.074569699,-0.41457228,0.26523873,0.45211065,0.55924305,0.72521877,0.62923281,0.46708405,0.63456746,0.62513482,0.39974222,0.46329172,0.84808455,1.0126267,0.73873816,0.7706811,0.64275772,0.61115639,0.25899964,0.19340257,-0.065635109,0.90038474,0.60001826,0.48927059,0.37697609,0.63731289,0.73685419,0.60969295,0.47817874,1.0093774,0.22217312,0.36575212
-14.942497,0.98438275,0.36273108,4,15,0,23.388098,-0.33524326,0.15122243,0.5923112,-0.065027149,0.021439525,0.39773131,0.28987553,0.48651463,-0.90966977,0.25681989,-0.62218922,-1.7584386,0.070300903,0.10784895,-0.59469803,0.19925059,-0.046954847,0.19422647,-0.68540758,0.31492982,-0.54758292,0.31357836,0.31344467,-1.5049653,0.29589988,-2.4969491,0.31762819,-0.17452117,0.20907138,-0.015106527,0.29527895,-2.06913,-0.063176939,-1.3916122,-0.23491298,0.24695161,0.26946702,0.093900941,0.4544736,0.10252355,0.39778578,0.59092017,0.29541103,0.31146224,0.39193555,0.35792282,0.75188281,0.35498188,0.58907698,1.0273016,0.61829918,0.53118488,0.53154306,0.44629517,-0.062797025,0.31203378,-0.017085099,0.78809786,0.36385491,0.26291384,-0.063622446,0.36643856,0.74644852,0.46377299,0.19479586,1.1103155,-0.091573236,-0.19465489
