# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-07 13:32:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpIU7ppy/standata-2859d704b8704.json
# init = /tmp/RtmpIU7ppy/init-2859db06a08e_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604071532-1-922a70.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604071532-1-4b4549.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.345307
# Diagonal elements of inverse mass matrix:
# 0.0457311, 0.0531655, 0.0239795, 0.000610161, 6.15273e-05, 0.00512608, 0.0198216
-15.404155,0.98968248,0.34530737,3,7,0,21.008153,-0.68586945,-0.27223441,0.51562763,-0.08294302,0.012528824,0.48969932,0.37048675,1.8988757,-0.20467625,-0.30608728,0.073859095,-0.14266991,-0.029292984,-0.29197689,0.011187762,0.04307626,-1.2097277,0.073918437,-0.83563132,-0.042807268,0.0086137538,0.057334718,-0.13998054,-0.21737028,-0.063976537,-0.55675746,-0.49270963,-2.65301,-0.3349003,-1.4407823,0.061786029,0.049570417,0.073909154,0.058767977,-0.31230384,-0.29687291,-0.25494309,-0.80909839,0.27659029,0.32301955,0.50619894,0.25611446,0.16839188,0.68303307,0.63131266,0.90786446,0.40635888,1.0047049,0.50028757,0.1790692,-0.13397624,-0.067636625,0.75763278,0.71718033,0.30537939,0.41611997,0.39442789,0.8652288,0.66496059,0.64485587,0.55790281,0.58189124,0.49503163,0.93533739,0.82565044,0.18091992,0.19949795,0.50762953
-17.429351,0.95846586,0.34530737,3,7,0,18.826932,-0.73892755,-0.2883948,0.48339064,-0.068424289,0.026233596,0.52222834,0.43280621,0.77723087,-0.19231211,-0.693353,-0.081526869,-0.27749141,-0.081501222,-0.082138467,-0.10300331,-0.11643256,-0.97898685,-0.15218155,-0.42226633,-0.16674314,-0.085734289,-0.092029008,-0.1665922,-0.89359943,-0.16517874,-0.9586129,-0.64133706,-2.6958557,-0.47921357,-0.98404045,-0.082196458,-0.11258121,-0.085204737,-0.081568586,-0.4941754,-0.12408671,-0.17835509,-0.47313198,0.20377662,0.47878605,0.50447863,0.22900795,0.0032326224,0.98421428,0.58981117,1.1144431,0.42013222,1.1627584,0.64268289,-0.17873357,0.039954179,0.062885652,0.8214247,0.44840514,0.32291359,0.57324838,0.45798331,0.98967599,0.61398139,0.58149801,0.48354051,0.39204477,0.53738908,0.99402611,0.89321204,0.37364819,0.30948486,0.61694394
-20.561127,0.91038844,0.34530737,3,7,0,22.453708,-0.65072977,-0.41291251,0.68568391,-0.025711887,0.023561485,0.58364546,0.37986648,-0.054135281,-0.04629077,-1.6345805,-0.005359993,-0.046080713,0.048893867,-0.036631812,-0.013493203,-0.2081971,-1.5737984,-0.86260623,-0.65261938,-0.14773096,-0.17633642,-0.14435276,-0.073343919,-0.55166205,-0.099733885,-0.9021501,-0.42789585,-3.0377779,-0.027496752,-2.3123149,-0.073381898,-0.30192705,-0.44467228,0.011618916,0.012200826,-0.50028382,-0.27443353,-0.77301188,0.16583049,0.69704773,0.37475125,0.66564761,-0.005453753,0.84279884,0.36570752,1.2724435,0.31565068,1.5129191,0.55001731,-0.23827525,0.25501088,0.23622057,0.81209787,0.58364867,0.29282066,0.52392581,0.37098499,0.94384014,0.85142055,0.82551058,0.3120687,0.18176167,0.87745396,1.1038614,0.60304974,0.89814673,0.80551773,0.51293805
-18.840239,1,0.34530737,3,7,0,22.299995,-0.60926392,-0.39014355,0.73503738,-0.036281698,0.019805711,0.57780562,0.37206597,0.37097622,-0.070833655,-1.1626925,0.032167749,-0.05186106,0.060831208,-0.11118798,0.014487655,-0.10769676,-1.7395471,-0.65878903,-0.74744096,0.019834917,-0.041208375,-0.041675307,-0.138422,-0.30050255,-0.080815517,-0.78871785,-0.32356454,-2.7185071,0.037359247,-2.7411986,0.00226676,-0.11549785,-0.47477256,0.030123228,0.040328875,-0.34002627,-0.20008688,-0.83718684,0.19728566,0.58414074,0.39799985,0.6834905,0.049679854,0.77618226,0.37631067,1.2216479,0.29223456,1.4491176,0.52434119,-0.11755243,0.17526949,0.1756379,0.75992801,0.67982945,0.29583028,0.48752382,0.32999131,0.87861984,0.90530745,0.88218782,0.36331568,0.27353226,0.88827651,1.1047382,0.59024683,0.83682631,0.77332669,0.4989023
-18.09634,0.98619255,0.34530737,3,7,0,21.485178,-0.70930565,-0.28998119,0.6878278,-0.045604667,0.019823037,0.60357615,0.37012066,0.6628227,-0.073604442,-1.2886232,0.050777252,0.050507304,0.065217165,-0.089976248,0.054034272,-0.31328935,-0.96964962,-0.63838884,-0.72540858,0.040218,0.023903327,0.01433241,-0.02168019,-0.060381006,-0.078093958,-0.78511035,-0.82751346,-3.2964161,-0.01214116,-2.3882514,0.034936511,-0.046049625,-0.26188206,-0.10955251,-0.25138349,-0.083984717,-0.011845778,-0.80177811,0.20176982,0.61122844,0.41855592,0.58189687,0.051738866,0.78740511,0.57576796,1.3261589,0.46501563,1.4420972,0.53171434,-0.097601981,0.11830477,0.12891177,0.8372581,0.80741723,0.29520475,0.48543636,0.49725849,0.96108924,0.84549616,0.82150766,0.39524714,0.31789665,0.80380109,1.2248557,0.79902963,0.70869843,0.65424172,0.50988259
-16.543987,0.99416056,0.34530737,3,15,0,20.102107,-0.22450167,0.014615043,0.26303509,-0.066273057,0.011233778,0.45415104,0.34141921,1.2927963,-0.50421732,0.1031352,0.12525169,-0.16704533,-0.22322749,-0.1097324,0.12611394,-0.30179424,-1.36519,-0.86864431,-0.56342467,-0.20772155,0.1298491,0.08520752,-1.1101868,-0.99560661,0.12999511,-1.0188777,-0.52605815,-1.1363361,-0.68974005,-1.0892966,0.093235587,0.081772599,0.13167661,-0.27164526,-0.11097941,-0.27939005,-0.25586672,-0.55146045,0.39223792,0.11070669,0.58426067,0.22569309,0.29722426,0.75123771,0.58305927,0.67341333,0.40453991,0.51131711,0.59054445,0.29107954,0.077640509,0.12820111,0.45674796,0.48191679,0.42257901,0.52329293,0.39867585,0.54883428,0.55603798,0.53875092,0.62068102,0.63128718,0.42515353,0.68435764,0.74934594,0.18151033,0.19023948,0.59396481
-15.88698,0.99910194,0.34530737,4,15,0,19.490154,-0.33328817,0.1971322,0.41650211,-0.083841818,0.02247442,0.55833005,0.38645867,1.0545791,-0.38657907,0.010544368,-0.047887338,-0.2338996,-0.071284607,0.026691947,-0.29948457,-0.030631656,-0.51196573,-0.26299181,-0.20050372,0.016063228,0.024584024,0.002311609,-0.77471977,-0.42681127,0.020322033,-1.3892324,-1.2317867,-1.4575774,-0.35296036,-1.3005963,-0.061909447,-0.018756792,0.029079797,0.012438312,-1.1706148,-0.14560832,-0.19533085,-0.22251608,0.35350762,0.079665736,0.65427318,0.21828704,0.17546793,1.03903,0.8145671,1.1365501,0.59698547,0.70326435,0.73658622,0.068543,0.04640017,0.093839009,0.50917875,0.62988513,0.44146766,0.65150655,0.61435468,0.66698986,0.66099305,0.63086064,0.66729802,0.6228776,0.52846201,1.0760323,1.0992992,0.26980545,0.23953565,0.72438809
-16.166756,0.97444028,0.34530737,3,15,0,18.026132,-0.19354167,0.23722238,0.39443663,-0.08360021,0.016893299,0.57708475,0.35184082,1.3328659,-0.681888,0.12493075,-0.049813581,-0.040878828,-0.25807775,0.12335476,-0.27324232,0.12157916,-0.5474273,-0.54637819,-0.14562103,-0.16403566,0.099636987,0.048083703,-1.1094315,-0.23059757,0.1256256,-1.6125798,-1.2925504,-1.2181314,-0.18688056,-1.8382958,-0.11379222,-0.10275514,0.1071681,0.12385607,-1.0896017,-0.075916404,-0.080636952,-0.14799234,0.44713581,0.013231573,0.70842016,0.29695601,0.30822366,0.97622472,0.8142552,1.0316998,0.59178422,0.59210249,0.74084879,0.26780313,0.080233439,0.13856828,0.44702321,0.70301823,0.50174423,0.6560143,0.59255431,0.57679778,0.7218372,0.69730798,0.74347289,0.73779496,0.56762265,1.0210035,1.0485196,0.27661333,0.27401254,0.73971853
-14.671011,0.97430525,0.34530737,2,7,0,18.552391,-0.036300548,0.31906733,0.48307864,-0.072635658,0.015375273,0.50244185,0.32319404,0.95800346,-0.41483429,0.11046871,0.16884548,0.13047493,-0.055770764,0.089071612,0.086747837,0.21056217,-1.1430146,-0.97892106,-0.45252686,0.03338633,0.19842915,0.16304202,-2.6157733,-0.24147614,0.17440676,-1.2591152,-0.85132417,-0.36859063,-0.10831167,-2.270142,0.14045639,0.15136852,0.15190299,0.20949,-0.44704323,0.11946365,0.11171435,-0.46102446,0.361457,-0.14460552,0.59335596,0.37065055,0.23588056,0.84068648,0.66082989,1.0005939,0.46823461,0.50150844,0.6278099,0.19239007,0.050349246,0.099637992,0.23159475,0.69269702,0.41308893,0.55410184,0.47099653,0.34783682,0.74189945,0.71988974,0.62102093,0.61120443,0.61070127,0.98502207,0.87064793,0.36204481,0.35629708,0.62543266
