# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-07 13:32:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpIU7ppy/standata-2859d704b8704.json
# init = /tmp/RtmpIU7ppy/init-2859db06a08e_2.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604071532-2-922a70.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604071532-2-4b4549.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.330136
# Diagonal elements of inverse mass matrix:
# 0.0495087, 0.0502232, 0.0366344, 0.000663344, 6.21253e-05, 0.00434677, 0.0190979
-18.220556,0.9245679,0.33013565,4,15,0,20.101425,-0.48032112,-0.31117226,0.60024231,-0.078431124,0.030490658,0.38397931,0.34134274,0.39735242,0.081708844,0.12724972,0.15406149,-0.21456123,0.11189083,0.14977841,-0.16551408,0.094271548,-3.8631508,0.12388919,-0.39610352,-0.26967776,0.14448494,0.1529843,-1.0310114,-3.2950907,-0.069904534,-1.1982287,0.13056242,-1.7649133,-0.37364504,-1.4463785,0.14663202,0.053671371,0.13911558,-0.13792128,0.12991032,0.091460649,-0.012678051,-0.49346237,0.13151297,0.08175135,0.47913507,0.20617115,-0.10130332,1.0378607,0.22631048,0.88013266,0.032237004,0.91359174,0.64133561,-0.31492727,-0.051642677,-0.026198512,0.47407933,0.10323339,0.27059624,0.56174652,0.076885143,0.66903924,0.64870717,0.61105273,0.4534529,0.34563282,0.56259541,0.73832079,0.57786711,0.37743083,0.3017814,0.61099145
-21.567073,0.93852494,0.33013565,4,15,0,24.71626,-0.23499626,-0.18954296,0.5361404,-0.090795103,0.0058286079,0.68295173,0.37083408,2.3853399,-1.5106693,-0.024089633,-0.38806818,0.02315564,-1.2217156,0.024213945,-0.0074816174,-0.06522968,-1.2590818,-0.0089239994,-0.10503223,-1.724203,0.017333621,-0.090651689,-0.37972856,-0.010280124,-0.0025243041,-1.6406927,-0.3928795,-1.840464,0.066935102,-3.7612829,-0.64458138,-0.9318901,-0.30741658,0.040951945,-0.23397341,0.056409103,0.072834613,-0.068774531,0.65998701,0.1634631,0.85612824,0.61715819,0.59674972,0.88409068,0.64883677,0.80497392,0.39470068,0.84983645,0.77868055,0.70307345,0.1238035,0.21219598,0.64710677,0.84859962,0.64418372,0.68654494,0.3579813,0.72545723,1.0410502,1.0269285,0.94427204,1.0257355,0.82348917,0.90602436,0.7905955,0.43232321,0.49209148,0.80249017
-20.355022,0.98329398,0.33013565,4,15,0,26.881469,-0.42348191,-0.33422157,0.54677101,-0.041586326,0.025038498,0.31842921,0.40583023,-0.16936919,-0.023073981,-0.16700172,-0.15009338,-0.13432407,-0.077691451,-0.17318744,-0.53931821,-0.14655957,-3.1064776,-0.033184404,-0.91369317,-0.4127128,-0.023201743,-0.022100974,-1.0336402,-2.4888029,-0.34518856,-0.53835287,-0.022350416,-1.0002804,-0.59218014,-0.88909662,-0.2198109,-0.45011675,-0.02616834,-0.41390502,-0.084059548,-0.017400831,-0.034112919,-1.0288019,0.044292449,0.22219607,0.29071181,0.30351286,-0.14125373,0.77326525,0.085258167,0.79351144,-0.0087733807,0.92725278,0.45655862,-0.3609812,0.044765005,0.040513163,0.42134757,0.097689665,0.1712673,0.41435831,0.041514834,0.56907824,0.56477211,0.53593518,0.24160835,0.12233858,0.55459937,0.63847526,0.35150675,0.50964915,0.42518017,0.42272628
-18.047239,1,0.33013565,4,15,0,22.317355,-0.35428472,0.32386429,0.44519228,-0.058830846,0.033584178,0.40722672,0.36018478,-0.39732679,0.09560881,0.095759339,0.043982148,-0.57250818,-0.064982862,0.10047195,0.011958237,-0.24258733,-0.7926066,-0.23857894,-0.52939856,-0.85006523,0.10036547,0.10073799,-1.6566812,-1.410404,-0.22202041,-1.0029181,-1.2112989,-0.95705804,-1.0820513,-0.53534521,-0.029736384,-0.34566517,0.07990265,0.06645246,-0.91262001,0.014703562,-0.16030978,-0.67480657,0.041353072,0.040878107,0.37709578,0.08159371,-0.20827429,1.021172,0.6530182,1.2990995,0.51815779,0.70264418,0.59518111,-0.49707191,0.021814765,0.019473786,0.32444835,0.37352618,0.20995844,0.53548167,0.58378797,0.52425328,0.44567786,0.40672016,0.31497862,0.15911037,0.42393888,1.0963076,1.0131387,0.34932734,0.23901669,0.55099355
-18.92069,0.95116774,0.33013565,3,15,0,23.667978,-0.14149405,0.49847724,0.64239976,-0.047407322,0.035339784,0.47777476,0.34072883,-0.93895438,0.1482666,0.13986949,0.090826311,0.066777516,-0.03623312,0.13770468,0.090441508,-1.1613647,-0.81563051,-0.040185657,-0.44599776,-1.1180219,0.093442721,0.11138404,-2.9113516,-0.74283608,-0.15067165,-1.278534,-1.4046979,-0.39493903,-0.30308072,-1.569184,-0.028240802,-0.50184167,0.0047228672,-0.27102948,-0.87497963,0.021238055,0.14791082,-0.62593383,0.046875157,-0.064397393,0.37536264,0.35467823,-0.2122185,1.0681885,0.62499528,1.5534289,0.52459833,0.78563014,0.62559264,-0.54426069,0.12217594,0.10373585,0.15583354,0.54272061,0.23240248,0.57748539,0.60231524,0.35822539,0.67289659,0.63322669,0.29219977,0.10865948,0.68848614,1.3155227,0.98968066,0.67802339,0.5477482,0.57343155
-18.978666,0.99922461,0.33013565,4,15,0,21.993016,-0.54410642,-0.21932513,0.43686631,-0.094991409,0.028617636,0.39880332,0.4387304,0.98051722,-0.20512203,-0.10955898,-0.10732004,-0.7074735,-0.095906669,-0.10810553,-0.10185791,-0.1737408,-1.7347066,-0.24617818,-0.34417337,-0.17641452,-0.12503979,-0.10441258,-0.60216821,-1.9675044,-0.17515102,-1.0113922,-0.23810137,-1.5669041,-0.6799361,-0.71418197,-0.10809509,-0.095074954,-0.12767809,-0.28582007,-0.32863896,-0.48244365,-0.58940301,-0.37761031,0.20583299,0.074688921,0.56867686,0.01445203,-0.017964476,1.0708442,0.44887502,0.82597004,0.20551308,0.75881013,0.69032656,-0.17696251,-0.10741538,-0.059976924,0.55816566,0.15098333,0.3244172,0.59393269,0.23465557,0.7527355,0.52549416,0.48820014,0.57081584,0.49840683,0.3879566,0.72901394,0.79986226,0.11382987,0.06376224,0.67019731
