# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-02 14:56:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpaSY9Le/standata-16784a6efc391d.json
# init = /tmp/RtmpaSY9Le/init-16784a78f93600_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604021656-1-7e88bc.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604021656-1-2c0d3a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.15547
# Diagonal elements of inverse mass matrix:
# 0.0286482, 0.000566913, 6.0906e-05, 0.0424451, 0.0548544, 0.00729958, 0.0651861, 1.06398, 0.974562, 0.785664, 0.869604, 0.909245, 0.839226, 0.793194, 0.885301, 0.840155, 0.805294, 0.848805, 0.674477, 0.831003, 0.775332, 0.891838, 0.657888, 0.866233, 0.72004, 0.96764, 0.757103, 0.849441, 1.02105, 0.697195, 0.894285, 0.950019, 0.892822, 0.86379, 0.828454, 0.78921, 0.780532, 1.04899
-62.529261,0.9953668,0.15547012,5,31,0,87.704407,0.53600907,-0.042244048,0.023021067,-0.059678668,0.38989473,0.58144042,0.31476064,0.09340179,-0.0044849462,1.1427339,-0.39894323,1.6007229,-0.8845846,-0.35299161,-1.4014076,0.77130816,-0.69531045,-0.52836707,-0.73904909,-1.3929758,1.6958634,0.35447132,0.23812928,1.2062161,0.81444763,1.3887159,1.3476808,1.1805485,0.76497599,-0.41529725,1.4161873,1.2420179,0.24151135,1.4118184,0.71202294,0.43753445,0.50852529,-2.2714254,-0.000418902,0.10061542,-0.020585311,0.14829554,-0.025787041,-0.019509478,-0.11824578,0.059883951,-0.045839107,-0.05163818,-0.080801448,-0.13645992,0.052613886,0.032672272,0.0093547386,0.095996635,0.093482524,0.15209989,0.12825886,0.14976125,0.16818705,0.00072279577,0.15117197,0.11600669,0.039947694,0.13849228,0.066504218,0.047572525,0.067905607,-0.040394613,-0.15871175,0.72018977,0.6908577,0.29159812,1.3418894,0.80657426,0.69927599,0.73331679,0.79747073,1.6473107,0.93689114,0.98004407,0.9445017,1.3451415,0.12260538,1.1638071,1.1105918,0.72111587,0.62383011,0.92759293,0.85434002,0.078435279,0.18196333,-0.027112588,1.104073,1.2908535,0.95564691,0.60465303,0.96069487,-0.28746025,0.047815415,0.42929581,0.38705286,0.60315593,0.91232844,0.34958463,0.61753613,0.51703113,0.5395177,0.72830541,0.65914518,0.64281131,1.0809824,0.84352637,0.72203809,0.78027986,0.73306507,0.35436,0.44381463,0.21525892,1.0878657,0.68804714,0.53348431,0.26602271,0.70744035,0.99931107,0.80510127,0.46744412,1.4007821,0.3282753,-0.11978529
-53.145492,0.99631979,0.15547012,5,31,0,75.721582,0.43587582,-0.062149853,0.020241342,-0.53411731,-0.39357349,0.61903774,0.24151948,0.27058198,-2.515499,-0.9769829,-0.82703271,-1.6469096,0.93207551,2.1064884,1.5969774,-0.35301021,0.90395149,0.28378474,0.64839126,1.2923348,-0.97692794,0.31216097,0.20790637,0.10322477,-0.56410456,-0.45546523,-0.8441574,-0.3898217,0.34392331,0.60063944,-0.73260634,1.5810067,0.33761517,-1.2858614,-0.13617387,0.28232027,-0.31652255,1.0028243,-0.68064871,-0.47416908,-0.40274605,-0.64474186,-0.12193308,0.39566268,0.42343624,-0.095686832,0.18683493,0.11709768,0.21391772,0.36585776,-0.021404735,0.088589946,0.082136341,0.06816294,-0.077680916,-0.11834543,-0.26225932,-0.21161508,-0.13085095,0.078742423,-0.21854615,0.42779194,0.15538604,-0.19106922,-0.036846196,0.072136465,-0.040236071,0.10227903,1.024103,0.1607842,-0.37213938,0.59400843,-0.045508408,0.34351715,0.85713883,0.75460894,0.98507392,1.2122683,0.66656344,0.97720394,1.2091848,0.90250236,0.79719652,0.8274711,0.93494307,0.76083415,0.83679905,0.31022013,0.81363559,0.51182501,0.18556729,0.19965429,1.1174133,0.92819418,0.019718612,0.16347073,1.0535092,0.2787697,0.59852135,0.29611216,-0.045496779,0.30413126,0.12024011,0.49209002,0.89205485,0.80356921,0.57633532,1.3176183,0.65383618,0.6574823,1.2225172,0.76949525,0.60280894,0.78912082,0.82190229,0.19074002,0.72352592,0.26480633,0.54590329,0.54584267,0.53073063,0.053078461,0.7843047,1.1925042,0.57887552,0.47851837,1.0058908,0.20018287,0.25166349
-52.753737,0.96170175,0.15547012,5,31,0,67.735484,0.67399552,-0.053158827,0.012122348,-0.3895081,0.052878529,0.56240125,0.28960926,0.17674103,0.34777907,-0.25137297,-1.0540659,-0.90222154,-0.21497077,-1.5323666,-2.6061952,0.81092988,-0.10457018,-0.22034952,-0.15644258,-1.6968604,1.1479407,-0.70617432,-0.20455544,1.8663177,1.3491096,1.7790351,0.37981306,-0.58256767,-0.19379838,-0.5444192,0.1902373,0.51577624,0.15433513,2.1028353,0.71894151,-0.34317487,0.6705777,-0.91993049,0.06146683,-0.021653758,-0.17282624,-0.18298783,-0.11137308,-0.29098544,-0.5396744,0.0132415,-0.10185538,-0.12225855,-0.11829867,-0.2768446,0.0068027965,-0.11068525,-0.14262356,0.1824824,0.18960397,0.32274506,0.034660905,-0.10181027,-0.099051593,-0.12447012,-0.030524694,0.091158823,0.040831372,0.34059967,0.12706646,-0.047085268,0.085538668,-0.009664389,1.0055895,0.74451267,0.11537745,0.60420646,0.82993792,0.12764371,0.026537004,0.38177708,0.59770793,1.1761367,0.50442383,1.2110721,1.1703154,0.27285804,0.99642507,0.17525342,0.74984214,0.56582779,1.2046182,0.42940122,0.89818874,-0.04974369,0.081279901,0.061791249,0.70145674,0.83761193,0.9395257,0.76898261,0.84136139,-0.0081587442,0.067405773,0.67878333,0.23573049,0.23946409,0.65803898,0.32531082,0.28916317,-0.017204826,0.46319871,0.94837821,0.4664459,0.86860815,0.9440089,0.86480741,0.54723552,0.62284236,0.64523688,0.26320326,0.8506398,0.28810117,0.71749583,0.33413832,0.45922425,0.12886666,0.60899748,0.67329872,0.80683368,0.42745703,1.1929934,0.12480543,0.10745982
-52.336154,0.97147699,0.15547012,5,31,0,66.028751,0.41888174,-0.077703547,0.019846737,-0.40288875,-0.049985686,0.45424391,0.27819928,0.26847408,-0.86946815,-2.0904813,-1.192885,-1.2822231,0.82000173,1.0515312,1.3643136,-0.57393043,0.57917381,0.21464006,0.54703053,1.5931075,-0.97123985,-0.18141072,0.33247075,0.070375165,-0.46088675,0.17524002,-0.92219354,0.45455474,0.84002947,1.0767706,-0.14788316,1.577111,0.11002125,-0.68639728,0.27250498,0.60352414,-1.5996541,0.43187578,-0.23342966,-0.6068323,-0.44133289,-0.51727769,-0.090677581,0.14648528,0.29935599,-0.17774909,0.061140269,0.025524173,0.11459637,0.31437612,-0.091744004,-0.055677799,0.059258414,0.018878285,-0.096722079,-0.041235275,-0.28391921,-0.0097405371,0.099543289,0.22464607,-0.010587397,0.42341343,0.093624914,-0.085055744,0.073160522,0.16877075,-0.28433758,-0.16561221,1.0796021,0.63761923,-1.0382277,-0.059724103,-0.063716345,0.91304818,0.3589095,0.58365668,0.2312099,0.46986729,0.043406054,0.56733986,0.90242322,0.6340156,0.53775528,0.55668978,0.59942542,0.21519006,0.44719346,-0.58697492,0.84511211,1.0041038,0.053617568,-0.25219994,0.66493505,1.0715997,0.71136623,0.45761261,0.96928103,0.15279972,0.073398397,0.4211472,-0.32893011,0.097034594,0.049562325,0.44080242,0.34475655,0.67737725,0.38802329,0.78220866,0.24693775,0.56051159,1.1511826,0.50204008,0.51182691,0.52628529,0.62675601,-0.068317976,0.47199559,-0.16973791,0.8128099,0.64931532,0.41108258,0.10918575,0.78828394,0.97935696,0.53216251,0.42668933,1.052824,-0.30186375,-0.13314846
-54.125238,0.995002,0.15547012,5,31,0,69.284344,0.75502852,-0.072896174,0.021617408,-0.33924394,-0.15733195,0.57372454,0.2967968,0.17770691,-0.5804834,0.47838324,-2.1639802,-2.0298792,1.0537676,0.12489648,-0.68969461,0.38987419,1.7673258,1.1716435,0.47238717,0.16748679,0.40750801,-1.3845425,-0.37434106,0.99796505,-1.1711679,0.6662368,0.24574388,-0.53939625,-1.8323361,0.99969029,-1.6722176,0.19640357,0.74839684,-0.20544282,0.27505275,0.20655064,-0.97831592,0.037012404,-0.10315591,0.046206029,-0.38131472,-0.43082147,-0.022232284,-0.037125756,-0.16457627,0.00083606311,0.23653438,0.23875966,0.19580904,0.19494759,0.20847682,0.05382638,-0.04662451,0.15449564,-0.12609095,-0.010912204,0.023241674,-0.092371241,-0.26926296,0.13815709,-0.25763691,0.034902273,0.13675756,0.042345278,0.048878775,0.041597927,-0.12735812,-0.098669391,0.84994493,0.73128332,0.45306642,0.11406953,0.76895261,0.71291137,0.33765305,1.1811829,0.29717365,1.6294243,0.52986699,0.68837645,1.1898321,0.84690135,1.0597645,0.87423375,0.64789633,0.40502796,0.44643698,0.72346497,0.91627534,-0.19706321,0.39765748,-0.0043990993,0.13944633,0.97518227,0.49967724,0.40441297,1.470819,0.16350158,-0.31024402,0.54896228,0.35968414,0.22449101,0.51877919,0.51714105,0.58470012,0.10266476,0.59337003,1.3130926,0.89728883,0.82583618,1.260649,1.1863531,0.48683367,0.82433102,0.81951405,-0.019687981,0.49361205,0.15640337,0.60688954,0.32025477,0.724892,-0.11349456,0.28081052,1.1044197,0.72212343,0.45129594,1.17861,-0.058046699,-0.072417395
-57.500122,0.9769374,0.15547012,5,31,0,74.08739,0.73917632,-0.046453451,0.019666304,-0.60392549,-0.24779276,0.46917513,0.30558095,0.20318521,-1.597547,-1.4958182,1.1715345,0.13739353,-1.2206598,1.0307665,0.74684235,0.32051878,-0.32329454,0.14989164,0.25562383,-0.31078243,0.33458263,0.15323349,0.75134286,0.82808187,2.4826565,-0.15404681,-0.32009602,-0.64266228,2.0072609,-0.57395355,0.81762026,2.1784042,0.7644353,1.2795005,0.14010105,0.29549807,0.32569417,-1.0042341,-0.32459792,-0.39402335,0.11488383,-0.032744419,-0.2756988,0.1413287,0.14503351,0.056293511,-0.045484481,0.015861931,0.042388453,-0.0037342424,0.058455178,0.058997728,0.14345285,0.19307566,0.51840798,0.38252157,-0.069785955,-0.14896508,0.13019879,-0.12654276,0.10434294,0.44261952,0.22086676,0.35837829,0.028466461,0.062679756,0.089637818,-0.017484561,0.46395595,0.47079115,-0.63928017,0.2161737,1.2480553,-0.10352767,0.35124231,0.12994238,0.6726641,0.93787368,1.159219,0.6326685,0.45349336,0.61819634,0.15636898,0.86475347,0.45575372,0.50351098,0.8892272,0.51048313,0.60894927,0.45451356,0.51483204,0.027869363,0.85811039,1.4059386,0.22322758,-0.038332221,1.6501753,0.470524,-0.29621947,0.40795563,-0.31213451,0.47730796,0.71843783,-0.073419106,0.71897784,0.45533747,0.33368361,1.2155762,0.64635295,0.71820974,1.0852042,0.83354672,0.45137505,0.87397061,0.58145235,0.52135168,0.99156763,0.30849796,0.46609813,0.42922878,0.38162046,0.037088204,0.72165754,0.88457172,0.76794172,0.20237518,1.2500758,0.080725754,-0.23055154
