# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-02 14:56:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpaSY9Le/standata-16784a6efc391d.json
# init = /tmp/RtmpaSY9Le/init-16784a78f93600_4.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604021656-4-7e88bc.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604021656-4-2c0d3a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.125398
# Diagonal elements of inverse mass matrix:
# 0.0282578, 0.000595116, 5.52602e-05, 0.039882, 0.0580057, 0.00930298, 0.0736794, 1.16353, 1.10636, 0.763683, 0.849519, 1.0898, 0.802945, 0.796628, 0.790455, 0.650972, 0.902653, 0.793446, 0.906406, 0.923623, 0.838541, 0.991222, 0.790851, 0.875047, 0.753269, 0.931674, 0.802071, 0.872089, 0.945446, 0.74051, 0.721819, 1.17906, 0.815421, 0.756773, 0.890437, 0.741931, 0.78241, 0.935899
-56.337307,0.99162954,0.12539789,5,31,0,82.619002,0.25534303,-0.047579139,0.020954437,-0.30365055,0.082111753,0.35481717,0.32893579,0.22698152,0.34118243,0.10362752,-1.3241786,0.30291382,-0.8400688,-0.45001113,-1.6208969,0.9206674,1.6713791,0.029022517,0.25408905,-1.1473255,0.84926692,-0.7444114,2.1945442,-0.44172545,0.95505739,0.60655445,-0.82294382,-0.033904671,1.2085706,1.5819215,0.48239237,0.10882879,1.2799487,-0.91773223,-0.2186831,-0.73498558,-0.37310155,0.97274235,0.077442105,0.047760936,-0.2697741,0.021877002,-0.19637438,-0.12028358,-0.39238797,0.12066198,0.32415812,0.12107217,0.15546983,0.0021756422,0.23127123,0.090264995,0.47267236,0.054755322,0.29524201,0.32362393,-0.18456145,-0.072161243,0.097002406,0.3283257,0.18554701,0.024702124,0.29090026,-0.023070533,-0.049637021,-0.17109152,-0.16030078,-0.042746729,0.18720156,0.46699576,0.26935995,-0.023571799,0.335701,-0.095017262,-0.18352177,0.012361779,0.25062149,0.74642248,0.67903592,0.53146981,0.51371995,0.43052125,-0.071967331,0.49256858,0.27540021,0.69961381,0.60981157,0.079786759,0.48940427,0.30967899,0.34657004,-0.21536297,0.205066,0.863214,0.14357576,0.033918615,0.87644286,-0.13797157,0.19016763,0.59412512,0.20642904,0.18921246,0.36512334,0.082355682,0.050093909,0.023664578,0.48200354,0.88040995,0.34962986,0.42710877,0.71560872,0.59981781,0.58713349,0.79881129,0.53870022,0.38035604,0.70974871,-0.033979212,0.66009351,0.48375453,0.4210409,0.18577642,0.40629638,1.0682073,0.48419764,0.20815024,0.65048911,-0.085706686,-0.20160178
-50.778155,0.99988451,0.12539789,5,31,0,67.320031,0.51568634,-0.05295138,0.010801534,-0.069299627,0.066281701,0.60933937,0.31082756,0.21695193,-1.5126419,-0.27997329,0.55083872,-1.1850149,1.1678832,-0.13647113,0.16367273,0.4765582,-0.72177278,-0.30409508,0.32849904,0.6329302,0.1066845,0.65689069,-0.8260469,1.7656079,-1.1691971,-0.90135861,0.13979421,-0.16248604,-1.016569,-1.4445989,0.094154468,1.0304957,-0.079487008,0.14075023,0.2680219,0.40683081,0.17261203,-0.86614119,-0.32817058,-0.16563956,0.034950654,-0.29449246,0.10507823,-0.074744663,-0.02365939,0.05574455,-0.15455001,-0.12315233,-0.028548034,0.028898583,-0.025955353,0.04740774,-0.20899776,0.25353652,-0.18628045,-0.2461368,0.0046336281,-0.04586667,-0.17254647,-0.33581843,-0.10747055,0.22356803,0.016976439,0.046326584,0.058147867,0.093840281,0.081675356,-0.013438665,0.97880197,0.75553683,-0.079383451,0.87827518,0.97865374,0.9982088,0.38794265,0.45544581,0.69113938,0.27424598,-0.0078706695,0.82323817,0.77722405,0.5392861,0.72768568,1.1053026,0.22945492,-0.034758354,0.22646542,-0.16562324,0.68960101,0.36043158,0.61119714,-0.054932728,0.36726716,1.0553783,0.59631657,0.22212399,1.2966196,0.60722216,0.5839327,0.17854858,0.31142846,0.64594414,0.60698803,0.76584023,0.55923464,0.40856004,0.72081351,0.62771784,0.51298188,0.73736089,0.99855056,0.89116318,0.6196438,0.61084918,0.91734422,0.096258245,0.17787709,0.15399057,0.67566337,0.47072659,0.31188085,0.28090153,0.65499514,0.83200563,0.71105323,0.57041333,1.0711808,0.32746849,0.34811331
-57.256099,0.96568063,0.12539789,5,31,0,75.877677,0.66351168,-0.10831464,0.024603323,-0.74440694,-0.46707453,0.46989604,0.27703627,0.21584047,-0.60892865,-0.29514758,-2.3503399,-0.6329123,-1.6753205,0.44994081,-0.31312058,0.017225332,0.31682933,1.5995097,1.6933278,-0.71593001,-0.53310007,-0.56540952,0.26125921,-0.79553634,1.290758,0.84179356,-1.950272,0.8619292,-0.59143916,-0.66105737,-0.24466417,0.69896435,0.92581496,-0.064413841,-0.67480248,0.75528256,0.68043385,1.7581385,-0.13143144,-0.10351032,-0.52749476,-0.27040331,-0.50697515,-0.0067009153,-0.13242943,-0.082853358,-0.027377851,0.22582392,0.34608496,0.18011694,0.0608425,0.020522744,0.016551118,-0.17156629,0.16540503,0.21306031,-0.45607611,-0.011513682,-0.13296376,-0.23121764,-0.1894299,0.15086479,0.22045836,0.11121941,-0.14564968,0.14695969,0.19243223,0.35284657,1.7186229,0.92743366,0.30864232,-0.11479203,0.1635703,0.2941741,0.2359411,0.082930597,0.94147314,1.5059368,-0.11752637,0.54963613,0.87896706,0.7164949,0.24144098,0.92440287,0.6751647,-0.18172647,1.3285194,-0.30077843,0.74734078,0.087342469,0.12654701,0.14153847,0.45539546,0.78812477,0.6668665,-0.0688042,1.1603772,0.17606895,0.32492089,0.7895762,0.13412726,0.024226012,0.44654903,0.096384411,0.17811421,0.020987095,0.54687412,1.0659282,0.4275883,0.73805632,1.0465446,0.81229147,0.4503171,0.57905933,0.48317205,0.02769767,0.95234901,-0.27610338,0.74624312,0.46221216,-0.0384037,-0.150782,0.29513581,1.2196432,0.772854,0.17903554,1.051689,-0.015423457,0.30653353
-50.333743,0.99703436,0.12539789,5,31,0,69.439908,0.43969824,-0.046038743,0.018972776,-0.23370011,0.1819033,0.44720587,0.27323391,0.16858315,-1.894511,0.43164919,0.1825965,-0.72994633,1.2376381,-0.11592835,-0.21713733,0.39984575,0.95094835,0.7905102,-0.26281343,0.60541943,1.6441734,1.6119607,0.40659452,-0.0013212977,0.31558118,0.23523485,1.2415182,-0.92448949,0.081837718,0.92537287,0.92201956,1.6382806,-0.69734575,0.4937763,1.5279099,-0.58448519,-0.6137049,0.00021282356,-0.31938263,-0.036709729,-0.029410959,-0.16595703,0.1040128,-0.052371527,-0.073783096,0.026053028,0.12537248,0.14897501,0.043934708,0.11071245,0.28054511,0.36244947,0.083176143,0.036640138,0.081196717,0.091300353,0.20036712,-0.077769445,-0.033230461,0.16410383,0.20278486,0.2761865,-0.074164208,0.046063198,0.25757986,-0.071163541,-0.11185247,-0.096825125,0.24184599,-0.029772592,0.35984216,0.88923747,-0.43316481,0.44628829,0.11718751,0.1686794,0.88065032,0.48469945,1.0553966,0.90300911,0.97152253,0.94403535,0.95431394,0.54767838,0.55332513,-0.10788336,0.72098896,0.34274988,0.81948134,0.068702205,0.1861626,0.71788794,0.58584422,1.1078828,0.50648167,0.9154767,1.1768404,-0.20365273,-0.27352697,0.15395978,0.16075429,0.43779654,0.40142822,0.42286474,0.33992207,0.41115302,0.4157191,0.8296247,0.59104894,0.60912303,1.0734168,0.87110825,0.93079809,0.62749159,0.53060444,0.19575873,0.44482768,0.32467444,0.70661542,0.37581049,0.49167551,0.25606249,0.73168968,0.68541895,0.55998917,0.54313449,0.98445778,-0.0100763,-0.18184251
-59.888768,0.96241955,0.12539789,5,31,0,73.154215,0.47740747,-0.046868012,0.0088222952,-0.028332252,0.39211058,0.49406964,0.26877868,0.14412404,0.60032716,-1.6151361,-2.4713362,-0.07709367,0.164786,-1.0741418,0.78468414,0.03884098,1.4246992,0.69545322,-0.57903871,1.4404963,-1.8154686,-1.0278361,-0.42897539,2.2373699,0.055462316,2.4481179,-0.3819681,-0.40238056,0.3055382,-0.48504594,-2.057604,0.28973612,1.5713682,0.37118867,-0.25638954,1.1426132,0.24829905,1.1962867,0.086521578,-0.19118489,-0.35861057,-0.098490865,-0.070265972,-0.19425798,0.0086185616,-0.046979978,0.13242316,0.10437216,-0.013886282,0.1188455,-0.13888328,-0.15719813,-0.079345639,0.25055442,0.066729176,0.27179066,-0.070426622,-0.087980068,-0.047836348,-0.096328212,-0.32409827,0.041757942,0.23018883,0.16767383,-0.036951897,0.15993228,0.10818558,0.18584357,0.76241962,0.11525049,0.073552761,0.34896768,0.66223091,0.38106998,0.0049300406,0.27313352,0.22493733,0.70560188,0.2533684,1.1097076,0.7469028,0.76905248,1.3147454,0.93778336,0.37994757,0.15242435,0.81945509,0.35423885,0.73882228,0.72047459,0.41805561,0.40717602,0.70406018,0.86817095,0.42927866,0.16542264,1.5291316,0.090059159,-0.52086128,0.38162829,0.11658937,0.055890278,0.60516477,0.40305159,0.26819882,0.57491969,0.42498168,0.69238811,0.56504482,0.88423853,1.1803254,0.5778755,0.53598687,0.54836351,0.71327847,0.19567813,0.49738525,-0.088673065,0.73070248,0.40188026,0.38417868,-0.089661976,0.60957266,0.81642502,0.62973466,0.29754634,1.2215728,0.20313393,0.40540054
-64.476378,0.91294499,0.12539789,5,31,0,90.839298,0.60009867,-0.060107255,0.025035262,-0.48999127,-0.22338057,0.46216271,0.30604244,0.1114331,-2.6098247,-0.15661219,0.65132073,-1.0322565,2.8271227,0.39226523,-1.176616,1.0296275,2.1979869,-1.046447,-0.15877819,1.7666564,1.1377477,0.296364,0.55005801,0.35417962,0.14316789,-1.5149426,-0.44161219,0.89498077,0.3641058,-0.64110478,-0.56347541,0.51123995,-2.013549,1.1965895,1.007646,0.17912593,-0.66792146,-2.3952362,-0.29082085,-0.11244982,0.0040817527,-0.15615405,0.20455437,0.015100171,-0.1336675,0.076003414,0.22124034,-0.011257042,0.027534483,0.13939041,0.1543175,0.14118642,0.075672841,0.069384503,0.059039249,-0.046432898,-0.054572648,0.069831224,0.071582147,-0.071196085,-0.08092986,0.056969051,-0.21309396,0.0045064121,0.11228511,0.031549789,-0.043186199,-0.15988248,0.39312796,0.49005279,-0.020921834,0.2207279,0.20825017,0.22162377,0.75615185,-0.3661758,0.32099627,1.95652,0.21019545,0.59069665,1.1517613,0.95350115,0.20829754,1.1656455,1.0806023,0.21701275,0.39306829,0.27938047,0.92929997,0.36725459,0.38760769,-0.70514064,0.33005974,0.5808701,0.21819558,1.201862,0.6373663,0.42176719,-0.52873178,0.42228497,0.05347932,0.52641915,0.5190391,0.52790597,0.4632859,0.13238103,0.49366205,1.2618549,0.50324482,0.41883564,1.0557706,0.86003602,0.51507749,0.72207045,0.62612546,0.11911629,0.50892082,0.20178084,0.72815796,0.51559538,0.29037171,-0.10510109,0.28379618,0.69414067,0.5878385,0.39481231,1.0716236,0.00072747925,-0.36778635
