# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-03 18:10:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmp93m80m/standata-9fc27f0fdd47.json
# init = /tmp/Rtmp93m80m/init-9fc22d9d3e1e_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604032010-1-72423c.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604032010-1-6777ba.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.134567
# Diagonal elements of inverse mass matrix:
# 0.0193029, 0.000610217, 4.01345e-05, 0.0223457, 0.0262937, 0.0221286, 0.0138249, 0.0245647, 0.0133176, 0.0028494, 0.0555644, 1.12819, 0.963746, 0.963715, 0.999648, 0.848212, 0.846896, 0.857648, 0.95096, 0.899447, 1.22093, 0.841848, 1.00114, 0.97688, 1.03278, 0.898309, 0.98369, 0.815895, 0.876944, 0.983327, 0.918083, 0.90187, 0.986351, 0.923587, 0.927759, 1.00738, 1.0929, 0.900958, 0.988534, 0.812967, 0.999837, 0.952799
-57.654761,0.96478803,0.1345671,5,31,0,75.718882,0.16384968,0.019197593,0.011065545,-0.26624308,-0.0083488428,0.41178777,0.36426475,-0.11396428,0.1527164,0.42858165,0.26625575,0.12345441,0.21942622,-1.3366705,-0.99314959,-0.63564365,-1.2669881,0.069587514,-0.26459548,0.12298648,0.34628577,0.4812841,-0.42331856,0.0078525145,-2.0724058,-0.38281973,0.78794363,-0.82712605,1.3805173,1.3876446,0.45379987,-1.3529632,-0.70011528,1.198055,0.60571754,0.50936846,-0.98478061,-1.3953904,-0.35455374,0.50027176,0.67440068,0.68763483,0.027089134,-0.14683288,-0.13633522,-0.11673432,-0.20603437,-0.028763901,-0.064711517,-0.022472717,0.0046310877,0.031573427,-0.038631726,-0.026249659,-0.20079378,-0.16435138,0.055727559,-0.097246799,0.10709522,0.1716887,0.039113007,-0.15067654,-0.16501295,0.1168282,0.084183196,0.06288378,-0.11059061,-0.20028562,-0.043771222,0.0568646,0.097943175,0.12651847,-0.99461379,0.28145128,0.05074703,0.11545334,-0.94700417,0.078902561,0.39820847,-0.34654249,0.1659389,0.67454908,0.24962606,1.0113628,1.4941795,0.24011053,0.087618207,0.28956685,0.46570713,0.32379478,0.71141399,0.37991368,0.48220375,-0.36335575,0.5196462,-0.34207879,0.92972075,0.20240754,0.45391598,0.16657433,0.87547742,-0.096194449,-0.40217592,0.2074005,-0.0027276976,0.19892159,-0.12497109,0.26208558,0.51413693,-0.03058106,0.39624093,0.80011911,0.28433652,0.83948577,1.1225786,0.25082141,0.23731828,0.55501229,0.63943872,0.24501381,1.1218813,0.2890599,0.62952476,0.17642236,0.32335324,-0.16993902,0.98112545,0.36922476,0.56603004,0.11102175,1.3377403,0.12643083,-0.33641205
-55.246411,1,0.1345671,5,31,0,79.05357,0.21839972,-0.036424844,0.014412352,-0.29084035,-0.15303632,0.3698983,0.073848698,-0.03228431,0.22439972,0.50296418,0.29149207,0.033920105,-1.5142475,0.89223777,0.74214521,0.34791976,0.8574546,0.018630252,0.81214751,-0.76178115,-0.065057653,-1.1383364,-0.079163714,0.98010375,2.1006718,0.37254336,0.013455316,1.3133454,-1.1460058,-1.2881763,-0.22999157,1.6080241,1.311497,-1.3631956,-1.0890268,-0.3993297,0.73945329,0.4597412,0.5124589,-0.45420059,-1.1751587,-0.4675995,-0.051363435,0.011618418,0.01747747,0.0099485771,0.028347186,0.00093616634,0.025810905,-0.021100773,-0.0061836281,-0.037169536,-0.019474192,-0.0010110285,0.039008201,0.028685002,-0.0017497708,0.037852116,-0.021308146,-0.038903107,-0.0074953487,0.048090809,0.06270417,-0.038619716,-0.041038329,-0.013545306,0.022729034,0.024365401,0.01738266,-0.013511774,-0.04028999,-0.042080068,0.27090764,0.2294241,0.20939087,0.52014494,0.90507516,0.89496034,0.28356471,-0.02141228,0.42804676,0.41103313,0.29980646,1.4774791,0.80146694,0.66480483,0.44735881,0.43197271,1.2395916,0.68350246,1.1287342,0.028740585,0.85609316,0.39866386,0.26553992,0.52667945,0.86831377,1.0543901,1.5023195,0.74324441,1.3169746,0.37939691,-0.67060204,0.36260013,0.18000773,0.38970604,0.26708438,0.85718363,0.18980103,0.12270108,0.6351731,0.53483952,0.11423928,0.69214493,1.0113487,0.87589706,0.3000963,0.50010535,0.99446076,0.22665551,0.91912024,0.13271327,0.82265281,0.61869878,0.25437755,0.13573002,0.73000036,0.81121231,0.9955703,0.51564168,1.0669754,-0.028038918,-0.1596612
-57.335584,0.97703816,0.1345671,5,31,0,82.422064,0.32906987,0.012498826,0.00058393932,-0.22718247,-0.1077611,0.23331832,0.013943752,0.25106001,0.18957462,0.56312522,0.20639765,0.038811785,0.52070494,0.49279067,1.23755,0.11052534,-0.77650681,-0.0044184246,-0.22993198,-2.1441364,-1.6991235,-0.5639104,0.62310966,-0.59171579,0.72988623,0.02302858,0.23819771,1.7950176,0.43179995,0.57715292,-0.96879139,-0.34936002,1.2683778,0.089309431,-1.1561177,-0.94559966,1.2767569,1.6359071,0.52425272,0.52498997,-0.67855126,-0.26214205,0.020209488,0.024724019,0.053535189,0.020816212,-0.0091354177,0.0077851115,-0.00019758991,-0.073447434,-0.078766911,-0.060290691,-0.02712187,-0.045779546,-0.020003229,-0.026143817,-0.01068556,0.046633729,0.019691462,0.028978987,-0.036431543,-0.024995088,0.0081633299,-0.0015485438,-0.04552965,-0.036700411,0.043391408,0.07449078,0.020347184,0.02238469,-0.010696958,-0.011649912,-0.028600982,0.64989117,0.042226374,0.27134738,0.29766709,0.5435668,0.69792606,0.14995692,0.49106682,0.62970015,0.36766455,0.89916089,1.1079798,0.97955318,0.40867361,1.0967909,0.75404221,0.34352614,1.2972276,0.31398924,0.55184779,-0.035079671,0.83941514,0.46152764,0.8541086,0.28832848,0.97764388,0.44450124,1.2983292,-0.044791449,-0.10710418,0.3129898,0.069838282,0.11717436,0.40573476,0.65403775,0.48859074,0.45344432,0.42106948,0.61370995,0.42173039,1.1695808,1.174903,1.0383106,0.14479754,0.86374829,0.76549225,0.31455611,1.0135102,0.3281675,0.62328687,0.2255556,0.62658088,0.42527659,0.8445645,0.53710676,0.79939953,0.54638932,1.2694546,0.10953376,-0.012750436
-49.114162,0.99722696,0.1345671,5,31,0,75.114821,0.27891652,0.002396808,0.0090060564,-0.17765748,-0.15164302,0.26070165,0.42076265,0.0090823189,0.17956918,0.43539996,0.1590584,0.11782801,-0.52635891,-0.81207707,-1.6634215,-0.54705415,0.72601185,-0.38619877,0.63707554,2.1887713,1.7853507,0.81699223,-0.78539563,0.58606601,-0.28001864,0.33005211,-0.57095658,-1.3821467,-0.18232996,-0.38969096,0.63633022,0.3501074,-0.96983781,0.06719998,0.59046808,1.3881011,-0.94537065,-1.3670742,-0.20793692,0.1258294,0.7081343,-0.0030169338,-0.062019825,-0.11079224,-0.21655221,-0.12757919,-0.0078931721,-0.080954006,0.016769324,0.21456102,0.23587444,0.19942031,0.069092482,0.12972268,0.095601523,0.12431069,-0.011118934,-0.11545801,-0.037473134,-0.059100392,0.066136205,0.056935016,-0.02232156,0.012158002,0.071180757,0.1635572,-0.085205324,-0.17232762,-0.024500794,0.012193061,0.076970826,0.064625735,-0.58908705,0.25823339,0.20031481,0.10234926,-0.11559218,0.29367584,0.3743798,-0.2227341,0.64093707,0.92435343,0.36614179,0.77234876,1.1445275,0.61580823,0.5558462,0.68449333,0.61861896,0.075427564,0.75724949,0.34422059,0.61158207,0.14798382,0.46265156,0.18324377,0.96738302,0.48199476,0.66748449,-0.24261114,1.1200883,0.13977579,-0.23698843,0.0064253246,0.12300357,0.16310124,-0.022003082,0.62896109,0.5144629,-0.098448756,0.73811601,1.0148684,0.42145192,0.90266778,1.1724602,0.65931792,0.37645526,0.75504131,0.69216804,0.049389271,0.83572926,0.11277719,0.6575607,0.44998514,0.28980056,0.010415318,0.88092353,0.58780386,0.6542468,0.11369304,1.1400374,0.004917275,-0.29751697
-56.32841,0.91988577,0.1345671,5,31,0,79.556029,0.47642503,-0.028086665,0.0094415862,-0.40911342,-0.24611021,0.29455394,0.12073043,0.10011789,0.275198,0.57419912,0.2795569,0.09562493,0.39562753,0.86269351,0.044656291,-0.81622096,-1.996188,-0.82193165,-0.40623913,-2.1173534,-1.4573014,-0.14761053,-0.078033289,-1.0769983,1.188434,0.70915495,-0.67602506,1.9186832,0.8190892,0.22540937,-1.4091118,-1.2100298,0.66479478,0.3375719,-0.73894589,-0.61929851,1.634813,2.3083574,1.0547793,-0.17582759,-0.50265221,0.010464905,0.037831855,0.090358376,0.024328335,-0.053877111,-0.17414585,-0.078785921,-0.063876287,-0.21358509,-0.20903812,-0.14211849,-0.131833,-0.18810135,-0.055170656,-0.044501712,-0.13743331,0.073761831,0.032256862,0.028703786,-0.14753549,-0.16774131,-0.10246008,-0.013698912,-0.10342556,-0.059220377,0.14549672,0.25972769,0.1008632,-0.0062140949,-0.039626129,-0.0321089,0.38627201,0.33426512,-0.071509988,0.11060598,0.25233836,0.95616619,0.15534593,-0.36216243,-0.09329198,1.1497222,-0.20453762,1.5407021,1.0022436,1.148977,0.28389972,0.78050654,0.63251982,0.30809306,1.4282889,0.18486542,0.87696694,0.24548064,0.82448178,0.30783004,1.043521,0.59753616,1.0068329,0.63468289,1.1604232,-0.57401869,-0.16345912,0.42241716,0.17789362,0.24229597,0.3446511,0.66584607,0.32085695,0.081481907,0.37947872,0.64532795,0.15649794,1.005941,1.1431233,1.0252344,0.18088837,0.73240184,0.98218881,0.20448649,1.1414595,0.032647655,0.56491943,0.37441763,0.51799134,0.16566334,0.76506333,0.89155196,1.1760665,0.50328258,1.3624986,-0.15466082,-0.19710827
-49.157446,0.97873484,0.1345671,5,31,0,76.214285,0.51139898,-0.027464991,0.016072148,-0.21113665,-0.026429496,0.1996107,0.24613699,-0.0011086455,0.36981164,0.58886901,0.23230766,0.073944576,-0.12172131,-0.20272433,-1.0295988,-1.4662549,-0.75246242,1.1548165,-0.36377175,-1.119641,0.89460531,-0.089952749,0.44017544,0.60821908,0.92534547,-0.38319649,-1.0242228,0.07746701,0.24536791,-0.07470592,-0.98100464,-0.14530299,-1.6962653,-2.1711339,-0.27936146,0.033549933,0.94377879,-1.5433871,0.16631158,-0.47683844,0.77225133,0.56035468,-0.0090006305,-0.01712089,-0.077611935,-0.1223193,-0.10052657,0.062888455,-0.016991299,-0.087471621,0.025538888,-0.015673694,0.014223697,0.031197201,0.0548013,0.022415102,-0.080342752,-0.024760808,-0.012479014,-0.018758753,-0.081150186,-0.044091646,-0.11836873,-0.18282179,-0.095200023,0.0024808356,0.069352107,-0.06023308,0.012297839,-0.033786563,0.033292472,0.044680833,-0.25441315,-0.11207268,0.26890977,0.24323629,-0.022722318,0.79747492,0.3807189,-0.32523297,0.57368995,0.75644238,0.16821428,0.92624645,1.2660394,0.85081465,0.013332106,1.2720356,1.3381803,0.030495406,0.70066721,-0.13821591,0.35384416,0.51509104,0.76293133,-0.15804608,0.7306897,1.5122874,0.74162691,-0.10719859,1.6613329,0.32035639,-0.053655334,0.19318623,0.15687472,0.33336174,0.28006566,0.69518342,0.63547946,0.032288585,0.41394769,0.86070635,0.36424591,1.0762021,1.4396539,1.0440807,0.3496866,0.9468881,0.96098126,0.27851831,0.90263308,-0.1061994,0.65334435,0.5849333,0.4368036,0.082069483,0.83550036,1.0804935,0.94692477,0.21973228,1.4728842,-0.043641995,-0.28629868
