# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-03 18:10:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/Rtmp93m80m/standata-9fc27f0fdd47.json
# init = /tmp/Rtmp93m80m/init-9fc22d9d3e1e_4.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604032010-4-72423c.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604032010-4-6777ba.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.102343
# Diagonal elements of inverse mass matrix:
# 0.0153858, 0.000436098, 3.50487e-05, 0.0220134, 0.0256465, 0.0191408, 0.0113099, 0.0248034, 0.0118602, 0.00315632, 0.0686028, 1.10551, 0.982406, 0.882167, 0.912294, 0.83571, 0.834755, 0.805842, 0.989603, 0.77816, 0.960072, 0.921877, 0.805544, 0.977704, 0.934798, 0.815104, 0.897637, 0.879738, 0.838463, 1.03405, 0.879964, 0.831502, 0.838379, 0.91406, 1.02474, 0.855573, 1.00276, 0.851039, 0.883377, 0.716454, 0.801902, 0.950859
-53.651426,0.99835887,0.10234342,5,31,0,70.461114,0.19701689,0.001937977,0.0063686548,-0.030609099,-0.066550211,0.33656196,0.28251293,-0.076931032,0.25922947,0.59826013,0.16717922,0.081937559,-0.47138488,-1.643348,-1.6659,0.27851655,-1.0911642,-0.046275881,-0.2951968,0.92713219,1.399878,1.0581677,0.36999059,0.069434266,-0.46324607,0.98362418,-2.2342973,0.49413641,-0.1510675,3.0508837,-0.13403252,-1.7139874,0.55434469,-1.923796,0.48153818,-0.93134073,-0.82252846,0.97304226,0.31164675,-2.1725733,-0.12089463,0.75087199,-0.038624127,-0.13985467,-0.15967455,-0.033144962,-0.1294528,-0.037951639,-0.0581169,0.03744337,0.090182411,0.099825195,0.078227489,0.075270555,0.034879885,0.088230555,-0.16414328,-0.0079037689,-0.041786868,0.11045004,-0.025306843,-0.14765903,-0.087628368,-0.18130084,-0.040357733,-0.076311785,-0.078223503,0.022653229,0.025535573,-0.17438639,-0.093517582,-0.063082772,-0.27485403,0.026348897,0.29421477,0.074336809,0.30679387,0.56678181,0.57183239,-0.12750632,0.48574887,1.1061262,0.65972108,0.97240552,0.99497013,1.1357473,0.68188192,0.94628254,1.0889794,0.65029274,1.066209,0.22218478,0.5733237,0.57150965,0.2208187,0.32212174,0.83407651,0.4351453,0.94494485,0.6287375,1.0782278,0.18103494,0.089774758,0.15698648,0.2520968,0.33559907,0.28341501,0.74758009,0.61149548,-0.034654961,0.70243704,0.77411168,0.50050043,1.041628,1.1867858,0.8764919,0.43895603,0.65403568,0.99076933,0.3948766,1.076641,0.156327,0.51810917,0.60481748,0.39024882,0.20727757,0.80519156,0.6730488,1.0348207,0.43390075,0.99772331,0.098789243,-0.077932089
-50.297058,0.93286995,0.10234342,5,31,0,86.246796,0.19812533,0.019727989,0.0094737456,-0.07564519,0.16011,0.29015521,0.19950472,0.015580889,0.21107342,0.56540823,0.15120079,0.080948193,-1.4999424,-0.55067112,-0.1297542,-0.87220203,-0.33811411,0.19827169,-1.7306562,0.4798574,-0.15775035,-0.65299431,0.4186874,-1.328654,-0.65177993,1.4253476,-0.66268099,1.6263101,-1.1516155,1.0541071,-2.5412165,-1.2546814,0.79742968,1.4483889,-0.1055681,0.460537,0.50365669,1.3898855,0.3574636,-1.0010522,0.24534424,0.51798864,-0.12141763,-0.082148332,-0.043080762,-0.10014058,-0.078089999,-0.013203372,-0.15242518,-0.0035860769,-0.042104805,-0.078570992,-0.022596826,-0.089575853,-0.090900049,-0.013930955,-0.090990361,0.064417295,-0.091555916,-0.019445612,-0.22265808,-0.18400841,-0.12148404,0.054006148,-0.036788159,0.037279638,0.045968163,0.12116354,0.028936033,-0.077577871,-0.019741355,-0.0027800454,-0.89062404,0.18198854,0.11199971,0.61028147,0.54433605,0.40145655,0.48717704,0.082644764,0.52680811,0.28644965,0.57306737,1.1700563,1.3117905,0.76507873,0.43066685,0.99571233,0.66088936,0.4593792,0.92006249,0.19402794,0.43261872,0.44305943,0.48739163,-0.022396203,0.77133893,0.72181676,1.1755895,0.47149271,1.2037605,0.21529985,-0.29381413,0.068210736,0.10858339,0.31372344,0.13671552,0.50702054,0.60380814,0.19785447,0.46333276,0.63462121,0.40562321,1.0108886,1.1784566,0.67043739,0.4141146,0.66992908,0.89135803,0.30470237,0.84982007,0.046119797,0.61563355,0.31288478,0.56949033,0.11965205,1.0480937,0.71538612,0.97475801,0.393774,1.3090726,0.20612983,-0.22497844
-44.342669,0.99963742,0.10234342,5,31,0,66.643903,0.27915977,-0.028405854,0.012879263,-0.28464532,-0.086062571,0.28765235,0.072113088,0.018822899,0.24396953,0.56412456,0.20311377,0.11655384,-2.3332289,0.67687044,-0.60054937,0.34061013,-0.21429551,1.168485,-1.5390071,-0.43714718,1.83412,1.7410836,0.90240576,-0.090821248,0.90831495,0.77733164,-0.56762982,-0.87620404,-0.64681148,0.32586751,0.1733012,-0.43543264,0.22904603,-1.2846523,-0.010824903,-0.24508226,0.17574355,0.81451663,-0.16622159,-0.67150693,-0.69492346,-0.70494176,-0.27194679,-0.015275078,-0.1154387,-0.022224883,-0.071624471,0.096701023,-0.15596931,-0.081304615,0.143251,0.196383,0.17559649,0.14741036,0.19803496,0.22140473,-0.044865956,-0.093534774,-0.096601757,-0.055799872,0.0065392586,-0.052619297,-0.024641066,-0.15904843,-0.060018112,-0.028565279,0.015898245,0.087163747,-0.019373765,-0.079859179,-0.11049628,-0.13817367,0.2049404,0.066002778,-0.03495153,0.53979292,0.60342004,0.60179523,0.28942134,0.4126772,0.15754617,0.82550409,0.23110216,1.0991213,1.5214664,1.1159337,0.50954876,0.58792233,0.84959969,-0.0083844552,0.9029366,0.32001297,1.0557741,0.56246176,0.46454908,0.28667761,0.90429026,0.62843867,0.89316295,0.45227964,1.0646025,-0.12367284,0.094137035,0.15442312,0.163154,0.24819111,0.32137162,0.72745327,0.41141774,0.092214685,0.52570741,0.79207153,0.47556645,1.0602627,1.3043244,1.1075501,0.56965202,0.62526742,0.83470257,0.21309104,0.91333672,0.21286257,0.7459551,0.53651184,0.27820672,0.21191588,0.80167436,0.83679292,1.0300636,0.45480778,1.1449423,-0.050315697,-0.22843695
-51.232339,0.95632616,0.10234342,5,31,0,71.066287,0.34988581,-0.027698821,0.0069354243,-0.52550815,-0.35436342,0.33334103,0.30262984,0.040045207,0.097827093,0.58708282,0.19812048,0.097015559,-1.6998024,-2.0268225,-2.9356602,-1.3022447,0.45489398,0.74898662,0.44851224,-0.71701348,-0.11135587,-0.48613984,0.29549449,0.07012734,-0.33612733,-0.52546638,0.21936204,0.15984526,0.64806208,-1.3759202,-0.93629787,-1.2228069,-1.4717269,1.187638,-0.52018141,1.733298,-0.045450263,-0.94095333,-0.40424246,0.90824394,0.070489778,-0.43555334,-0.16490728,-0.24003912,-0.33933147,-0.23961813,-0.11651032,-0.0046549041,-0.012396756,-0.11984946,-0.086889059,-0.11858554,-0.066511017,-0.070595819,-0.10123458,-0.12089909,-0.05340237,-0.048947278,-0.0043192251,-0.095398318,-0.12662162,-0.1762065,-0.23635095,0.044329679,-0.084198605,0.16815688,0.021230492,-0.057430615,-0.039217809,0.083548614,0.045272335,0.024264389,0.68722675,0.30566869,-0.10672856,-0.22560068,0.040415335,0.83232665,0.55482329,-0.14977734,0.95042995,0.78249624,0.21054486,1.3303834,0.73650478,0.88669467,0.31311765,0.62778893,0.81470026,0.24463003,1.0835066,-0.13664763,1.0130223,0.14445173,0.18494451,0.2247388,1.3181041,0.55376754,0.82937294,0.40801306,1.648905,0.16260937,-0.15118743,0.36147848,0.07392722,0.065253578,0.075144047,0.75961891,0.48051837,0.11960239,0.66970171,0.96639655,0.071510886,1.0269813,1.1590328,0.69420632,0.34178666,0.66558526,0.85190788,0.014652605,1.1551418,0.20768768,0.7495274,0.27138025,0.32159591,0.0096173704,1.0296841,0.68584056,0.84647554,0.37162759,1.3287655,-0.050234197,-0.049243328
-53.370905,0.98474975,0.10234342,5,63,0,76.037085,0.4269618,-0.036494565,0.016248914,-0.3184569,-0.44237397,0.18792544,0.23070285,-0.049526103,0.2944499,0.57132464,0.14810154,0.11476266,-1.36549,-2.5159831,-1.7828204,-0.90662223,1.2076148,0.26726699,0.44288347,-1.1984228,0.72880206,0.24194508,0.83091276,1.0042155,0.54126065,-0.3269694,0.38709365,-0.60468968,-0.84541603,0.36863533,-1.4852478,0.32365099,-1.3275203,0.55529032,-1.3813023,1.2304363,-1.0160846,0.21399661,0.083392556,1.4097553,0.1857448,0.011531705,-0.15670726,-0.32428024,-0.27348646,-0.2128029,-0.019201067,-0.039028554,-0.012957673,-0.18491901,-0.022646979,-0.0432083,0.023100764,0.063558036,0.038730604,0.0028878032,-0.015633923,-0.10322072,-0.1434458,-0.094086699,-0.20272425,-0.056991558,-0.15893492,-0.00058683297,-0.19356868,0.14120813,-0.09376286,-0.020851242,0.0095703513,0.16190393,0.098960251,0.096900556,0.19218955,0.21246253,0.2421296,0.19443777,0.28976778,0.91060722,0.65867631,-0.2194854,0.097724536,0.81214327,0.15967964,0.93744431,1.066272,1.1614399,-0.049783137,0.88062743,0.8333574,0.25330136,0.82658626,0.009882259,0.32010814,0.65526401,0.49529412,-0.089453879,0.62111009,1.0515014,0.9670627,0.074231132,1.1949395,0.008814419,0.026873315,0.30001337,0.0015772334,0.28554404,0.25521115,0.83089158,0.52815053,-0.18918694,0.43532293,0.92623327,0.33877511,0.67658523,1.0599652,0.95917616,0.1681706,0.9157662,0.90745025,0.19132697,0.9251628,-0.027518462,0.42882492,0.63755325,0.56936003,0.023748904,0.65109778,0.95646747,1.0080619,0.3202091,1.2428497,0.13156655,-0.054843113
-50.205307,0.99340955,0.10234342,5,31,0,71.038234,0.13545556,-0.011945614,0.0072906728,-0.33780408,-0.16852764,0.30438246,0.21935087,-0.14201021,0.30043421,0.5214212,0.20797909,0.20546922,-2.12831,-1.1234559,-1.2425435,0.26090366,-0.24679321,1.6654239,0.40666764,1.9059206,0.71432341,1.1428643,0.9922259,-1.9115591,-0.082163775,0.34141171,-2.0391565,-0.71778532,-0.23176559,-1.9538337,-1.1888935,-0.2424109,-0.081181013,-0.4424752,0.019242588,1.5010336,0.74322461,-0.41922576,0.6576352,-1.3113487,1.209588,-0.45410181,-0.43730219,-0.36222013,-0.37523308,-0.12405192,-0.20675091,0.22724805,0.082426885,0.34244779,0.21968804,0.33321423,0.36699042,0.10995717,0.19731905,0.23874199,-0.30074126,-0.16225409,-0.11467666,-0.33906755,-0.27078455,-0.15878986,-0.15789024,-0.16185523,-0.10151411,0.30841621,0.19786322,0.046471413,0.13512379,-0.25389844,0.096128305,0.014524679,0.20821616,-0.16332314,0.022374531,-0.14080122,0.26193834,0.2062528,0.46323999,0.13743732,1.3487182,1.1034417,0.35951555,1.3825807,0.68346832,0.84117254,0.98491086,0.42166984,0.36271091,-0.046420132,0.51463748,0.092936492,0.55984714,0.65787688,0.022987084,0.15273849,1.1674499,0.81502112,0.63198039,0.17912063,0.70879365,0.077498042,-0.3028296,-0.010375271,-0.083633006,0.011229327,0.054902765,0.55666771,0.59432978,0.14278679,0.84038108,0.94724732,0.50570068,1.243984,1.1445538,0.84746196,0.67263459,0.26184156,0.68922167,0.2447938,0.72708928,0.056107359,0.51484011,0.4926035,0.25057389,0.062159462,1.1782032,0.84702595,0.90786227,0.39379603,0.82611773,0.15658269,-0.044522953
