# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-04 12:47:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpclRvpS/standata-ef07a59d28b.json
# init = /tmp/RtmpclRvpS/init-ef076f9352cc_2.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604041447-2-7eda5b.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604041447-2-30ae2a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.12259
# Diagonal elements of inverse mass matrix:
# 0.0329618, 0.000668836, 6.11599e-05, 0.0434659, 0.0531412, 0.00736582, 0.0539063, 1.11093, 1.00305, 0.658987, 0.886944, 0.940215, 0.984751, 0.787695, 0.799013, 0.827175, 0.825776, 0.825086, 1.00344, 0.820887, 0.634922, 0.842705, 0.723493, 0.921469, 0.812023, 0.980612, 0.901913, 0.733529, 0.839508, 0.831551, 0.867538, 0.982855, 0.795979, 0.772805, 0.675538, 0.73012, 0.655748, 1.2077
-50.689302,0.99179949,0.12258963,5,31,0,70.030616,0.66431983,-0.045142192,0.0061523503,-0.048906049,0.17538907,0.46970691,0.29885258,0.18611704,-1.0267659,-0.95243406,-1.1336817,-1.1513249,-0.30995621,1.2574386,0.16674906,-0.071780414,1.3242519,-0.57126436,-0.461999,-0.31462466,0.36964103,1.0571388,0.24147434,1.0064192,-1.0958335,1.6079533,-0.46034391,0.56193702,-0.68019824,-0.1791866,1.1409382,2.1109236,0.25389378,1.4971961,0.20222374,0.089618248,-0.53564045,-1.7565646,-0.19109864,-0.23039876,-0.27100602,-0.310274,-0.22047797,0.14650399,0.023392501,-0.046697736,0.18294473,-0.040866764,-0.058810529,-0.071137252,0.025719389,0.11777122,0.028882379,0.16731733,-0.11570322,0.1055124,-0.10877697,0.044629093,-0.056977214,-0.063439472,0.15269324,0.39287885,0.10648824,0.31186062,0.037637285,0.020509769,-0.074205491,-0.21596908,0.87028331,0.004830691,-0.090458447,-0.42792999,-0.10907411,0.11664977,1.0862287,0.56592479,0.27869187,0.6947984,0.65746958,0.74113736,1.1667266,0.81877208,0.61519527,0.60659432,0.27903176,0.25949814,0.5810656,0.039273616,0.24908321,0.83294105,-0.02483022,0.55035312,1.017675,0.70432093,0.76075893,0.22023002,1.1018856,-0.10028088,0.14366268,0.071959145,0.042003693,0.066671727,0.54557915,0.22075232,0.75596947,0.3571011,0.376811,0.90559982,0.55515487,0.84824167,0.93931791,0.89184811,0.58307177,0.79986021,0.55613273,-0.036646931,0.31334312,-0.13815341,0.60970027,0.33572529,0.5821721,0.37087383,0.73508056,0.58143654,0.69534705,0.32170918,1.0100139,-0.032587958,0.016021065
-51.709899,0.99417078,0.12258963,5,31,0,69.239315,0.41771471,-0.055484884,0.00649497,-0.22444413,0.096035896,0.50447702,0.2556504,0.15000574,-1.2884603,0.73333747,-0.61498956,0.52247818,0.3558724,0.99507679,-0.68744777,-0.85675384,1.6682037,-0.23072786,0.010911981,-1.5956983,-1.2229736,0.67412521,0.66601889,0.56396454,0.70027777,1.2966853,-0.62953864,0.17769793,1.5776632,-0.70240957,-0.52041836,1.245001,1.7637688,0.59275542,-0.32035935,0.98039296,-0.62435976,-1.2794138,-0.19327645,0.040057336,-0.11524891,0.030241674,0.025965503,0.12832916,-0.062558348,-0.12689594,0.18212872,0.016323957,0.031934319,-0.098384225,-0.13612059,-0.035471089,0.08759291,0.097691206,0.13591511,0.22572199,-0.094032131,-0.0088197704,0.12952701,-0.10639868,-0.10744916,0.1867573,0.28991323,0.23637834,-0.048055741,0.14125788,-0.013547684,-0.0913133,1.329703,0.36066759,0.36422669,0.21894448,0.54618819,0.80656482,0.8744495,0.32309237,0.36881667,1.1759269,0.33515518,0.68711343,0.78632559,1.0370755,0.79139148,1.1660373,0.76195221,0.1568245,0.34404157,0.56803595,1.1897375,0.76097614,0.34282072,-0.3139294,0.96180109,1.1884945,0.89712906,0.038350554,1.1084509,-0.63209761,0.28807322,0.31859054,0.40761269,0.31546571,0.7150474,0.60529732,0.50389463,0.42194416,0.4231853,0.86008317,0.37003058,0.84473773,0.81697292,0.56024803,0.61504076,0.6627424,0.59339374,0.25622334,0.67504347,0.06266783,0.7547188,0.63747602,0.32213019,0.20093013,0.68489969,0.87654534,0.72339703,0.32744087,1.0212611,0.058610124,0.24684312
-51.793321,0.99436618,0.12258963,5,31,0,68.947372,0.69572991,-0.083963528,0.014940285,-0.41678261,-0.030632095,0.46633492,0.25723892,0.20302596,-1.212989,-0.89326722,-1.6249544,-2.2563492,1.0229857,0.32694041,-0.48197752,0.71145964,1.0814569,2.4022241,0.58121305,0.08792779,-1.3274854,0.46477737,0.80926451,1.3012321,-0.895634,-1.0861736,0.57692382,-1.0555894,0.30087034,1.1403193,-1.0139749,0.54576431,1.7541961,-0.54023654,0.66814799,-0.26020722,0.81250254,-1.271653,-0.24626826,-0.25246862,-0.3983935,-0.57763369,-0.086160199,-0.040043965,-0.17380684,0.040254994,0.14047988,0.42883367,0.27490052,0.26061755,0.017003183,0.13343671,0.15459896,0.2821697,-0.028305932,-0.12296035,0.08432111,-0.1874767,-0.10077073,0.19458962,-0.15319909,0.11080432,0.36886089,0.10559085,0.13565139,-0.038409207,0.13041891,-0.017280325,1.4582178,0.46809238,-0.171291,-0.3347094,0.18143133,0.11700811,-0.32464821,0.2390075,0.49859536,1.1509983,0.61555581,1.4384824,1.5916516,0.33624097,0.57870463,1.0889222,1.0686084,-0.43652253,0.50371332,-0.14442973,0.64657204,0.15662776,1.1838649,-0.3362193,0.46090318,1.1426618,0.69968387,0.41164234,1.1695952,0.28273819,-0.38500331,0.31682467,-0.02578953,0.0056489451,0.19785746,0.44054694,0.29815355,0.14635783,0.55847972,1.0185231,0.75951114,1.0481433,1.3066197,0.81510373,0.68437148,0.78970903,0.77433301,-0.12977325,0.31992617,0.08950435,0.58050271,0.37414321,0.57204177,-0.051850834,0.43627485,1.0701882,0.59483647,0.40501764,1.0000978,-0.033689638,0.067788912
-57.736895,0.9741001,0.12258963,5,31,0,70.743393,0.77222833,-0.02844248,0.0053671103,0.039395446,0.068618098,0.73439903,0.26516443,0.37286725,-1.9328478,-0.70229842,-0.74629591,-0.21086398,-0.18765316,-0.48121598,-1.2452055,-0.018617743,0.19377531,-2.0323016,1.1790207,-0.081239576,1.4882666,-0.50019913,-1.5461952,0.86198163,0.79957706,2.5264398,-1.1339888,0.57009188,0.054873924,-1.3884005,0.055535166,1.0266395,-0.16921097,1.58196,-0.36992506,0.33621887,-0.8874361,1.2183905,-0.72069567,-0.48503486,-0.46370797,-0.31664671,-0.32918823,-0.33799245,-0.65050854,-0.24289699,-0.18369346,-0.85157291,-0.10500519,-0.22754093,0.095056367,-0.14127685,-0.79550567,-0.11282368,-0.046779958,0.4562299,-0.53346002,-0.058262432,-0.095561503,-0.65880383,-0.30021946,0.38280027,-0.0041075352,0.51694939,-0.13793294,0.110313,-0.23849055,0.027483489,0.73924803,-0.23103343,0.14023699,-0.14751869,0.96207691,0.52103908,0.91898236,-0.20156226,0.27317836,0.90566652,0.60565336,0.95014073,1.1568223,1.6081193,0.69022074,1.0051559,0.31264343,0.23837387,1.0797701,-0.23719354,0.66512968,-0.033390884,0.44125647,0.31457796,1.0113387,0.82322282,0.68178401,0.3709911,1.6138427,-0.11273725,0.8681488,-0.26415951,0.035672566,0.12197884,0.92682703,0.29192863,0.75918563,-0.19879978,0.3774893,0.91608269,0.24458836,1.0303056,1.0072073,1.3464951,0.38738035,0.40194484,0.50210166,0.36552358,0.87051579,-0.26713915,0.54667328,0.51137782,0.44922274,0.17588956,0.83538802,0.68595734,1.1314986,0.39907138,1.3452773,0.15320563,0.49440461
-56.139637,0.99868799,0.12258963,5,31,0,79.462191,0.36226647,-0.029009521,0.026952358,-0.4972972,-0.39565961,0.60640422,0.35208357,0.24102653,-1.9853787,-0.71683671,-0.61998572,-1.6013652,1.6301801,-0.73618594,-0.71198015,0.33058486,0.23481826,0.71440218,1.2925524,-0.015680689,0.97065583,0.88179894,-0.30262319,1.4692087,-1.7474174,0.23944192,-0.41090594,1.6637898,-1.4241984,-1.5620569,-0.49974922,0.45811157,0.33017865,-0.59111059,-0.65454506,-0.80560582,-0.70458537,0.025302716,-0.47852894,-0.32101947,-0.27363512,-0.51863383,0.092015752,-0.27838031,-0.32291788,-0.071184957,-0.078301605,0.037579033,0.2053851,0.13229551,0.22528666,0.28519955,-0.15308248,0.21639287,-0.34745655,-0.21861122,-0.15612021,0.28304863,-0.019319961,-0.40929216,-0.26890094,0.11041704,0.095457248,-0.064981085,-0.15776273,-0.20955148,-0.25832288,-0.23116051,-0.16597523,-0.0066780568,-0.012710501,-0.25420276,0.14248615,0.78555465,0.64779012,-0.0060386668,0.087992498,1.7807166,0.71319334,0.62653837,1.1995921,1.1620754,0.5833157,0.96558996,0.87379719,0.085466371,0.82907715,0.64118418,0.89789673,0.46677184,0.64993189,0.23941629,-0.054260275,0.88895855,1.1497908,-0.09089146,1.0276277,-0.24796193,0.031025698,0.50619023,0.019846291,0.47715742,0.15552854,0.44937977,0.37543928,0.083840713,0.43578164,1.1371241,0.79775277,0.4329738,0.95530372,0.92905107,0.68452768,0.58153036,0.95405036,0.076148354,0.61562413,0.54867848,0.9534802,0.55984457,0.08376622,-0.12387044,0.45363742,1.2104477,0.71524927,0.32859431,0.80698134,0.18722033,-0.35324005
-52.208127,0.95851593,0.12258963,5,31,0,76.593541,0.61167217,-0.081072763,0.0060519477,-0.28590274,0.13504784,0.44175628,0.29657883,0.19371489,-0.49192604,0.1628237,-0.64717696,0.13983083,-0.93821799,0.37414828,-0.37470363,0.099903638,0.21822105,0.018869309,0.24628922,0.89210271,-0.016757669,-0.90708199,0.027739507,0.43291909,2.0548205,0.90006677,-0.67050162,-2.1494813,0.9220515,1.7156897,0.67399328,1.3499608,0.55336203,1.5414985,1.4882505,1.0713551,-0.74920507,-0.044323371,-0.095293399,-0.0016741542,-0.13720746,-0.015714117,-0.19814851,0.040677252,-0.072928295,-0.0060564777,0.018466832,-0.0013061912,0.035023301,0.11834192,0.032339496,-0.064163573,-0.0059695745,0.066043484,0.35226078,0.36527905,-0.13495241,-0.43773857,-0.2329046,0.25951475,0.15145437,0.26150752,0.14573985,0.34242598,0.28829629,0.23644279,0.0057228072,0.023527665,1.8407307,0.32489219,-0.45880541,0.029565736,0.68540692,0.1092331,0.33638976,0.014563795,0.48532221,0.97535435,0.0012388434,1.0760462,1.9234393,0.63043659,0.82152865,1.0570754,0.85098706,-0.36872518,0.46774625,-0.35110987,-0.11405144,0.44446135,0.77907871,0.24371633,0.98461074,0.4419459,0.65277962,0.56112832,1.3987431,-0.36717199,0.014968724,0.32007518,0.27238513,0.1741254,0.71978373,0.39910505,0.30369321,0.31437087,0.52438899,0.67783778,0.21257881,0.97555025,1.1296363,0.78129436,0.57945639,0.55211054,0.47921123,0.2341057,0.7064496,-0.2247895,0.34008779,0.22222537,0.62742554,0.36311555,0.67905175,0.64363485,0.73602856,0.5533293,1.1651344,-0.18966475,0.31995781
