# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-04 12:52:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/Rtmp4g3j43/standata-f1f52b5c7dab.json
# init = /tmp/Rtmp4g3j43/init-f1f519de953_3.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604041452-3-1ff399.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604041452-3-06213a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.0811535
# Diagonal elements of inverse mass matrix:
# 0.0340012, 0.000660613, 7.21489e-05, 0.0412331, 0.0518526, 0.00584068, 0.0465396, 1.16706, 0.950806, 0.806826, 0.915904, 0.975668, 0.763001, 0.781077, 0.923773, 0.801634, 0.723421, 0.851487, 0.977497, 1.03925, 0.951021, 0.965231, 0.725611, 0.960852, 0.859979, 1.12411, 0.809222, 0.834291, 1.04341, 0.770267, 0.975739, 0.910272, 0.951272, 0.834497, 0.940582, 0.804728, 0.86537, 0.9455
-51.374785,0.9903964,0.081153545,5,63,0,69.385182,0.54011589,-0.030365888,0.0092570154,-0.28840724,0.066487665,0.63331855,0.20361137,0.18744203,-1.3161934,-0.4244851,-2.0862028,-1.7948344,0.13790324,-0.18325893,-0.85134908,0.12290546,0.49537341,0.38417399,-1.3414084,0.97355944,0.86689009,0.17370924,0.47346992,2.1831635,-0.56554499,0.06953159,-1.1689295,-0.47610499,-0.43473233,-0.78024557,0.85668987,0.01317252,0.83443137,-0.81136998,0.60974823,-0.35272087,0.49007981,-0.70938971,-0.24670996,-0.15652709,-0.4427392,-0.46132234,-0.2150337,-0.13567072,-0.26121759,-0.097569197,-0.034004972,-0.022172496,-0.25234928,-0.096881127,0.015540746,-0.0054268915,-0.01946915,0.29383425,-0.037134485,-0.0075552762,-0.26658163,-0.20596672,-0.23561941,-0.23769674,0.0028578782,0.002469084,0.15496175,-0.047644913,0.11429245,-0.05384798,0.058505685,-0.018650112,0.71948173,0.23547205,0.22081495,0.07304911,0.59734405,0.42841165,0.96630877,0.29497093,0.69716368,0.8568273,0.80589705,0.81787236,1.0650393,0.93455964,0.54496794,0.73430269,1.1041948,0.35419971,0.67912005,0.1835653,0.72988576,0.15168899,0.047213293,0.57453514,0.78843703,0.88293744,0.25330662,0.52908544,1.2655635,0.32130885,-0.093541046,0.40724779,0.20725904,0.046851811,0.39329977,0.24184417,0.58392432,0.36318083,0.38321739,1.0223576,0.71397176,0.74347934,1.0862293,0.88219345,0.68701574,0.80365223,0.80758712,0.24265961,0.58366027,0.1701898,0.59965533,0.2449187,0.46526475,0.29434096,0.61722507,0.79831284,0.47276031,0.51663928,1.1612358,0.32335278,0.22070025
-60.646378,0.98894736,0.081153545,5,31,0,79.359242,0.68756005,-0.081239014,0.0095300709,-0.43617129,-0.004590593,0.66712327,0.28335718,0.14753099,-1.3278173,0.1588927,-3.4107741,-1.6210954,1.2736163,-0.98513786,-2.7189112,-0.96077033,0.89238455,0.53748849,-1.7430522,-0.14751103,-0.6333033,0.74625016,0.57084965,1.5075832,-0.35066306,0.29284145,-2.0771201,-0.048291351,1.468445,0.24473976,-0.085649394,1.374638,1.4862034,0.031903648,-0.54194952,-0.99531216,-1.2228511,1.2790699,-0.1958942,-0.042520097,-0.52496609,-0.36795982,-0.040082183,-0.22238693,-0.49788728,-0.28235787,-0.078172407,-0.0797716,-0.31372367,-0.26906701,-0.25653123,-0.17161641,-0.086970431,0.066565826,-0.10720588,-0.067445809,-0.36375828,-0.17036894,-0.036911042,-0.064919703,-0.10726275,0.2028017,0.24756804,0.14382734,-0.07995435,-0.15436999,-0.23632468,-0.12009167,1.9507684,0.69595139,0.81926159,-0.12128993,0.66312486,0.57188261,0.8652336,0.15870417,0.27278666,1.5096135,0.62372602,0.73001519,0.66811678,0.64923362,0.46524872,0.52783475,0.5129488,0.064988966,0.36122883,-0.10005959,0.55767121,0.31381689,0.31967221,0.28280829,0.4635195,0.86474656,0.86124111,1.0353647,0.61658216,-0.42775336,-0.11616648,0.55879193,0.393159,0.0035144248,0.60820338,0.7055911,0.30111976,0.071427945,0.4206303,0.99565002,0.41183195,0.81180741,1.007088,0.73658229,0.64068239,0.72873977,0.69015863,-0.033354017,0.59556157,-0.12917667,0.80760289,0.60447005,0.53597121,0.24163029,0.79202688,1.0045818,0.7547463,0.36747425,1.0702043,-0.23293224,0.27215562
-59.246844,0.9989688,0.081153545,6,63,0,83.750321,0.56061322,-0.082857939,0.018916412,-0.43655749,-0.24285233,0.2333992,0.30680249,0.19251316,-1.2146552,-0.89709274,1.1543402,-0.97654232,-0.43367241,1.591545,1.2474672,1.5793682,0.41730236,0.61188989,3.0511794,0.024364448,1.5223559,-1.0525021,-0.53121209,0.77351449,1.029695,1.3193213,1.3504116,-0.83144631,-0.87226591,-0.21850196,-0.44369117,1.2163466,-0.68169816,1.2413184,0.86154164,0.04345581,0.94887549,-1.4235842,-0.23383711,-0.24019671,0.13843706,-0.20367013,-0.15409394,0.25319631,0.27583371,0.32783569,0.20493346,0.25611242,0.65192278,0.52444225,0.57545474,0.38950908,0.058630658,0.24915398,0.326723,0.42640944,0.27922899,-0.037080151,-0.10245126,-0.00034527289,-0.048064903,0.23416272,-0.094074855,0.1652738,0.1658581,0.025599367,0.1788863,0.021174646,1.0540079,0.58598941,-0.27980194,0.39275457,0.45532442,1.0652335,1.1563815,0.32221472,0.63144919,0.74304583,0.65175821,0.9809346,0.47628042,1.1555445,0.47840716,-0.12955685,0.5057141,0.25621344,0.372053,0.068941335,0.24915945,0.74976582,0.11671451,-0.067998506,-0.053406292,0.079542161,0.53247337,1.0444408,0.37254054,-0.39955365,-0.64408062,0.21641366,-0.18057574,0.4398516,0.2757536,0.18491305,0.32612159,0.25286713,0.68768193,0.84003177,0.34248094,0.86248285,1.1001457,1.081363,0.57758253,0.42038604,0.62918335,0.1000741,0.73717236,0.16222493,0.40273568,0.2313459,0.077934934,-0.14133444,0.20391358,0.55078428,0.55076961,0.29264127,0.63146204,-0.10123329,-0.1382338
-55.009028,0.99736594,0.081153545,6,63,0,72.018704,0.45126048,-0.05119108,0.010652329,-0.25153463,0.01740308,0.60825614,0.26497127,0.2528356,-1.9434551,0.3644422,-1.3035421,-1.2465349,1.6319747,-0.19280135,-1.8085385,0.48723387,0.88310616,0.53489808,-1.2598285,0.59161469,-1.5893996,1.2898271,1.1039676,1.6736992,-0.39106853,-0.10946784,-1.9324214,0.63752474,0.40962965,1.0812557,-0.039983999,0.60885421,1.6756215,-0.17247775,-0.15914597,-0.058572386,-2.2050376,0.71470839,-0.49137465,-0.075180299,-0.41190697,-0.45537313,0.12591152,-0.1405669,-0.52988802,-0.030708847,0.084393053,0.077241537,-0.241346,-0.087694658,-0.36089376,-0.082209527,0.15281754,0.35358719,0.019782242,0.021627404,-0.53069551,-0.065407319,-0.03996176,0.16108408,-0.039352465,0.15394002,0.44214811,0.2020291,-0.040237768,-0.018920565,-0.49351529,-0.32560552,1.0955935,0.16763239,0.35880407,0.50006875,-0.30225793,0.75291645,0.39061635,0.0042754582,0.31615437,1.4489409,0.5454261,0.50838483,1.255768,-0.18451854,0.71249714,0.65434195,1.146154,-0.11281917,0.61457972,0.20629193,0.51950415,0.59566537,0.64019922,0.12386843,0.36737057,1.2258022,0.56826104,0.45200798,0.91116586,-0.52729231,0.37806262,0.16189163,0.36320276,0.15930741,0.34624069,0.74104238,0.40369772,0.0036306213,0.59005494,0.95676523,0.62463882,0.56307909,0.9185275,0.45604812,0.58583156,0.876561,0.97544031,0.27199174,0.59388847,-0.22375091,0.74885356,0.56057021,0.71693356,0.3118141,0.68606305,1.2131338,0.82519035,0.43343191,0.99662344,-0.27641004,-0.0028859991
-46.834622,0.99871832,0.081153545,5,63,0,77.729466,0.43703309,-0.075560661,0.015712613,-0.3965829,-0.011894084,0.4196791,0.17672374,0.22638331,-1.5456853,-0.88110755,-0.79084578,-1.8158396,0.45209652,1.6071284,-0.72173416,1.0560192,0.5740286,1.2807607,0.67727163,-1.5715746,1.9603193,-1.4638444,0.31884874,1.0870527,-0.37800901,2.2155057,0.43166183,-1.8438637,1.5757339,0.31958584,-0.54694992,1.3719076,0.79246559,2.6547376,0.9233895,0.65485092,0.55522251,-1.2523558,-0.34991734,-0.30377146,-0.27801819,-0.52567271,-0.16057251,0.24618455,-0.1391772,0.16852116,0.12820114,0.29888746,0.27032955,0.04404095,0.46988766,0.17751517,0.1035116,0.27337581,0.05473349,0.36645225,0.075042562,-0.37341235,-0.059300889,0.036883395,-0.12811092,0.31057698,0.22457239,0.64205448,0.20903997,0.16921838,0.20276522,0.049247461,1.2408459,0.2243615,-0.084683391,0.074096516,0.23800931,0.44974187,0.34536897,-0.008400264,0.67726561,0.73964415,0.62597555,0.82332654,0.72231815,1.1562659,0.6715287,1.0588156,0.87409581,0.052014762,0.74224324,0.22897427,0.53924696,0.74150832,0.32191573,-0.02945386,0.57832832,0.72180567,1.1670287,0.44976927,1.0144941,0.071773483,0.15076993,0.23730921,-0.058942285,0.16270451,0.026242413,0.34518857,0.41817443,0.23376762,0.68252134,0.8097887,0.47544745,0.81432184,0.88564835,1.044417,0.74906511,0.54043221,0.78886542,0.024664006,0.83416479,0.15112362,0.41386857,0.42479301,0.22605927,-0.011942378,0.6814941,0.96003858,1.1594534,0.50588938,1.0244884,0.12085853,0.12355596
-33.44154,1,0.081153545,5,31,0,56.241203,0.52714358,-0.076397291,0.013970029,-0.2043665,0.026581957,0.43181211,0.17769342,0.41212583,-0.57347803,-0.29109696,-1.3436115,-0.29043173,0.055985144,0.63160999,-0.18906827,0.0053928316,1.0929383,0.27420386,0.80335559,-0.83385282,-0.30026605,-0.38454418,0.10913108,1.2424534,-0.45075132,1.8154749,0.043375016,-0.066299884,0.77184181,1.0452032,-0.24266549,1.071075,0.33699887,0.14662801,-0.10343256,0.23618866,-0.50474114,-0.70760566,-0.23634511,-0.19124521,-0.6033505,-0.29337628,-0.19412756,0.14953752,-0.090726707,-0.061374769,0.34097491,0.18886619,0.3880563,0.12785225,0.086331608,0.02778299,0.056215792,0.48277055,0.022397569,0.50090844,-0.0040340516,-0.039441558,0.16115703,0.41052472,0.027188027,0.44141769,0.20443928,0.18085798,-0.042627229,0.092368874,-0.13635222,-0.24522068,1.2222055,-0.12022013,0.39894351,-0.049485916,0.34280436,0.43495256,0.32257216,0.29397237,0.7942894,1.1331637,0.77052892,1.0659016,0.77963497,0.66874305,0.27546016,0.73974049,1.1804476,-0.17915876,1.0014508,0.16390209,0.70604411,0.87048815,0.75474633,0.16489752,1.0056954,1.0284737,0.50294621,0.31162086,0.98526362,-0.15716266,-0.26818254,0.19659456,0.10744592,-0.1372618,0.3991559,0.37605082,0.44643846,0.17374916,0.50371802,0.9545919,0.48080505,0.95099279,0.94761828,0.79981184,0.50072922,0.62289742,1.0282871,0.025897241,0.82259359,-0.080233202,0.63437527,0.68834617,0.74013441,0.20920986,0.70959309,0.94553625,0.72447191,0.29716076,0.90869973,-0.18909683,-0.082523683
