# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-04 12:55:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpMYxNdb/standata-f52c6944f073.json
# init = /tmp/RtmpMYxNdb/init-f52c7d3c08e3_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604041455-1-86ac5d.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604041455-1-20d126.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.143454
# Diagonal elements of inverse mass matrix:
# 0.0270187, 0.000622101, 0.0414525, 0.0556149, 6.87248e-05, 0.00612789, 0.042213, 0.8981, 1.00678, 0.839686, 0.992697, 0.964857, 0.859745, 0.844218, 0.919933, 0.75531, 0.811833, 0.852511, 0.746626, 0.880817, 0.88394, 0.999483, 0.859, 0.969748, 0.768593, 1.04325, 0.839353, 0.763934, 0.82335, 0.735232, 0.740265, 0.930138, 0.771992, 0.888173, 0.797161, 0.804017, 0.8089, 1.06865
-69.538248,0.99160244,0.14345352,5,31,0,95.888668,0.79214784,-0.05559248,-0.36798894,0.0024848455,0.016650963,0.49579982,0.30146435,0.0038362634,-0.44059211,0.03201052,0.67919116,-0.80232059,0.61130749,0.80672683,3.2952808,-0.52395307,-2.0224255,2.7830148,-1.4563683,-0.92736906,0.45877014,-2.0171485,-1.1448958,-1.000715,-0.44955167,-1.5620486,-0.033938079,-0.47477077,-0.80914005,0.47812157,-1.3107179,0.89848336,-0.33641561,-1.059374,0.44263525,0.47855251,1.180668,0.88935751,-0.0016902274,-0.0004418826,0.0021637431,-0.0027037848,0.0014641626,0.0029478396,0.012555,1.5086487e-05,-0.0055997422,0.0075731115,-0.002155201,-0.0027970134,0.0013374119,-0.0033667944,-0.0030018725,-0.0036064017,-0.0027847448,-0.0058971878,5.8617923e-05,-0.0015598826,-0.0030366474,0.0016281009,-0.0042510257,0.0034468188,-0.00075104482,-0.0036526024,0.0016980654,0.0020027678,0.0049918283,0.0059674358,0.66445867,0.6162146,-0.20467569,0.67341422,0.83091246,0.5242026,0.44044271,0.17240107,0.46379514,0.89291885,0.68012066,0.954485,1.1548731,0.33548577,0.89149816,1.319003,-0.16581122,-0.19093714,0.52021274,-0.073126617,-0.041508052,0.26667306,0.55265626,0.02856493,0.59034208,1.0058082,0.050524946,0.43691307,0.91750021,0.025019225,-0.28996464,0.52295417,0.15535427,0.38353602,0.85472446,0.32887386,0.61139654,0.36532757,0.36912128,1.0590773,0.64483756,0.84016664,1.1755756,0.88049435,0.47516345,0.79527447,0.42259302,-0.0034245816,0.40536342,0.12827365,0.68150685,0.3644292,0.58199572,0.021250523,0.33945553,0.65856186,0.43413293,0.22631127,1.2362435,-0.023605014,-0.060416923
-62.578443,0.99668203,0.14345352,5,31,0,83.644368,0.59521634,-0.02778135,-0.078534118,0.12529048,0.012051778,0.41496841,0.28232105,0.26234357,0.33170356,-0.66192877,-1.9085382,-0.29071924,-0.23431469,-0.49060604,-1.9993528,1.1774054,2.4203434,-1.9620185,1.7535222,1.6057087,-0.79285374,1.4118528,1.0260173,1.0503796,0.587528,0.79474624,-0.52286786,0.9058918,0.6684354,-0.99237558,0.97290862,-0.29315568,0.87393827,1.2037644,-0.2617976,-0.95403325,-0.97810071,-0.080912077,0.087020296,-0.13520571,-0.48940357,-0.18194563,-0.1874525,-0.18593447,-0.58511796,0.15650622,0.5233149,-0.25593851,0.35680969,0.4821947,0.03529866,0.2893648,0.24016481,0.30962934,0.27562153,0.35881752,-0.15563823,0.15392882,0.20612891,-0.26295532,0.14720995,-0.076907509,0.21489899,0.3755107,-0.068680916,-0.25607773,-0.35194289,-0.32526275,0.099478159,0.23926407,0.40479749,-0.60568952,0.71883833,-0.10727752,0.75866104,-0.63936854,0.24951364,1.0670405,0.32606242,1.1531246,1.5650939,1.3660396,-0.18323164,0.56257417,0.51588203,0.79945256,0.56020939,0.077296539,1.4710162,0.48119514,0.53206164,0.57200747,0.13871004,0.72285046,0.46374891,0.3544334,0.63927922,-0.50265987,0.0093436298,0.36658939,0.035553804,-0.14622432,0.54252735,0.054144798,0.43649996,-0.2860438,0.44505589,1.2721103,0.39954985,1.0215361,1.4006639,0.77436092,0.6363611,0.95373146,0.66774865,0.40178175,0.56307132,-0.089100654,0.63671537,0.50878187,0.31560004,0.22674177,0.20259695,0.74174317,0.74688147,0.15885322,0.7238873,-0.23229217,-0.33641834
-62.044554,1,0.14345352,5,31,0,75.475411,0.39263436,-0.053821783,-0.20649878,0.19345102,0.017643432,0.56901056,0.36654805,0.062565249,-1.0906618,-0.024635334,1.1477758,-0.55876483,0.48813556,0.28094396,2.1692733,-0.16254377,-2.2194795,1.3448194,-1.3141644,-1.1604836,1.4569107,-2.2227912,-1.2009184,-0.27741559,0.67348145,-1.0584334,0.072838088,-0.93206479,-0.31290017,1.4164546,-1.2367259,1.2739474,-0.25753652,-0.73589429,-0.062834883,0.46694587,0.67615303,0.14949269,-0.068237528,-0.023974496,0.054197178,-0.032461913,0.018391027,0.013289983,0.1264669,0.00564208,-0.11243807,0.034152809,-0.071048817,-0.092103677,0.026578063,-0.072210842,-0.07270687,-0.038572349,0.00754136,-0.040127075,0.0029455203,-0.053977065,-0.052510763,0.078579398,-0.052977158,0.079704833,-0.0037964625,-0.036806588,-0.0039312801,0.028646052,0.050553725,0.04891618,0.62062318,0.807502,0.86229188,0.78025297,0.3056961,0.7647198,0.51680941,0.25899932,0.4911029,0.34033591,1.0333329,-0.12709563,1.3113064,0.64594111,0.12720686,0.494028,-0.035304474,0.925446,0.3973557,0.52436832,0.55488595,0.99007257,-0.049105615,0.3678896,0.35510731,1.1328863,0.17519569,1.1021922,1.3156891,-0.29565841,0.36318218,0.51905395,0.34380367,0.66473176,0.64184074,0.54622531,0.45568039,0.73079211,0.58450454,0.62340279,0.51205527,0.60097104,0.94028825,0.72344015,0.64777518,0.55194208,0.61231591,0.23757167,0.42977792,0.20034316,0.8777361,0.5308549,0.48160054,0.17799669,0.66323166,0.89409985,0.62834441,0.43960897,1.128832,0.25656315,0.17265691
-57.393726,0.99586848,0.14345352,5,31,0,71.908979,0.42887093,-0.08697733,-0.42413569,-0.048681157,0.01987856,0.44964716,0.30502352,0.25640603,-0.085503585,-0.41701116,-1.7217529,-0.48251264,-0.82510405,-0.0084327585,-2.4797069,0.69398667,2.1640147,-0.21380686,1.5312505,1.0203426,-1.3334776,1.4401921,0.86890276,0.73436773,-0.70049875,1.312789,-0.52738306,0.67188599,-0.029715654,-0.78256585,0.075924415,0.0054704276,0.009449467,0.95913308,0.92908864,-0.64756984,-1.0406143,-0.13408419,-0.021923635,-0.10816892,-0.44633857,-0.22788247,-0.33733849,-0.077136076,-0.66005272,0.025026857,0.40412496,0.054811256,0.3871069,0.4419985,-0.023115713,0.26274921,0.18628659,0.20905785,-0.054517491,0.18176367,-0.1652299,0.083165795,0.0385868,-0.22950019,-0.078337605,0.0014026506,0.002608126,0.20956553,0.23822393,-0.14031916,-0.28828715,-0.26602322,1.2931394,0.38406691,-0.27152658,0.35371667,0.95468898,0.32328923,0.46782029,0.15177106,0.64234718,0.77570041,0.69350742,0.97103507,1.5616405,0.47046965,0.8955172,0.98835207,1.140109,0.31846083,0.69507794,0.25547259,1.2256338,0.76170038,-0.25145575,-0.1990452,0.24640606,1.3507683,0.10783839,0.96287092,1.0615125,-0.39181222,0.063264042,0.63889555,0.17655206,0.092544185,0.3379201,0.24057178,0.062088609,-0.28984108,0.62496429,1.0993677,0.20825599,0.84238577,1.2810733,0.5705098,0.85440623,0.62867924,0.83042048,-0.070103404,0.69605172,-0.099954136,0.93927615,0.61126686,-0.084827916,0.045739857,0.36390458,0.9022706,0.83670976,0.59357634,0.73060952,-0.35995873,-0.21163318
-59.418726,0.980556,0.14345352,5,31,0,74.355276,0.60615558,-0.087339951,-0.53171021,0.012587577,0.0096980355,0.44065637,0.30390347,0.22583891,-2.8121783,-0.37458678,-0.1938102,-1.643223,1.6040599,0.46357407,1.7008867,-0.054509664,-1.4035325,1.017279,0.73728392,-1.4558782,1.759376,-1.4825823,-0.91402858,0.87001025,0.68706115,-0.55991935,-0.53497851,-0.55488699,0.19499601,1.156048,-0.41988499,2.4305426,1.0398735,0.1361347,-0.12584678,1.1263367,0.69603937,0.11938535,-0.63509929,-0.28945022,-0.19303222,-0.50283691,0.070244664,-0.0072344676,0.27654531,-0.050815547,-0.33071749,0.037149906,0.064176556,-0.15357454,0.23243498,-0.049094288,-0.24827774,0.066510845,0.082354124,-0.025701356,-0.16207639,-0.19830244,-0.14281663,0.18227334,-0.085794814,0.5489111,0.31563707,0.2194003,-0.028421099,0.25002558,0.25815166,0.24870919,1.9356123,0.38997152,0.11317326,-0.010284739,0.26770716,1.1387808,-0.32009237,0.69272506,-0.15521499,0.35669928,-0.42451583,0.93448542,0.96899858,1.0221727,0.82669345,-0.12899818,0.63520357,-0.42431349,0.66617941,-0.38209403,1.275654,-0.016974774,0.065393573,-0.22623405,0.6941167,0.51681037,0.70791717,0.45501257,1.4118123,0.14522033,0.50674895,-0.022091361,-0.077807528,0.10961746,0.15629247,0.6173526,0.16195815,0.7105228,0.44656757,0.49235415,0.16930485,0.974604,0.90619071,0.9092399,0.64830543,0.2356102,0.47251107,-0.099932717,0.49148153,-0.10604118,0.67228254,0.28614187,0.43904347,0.036378422,1.0059369,0.85740979,0.61067942,0.19256708,1.2494069,-0.00098148114,0.42406528
-59.894255,0.96062876,0.14345352,5,31,0,79.132596,0.56702508,-0.08169694,-0.27887872,0.1906665,0.011812056,0.47108177,0.2546979,0.25528873,0.1842698,-0.5952892,-1.7894985,-1.1020413,-0.66820177,-0.39321542,-2.629482,0.96740637,1.653226,-0.9278394,0.74885207,1.5489036,-1.5480134,1.899092,0.04334249,1.2365691,-0.6611341,2.4109082,0.14575044,-0.23406379,0.40551327,-1.2693497,0.16812592,0.84122993,0.59697762,1.273114,0.90058229,-1.228936,-0.32068277,-0.30054044,0.047042002,-0.12793183,-0.45265815,-0.37219123,-0.33968892,-0.17798567,-0.73029641,0.066117544,0.27946735,-0.14883965,0.11901244,0.29073432,-0.21116381,0.152554,-0.064286274,0.21492112,-0.11364773,0.28821004,-0.0097720437,-0.086056164,-0.0091485246,-0.35488922,-0.099193547,0.21475652,0.18330644,0.38196089,0.22990851,-0.2880745,-0.20179904,-0.22722392,1.5147504,0.53926682,0.39063301,0.30054789,0.42540973,0.33871503,-0.0061407997,0.16068031,0.19148234,1.1859893,0.67850969,1.0935254,0.99730843,0.48548923,1.0060658,0.55258248,0.32775763,-0.066423891,0.95179688,-0.18396397,1.0148661,-0.035220355,-0.37698697,0.15008952,1.1508605,0.74873913,0.733659,0.045010251,0.816291,-0.77647491,-0.25505553,0.50826192,0.15440792,-0.041341617,0.33149687,0.24547932,0.083864001,-0.27135065,0.62395793,0.93721187,0.092068387,0.96610513,1.3405501,0.51179842,0.8469399,0.48918573,0.71742952,-0.17512036,0.6460931,-0.080501418,0.79499103,0.49565058,-0.033045256,0.080273085,0.68703966,0.85118364,0.87618054,0.53743358,0.72992423,-0.32967173,-0.030897857
