# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-04 12:55:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpMYxNdb/standata-f52c6944f073.json
# init = /tmp/RtmpMYxNdb/init-f52c7d3c08e3_4.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604041455-4-86ac5d.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604041455-4-20d126.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.118496
# Diagonal elements of inverse mass matrix:
# 0.0322504, 0.000615923, 0.0446902, 0.0556163, 6.96087e-05, 0.00690676, 0.0494669, 1.41196, 1.26821, 0.946459, 0.957042, 1.01286, 0.789338, 0.976606, 0.936352, 0.879053, 0.752699, 0.968075, 1.02461, 0.80691, 0.818004, 1.09258, 0.865684, 1.05046, 0.873857, 0.938112, 0.818894, 0.856445, 0.971009, 0.871134, 0.954654, 1.07956, 0.887373, 0.830369, 0.747423, 0.714446, 0.893441, 0.835595
-56.289803,0.99029014,0.11849614,5,31,0,72.632325,0.60395686,-0.075994278,-0.56510585,-0.20473076,0.011863849,0.51408649,0.2546894,0.19597187,-1.4239288,-1.2737021,-0.53368584,-1.4253642,-0.0090744125,-0.215599,-0.40286672,1.0419429,0.9294616,-1.3141393,1.2904237,-2.242447,-1.084127,0.20280858,1.3574179,2.5991962,1.6462121,0.99625984,-0.13572574,-0.3490975,1.0966213,0.98688911,0.83250063,0.27795057,1.7288727,0.073849482,0.98615928,-1.1440338,0.83935243,-1.0178791,-0.27904998,-0.32771659,-0.19797804,-0.37779707,-0.1942556,-0.13423332,-0.18060331,0.09282782,0.12034712,-0.19441174,0.13482803,-0.16270194,-0.20149367,-0.12736162,0.17893152,0.4628523,0.43314408,0.46990314,-0.055431259,-0.10002479,0.046911651,0.15733281,0.17514272,0.054470491,0.34315352,0.19430949,0.19325947,-0.20284471,0.051576977,-0.068382827,1.6863396,0.24184058,-0.19704658,-0.17295807,0.54168296,0.43466163,0.14912619,0.14462674,0.59516921,1.0692376,0.023815643,0.82151889,0.81613189,0.47831326,0.29775894,0.79779188,1.0718902,0.61705542,0.9358028,-0.17988576,1.2557342,0.66764115,0.16271434,0.37597212,0.50378873,0.99736865,0.72800744,0.99688799,0.82742863,-0.068830603,0.0088374122,0.48601084,-0.041753676,0.22197963,0.3774909,0.36989235,0.21531555,0.19587232,0.63768962,1.1447262,0.1400388,0.93046612,0.8416637,0.57259936,0.4646146,0.79887041,0.9658838,0.40718038,1.1344588,0.2113065,0.67347002,0.54593981,0.55567776,0.3592792,0.4407236,1.0122789,0.69138343,0.50790755,0.77981151,-0.034399274,0.12092057
-49.544267,0.98391946,0.11849614,5,31,0,71.858321,0.721813,-0.070007169,-0.087885878,0.27264165,0.020625826,0.53131981,0.23881117,0.37640356,-1.0691053,0.080479299,-0.94089423,-0.86895167,0.78725655,1.0266435,-1.3905546,-0.17647158,0.80450408,1.5590648,-0.6589866,-0.44184274,0.90865557,-0.42986118,-0.18667609,0.38513846,-0.69407059,1.1529362,-0.066384779,-0.90529808,0.63085486,-1.0955157,0.5629693,1.4845335,0.88120401,-0.26605465,0.46837747,0.063604772,-0.58949611,1.4992618,-0.40241504,-0.10420819,-0.42518266,-0.46187308,0.022359967,0.28201202,-0.44807921,-0.15040382,0.16214671,0.48879822,-0.004112876,-0.035818265,0.3411263,0.16764076,-0.07686025,0.099510286,-0.20638903,0.10926469,-0.061018248,-0.35887032,-0.13546954,-0.46484301,0.0045672819,0.5587837,0.41285598,0.15991936,0.17629894,0.042177587,-0.16227768,0.14030096,0.55672962,0.16897671,-0.25663577,0.38885505,0.8605115,0.47330728,1.1091902,-0.069435044,-0.054190883,0.728569,1.0199681,0.84690355,0.9924819,0.99014114,0.94107694,0.49132605,0.63958858,0.22797299,0.16112355,0.054581011,0.27549426,0.67402248,0.071772743,0.54318736,1.5024284,1.1855414,0.84798873,0.27234425,0.85666129,-0.14631425,0.038939835,-0.044706607,0.16727305,0.12488321,0.4170928,0.51132319,0.84538433,-0.035582099,0.38866926,0.92418147,1.086745,0.75633186,1.1399327,1.2471124,0.73987391,0.72590311,0.70671182,-0.13498979,0.32590282,-0.20115976,0.4678506,0.40016747,0.065907824,0.11436776,0.95119802,1.3088191,0.78102599,0.53238535,1.2851994,-0.12676967,0.13850145
-48.095833,1,0.11849614,5,31,0,63.021284,0.68613015,-0.078419895,-0.54097792,-0.35392697,0.013493457,0.58451404,0.28520418,0.27066912,-1.1638161,-1.1128051,-0.4927976,-0.88766361,-0.78336816,-0.52740166,0.61801683,0.54663082,0.072408052,-0.43447708,1.3941292,-0.49900199,-0.63383688,0.30893779,0.0074647438,0.92392894,1.3298293,0.67454112,-0.56027777,-0.33152472,-0.28275838,1.5035575,-1.2564356,-0.089097907,-0.41537395,1.3561166,-0.64195714,-0.037209533,-0.2411012,-1.5491243,-0.31500907,-0.38828544,-0.24109093,-0.36128359,-0.39374784,-0.25342018,-0.0094349813,0.031866273,-0.051223813,-0.15878406,0.20430082,0.04403328,-0.12167495,-0.033635778,-0.077559486,0.14934853,0.30575618,0.33279886,-0.19686877,-0.18007482,-0.20649972,0.31378044,-0.2792927,-0.024116052,-0.11478933,0.24943665,-0.17375797,-0.028118749,-0.078981692,-0.27015421,1.7001169,0.62557114,0.35656774,1.1153809,0.35121698,0.070330584,0.11041372,-0.033072674,0.67292824,1.3362209,0.31402917,1.1202237,1.0774712,0.95592225,0.61249153,0.64267317,0.77692535,0.077025399,0.76791183,-0.15621269,0.67919369,0.27777525,0.90329776,-0.1991776,0.065122698,0.20699329,1.1485745,-0.082494536,1.1024985,-0.1479573,0.11449638,0.51823582,-0.017272754,0.28820834,0.55818115,0.25932538,0.2548605,0.27390551,0.67379429,1.1125123,0.34017104,0.95680912,1.0407028,0.81844601,0.46708,0.7084907,0.76187135,0.36614445,1.0560759,0.11714365,0.51921173,0.39313545,0.86240724,-0.022113117,0.2655612,0.68664189,0.85831361,0.23436106,0.95740686,-0.078019614,-0.022653978
-42.584968,0.89342852,0.11849614,5,31,0,60.503477,0.73199256,-0.090608492,-0.54222626,0.019959448,0.028959843,0.49652231,0.1913494,0.36840983,-1.0872776,0.5104627,-1.1245887,-0.91206511,1.0432792,1.4382456,-1.5043429,-0.1707183,0.38759928,1.2767035,-0.60029152,-0.28998788,0.94280884,-1.0632497,0.3436481,0.78785504,0.027075944,0.2322179,0.099382463,-1.2984386,0.91003143,-0.49328153,0.66923934,1.556935,0.06063589,-0.37036713,0.7473062,-0.5470684,0.80248446,0.91874722,-0.40056374,0.04533068,-0.45996979,-0.46082085,0.10891557,0.43555399,-0.41494255,-0.1143619,0.05289663,0.36945049,-0.041798294,-0.048047871,0.30363405,0.0021445545,0.10454849,0.28114565,0.11733692,0.16156041,0.014973109,-0.45093385,-0.13597079,-0.22674752,0.11981986,0.57359015,0.10936223,-0.028551293,0.27531495,-0.17176639,0.18445048,0.30277512,0.80162933,0.44992135,0.042141191,-0.0023598686,0.38261468,0.40531449,0.80863626,0.034319827,0.37498469,0.7688852,1.2720413,0.35808183,1.3249023,0.91461588,0.61712395,0.97174511,0.71848071,0.065365776,0.80548473,0.20841307,0.65461568,0.26820519,-0.019766909,-0.037947446,1.1446683,0.88168048,0.37262133,0.71923622,0.91487995,-0.25177425,0.088226027,0.29518985,0.18288991,0.074384216,0.26302302,0.51889871,0.76451936,0.0074871396,0.3763277,1.0697279,0.75448649,0.58118793,1.164539,1.0647138,0.62225907,0.74108721,0.88492015,0.016314389,0.6634085,0.057314773,0.51893696,0.35932904,0.041881785,0.032269268,0.9632341,1.1185745,0.59774896,0.53596266,1.1482667,0.041503569,0.043611147
-48.768784,0.58582833,0.11849614,5,31,0,67.926075,0.72824243,-0.097437013,-0.35041675,-0.015114983,0.029617286,0.4797918,0.18517648,0.27503906,-1.282325,0.57182287,-0.80343521,-1.0389446,0.89036461,0.85733437,-1.9515618,0.10711612,0.17658184,0.66895228,0.28299341,-0.51690873,1.0639325,-1.0230766,0.43573222,0.52917532,0.062394344,0.61806057,0.58398256,-1.3418913,0.64475587,-0.20813251,0.19559463,0.77416232,0.41555714,-0.80312699,0.67726905,-1.0776975,0.79818069,1.035029,-0.35268946,0.032068923,-0.26740234,-0.36747143,0.043189491,0.16678013,-0.47823997,-0.055383448,-0.034357079,0.094620382,0.067678452,-0.027277461,0.22533028,-0.001600588,0.060310634,0.1145811,0.043025071,0.13883514,0.13071363,-0.31272239,-0.11929403,-0.086953633,-0.00075401869,0.21292488,0.1453643,-0.099953688,0.18627545,-0.27538983,0.062963861,0.16638525,0.78585229,0.078130558,0.11265625,0.44965355,0.27966942,0.57751517,0.5797559,-0.2507408,0.83934594,0.91939618,0.56407365,0.53382109,1.1754992,0.63409575,0.609562,0.86186645,0.86943157,0.1210906,0.645326,-0.15299472,0.53730115,0.56600806,0.35334037,-0.2130382,0.46957717,1.1929391,0.71889767,0.2464279,0.99531873,-0.34136317,-0.16566557,0.21712927,0.24649985,0.34932609,0.41698798,0.55667522,0.5174515,-0.23129698,0.53421563,0.82182144,0.49796276,0.50340344,1.0074059,1.0483067,0.46402555,0.74326004,0.80901188,-0.012831474,0.50776037,0.0039776328,0.51529321,0.46916249,0.21103502,-0.017722459,0.42918648,1.2544371,0.61565033,0.52392083,0.8611117,-0.041026722,-0.016829193
-43.308771,0.97262335,0.11849614,5,31,0,63.783674,0.65480024,-0.037515968,-0.2655082,-0.077046586,-0.0019391027,0.47145693,0.24012985,0.41589685,-0.50384121,-1.0179681,0.0060904346,-1.204435,0.39315077,-0.57497239,0.25629082,1.1022192,0.92656148,0.063637226,-0.2248833,-0.36096899,-0.17057571,0.25682976,-0.71882075,1.959559,0.16704135,1.151385,-1.0285192,0.66975472,0.65568056,0.6014635,-0.57969978,0.65838393,1.4016585,2.3498455,0.53203076,0.055711933,-0.23008572,-1.0689995,-0.20954597,-0.46880415,-0.10461661,-0.57474447,-0.094356199,-0.32986191,-0.079329005,0.32271906,0.36831447,0.1776554,0.079217572,0.020827509,0.048947096,0.12456812,-0.25843822,0.66453598,0.24111671,0.50225955,-0.4502662,0.083686762,0.18557989,0.18645111,-0.20802706,0.2738198,0.61782384,1.164012,0.22126991,0.046096205,-0.048963896,-0.24749026,1.4137445,-0.18202688,-0.2149046,0.27198714,0.51432673,0.25621635,0.96611876,-0.16677723,0.29382393,1.6516806,0.85576656,0.77921672,0.65071669,0.7856261,0.37553331,0.29422541,0.62240915,0.18066276,1.2988025,0.11562357,0.85946345,0.52266625,0.61871101,-0.064274096,0.77162415,1.2490967,1.4089269,0.31626877,0.3974265,0.063408718,-0.30745348,0.22706645,-0.19287326,0.1127287,0.28172729,0.35008947,0.27953385,0.22845327,0.7030724,1.28959,0.74061804,1.114287,0.97963323,0.90690641,0.56991984,0.49223644,0.93848402,0.29289613,0.92823529,-0.22847645,0.54848528,0.51212298,0.88230322,0.072206703,0.60981663,0.86462445,1.4194271,0.4645863,0.9240215,-0.042402596,0.12884517
