# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-04 12:57:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpYqolTs/standata-f7c15dab1bc6.json
# init = /tmp/RtmpYqolTs/init-f7c1929f609_4.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604041457-4-1e3ce2.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604041457-4-1271ba.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.0979389
# Diagonal elements of inverse mass matrix:
# 0.0463405, 0.0584175, 0.0269099, 0.000572128, 6.01328e-05, 0.00648375, 0.0558624, 1.29923, 1.09106, 0.922135, 0.838261, 0.936474, 0.741648, 0.967789, 0.77597, 0.71465, 0.817816, 0.737749, 0.861185, 0.898989, 0.872583, 0.968396, 0.743848, 0.919665, 0.741846, 1.03418, 0.798013, 0.835441, 0.812859, 0.808529, 0.896286, 1.03797, 0.786943, 0.693666, 0.804177, 0.794118, 0.867839, 0.979701
-46.412939,0.98923527,0.097938928,5,31,0,64.70041,-0.24250636,0.0082352941,0.25402705,-0.033021675,0.010010742,0.53746893,0.27714465,0.2410428,-0.98200493,-0.44869373,-0.072644159,0.091020653,1.0137586,-0.63719766,-0.35057372,-0.61672025,1.1046129,0.43452416,-0.52111064,-0.025287717,0.39968136,-0.74284088,0.023159145,0.88249033,1.0072873,0.74401021,-0.86036986,0.69302094,-0.12109188,0.032828294,-0.7167509,1.5214091,-0.31208985,0.92893219,-0.41545717,0.50249973,-1.4024741,1.1982715,-0.23670522,-0.18021175,-0.084203905,-0.046496489,0.15907812,-0.18108856,-0.16016089,-0.20689361,0.12693986,0.070505111,-0.080866299,-0.055519429,0.049989396,-0.072287958,-0.046483989,0.14297878,0.22236431,0.27328798,-0.2230669,0.065800259,0.0092045171,-0.027302539,-0.19399468,0.36672471,-0.018546236,0.19886742,-0.10014296,0.11003196,-0.24294287,-0.055071364,0.71574035,0.33106117,0.21412283,0.37762134,0.35226713,0.6253157,0.22447884,0.85403032,0.39549921,0.49563896,0.87804471,0.80316994,0.79599275,0.15252268,0.48322294,0.34745025,0.6671543,0.80062663,0.74080793,0.071957856,0.71107469,0.079638931,0.92338716,-0.71270872,0.74962529,0.73610283,0.63089383,0.31981475,1.1896705,0.19233589,0.36046988,0.40403594,0.21655144,0.44847281,0.55064797,0.65729837,0.26888409,0.38464777,0.3169352,0.8719528,0.53819492,0.53570419,0.76342704,0.66016075,0.54673959,0.51612525,0.70204232,0.52728657,0.84607896,0.18171646,0.80740285,0.53253955,0.4050289,0.12453309,0.90121528,0.68066768,0.76505334,0.33821812,0.96324513,0.045613351,0.20743485
-45.157614,0.99007272,0.097938928,5,31,0,61.95334,-0.18288979,0.15995174,0.29969254,-0.067426609,0.011337041,0.56668266,0.27325865,0.22234402,-1.6747622,-0.97749491,-1.1940766,-0.95476613,-1.8719512,1.2413324,-0.83331222,0.38425891,1.32499,0.43061218,-0.21036338,1.0465976,0.99990521,-0.067521487,0.080564579,0.80298271,-0.11036223,-0.4607184,-0.33388698,-0.89619236,-0.30602989,0.22040197,0.23500191,0.8800538,0.6655966,1.3417333,-0.011488841,-0.094934831,-0.35129782,-0.94800383,-0.37237335,-0.32805314,-0.36895049,-0.36256685,-0.5982221,0.13406234,-0.21518818,-0.020407152,0.18561701,0.10526703,0.018064568,0.15621823,0.23360315,0.17055215,-0.011278735,0.13806173,0.011856067,-0.044623491,-0.12127132,-0.25558475,-0.25151545,-0.033118569,-0.0231787,0.1956747,0.17604387,0.35459214,-0.002554475,-0.021259456,-0.078190058,-0.16766492,1.3524286,-0.27550761,0.77719737,0.23236984,0.0023535412,0.099298818,0.39636642,0.74179259,0.71614836,0.83679128,0.26270834,0.69676361,1.1117568,1.0097246,1.5604108,0.6667229,0.60563891,0.087910585,0.72008502,0.58244102,0.89476144,0.36600098,0.20120829,0.10842657,0.17467248,0.59546582,1.3762322,0.86439357,0.58907067,0.17328602,0.65142964,0.21696149,0.14821737,0.23917981,0.29475365,0.12162766,0.43625156,0.36691824,0.68800593,0.76886072,0.3981138,0.71887762,1.0608735,0.90841934,0.94062047,0.53000574,0.81827857,0.21866348,0.45148354,0.022678966,0.68283417,0.41947426,0.30587955,0.35707025,0.78402407,1.0149793,1.0311445,0.5040316,0.87143059,0.076992142,0.20743963
-39.567383,0.97846376,0.097938928,5,31,0,56.370564,-0.30815094,-0.1752729,0.49290309,-0.053625991,0.0032138978,0.61175863,0.21299411,0.36834208,-1.6657002,-0.76756996,-0.42134305,-1.2756137,0.53998523,-0.338275,0.09983568,-1.0193498,1.0027555,0.028005172,0.55285049,-1.1121877,0.10228676,0.5516076,-0.20333776,0.66183662,0.046092425,2.1260873,-0.34771933,-0.0015179727,-0.47470265,-0.4981657,-1.3350994,0.71733547,0.44177666,-0.19979359,0.071055665,0.38488302,-1.1496068,-1.0166256,-0.61354746,-0.46936946,-0.3245841,-0.64212687,-0.15113624,-0.27301319,-0.16090423,-0.51701734,0.052748934,-0.13556554,0.030919973,-0.24020175,-0.09206975,0.011784365,-0.24042086,0.037251388,-0.090615717,0.37399849,-0.20729633,-0.12069819,-0.22780614,-0.28259257,-0.61833002,0.26422484,0.20103711,0.056450375,0.026172791,0.14372385,-0.29385414,-0.41070314,1.6950842,0.22764796,-0.0050679482,-0.074362032,0.42789956,0.38061156,0.22199635,0.042938541,0.48958892,1.1313918,0.5342732,0.95913457,0.65803776,0.62877071,0.60517448,0.4916644,0.63061302,0.24077409,0.99194051,0.38578652,0.40634226,0.25881826,0.21175754,-0.33697582,0.69013095,1.0295525,0.38917871,0.38252873,0.98744104,-0.30078801,-0.024742306,0.08584774,0.023830426,0.18064349,0.24381414,0.55899891,0.2956671,0.25926931,0.1434029,1.0018502,0.39667087,0.92191133,0.67944764,0.80198327,0.60465937,0.52422032,0.61141656,0.13604924,1.028261,0.1610848,0.55384558,0.37963952,0.3617845,-0.16087932,0.70677171,0.82019685,0.61609569,0.50866704,1.0016325,-0.11985339,0.11228874
-40.95845,0.78733353,0.097938928,5,31,0,58.894129,-0.31424515,-0.27038147,0.54158748,-0.05686856,-0.0024349309,0.58638595,0.21801529,0.28158712,-1.1101368,-1.6245473,-0.43835098,-1.508823,0.28794405,0.44445449,-0.78521082,-0.68930378,1.5665669,-0.013683922,0.48000389,-0.96488911,0.59030075,0.28544604,-0.22951648,0.6350976,-0.074059174,1.3940588,-0.48102354,-0.092570993,0.0030915678,-0.33516956,-1.5201982,1.0866464,0.6572441,0.6712854,0.71284002,0.098223214,-0.52766222,-1.2837737,-0.31260022,-0.53498623,-0.25360519,-0.55483085,-0.19986694,-0.0028074944,-0.28772823,-0.30786272,0.21072255,-0.031165594,0.080013526,-0.098951766,0.10050036,0.10446757,-0.15011112,0.057733917,-0.064542669,0.17474699,-0.19246479,-0.12622697,-0.12003511,-0.17198886,-0.50766993,0.30598563,0.22947818,0.29573069,0.20072657,0.048419555,-0.094579076,-0.24561574,2.1129102,0.44378584,-0.17896505,0.47488929,0.65458327,0.28840842,0.47082401,-0.032300969,0.39203355,1.1957479,0.45070135,1.5900508,0.58632109,0.94075495,0.64824479,0.39766293,0.34889903,-0.14698244,1.169799,-0.14943312,0.34908489,0.32659921,0.5467801,0.1255125,0.5400928,0.74848027,0.90447892,0.71255347,0.76706885,0.0017256984,0.057567945,0.35292352,-0.028841848,0.17180358,0.38083946,0.55970266,0.56135953,0.026395673,0.35808375,1.1599315,0.46513811,1.0350106,0.75204349,1.03893,0.62510822,0.62770899,0.567935,0.10636194,0.82162483,0.14540229,0.4284322,0.46636095,0.51919733,0.0014657744,0.66136519,0.70559023,0.77884764,0.66045902,0.78135236,0.0087905901,0.40314213
-44.299245,0.93892827,0.097938928,5,31,0,60.038256,-0.29821013,-0.20006098,0.51899463,-0.05929359,0.0077036826,0.38860584,0.20389811,0.25418584,-1.102603,-0.39595665,-0.39338109,-1.485966,-0.54273582,0.97302608,0.38643256,0.046186756,0.71977985,0.07278542,0.53969887,1.57304,-0.26559664,-0.77244394,0.044430439,2.0978657,0.40280158,0.31699422,0.011637234,0.36377536,-0.69981226,0.68189454,-0.53093915,1.8380525,1.3578726,0.68877946,-0.41291068,1.3480575,-1.3240916,-2.5252162,-0.28026607,-0.18750037,-0.17222059,-0.44979152,-0.3235784,0.14881648,0.078671743,-0.02240868,0.13364672,0.049054672,0.14626704,0.33363356,0.081763701,-0.011111325,0.018036559,0.48611494,0.25645752,0.27451218,-0.013475259,0.071469771,-0.05855369,0.15585557,-0.086224921,0.46720692,0.41222756,0.3877552,-0.10495605,0.32985825,-0.13320583,-0.39023846,1.30527,-0.054650575,0.24057014,-0.1212426,0.43920519,0.2497539,0.38461667,0.058564484,0.19672801,1.1082957,0.25733485,0.49065671,1.0917778,0.80540538,-0.085692377,0.27958995,0.66425084,0.2672734,0.82585733,-0.070827647,1.1060971,0.44347822,0.72384597,-0.2576862,0.77159351,1.2505647,0.80315358,0.41273693,0.96457047,-0.035113796,-0.39721329,0.20214072,0.076226421,0.17120693,0.22633218,0.16341056,0.49904966,0.22533212,0.43866193,0.86614819,0.37974288,0.70035021,1.0148562,0.77100687,0.30990245,0.58079113,0.89746567,0.26283101,0.68626574,0.086332928,0.52013473,0.36054404,0.55658479,0.10892363,0.62615487,0.93142984,0.79135173,0.17183436,0.98016597,-0.17676226,-0.17242322
-47.026616,0.97148369,0.097938928,5,31,0,65.096527,-0.14235847,-0.078775757,0.39403945,-0.06882331,0.00087166618,0.43043378,0.19144655,0.29020735,-0.70020743,-0.47281133,-0.36418472,-1.7914935,-0.084719086,0.23122337,0.79655898,-0.092423367,1.0613014,0.32631822,0.12799281,2.8704098,0.32192331,-1.8208234,0.0040241383,1.9082483,-0.048405419,0.71071802,-0.45123403,-0.44804285,-0.39451506,0.21662008,-1.114285,1.9547984,1.2437145,0.65735513,-0.64971724,1.0298943,-0.19249178,-1.898509,-0.20320534,-0.19658713,-0.16620938,-0.5746622,-0.25135711,-0.024363905,0.14348904,-0.070857458,0.2225552,0.13337113,0.11128549,0.55789446,0.27024146,-0.045825572,0.01980138,0.51217249,0.17202888,0.29030887,-0.14543595,-0.18124796,-0.22146585,0.0065853184,-0.33715083,0.56729685,0.44305758,0.42233834,-0.18855272,0.27761313,0.079569326,-0.17517242,1.913087,0.19315526,0.32059087,0.31131664,-0.088740428,0.24345472,0.23411166,0.42959448,0.64750302,0.85326431,0.23538052,0.63308558,1.2252823,0.86954752,0.36765895,0.51036275,0.76220498,0.23525775,0.69568368,-0.19723543,0.1540065,0.18675876,0.43579541,0.15252778,0.6902477,0.90255705,0.89624787,-0.015547093,0.78523529,0.30636123,0.25419043,0.21406648,0.23519979,0.22896529,0.1193638,0.47185552,0.2429732,0.36484298,0.56578008,0.72174867,0.33767118,0.76664846,1.1752172,0.97142535,0.41018465,0.54188666,1.0023274,0.232469,0.66592279,-0.13997369,0.35029821,0.33417225,0.39709551,0.071527001,0.82712371,0.94541578,0.88735244,0.20997645,0.78642085,0.065914424,0.35665703
