# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-07 13:32:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpIU7ppy/standata-2859d7f0c9816.json
# init = /tmp/RtmpIU7ppy/init-2859dde8ff53_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604071532-1-79a65b.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604071532-1-60a7bb.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.15027
# Diagonal elements of inverse mass matrix:
# 0.0464431, 0.0577814, 0.0359053, 0.000730275, 7.31222e-05, 0.00700492, 0.0367253, 1.33482, 0.738982, 0.887171, 0.946333, 0.901445, 0.73754, 0.844266, 1.06788, 0.75115, 1.10763, 0.8125, 0.922836, 0.729542, 0.93207, 0.795669, 1.01192, 0.805284, 0.852215, 0.968878, 0.854114, 1.02777, 0.809159, 0.839229, 0.881681, 0.807371, 0.710992, 0.951518, 0.875055, 0.851279, 0.789732, 0.79901
-65.226002,0.99194804,0.15026998,5,31,0,87.91406,-0.24962483,-0.10760767,0.072476369,-0.012924657,-0.0043422391,0.40860136,0.38647932,0.070684964,-0.1469808,-0.80711544,-0.87024533,1.1257421,0.40281467,0.67042329,-0.23200464,0.98331406,0.90863748,-0.05903855,-0.96370153,-1.0993637,-2.1646879,-1.3569032,0.031235651,-0.82651807,-0.96399374,-0.67559715,0.26913371,0.88361406,1.2826096,-2.0188056,1.681567,-0.17325119,1.7099624,-1.7647181,0.24317579,0.68138455,0.47525105,0.61204506,-0.010389333,-0.057835993,-0.068135181,0.040581531,0.024191697,0.04871272,0.012552458,0.067075941,0.079608966,0.01868665,-0.03794867,-0.079051177,-0.15838086,-0.078438179,-0.033060998,-0.0584224,-0.068139863,-0.068394514,-0.038837477,-0.011974537,0.018747162,-0.11110008,0.018221525,-0.039616001,0.054167827,-0.087924414,-0.0086740972,0.025350097,0.0093907544,0.023776011,1.1373919,0.4868165,0.08925059,0.75784812,0.33688391,-0.52195108,0.033976206,0.91067482,0.8598812,0.16951769,0.79784446,0.90708312,0.75089199,0.73983048,0.38959827,-0.13056689,0.56488448,0.71944623,-0.084040463,0.7837575,-0.032137676,0.14694268,0.044982553,0.13093329,1.0726415,0.36480923,0.33056143,-0.23090174,0.4813962,0.54190615,1.2424144,0.36008145,0.43744017,0.29405267,0.40628452,0.42186425,0.30627028,0.52215484,0.51748224,0.54786321,0.58713704,0.26666707,0.3958198,0.078873008,0.18174222,0.53623364,0.56369608,0.26904969,0.22310574,0.40867395,0.54261357,0.42927524,0.30258972,0.41364438,0.40360674,0.41303839,0.42341384,0.47456014,0.29750666,0.31591501,0.34212492
-67.00774,0.97759344,0.15026998,5,31,0,85.07059,-0.36698609,0.25581945,0.88205033,-0.11688358,0.036003609,0.50796998,0.36617689,0.0034750999,0.46852165,0.6480283,1.2263954,-1.0295001,-0.16977269,0.057754849,0.18029521,-0.43354675,-0.31146161,0.71350444,1.6240222,0.87079847,2.2145497,1.9861926,0.44271227,0.60066012,0.42696731,-0.65430199,-0.96474867,-1.2811366,-1.1595095,1.6423337,-1.4421157,0.28149241,-1.9172887,1.7439429,-0.29481538,-0.71195651,-0.56457545,0.16380809,0.0016281596,0.0025876531,0.0047116253,-0.0010896228,-8.1948368e-05,0.0004618759,0.00092942102,-0.00071471905,-0.00073688243,0.0023655336,0.0057691536,0.0052174433,0.0098563694,0.0070689771,0.0054705755,0.0020873539,0.0014837541,-0.0016193414,-0.0031834753,-0.0047283256,-0.0046954577,0.0014102239,-0.0039329885,-0.00063713915,-0.0057638005,0.0013933212,-0.00084694656,-0.0024136244,-0.0020401746,0.0003409326,0.74429643,0.93343796,-0.5211822,0.16508493,-0.46901496,-0.2168168,1.7033974,0.29357047,1.3167722,-0.20683722,1.4742639,1.2889546,-0.57402603,-0.020003621,-0.63358807,-0.12476652,0.71920378,0.20654545,0.30732318,0.32391581,0.55267488,0.68940475,1.3843236,0.41783961,0.35665698,1.0022165,1.0815926,1.6418187,1.0806707,0.22340896,0.90003005,0.14186699,-0.31789689,0.59695136,0.24737279,-0.14075233,1.2272038,0.66260591,1.4813249,0.36228193,0.87133222,0.75481011,-0.34058181,-0.22664911,-0.17264638,0.27909651,0.62827986,0.29237996,0.62881235,0.39806599,0.51226202,0.87495813,0.83438423,0.58777623,0.49644102,0.70781713,1.3570163,1.0998225,0.37860772,0.31342164,0.72303232
-58.936042,0.99545737,0.15026998,5,31,0,83.48364,-0.34901145,-0.0127784,0.70750698,-0.083343459,0.020684957,0.41198971,0.35075564,0.016950006,1.1229267,-0.01254489,0.04688868,0.52100044,1.2718063,-0.3542292,-0.56511352,0.6735503,-0.21215507,0.27666147,-0.63951084,-0.35346158,2.1905192,-0.77726967,-0.08395993,0.32131097,-0.001476263,-0.98048239,1.7891954,-0.12861818,-1.8795726,-0.72276037,-1.0833016,1.0080484,0.3406407,-0.58762733,-0.93955327,-0.73054501,-0.6223443,2.454675,0.019033615,0.0045554263,0.0043953012,0.013405375,0.02537683,0.0031603989,0.00064758273,0.018876324,0.0086690683,0.011853646,-0.00040308777,-0.0033716621,0.028946014,-0.0057845072,0.00061115626,0.0054462229,-2.5022667e-05,-0.015599759,0.012796561,0.005222407,-0.020144945,-0.017880988,-0.024796306,0.0017015285,-0.0014518198,-0.011021219,-0.01604051,-0.017938698,-0.015039074,0.035499429,0.97285986,0.56910392,0.0091809208,-0.00014986707,0.92716234,-0.13872534,0.30421854,-0.45959321,1.3099429,0.28147648,1.3132286,1.2996424,0.18604191,-0.13642173,-0.10233075,0.23048595,0.29042198,-0.16508019,0.77462574,0.39981835,0.58798994,0.80526126,0.68713132,0.85277644,0.76068487,0.58583228,0.84332437,0.68353039,0.1382768,0.82341896,0.25993065,0.17958825,-0.096023235,0.45233662,0.33467963,0.020541161,0.79879814,0.43014253,1.0370829,0.22021983,0.81802398,0.51445913,-0.094626207,-0.13399596,-0.11825787,0.32864834,0.57298738,0.23803157,0.41468851,0.23664567,0.4818533,0.73623624,0.71020277,0.44271593,0.43664849,0.61656259,0.96193008,0.68159126,0.33302138,0.31411049,0.54154777
-60.703771,0.98215425,0.15026998,5,31,0,82.109682,-0.27312767,0.035433838,0.83888058,-0.085506483,0.019148231,0.39871156,0.35711228,0.0075381658,1.4530532,-0.8698081,-0.65284748,0.72941802,1.0527208,-0.24215572,-0.21143501,0.11563177,0.0084635808,1.0195752,-0.67613909,-0.082407485,2.4752986,0.10481483,-0.35038856,0.38857225,-0.13465622,-1.5018494,1.4503534,0.14133866,-1.3968087,-1.2742075,-0.71628836,1.6006154,0.19052985,0.28018693,-0.59872313,-0.68235125,-0.73484826,1.5584634,0.010953356,-0.0036082886,-0.0034098691,0.005425569,0.0091179355,0.0013399553,0.0017262189,0.0038954231,0.0033539514,0.0094606292,0.00031249965,0.00066889378,0.015670889,0.0031554892,0.0015647935,0.0029291221,-0.0010150609,-0.010972319,0.0012149977,-0.00062102677,-0.0094691386,-0.012105669,-0.011854879,0.0024995572,-0.0016928688,-0.0012138615,-0.0049296077,-0.0068238383,-0.0070781169,0.0094696593,1.0034304,-0.089188306,-0.30056632,0.93963886,0.55723228,0.21654403,1.0588311,0.31041968,0.75954581,0.065962493,1.1477032,-0.0038278426,-0.03144938,-0.39927142,0.15113894,-0.52568589,0.88015451,-0.14427548,0.13542757,0.3317467,0.18507024,0.72675324,1.2538657,0.70432332,-0.27584233,0.86671035,0.2073583,0.42887552,-0.044622046,-0.53348959,0.71175735,0.14359794,-0.23211022,0.40956502,0.4180461,-0.013405219,0.7274902,0.37596668,1.0640345,0.15192033,0.81595799,0.463283,-0.085633186,-0.20638611,-0.16297595,0.21487621,0.66706073,0.1987015,0.36522927,0.1561782,0.35477273,0.84333001,0.81373521,0.42949312,0.42495207,0.70085419,1.0311575,0.62574458,0.40929659,0.39703358,0.46754467
-61.583532,0.97619004,0.15026998,5,31,0,82.643121,-0.11749629,0.19806577,0.17692662,-0.0060890936,0.018670315,0.51774657,0.37381485,0.062358291,-1.7828821,0.30929982,0.71839399,-0.1759875,-1.0603356,1.3451534,0.36713832,-0.43264218,-0.37712466,-0.86108386,1.9081023,-0.16227425,-2.3544842,-0.236164,1.288816,0.65279075,-0.67118297,-1.4046257,-2.2315552,-0.012432505,0.4109057,0.48329299,-0.38410843,-1.8078486,-0.11275696,-0.58428991,0.0096654805,-0.46291766,1.242675,-1.1023013,-0.11117748,-0.0091371039,0.024500926,-0.023828708,-0.077587848,0.052481929,0.021974267,-0.043556193,-0.046843783,-0.070674965,0.065980602,0.0094110036,-0.098178201,-0.031433142,0.029160084,0.040706916,-0.041853823,-0.096663921,-0.16735324,-0.13922497,-0.088186134,-0.05422814,-0.081038498,-0.14457498,-0.093480893,-0.11815394,-0.032074526,-0.054006387,0.027223658,-0.089068428,-0.56422218,0.0047025418,0.24539946,0.63943444,0.47625782,-0.65220662,0.14767769,0.47749761,1.4250077,0.61685613,0.82320134,0.91972707,0.1049819,-0.25015623,0.020634462,0.40133528,0.81506251,0.92947542,0.55713994,0.47054156,1.268824,0.67644223,1.1825793,-0.299984,0.71454676,0.37021108,1.4959015,0.93385458,0.35599651,0.20889672,0.27033081,0.18564066,0.42923627,0.46242908,0.39280856,0.087033367,0.87615328,0.61227897,0.97238192,0.54469693,0.62781796,0.66322962,-0.038190372,0.36375494,0.39986911,0.48168917,0.47462915,0.36358103,0.4944061,0.4765632,0.40995574,0.41171736,0.42644887,0.28968324,0.10365406,0.46494976,0.74004621,0.73225193,0.58786761,0.58170884,0.47321851
-56.287808,0.99972824,0.15026998,5,31,0,75.752087,-0.33030695,0.044328154,0.62584785,-0.079866189,0.014882235,0.51966386,0.29590278,0.034548974,0.04213765,-1.3234545,-0.48167331,-0.21337591,0.36723239,0.97722822,-1.218394,-0.0098486224,-0.53228127,-0.10702334,-0.9075642,0.46695783,0.7879189,-0.13632863,-1.0384855,-1.9110051,-1.3198296,-0.51328756,1.4130635,-0.52471477,-0.50801227,0.41617,0.96605474,1.764343,-0.61893977,1.5503247,-0.94884829,-0.58938969,0.8117601,-0.72923135,0.0014558126,-0.043906094,-0.020872906,-0.018462492,0.0050925969,0.028904918,-0.022676516,-0.0081748729,-0.023533489,-0.011109999,-0.03630694,-0.0026796288,0.0085136591,-0.012375576,-0.039237635,-0.066023266,-0.045598758,-0.032425569,0.008504168,-0.011181767,-0.028863522,-0.012153403,0.0033164793,0.023624909,-0.018711121,0.026048545,-0.041875856,-0.040616442,0.0026418705,-0.034981632,1.373348,-0.036608736,0.19573932,0.94968487,0.19838849,0.5315491,0.35810272,-0.1566604,1.5390078,0.32576438,1.386996,0.79488198,-0.18533803,0.04339101,-0.17273586,0.38851522,0.86935079,0.2238206,0.84330945,0.48789767,0.40882553,0.45823328,1.2810827,0.90680106,1.0799332,0.39787482,1.2793945,0.79051524,0.71324992,1.0565315,0.56331051,0.30909037,-0.010411581,0.52758003,0.39598541,0.18881519,0.80681392,0.6000477,1.0524627,0.38539994,0.81940277,0.53181751,0.15750608,-0.048188117,-0.010835003,0.40992964,0.72082208,0.306666,0.45465354,0.41440373,0.55568107,0.78771861,0.78225162,0.59028259,0.61396235,0.64551839,1.0877763,0.79334063,0.33806262,0.38511891,0.53457608
