# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-07 13:32:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpIU7ppy/standata-2859d7f0c9816.json
# init = /tmp/RtmpIU7ppy/init-2859dde8ff53_4.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604071532-4-79a65b.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604071532-4-60a7bb.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.178567
# Diagonal elements of inverse mass matrix:
# 0.0482241, 0.0585632, 0.0330678, 0.000756927, 5.96876e-05, 0.00942533, 0.0341945, 1.02886, 0.871183, 1.00791, 0.861417, 0.880741, 0.858319, 0.918647, 0.87275, 0.842943, 1.0445, 0.906094, 0.888338, 0.963153, 0.903664, 0.809188, 1.10168, 0.964423, 0.904582, 0.973471, 0.911688, 0.911192, 1.01444, 1.31483, 0.815678, 0.833714, 0.874063, 0.860788, 0.841887, 0.905594, 0.971592, 0.993307
-51.824232,0.99866067,0.17856681,4,31,0,68.346117,-0.23543415,0.18469587,0.4981537,-0.043437897,0.0099040225,0.50287147,0.31932525,0.036316298,1.0368631,1.0368225,0.33451646,-0.024656271,-0.56941568,-0.86122467,0.30125427,-1.1811272,0.23716995,0.59493955,0.84895546,0.7527339,-0.1933758,0.48525237,-0.37956083,1.1981211,-0.95161407,-0.10038608,1.2281936,-0.33968414,-0.54078483,-0.83132922,0.62859759,0.40029554,0.73580145,-0.80044102,0.65849877,-0.89980202,0.68311026,1.3360057,0.037655027,0.045875907,0.02310717,0.019250246,-0.0084444575,-0.024749865,0.0010042486,-0.029229093,0.0040549476,0.020264336,0.033899587,0.039539318,0.021015319,0.021027478,0.0046992227,0.043511322,-0.034559099,-0.015386566,0.017561981,0.001812195,-0.018729137,-0.034920606,-0.0090536764,-0.0087656113,0.0047126079,-0.028057743,0.0098267495,-0.029668387,0.00890659,0.036573632,0.79716278,1.2240829,-0.13275797,0.25520879,0.59919341,0.61583278,0.33151569,0.61359801,0.92956036,0.71083155,1.4748223,0.45050107,0.088720473,0.29190666,0.2177743,0.34333336,1.0091028,0.75388661,0.34175275,0.90506991,0.24021022,1.0000082,0.56933346,0.12974931,0.0012660928,0.71348175,1.5255058,0.65255579,0.78311398,0.098762917,0.75547169,0.30618771,0.22833332,0.43528573,0.50183253,0.18002581,0.55023229,0.65547135,1.0483246,0.54405461,0.80121147,0.47306555,0.19349041,0.11129954,0.1393691,0.41142434,0.91423964,0.26910614,0.37970017,0.56134103,0.48159908,0.68799676,0.65793371,0.41683228,0.4062852,0.63581572,1.0338005,0.79615327,0.4569875,0.48857902,0.47289948
-53.952983,0.94008379,0.17856681,5,31,0,73.49781,-0.46607054,-0.027468222,0.66913238,-0.10712178,0.014878512,0.59323086,0.21950451,0.16548614,-1.4816189,-0.12624302,0.43446123,1.0326915,1.5346492,0.74377252,-0.57221096,0.71961872,-0.21345099,0.089953517,0.90796498,0.34137939,0.056893383,-0.47750523,0.53014652,-0.93659785,0.26801985,-1.4888387,-2.4971076,-1.4844342,0.033467514,-0.044988791,-0.9167601,-0.5039669,-0.2385232,1.7653724,-0.22297465,0.69208269,-0.3569124,0.40139453,-0.24518739,-0.081561437,0.020971726,0.10416427,0.23199886,0.16451238,0.037981881,0.14140778,0.037973618,0.05379542,0.17632029,0.13218981,0.11715624,-0.037189029,0.071689669,-0.15499396,0.044353569,-0.21578273,-0.42551681,-0.46370786,-0.25565354,-0.19749375,-0.29076488,-0.21395875,-0.19401284,0.0032784349,-0.053590458,0.065401084,-0.069113083,0.042731363,2.1536449,0.0014416477,-0.45390082,0.38316184,0.64292882,0.60843425,0.76547505,0.59456652,1.3044883,0.48018755,0.90735366,0.98482873,0.5463653,-0.16677354,-0.2028489,0.66057244,0.46075323,0.61086094,0.18405692,-0.18337531,0.27752452,0.86832262,0.39905399,0.70502551,0.82651194,0.65200494,0.92575649,0.64438462,0.31246573,0.28993806,0.4684974,0.15614283,-0.045214748,0.70972573,0.48354624,0.50270785,1.054295,0.80313068,1.2473811,0.51128966,0.9685294,0.84571634,0.43231983,-0.02609307,-0.092154835,0.67064648,0.74639186,0.47504963,0.34490999,0.028482448,0.26769735,0.64784969,0.68134662,0.46997561,0.58688122,0.48481498,1.1564567,0.95082425,0.33073478,0.2267273,0.72421484
-53.490686,0.99896829,0.17856681,5,31,0,69.923828,0.023924069,0.10970015,0.16981222,-0.026997356,0.015937528,0.47016487,0.36124877,0.20670578,0.84641732,-0.12276454,0.11501405,-0.69974193,-1.5282314,0.2313264,0.89393909,-0.15773968,1.8149979,0.5818498,0.0081065563,-0.85326452,-0.51199098,0.52167206,0.9499025,1.9052406,-0.19087536,-0.94240663,1.3944386,0.54298832,0.60108477,-1.0703947,1.0793019,0.2434668,0.04755646,-1.0108688,-0.34739224,-0.64003181,0.4012569,0.89130102,0.17495935,0.019197135,0.053950737,-0.077773443,-0.29386517,-0.018890502,0.089742529,-0.049397323,0.29180664,0.13643528,0.064239991,-0.11473954,-0.10047658,0.12272159,0.22880826,0.39382424,-0.039455041,-0.19641194,0.085948668,0.080502307,0.07096368,-0.13154835,0.093524143,0.035786202,0.019457156,-0.11832323,-0.079240377,-0.15225337,0.029810587,0.15616361,-0.030080547,0.30192942,0.12580904,0.92771889,0.31243936,-0.42893373,0.5915529,0.082893818,0.85491045,0.79970961,0.79943752,1.0449906,0.23194344,0.21467328,0.59723685,-0.18900861,-0.1931661,-0.15895839,0.15963507,1.1616281,0.30503158,0.69343645,0.28348796,1.1122053,0.43000124,0.099547257,0.24760614,0.58623476,0.18356543,0.859171,0.25806068,0.5637159,0.22333438,0.60045964,0.29443802,-0.023342828,0.83422584,0.53324002,0.66398722,0.67394279,0.61187327,0.71556016,0.016944353,0.28509786,0.50617012,0.56254949,0.66563892,0.42982906,0.42751228,0.49977982,0.5085627,0.61183007,0.39091461,0.60942434,0.47647806,0.55245084,0.49726817,0.53424803,0.34965612,0.47846967,0.78615457
-54.419519,0.9817209,0.17856681,5,31,0,75.566018,-1.0356974,-0.40801661,0.91981604,-0.14235033,0.025623495,0.61451982,0.22177073,0.19910539,-0.099391492,-0.45954651,-0.69637464,0.54425835,0.72929932,-0.57487444,-1.064713,-0.62780113,0.52786273,-1.2121165,1.2095109,1.1396512,-0.40445844,-0.14395659,0.090959506,-0.74008826,-0.73048163,-1.7569331,-2.0336667,-1.8591897,0.68538818,-0.20203499,-0.39188085,-0.017350794,-0.57081558,0.78073937,-0.69027663,0.93129714,0.41322278,0.32847529,-0.019789382,-0.093539499,-0.14889503,0.034611948,0.12691575,-0.085706048,-0.19259279,-0.13799072,0.028548211,-0.25116412,0.10718113,0.22015591,0.039252474,-0.052076401,-0.033866854,-0.14735556,-0.14544283,-0.37853585,-0.54966403,-0.65372988,-0.32219677,-0.31323897,-0.34784642,-0.26072138,-0.3246042,-0.1818027,-0.21972862,0.020041844,-0.042495813,-0.018412741,2.6554954,0.24490153,0.18967272,0.44233646,0.49113457,-0.079995979,1.0204922,0.37403716,1.2979313,0.28602034,1.4150761,0.77446261,0.081018149,-0.36393821,-0.42951952,1.0343929,0.80423698,0.1996346,0.26078452,0.26938908,0.50266164,0.55632944,0.41313715,0.027898349,0.34392926,1.142666,1.1340628,0.76314858,0.10017635,0.22976859,0.87750547,0.23603048,0.11702732,0.5298359,0.28604331,0.16819393,0.98305603,0.58567844,1.2115994,0.4248652,1.180698,0.81285567,0.23030701,-0.36422846,-0.34994445,0.91848067,0.74310249,0.18451207,0.18268668,-0.16146053,0.50388348,0.64327668,0.61360891,0.40313691,0.50258496,0.36571393,1.1778486,0.92916231,0.19599408,0.14473584,0.69162041
-54.897438,0.986914,0.17856681,5,31,0,78.297388,-0.074401139,-0.014728991,0.41603069,-0.066792528,-0.0041446742,0.34769615,0.35768252,0.32393682,-0.4341095,-0.027592818,0.86271536,-0.15747318,-0.72627494,0.82138873,1.0266164,1.1681958,1.2271403,0.8339108,-0.32883535,-1.7652185,0.66521728,0.22284029,0.07272054,1.2582774,-0.65449655,-0.25264238,0.7512567,0.67240042,-0.33789365,0.27649766,0.44069517,-0.16668466,0.55687412,-0.60396324,-0.1392876,-0.74735975,-0.60814656,0.28051985,-0.14062405,-0.043831573,0.24477393,0.00015144491,-0.22738123,0.19693263,0.31621277,0.36013901,0.469399,0.3762152,0.11861957,-0.40681088,0.072269509,0.16680041,0.18241213,0.40760236,-0.21201553,-0.15018995,0.05187904,0.10900006,-0.10716577,-0.014237847,0.041265287,-0.11118301,0.04685559,-0.17315607,-0.11467349,-0.28996809,-0.28756005,-0.0029216974,2.0385157,0.87472537,-0.00089894459,1.1036606,0.69640769,0.16010028,0.68858144,0.5572556,0.6592278,1.7589062,0.80762544,0.47327503,0.048271636,0.4159016,0.41028852,0.64723933,1.6146921,0.45932399,0.024011333,-0.41580824,0.54346674,0.40528935,0.2969524,1.2726341,0.18679592,0.22507328,0.66320805,-0.35419588,-0.32963102,0.48944029,0.10060408,0.22961074,-0.17106102,0.70027106,0.36893633,0.15536069,0.49591898,0.7129123,0.76683707,0.67071336,0.74180411,0.44125118,0.15533624,-0.044690608,0.13173022,0.41940284,1.1162311,0.095999131,0.104663,0.20088386,0.36146636,0.54815384,0.6391257,0.59533427,0.56184081,0.50839881,0.38377065,0.31041756,-0.16677687,-0.078238726,0.35409009
-58.334734,0.95778605,0.17856681,5,31,0,70.654113,-0.052614407,0.35522278,0.47404436,-0.012463998,0.017499137,0.57035039,0.40030529,0.095794485,-0.46817258,0.95196497,-0.141272,0.32652408,-0.23232693,1.0253868,1.0442316,0.53868115,0.12763067,0.41255242,1.4645858,-0.69054366,-1.0889924,-1.0212923,0.81853753,-2.2500101,0.68043709,-1.2199253,-0.88254083,-0.81685911,0.62172138,-0.021539777,1.4302366,0.21919354,0.82288928,1.0962509,-0.32118493,1.5555066,0.58825038,1.0860244,-0.044848351,0.077074735,-0.011981535,0.025632506,-0.017493252,0.091151116,0.12140675,0.069198621,0.047764188,0.062791239,0.16130525,0.016574044,-0.023119315,-0.065479096,0.041358654,-0.21553856,0.06518212,-0.087062879,-0.10350182,-0.12558944,-0.024152559,-0.026008049,0.061010038,0.02136642,0.067583149,0.095813239,-0.0029499927,0.13802722,0.087033424,0.12604987,-0.46922597,0.49499767,-0.0008072527,0.66295824,0.24367805,-0.028694168,0.61009398,1.3257028,1.3753821,1.178145,1.7896431,0.90976339,0.262765,0.19099225,0.49377161,0.99609382,-0.038838033,0.25684846,0.31046251,0.30578581,0.29693705,-0.11412604,0.42477798,0.071097819,0.19438405,1.6926925,1.444457,0.21753915,0.95638106,0.84826716,0.718712,0.2139624,0.35487569,0.39064778,0.66230997,0.11574347,0.84829817,0.76358537,1.3837414,0.671755,0.90205598,0.70359391,-0.03598162,0.34577534,0.28215172,0.36885332,0.57062468,0.42201751,0.44257777,0.56554532,0.29615591,0.72081218,0.70031911,0.40894335,0.26358967,0.84947798,1.2739367,0.80897978,0.96641837,0.84013428,0.63820901
