# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-02 13:55:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpMifgYK/standata-164fbd277cd931.json
# init = /tmp/RtmpMifgYK/init-164fbd802efa7_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604021555-1-19c9d0.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604021555-1-83eec8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.301369
# Diagonal elements of inverse mass matrix:
# 0.0355878, 0.000686781, 7.19714e-05, 0.0570548, 0.0638374, 0.00558733, 0.0220407
-15.763874,0.76747773,0.3013687,3,15,0,20.78644,0.78388869,-0.072876925,0.012574625,-0.091642373,0.21451613,0.55710283,0.30587933,1.155713,-0.39823287,-0.32950748,-0.97267745,-4.9687824,0.20748682,0.22017629,-0.52514051,0.19566631,0.064169965,0.21142086,0.25952056,0.064693035,0.2652008,0.19683331,0.11857905,-0.77538197,0.25463138,-2.7397163,0.17501046,0.23838911,0.13957651,0.24945661,-0.011401437,-1.7199265,-0.11055032,-0.79109417,-0.32197739,0.084965794,0.26511307,0.011034395,0.35245448,0.3337124,0.48136963,0.98968944,0.59569628,0.60777876,0.38467085,0.58558334,0.80584198,0.59928699,0.9661993,1.1939058,1.0089205,0.58654165,0.8658797,0.55864081,0.045358263,0.25008489,-0.13021668,0.77139115,0.54641961,0.64499366,0.22768089,0.39045493,0.73468556,0.55532251,0.36840551,1.1838639,-0.0097976393,0.21826657
-14.303251,0.99994194,0.3013687,3,7,0,16.188099,0.60980483,-0.080626637,0.014199132,-0.19698498,0.17862743,0.58644353,0.3399111,1.390463,-1.014701,-0.54062514,-1.2476664,-3.1227847,0.15978982,-0.10993675,-0.90683639,0.15871843,-0.078457932,-0.12741762,0.094057747,0.081306346,0.11016711,0.15861436,0.15469566,-0.35412791,0.1281455,-1.3650009,0.15927097,-0.060553721,0.1444201,-0.03242525,-0.18666919,-0.91276766,0.067967392,-0.36340819,-0.12678197,0.09094873,0.15731255,-0.15353384,0.52103696,0.40240587,0.57036213,0.87098429,0.69109974,0.45018528,0.4965423,0.68192268,0.7651952,0.44222712,0.87643413,1.1349634,0.89254774,0.71873068,0.73544528,0.65527566,0.08597416,0.40634479,-0.014110621,0.92582295,0.63974358,0.48905901,0.28308772,0.50207947,0.85406351,0.65217914,0.44251219,1.1264395,0.025527644,0.26922438
-16.632991,0.97003063,0.3013687,3,7,0,17.260852,0.50100455,-0.041850981,0.024168983,-0.23427795,0.15619336,0.56320102,0.27164064,-0.08221053,-1.9904688,-0.087956782,-2.2201179,-3.017119,-0.46162903,0.3036387,-1.7313136,-0.0076206067,0.32085695,0.37853259,-0.76776393,0.30497216,-0.086160526,0.3256108,0.38101448,-0.54108117,-0.042374948,-1.6768098,-0.029162579,0.19853852,0.12612707,0.046339265,0.33597398,-1.2343402,0.37774527,-0.38780081,-0.28539177,-0.056234873,-0.049962291,0.27964702,0.59200282,0.26400718,0.61996639,0.70850375,0.34666542,0.59087075,0.55876822,0.45949221,0.90321068,0.670733,0.58766048,1.1082239,0.73649535,0.60690537,0.72214243,0.63044533,0.25094411,0.4484763,0.24702854,0.86558862,0.50479273,0.47666003,0.084482196,0.51124655,0.9688111,0.66243526,0.38561694,1.254987,0.25316529,-0.1242973
-19.329512,0.86090493,0.3013687,3,7,0,22.96341,0.66642538,-0.074948986,0.0064712,0.010554622,0.26624776,0.6361375,0.27953846,1.6328913,-0.53890944,-1.3159619,-1.6481105,-6.5589814,0.28323517,0.3015268,-1.1493168,0.33918046,-0.21852009,0.24243837,0.31577172,0.18242212,0.33779885,0.35350245,0.1485754,-0.4192399,0.19911123,-2.77128,0.29591785,0.21095623,0.35417,0.35565042,-0.92457871,-1.1786813,-0.068286047,-0.49369298,0.11989509,0.29661554,0.30749195,-1.3424249,0.37391052,0.51112577,0.55960603,1.0395417,0.80640226,0.60800674,0.48498008,0.75077514,0.7004378,0.56696877,1.0789716,1.1645505,1.0528587,0.71843433,0.87990704,0.65199612,0.1564245,0.30093508,-0.096640298,0.85039098,0.68465408,0.69796735,0.44730618,0.51031146,0.74259292,0.63566157,0.50803959,1.0960745,0.086778486,0.5151556
-19.923656,0.98117459,0.3013687,4,15,0,25.651573,0.56606482,-0.064130808,0.020307337,-0.64340023,-0.39272792,0.65774463,0.49387445,1.129155,-2.4370548,-0.52257025,-1.1230505,-1.6982339,-0.24206038,-0.24787631,-0.61419997,-0.22142486,-0.41910433,-0.23037575,-0.48499221,-0.21838514,-0.24436363,-0.24161372,-0.22945475,-0.37922758,-0.31065634,-0.23188494,-0.90255161,-0.24739713,-0.22079807,-0.27323118,-0.32220409,-0.90423506,-0.2134646,-0.36157934,-0.31789202,-0.24464603,-0.2856791,-0.23878097,1.0414992,0.38831577,0.66612146,0.85106172,0.58189112,0.57043588,0.44214061,0.6376846,1.316727,0.60917233,0.63605265,1.0489935,0.87722667,0.58281717,0.78831975,0.71563553,0.21774402,0.9052061,0.57978716,0.82865887,0.64018827,0.52924998,0.23031659,0.41950506,0.99993825,0.7311991,0.47429621,1.1233331,0.18769114,0.11113026
-23.977852,0.96142258,0.3013687,4,15,0,26.049154,0.3375791,-0.050931621,0.032851167,-0.64226728,-0.62722349,0.57235916,0.48618352,0.075516445,-2.8814584,-0.44597313,-1.6576251,-0.99729037,-0.3526749,-0.28905054,-0.33148892,-0.22301139,-0.3125785,-0.21620336,-2.5643958,-0.44976564,-0.45350081,-0.54257965,-0.20336157,-0.25422862,-0.46825544,-0.20684125,-1.2130275,-0.20488257,-0.20121451,-0.49401086,-0.21892319,-1.6087321,-0.3837824,-0.22700678,-0.27319287,-0.23666594,-0.48294135,-0.27847959,1.1263706,0.34254637,0.8307497,0.61479476,0.42938702,0.49226689,0.25142741,0.5907612,1.2329718,0.60664782,-0.057742798,0.65484653,0.65229795,0.29625672,0.64858322,0.83662611,0.35759188,0.93451184,0.69279294,0.64201087,0.65964324,0.32577039,0.10000212,0.18328038,1.2965424,0.88243328,0.51117111,0.86439658,0.36717121,-0.19533469
