# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-02 13:55:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpMifgYK/standata-164fbd277cd931.json
# init = /tmp/RtmpMifgYK/init-164fbd802efa7_4.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604021555-4-19c9d0.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604021555-4-83eec8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.298421
# Diagonal elements of inverse mass matrix:
# 0.0385138, 0.000840332, 6.98543e-05, 0.0582057, 0.0664555, 0.00396684, 0.0213653
-16.607205,0.99885017,0.29842119,3,7,0,19.546349,0.65115357,-0.091514507,0.030191309,-0.48043983,0.13628472,0.57765393,0.37804483,0.78553828,-1.8708481,-0.14371312,-1.4400061,-1.8751469,-0.073841096,-0.37632597,-1.111234,0.016756564,0.052086011,-0.23899528,-0.32328327,-0.23809887,-0.11385267,0.035178895,0.047942924,-0.21721483,0.053712342,-0.68276316,0.032520443,-0.60727207,0.022573751,-0.56072618,0.053757254,-0.68284684,-0.019093889,-0.17136244,-0.33279612,-0.52245346,0.049434012,-0.060783287,0.74171048,0.23760776,0.65344042,0.74253834,0.50898815,0.34936269,0.5770698,0.59709484,0.97784033,0.41070344,0.6716937,1.2888534,0.78108845,0.77296376,0.65906965,0.7216713,0.005117382,0.54115663,0.077997377,1.1346944,0.60551873,0.2808882,0.0036537871,0.54113056,1.1443496,0.74630606,0.36757837,1.4058509,-0.035342432,-0.18097827
-15.971654,0.99331181,0.29842119,3,15,0,17.896838,0.86068391,-0.097036716,0.025231782,-0.40703547,-0.17172196,0.59194689,0.3279269,1.1965378,-2.054474,-0.2736869,-1.7700233,-4.6101324,0.17497997,0.10372754,-0.069155388,0.19391162,0.13310237,0.14001362,-0.36771925,0.091094628,0.18403136,-0.042180334,0.020521151,-0.12760548,0.19553386,-0.88882686,0.19433379,0.15301233,0.18876486,0.078111511,0.1321185,-2.6251656,0.15884888,-0.097527899,-0.18173051,-0.015419825,0.18611218,0.19598849,0.6957153,0.31783981,0.65026332,1.0166959,0.63272134,0.55910704,0.23881609,0.67867519,1.1163319,0.59024252,0.65179621,1.1502259,1.0507909,0.47365614,0.89428382,0.7361741,0.010288298,0.51696626,0.019077509,0.79618235,0.66048201,0.54075139,0.1172379,0.22105222,1.089419,0.74873269,0.4149651,1.2132513,-0.046175648,0.0028408204
-17.249948,0.88867865,0.29842119,4,31,0,20.299414,0.48586583,-0.074880677,0.0086603548,-0.28009613,0.28583636,0.59621574,0.41922855,1.6916657,-1.0096021,-0.52733778,-0.74202383,-1.692675,-0.049644638,-0.41422371,-1.4464946,-0.055156004,-0.26135063,-0.4779494,-0.062803583,-0.16812579,-0.19302623,-0.19386185,-0.071905286,-0.54842949,-0.065673463,-0.7693391,-0.079197195,-0.4534682,-0.078893979,-0.28179159,-0.36065569,-0.27352002,-0.30137948,-0.57725701,-0.27283714,-0.11835126,-0.049882546,-0.44352155,0.58090091,0.40978954,0.49334646,0.75996678,0.69601671,0.3419954,0.70072523,0.65580565,0.72717842,0.3119701,1.0681271,1.2041142,0.77546663,0.9251865,0.61145284,0.58126224,0.075167022,0.49701672,0.10199874,1.0767784,0.59852507,0.4143136,0.33066276,0.71944836,0.7025072,0.56933268,0.41987649,1.1554561,0.0099745885,0.3721097
-15.920236,0.99387432,0.29842119,4,15,0,18.399533,0.67768728,-0.081692632,0.0087657455,-0.21500776,-0.093954818,0.55390422,0.32585091,1.7805977,-1.0859856,-0.67812278,-1.0352138,-4.1500061,0.19179314,0.016448673,-0.095255156,0.20236958,0.066714517,-0.057398583,0.039783157,0.18907138,0.20001669,0.012156085,0.15902469,-0.5141242,0.18473516,-1.3010849,0.2023248,0.19417087,0.18157767,0.14080469,-0.37733477,-2.2804737,-0.13420487,-0.56792469,-0.11761492,0.14290291,0.20177757,-0.56724754,0.52306175,0.43241277,0.51265175,0.96138531,0.74740804,0.50129606,0.25140489,0.69876182,0.83026809,0.46512709,0.81418288,0.94684449,0.97761275,0.49901537,0.7959487,0.60993019,0.061207337,0.43495879,0.0033232632,0.65825562,0.63354058,0.58565269,0.3508649,0.27387863,0.73265063,0.5955505,0.43932264,0.8876179,-0.0112806,0.40427169
-15.951761,0.99315347,0.29842119,3,15,0,17.953345,0.70896831,-0.095488189,0.011020357,-0.24335626,0.23386443,0.55830531,0.3607427,1.8853134,-0.73834006,-0.40591495,-0.74548968,-3.0047068,0.097597299,-0.32827471,-0.82025854,0.098575681,-0.1526864,-0.43254685,0.091810323,-0.08673877,0.075293918,0.078515063,0.10030388,-0.57246648,0.085003373,-1.4709189,0.021743073,-0.17738097,0.06495917,-0.12382813,-0.16382368,-0.8086315,-0.16769025,-0.62244054,-0.30311416,0.004024557,0.017627696,-0.28179333,0.46729531,0.36310387,0.46928216,0.89901809,0.72819556,0.36587884,0.48957724,0.67675467,0.74321901,0.32747359,1.0479705,1.2208444,0.91876021,0.77590477,0.70951559,0.5814395,-0.063818637,0.36044263,-0.14330951,0.96900511,0.60361673,0.45828629,0.2623646,0.51352318,0.7357245,0.56618014,0.37582659,1.1585851,-0.14699907,0.31549836
-19.659241,0.91832733,0.29842119,3,15,0,23.311014,0.40566828,-0.016518485,0.005969021,0.0035977968,0.054129189,0.41614344,0.38582997,0.26044153,-0.24388107,-0.23463863,-0.41619627,-1.4398638,-0.42785722,-0.0040013133,-0.23853068,-0.38049727,-0.45647243,0.0050633785,-0.56230236,-0.26445197,-0.33284302,-0.45714007,0.024965924,-1.2695768,-0.16854327,-1.8632601,-0.058527024,-0.29395905,-0.37205528,-0.016627677,-0.15466458,-1.7247129,-0.94339151,-1.2467266,-0.47985589,-0.21508765,-0.15835656,-0.097035661,0.28733379,0.28250479,0.36587434,0.66229909,0.3294115,0.59444709,0.2845483,0.34895102,0.61808976,0.60811643,0.57885379,0.70219928,0.66977688,0.31782961,0.64983014,0.3771512,0.24521505,0.24853631,0.16545492,0.3877975,0.35254935,0.57793175,0.23663965,0.27650287,0.46071749,0.3826367,0.30908136,0.72799255,0.2389509,0.19707991
