# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-02 14:03:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpQN9xFN/standata-16589938be36a1.json
# init = /tmp/RtmpQN9xFN/init-165899185d50da_4.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604021603-4-5d7176.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604021603-4-22276e.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.306391
# Diagonal elements of inverse mass matrix:
# 0.0355965, 0.000707874, 7.74726e-05, 0.0496684, 0.0583426, 0.00486305, 0.0234809
-16.419445,0.99802806,0.30639074,4,15,0,18.626143,0.79166761,-0.089720568,0.01938319,-0.55762238,-0.20745752,0.65554193,0.38727653,1.5934658,-0.41912809,-0.18908833,0.023252963,-0.024225718,-0.11602718,0.026642556,0.02049714,-0.2098298,-1.1307166,-0.17999059,-0.26600978,-0.045975938,0.029108824,0.022302474,-0.23081746,-0.022250674,-0.20790764,-1.2154181,-0.54337387,-2.4704923,0.026137476,-3.3375163,0.029252551,0.027396473,-0.069056557,-0.17088594,-0.11764099,-0.029026003,-0.037312647,-0.27344122,0.36691497,0.25616877,0.65609986,0.57284174,0.20906114,0.96982619,0.64752261,1.2680376,0.41001771,1.2507856,0.7021808,0.1506438,-0.013063772,0.047035487,0.72046509,0.87519304,0.43304009,0.61113559,0.41460358,0.8660061,1.0325878,1.0050097,0.68870625,0.67384069,0.87209579,1.2452801,0.91021572,0.56730054,0.55824366,0.69846152
-21.126854,0.85521685,0.30639074,4,15,0,26.300697,0.30886768,-0.038139645,0.012239103,-0.53978247,-0.56304155,0.48539316,0.42202163,0.94109135,-0.40590184,-1.1513943,-0.16425887,-0.29431182,-0.2428485,-0.27446197,-0.51424153,-0.52312133,-1.8568756,-0.059821193,-0.60116089,-0.15231541,-0.21178597,-0.23584377,-0.14928344,-1.442814,-0.30051188,-0.81747442,-0.18369927,-2.3292784,-0.46971914,-1.0685882,-0.16662525,-0.20813635,-0.10816609,-0.63354599,-0.2405759,-0.22006899,-0.25401095,-0.62511635,0.3529181,0.62457905,0.50384479,0.40879163,0.25781942,0.72119593,0.29609125,0.59219453,0.19912886,1.0357169,0.55942839,0.18499339,0.2353853,0.25293425,0.81794904,0.29721696,0.40502406,0.52072565,0.21307658,0.89981476,0.61622507,0.60050234,0.50170783,0.46739255,0.56399865,0.54652556,0.44375532,0.45842871,0.43458153,0.54984848
-14.426461,0.99065905,0.30639074,3,7,0,22.461276,0.61300296,-0.076866365,0.014848863,-0.15271885,0.089772631,0.55035645,0.35303013,1.2193328,-0.48744397,0.11674692,0.099872771,-0.033782604,-0.16353281,0.040418225,0.059073373,0.12141872,-1.4737746,-0.14320076,-0.3721251,-0.10487739,0.11414974,0.082165057,-1.5084251,-0.16121302,-0.15745678,-1.1855647,-0.42080294,-0.79574909,0.074935094,-2.9109405,0.11592672,0.11578738,0.11345458,0.12179293,0.09413097,-0.080500481,-0.078651715,-0.3712011,0.38984096,-0.037081314,0.62529335,0.50277907,0.26690392,0.85716879,0.57449796,1.0145096,0.3692629,0.74276524,0.64895651,0.23794373,0.044971081,0.099974584,0.36245291,0.73418151,0.43594851,0.57095528,0.36791982,0.47835581,0.89138572,0.86951599,0.66025749,0.6598229,0.74685802,1.0108283,0.7837394,0.4751867,0.47621395,0.64928471
-16.166622,0.90875176,0.30639074,3,15,0,18.794122,0.41580571,-0.078108662,0.019130599,-0.23638383,0.31730406,0.6024369,0.3642374,1.0924728,-0.53279786,0.072341119,0.088539335,-0.48087316,-0.15141901,0.09091252,-0.056320523,-0.057283039,-0.26371138,-0.31470686,-0.17402569,-0.025328029,0.052674182,0.0077146943,-0.95834075,-0.08455111,-0.094822176,-1.528612,-1.7766911,-1.3128138,-0.20982282,-1.7095848,0.09086384,0.086399356,0.042695182,-0.0033670238,-0.66107361,-0.41118637,-0.46530263,-0.18974326,0.40684152,0.070383191,0.67439151,0.31045868,0.25362533,0.99489125,0.89771845,1.1983632,0.69320819,0.67189599,0.73481287,0.17569607,0.1008572,0.14866615,0.47233285,0.78416852,0.47794476,0.655551,0.70396866,0.61031771,0.71747116,0.69120623,0.69375372,0.66501983,0.58677465,1.1582467,1.1467174,0.33496315,0.31579824,0.72706287
-14.87311,0.98715148,0.30639074,3,15,0,19.017878,0.42050507,-0.052637104,0.016013024,-0.005243567,0.22443902,0.57345712,0.32548549,0.55807458,-0.68638558,0.18299301,0.18439102,0.026687056,-0.24749927,0.17168338,0.17211703,0.20318378,-1.0542989,-0.463559,-0.20673018,-0.023182902,-0.12134803,-0.18886059,-1.8920131,-0.44550198,0.016345059,-1.8013757,-0.97817093,-0.71962444,-0.0044520206,-2.5894741,0.18472835,0.15218111,0.20250641,0.19309423,0.14179042,0.11560342,0.075026301,-0.23925551,0.43422361,0.065915199,0.63637139,0.50644595,0.30912491,0.9178957,0.61845717,1.0081707,0.48375954,0.62405148,0.70517804,0.21915679,0.26235297,0.28832924,0.33366641,0.62917478,0.50086575,0.65176379,0.50037396,0.4422588,0.79009296,0.76927213,0.63693554,0.59572494,0.71450109,0.95304737,0.81434545,0.56353232,0.5350122,0.69371336
-14.623209,0.96978774,0.30639074,3,7,0,16.121806,0.56760917,-0.046295074,0.016876318,-0.089801752,0.33005609,0.54771778,0.35045729,0.31337453,-0.19882142,0.11660548,-0.065026183,0.028615645,0.032469108,-0.054059325,0.12342197,-0.11186111,-0.71159719,-0.11224069,-0.63364548,0.1224625,0.020647563,-0.0035546916,-1.9275359,-0.0011024558,-0.34271838,-0.97135844,-1.1858022,-0.51729233,-0.032663049,-2.3425333,-0.084492002,-0.20133493,0.12131423,0.012043564,0.027261796,0.10907399,0.080304614,-0.68988275,0.2840215,0.056449575,0.48136178,0.54251847,0.15444697,0.78761176,0.66111364,1.2435308,0.54543782,0.75627788,0.56701193,0.041807087,0.16357786,0.18083908,0.2891479,0.82083414,0.35939003,0.52003335,0.56842835,0.39861963,0.80036791,0.77926307,0.47068741,0.41489364,0.74505435,1.1699153,0.85853389,0.62903102,0.58998399,0.55134331
