# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-02 14:40:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmpr1W9LL/standata-166b7e4c7d46f1.json
# init = /tmp/Rtmpr1W9LL/init-166b7e3516e0f0_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604021640-1-75a275.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604021640-1-949d04.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.315618
# Diagonal elements of inverse mass matrix:
# 0.0299996, 0.000637494, 6.68827e-05, 0.0483299, 0.0572475, 0.00429685, 0.0200001
-15.59629,0.92060897,0.31561823,3,7,0,17.850407,0.72967668,-0.056318605,0.018896334,-0.36973966,0.13911493,0.55431124,0.35743524,0.58646139,-0.037210473,-0.0045348434,-0.19153991,0.020778999,0.10097136,-0.11419091,0.1009652,-0.44195719,-0.82992802,0.098042217,-0.82223247,0.09081916,0.10648875,0.098607429,-1.0496515,0.080627959,-0.59457324,-0.6997233,-1.0020727,-1.2097991,0.030840825,-2.6113598,-0.2057126,-0.34361514,0.082197438,-0.24389352,-0.013826916,0.092362355,0.06572176,-0.88353652,0.19385583,0.17097021,0.42248545,0.54912714,0.0476642,0.76073003,0.65231929,1.3755009,0.50996409,1.0549575,0.51197457,-0.069756477,0.029361094,0.053627496,0.45568492,0.91357072,0.27573904,0.45482447,0.53303056,0.58068909,0.85790277,0.83386237,0.41603569,0.35959939,0.78407727,1.3006521,0.87777829,0.63312961,0.59379806,0.49618135
-15.285183,0.96131551,0.31561823,3,7,0,18.761128,0.44274093,-0.050672709,0.01838675,-0.2775742,-0.1200337,0.567807,0.35761219,0.60210477,-0.47213192,-0.27982147,0.071095425,-0.062817284,-0.1242193,0.09258187,-0.052584006,0.10114577,-1.4435102,0.072297707,-0.25662364,0.051020829,-0.14066354,-0.17978249,-0.61255251,-0.89083789,-0.1017213,-1.5051939,-0.49966695,-1.7503763,-0.093665314,-2.0845887,0.061817562,-0.0046269979,0.10887435,0.047625859,0.10882381,0.056509158,0.011038984,-0.29837291,0.38565769,0.31550601,0.60106067,0.49014233,0.24442835,0.93447642,0.49647397,0.95414233,0.36977453,0.90262711,0.6940414,0.1221619,0.25288576,0.27194996,0.57029354,0.49420803,0.46764072,0.64262055,0.39468287,0.68968993,0.77211772,0.7491026,0.58971846,0.52924655,0.71123221,0.87433429,0.71179371,0.58372548,0.5414131,0.67706193
-14.249114,0.98460021,0.31561823,3,7,0,16.629366,0.63525296,-0.082493783,0.018945243,-0.21644849,0.074157004,0.56438393,0.35575289,1.1366455,-0.43044426,0.1126393,0.10270777,-0.099909413,-0.073901577,0.10735231,0.072629196,0.081367325,-1.4055265,-0.036906923,-0.24655158,0.024224687,0.1099027,0.084387282,-1.29061,-0.25403996,-0.15461861,-1.3745609,-0.47799267,-1.0504647,0.069415474,-2.8523622,0.11118112,0.1043592,0.10470078,0.10004579,0.027345303,-0.082761076,-0.10815347,-0.26021482,0.37142532,-0.022165921,0.6451803,0.46699419,0.21842298,0.9572265,0.59695295,1.0916891,0.37970184,0.80418247,0.69765945,0.15123113,0.034409557,0.08742131,0.40360907,0.69454089,0.43896415,0.61394772,0.38728831,0.54304372,0.89307875,0.86659865,0.67066702,0.64913558,0.75000728,1.0606548,0.84859665,0.47650253,0.46255854,0.6919931
-15.284635,0.9673324,0.31561823,3,15,0,18.295644,0.61324259,-0.068383222,0.0088190815,-0.1018979,0.15866685,0.51024246,0.34774181,1.3225677,-0.39707671,0.11602831,0.029172305,0.021034891,-0.18886342,-0.36246571,0.070687395,0.13271559,-1.4212269,-0.30670192,-0.81618315,-0.25441087,0.13727622,0.12140015,-1.9586976,0.053535618,-0.30156539,-0.70138089,-0.43384123,-0.42615602,0.061797729,-2.8483214,0.084480488,0.1090544,0.13591397,0.13732539,0.1357599,-0.11974234,-0.074746785,-0.78048833,0.35951632,-0.071820541,0.53824647,0.53227335,0.28088408,0.65232003,0.57302034,0.96649788,0.38604446,0.6722883,0.51977886,0.30781234,0.0044057396,0.06212099,0.28801123,0.85762034,0.37418917,0.45038602,0.37167652,0.36916769,0.86481943,0.84975432,0.586916,0.61726656,0.71867801,1.0027421,0.71965019,0.45064278,0.4735118,0.52885289
-17.837426,0.96195177,0.31561823,3,7,0,18.967711,0.57522012,-0.041673422,0.0083493913,-0.12253791,0.076421284,0.41892528,0.35059867,0.70030078,-0.083190246,0.12331044,-0.34594889,0.014775259,0.025372066,-0.9278985,-0.2472546,0.072259045,-1.9513585,-0.22520179,-1.4661119,0.048926657,0.12100825,0.10688262,-2.1328761,-0.18936368,-0.6753152,-0.31774257,-0.2012097,-0.28375089,-0.13765597,-2.0487591,-0.29785225,-0.3040127,0.12466935,0.067659308,-0.014706226,-0.00082927204,-0.0021973125,-1.4682529,0.22848965,0.03796877,0.35823428,0.5322985,0.15974569,0.4902259,0.39579462,0.88171202,0.28482459,0.70483991,0.37375452,0.14045659,0.044806203,0.074028546,0.2542789,0.72016241,0.25528116,0.33146583,0.28499349,0.31861124,0.74388027,0.73172449,0.37599416,0.37366542,0.66672005,0.87702505,0.51192691,0.52122642,0.52028826,0.37333442
-17.558132,0.9820256,0.31561823,4,15,0,20.168903,0.47641507,-0.069649624,0.0069053074,-0.12202149,0.39470611,0.47576602,0.36533995,1.4420002,-0.29639749,0.04342587,-0.080646308,-0.37043848,-0.15517945,-0.6359447,0.05682994,0.08739137,-0.51532809,-0.87748708,-1.0438556,-0.26537856,0.072545492,0.087982424,-1.9661056,0.084199821,-0.44497116,-0.45194133,-1.1627347,-0.32436763,-0.28927909,-1.5905317,-0.0011900784,0.043612544,-0.02608685,0.070547095,-0.096387744,-0.70456461,-0.59275451,-0.98935886,0.32032874,-0.10906799,0.48782915,0.35017791,0.25477997,0.56039624,0.79120119,1.0126249,0.59868556,0.49232848,0.45032567,0.30713207,-0.064206259,-0.0012679767,0.25950467,0.9681981,0.32281074,0.37964773,0.57782026,0.3317786,0.68265118,0.66938418,0.54570839,0.59116069,0.52549496,1.0682342,0.92185263,0.24003335,0.27371137,0.46372194
