# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-02 14:40:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/Rtmpr1W9LL/standata-166b7e4c7d46f1.json
# init = /tmp/Rtmpr1W9LL/init-166b7e3516e0f0_3.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604021640-3-75a275.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604021640-3-949d04.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.31123
# Diagonal elements of inverse mass matrix:
# 0.0345799, 0.00071728, 7.47345e-05, 0.0501862, 0.0613272, 0.00422579, 0.0232874
-17.990161,0.9462374,0.31122983,3,11,0,23.410448,0.47512793,-0.10279302,0.010384157,-0.47887038,0.028138562,0.57530297,0.3583722,2.3836265,-0.64919477,0.062986963,0.10680322,-0.65795064,-0.34998982,-0.047701292,-0.01880246,0.10593016,-0.5281737,-0.10415491,-0.40932471,-0.57185434,0.046800091,0.10323294,-0.36860552,0.075629283,-0.1446876,-0.99224082,-1.1390092,-2.1297394,-0.1401356,-1.956918,0.085924592,0.03122976,-0.023482463,0.092298367,-0.43875405,-1.3101659,-1.0904279,-0.35580634,0.44079472,0.1066212,0.68935198,0.2566615,0.34270369,0.80050161,0.87993503,0.98162514,0.59600203,0.76697564,0.6357382,0.41765324,-0.12460281,-0.032100584,0.65038954,0.90988475,0.44561519,0.53142754,0.56578648,0.75802015,0.74792382,0.7281507,0.77400197,0.83973287,0.51675501,1.0619606,1.0744942,0.09661134,0.14535085,0.65512341
-17.132195,0.99165518,0.31122983,3,7,0,20.005239,0.54903749,-0.037190518,0.022283932,-0.33260516,-0.1548363,0.63744844,0.33004546,0.12524707,-0.39237483,-0.81843889,0.11865209,0.17720339,0.022323437,0.18947311,-0.011379802,0.036557755,-1.4269297,0.073858778,-0.16252641,0.1895009,-0.38987862,-0.37823903,-0.38292514,-0.68388957,-0.055397028,-1.9660439,-0.74489908,-2.5916437,0.12500003,-3.1713816,0.060352062,-0.15427015,0.054028519,0.18032767,0.18601556,0.11081044,0.17518997,-0.24304985,0.35607031,0.46862393,0.57568694,0.64806015,0.19089237,1.0049667,0.49075735,1.1825892,0.40655733,1.1587842,0.72303197,-0.0043142061,0.35530585,0.35171927,0.64683239,0.56377131,0.46897602,0.68529237,0.45120617,0.77840787,0.88137971,0.85569885,0.53220554,0.42629838,0.8718506,1.0449121,0.72789136,0.83100426,0.7560035,0.69299165
-16.213345,0.98226773,0.31122983,3,7,0,19.115513,0.45016556,-0.071716618,0.017600565,-0.45707275,0.069506485,0.53897287,0.40471171,1.1676296,-0.28940837,-0.17784551,-0.086686295,-0.55278038,-0.09176883,-0.091444423,-0.028909862,-0.054033559,-0.54950913,-0.081008519,-0.49822848,-0.037604811,-0.015532903,-0.026644772,-0.50170638,-0.23268334,-0.35557972,-0.86892218,-1.0816425,-1.6291624,-0.38015439,-1.2247524,-0.071062264,-0.095387041,-0.098499216,-0.032387449,-0.28541804,-0.49551615,-0.53956318,-0.51585526,0.30016959,0.23142099,0.54607322,0.28002618,0.15924323,0.8410908,0.76904251,1.1140042,0.58130392,0.85223834,0.60186971,0.087265034,0.019616355,0.063441801,0.60044146,0.73256847,0.36566723,0.52909426,0.59129038,0.72731191,0.65383725,0.62968619,0.56370883,0.53707772,0.53397842,1.0768509,0.99798426,0.30298713,0.28521297,0.59468288
-17.96392,0.90739416,0.31122983,4,15,0,23.489034,0.33587304,-0.059089032,0.017639099,0.006756293,0.60113932,0.62792636,0.34108941,0.58801329,-0.68202188,0.15579134,0.15179924,-0.26437952,-0.23967385,0.1540477,-0.1935304,-0.18440599,0.038122213,-0.90342646,-0.13265036,-0.026994518,-0.10154306,-0.16822388,-1.8585914,0.080694838,0.0088663012,-1.8339421,-2.9597655,-0.65821062,-0.21885635,-1.8385509,0.15235548,0.13211101,0.12791223,-0.056789156,-0.92777117,-0.11906662,-0.18906006,-0.16049002,0.44175858,0.014315823,0.66632746,0.38699526,0.30368298,0.97528851,0.98545842,1.2817151,0.83391369,0.50334324,0.74053767,0.20672755,0.24511738,0.27495106,0.31522302,0.86703875,0.51454908,0.68057624,0.8515545,0.43544247,0.70439984,0.68136364,0.66830756,0.62440254,0.61819558,1.2228655,1.2023271,0.44670179,0.41636937,0.72834113
-16.924686,0.99556988,0.31122983,4,15,0,20.845107,0.62738762,-0.095617137,0.019674583,-0.70345173,-0.19290229,0.50894972,0.3795559,1.7057745,-0.13613034,-0.11617432,-0.047238578,-0.69871271,0.032753337,-0.031974284,0.046450858,0.015718408,-1.138881,0.037963249,-0.5828664,0.048475202,-0.068066793,0.0012581833,-0.23311558,-0.23827301,-0.51654906,-0.73661479,-0.55286567,-2.5451228,-0.21723752,-1.622783,-0.0075334295,-0.01581168,-0.030751306,0.025496837,-0.1500688,-0.76013376,-0.77610492,-0.58880384,0.23146388,0.21869086,0.53277693,0.23559739,0.070113154,0.84648934,0.6688672,1.0991163,0.41477062,1.0584358,0.57304389,0.019646531,-0.18429512,-0.11828105,0.71448392,0.71189339,0.29603984,0.47601505,0.41671039,0.86467761,0.72261117,0.69420306,0.57145626,0.56249121,0.54764137,1.0837057,0.9399824,0.21691953,0.21217991,0.57104517
-16.087771,0.99099166,0.31122983,4,15,0,18.849248,0.70087264,-0.10148608,0.016150075,-0.39296846,0.15477947,0.62758719,0.33730564,1.8797767,-0.49867441,0.16777964,0.16532152,-0.14420907,-0.10972195,0.13200473,0.049220804,-0.18896423,-0.5714226,0.13272602,-0.29273295,-0.1168828,0.12039292,0.16521893,-0.7854737,0.16499816,-0.15352564,-1.2765016,-1.2989301,-1.8049306,0.14996412,-3.47797,0.16209906,0.15215759,0.16343714,-0.25768442,-0.56893044,-0.36379223,-0.30836576,-0.27207697,0.38943881,0.0032924035,0.67612146,0.43353437,0.25130933,0.90971474,0.86428307,1.284935,0.58985801,0.91062831,0.67627084,0.25453061,-0.10389272,-0.02436248,0.53424919,1.0253726,0.42958566,0.57328641,0.57772046,0.67000108,0.93624449,0.91082482,0.73610341,0.75971298,0.7316066,1.3111676,1.1094501,0.35219241,0.37082251,0.68361369
