# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-02 14:51:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmpu1xK6p/standata-1674702fdf9975.json
# init = /tmp/Rtmpu1xK6p/init-1674708d7c04e_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604021651-1-921d5f.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604021651-1-563209.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.323831
# Diagonal elements of inverse mass matrix:
# 0.0307018, 0.000639337, 5.66945e-05, 0.0430838, 0.0490423, 0.0045251, 0.01983
-13.732665,0.89332487,0.32383069,3,7,0,16.5898,0.45318661,-0.053962171,0.017073687,-0.11915384,0.16051506,0.55537077,0.32150585,0.57864283,-0.47057839,0.15124939,0.17788837,0.2120547,-0.071809803,0.1582789,0.15821459,0.20783032,-1.1343678,-0.18420909,-0.32709079,0.11589079,0.0070731986,-0.046900676,-1.587928,-0.44278178,0.20319817,-1.5854654,-0.94885198,-1.0127633,-0.051490218,-2.454042,0.1796254,0.20820469,0.041057549,0.21349463,-0.26675391,0.20835204,0.21558282,-0.37027195,0.37669165,0.11552008,0.58853112,0.47217043,0.24384086,0.8909511,0.60910985,1.0405931,0.47167895,0.71243279,0.66498788,0.14371724,0.20772752,0.2330426,0.389354,0.6310147,0.44895675,0.61022901,0.49068428,0.50396784,0.76493053,0.74292801,0.58647924,0.53962832,0.69006596,0.97816414,0.81584736,0.53924211,0.50671625,0.65191948
-14.89892,0.93384233,0.32383069,4,15,0,17.106247,0.51693582,-0.071616257,0.019850244,-0.0750822,0.17045671,0.44260492,0.36138936,0.63794164,-0.21698938,0.0084485006,0.089777112,-0.0088820791,0.033580515,0.053438484,0.096042915,0.073657923,-1.8437416,-0.70150288,-0.43980445,0.095083202,0.094919045,0.079396683,-2.2750281,-0.9961753,0.030407377,-1.0686202,-0.25602623,-0.37178029,-0.21790698,-1.702571,0.086324287,0.098032397,0.05921838,0.025204051,-0.089750797,0.047997517,0.019050186,-0.47400725,0.28723075,-0.15367533,0.54871042,0.33224144,0.13058143,0.89107562,0.47286978,0.91886363,0.28766823,0.54277071,0.6248976,0.031412264,0.032087519,0.071303017,0.21255442,0.46518377,0.36628258,0.55222399,0.30446364,0.35061887,0.71235233,0.68596076,0.55722411,0.5147101,0.60175846,0.86129354,0.72195993,0.38473628,0.35561545,0.61317221
-14.925666,0.97583232,0.32383069,3,15,0,17.153886,0.52823688,-0.089942703,0.016592272,-0.15238557,0.23420113,0.48880163,0.33588595,1.3376519,-0.36216353,0.025554616,0.11115458,-0.021412015,-0.021198286,0.099547459,0.048619098,0.17043828,-1.2883998,-0.77175845,-0.40917514,0.021479696,0.15334265,0.17204094,-2.0842807,-0.28750529,0.1245161,-1.1520152,-0.61731439,-0.60299036,-0.1196772,-2.1167036,0.056799249,0.049585956,0.14958217,0.17086691,-0.55372703,-0.10803494,-0.09675286,-0.40293481,0.34718606,-0.18180738,0.61721456,0.29107079,0.20881376,0.87210055,0.66688224,0.98095916,0.4259504,0.53852558,0.63785942,0.1843187,-0.064961455,0.0009644187,0.28647738,0.67798701,0.39644144,0.54658879,0.4220309,0.4181842,0.74343841,0.71863091,0.66125732,0.66622732,0.57119339,0.98369546,0.90467556,0.24861006,0.2537253,0.63980875
-15.744528,0.98412636,0.32383069,3,7,0,16.689376,0.44943158,-0.01200247,0.017645106,-0.22560223,0.14911842,0.53686011,0.35373132,-0.35662821,-0.066773437,-0.5605041,0.042413142,0.09934587,0.0880016,-0.19643733,0.10249071,-0.071436834,-0.6889071,0.11010665,-0.87057671,0.081457889,-0.31778257,-0.26134309,-1.0457454,-0.27668327,-0.015722472,-0.83861129,-1.2980583,-1.1085671,-0.29137447,-1.6219301,-0.032352875,-0.24608493,-0.069235233,0.094368886,-0.10479848,-0.16526058,-0.02525696,-0.99610357,0.21635669,0.41275556,0.36040741,0.57237804,0.089874929,0.71847056,0.56672015,1.2190371,0.54999976,0.94954529,0.50204082,-0.098565093,0.33109769,0.30903334,0.45981522,0.68481671,0.31551524,0.48986115,0.59576954,0.55454562,0.67903738,0.66029598,0.30456097,0.19720763,0.71777577,1.0805238,0.7373311,0.76731403,0.69084195,0.47143907
-15.793971,0.9675604,0.32383069,4,15,0,19.338054,0.79239692,-0.052404106,0.02093747,-0.18194866,0.26064874,0.46420182,0.35480032,0.10934783,0.074267232,0.099997893,0.015911978,0.10932475,0.10503976,-0.18215256,0.11720999,-0.323359,-1.4727946,0.06332834,-1.0680444,-0.04963445,0.11667813,0.11720574,-2.4525389,-0.04819954,-0.2393546,-0.51997609,-0.51449142,-0.31196332,0.018205408,-2.5297763,-0.01022837,-0.14132504,-0.20945379,-0.098795891,-0.10466171,0.0071843483,0.066450562,-1.1627507,0.10404107,-0.065927421,0.34026133,0.5447016,-0.055471174,0.72544133,0.49639529,1.3330668,0.36728922,0.88347279,0.45372134,-0.20498498,-0.012120193,0.0037504393,0.19564327,0.79589812,0.20036018,0.40054353,0.39881608,0.32873161,0.84207902,0.81635504,0.32084167,0.2448462,0.78680307,1.2332296,0.73637441,0.66647453,0.61310402,0.43231675
-15.256186,0.99289846,0.32383069,3,15,0,17.997402,0.73925043,-0.05931045,0.018608811,-0.18509642,0.27266619,0.43664256,0.37223508,0.40367214,0.018785633,0.021362291,-0.011858065,0.0647566,0.066735261,-0.302227,0.067162002,-0.13396424,-1.3489743,-0.10323341,-1.0922122,0.0037432114,0.052044134,0.063226517,-2.3224172,-0.086553299,-0.26246854,-0.43135367,-0.4894663,-0.27989476,-0.096189323,-2.0250697,-0.013628419,-0.07792599,-0.079331411,-0.035153289,-0.15643308,0.064554884,0.069285398,-1.150451,0.11830464,-0.11524734,0.35004032,0.46455131,-0.026613669,0.67913502,0.52429053,1.2373304,0.37308155,0.78134582,0.43266115,-0.13477578,-0.06913365,-0.040995404,0.18588379,0.79218448,0.19678959,0.37247503,0.3934993,0.31107181,0.78585611,0.76182997,0.34841339,0.29801854,0.70294329,1.1701277,0.75010444,0.53622856,0.50126441,0.41861167
-16.676317,0.96465336,0.32383069,3,15,0,17.986726,0.56577728,-0.089104755,0.026980914,-0.24090678,0.030028052,0.39457974,0.38424579,0.65385832,-0.10440811,-0.081169582,0.03035451,-0.30696013,0.037405959,0.036184605,0.0028883959,0.010476951,-2.2914413,-0.47482362,-0.35075982,-0.045877838,0.011545366,0.031162188,-1.7861858,-1.7519288,-0.076142711,-1.0664737,-0.095842977,-0.64626182,-0.35201777,-1.2883631,0.029892123,0.035987108,0.03398569,-0.074103043,-0.14055504,-0.13230784,-0.21226984,-0.39593379,0.20472941,-0.18722188,0.54604476,0.18105542,-0.0061563091,1.0199638,0.39885367,0.91061455,0.17070969,0.61103471,0.66138629,-0.15694185,-0.087602888,-0.043377658,0.2661569,0.27308189,0.31678524,0.57096599,0.19845638,0.44935279,0.66083824,0.62571862,0.5475043,0.47862543,0.53237082,0.81843636,0.72932061,0.27605217,0.22840364,0.64223101
-17.326872,0.98879523,0.32383069,3,7,0,19.512795,0.93088828,-0.084875665,0.018182144,-0.30287301,0.21169955,0.41530124,0.32636164,1.0142929,0.17813169,-0.11778215,0.083614444,0.18734335,0.17170399,-0.42274435,0.19921576,-0.18073868,-2.1416659,0.11108312,-1.5793265,0.11882696,-0.19848962,-0.05730572,-2.9643945,0.1695558,-0.43790451,-0.21625756,-0.21459106,-0.26727455,0.13421722,-3.2305303,0.12564129,0.1094264,-0.044187211,-0.12873654,-0.13021915,0.18345159,0.17871533,-1.5979321,0.069506541,-0.26051461,0.34199498,0.44643829,-0.078742705,0.63553864,0.51843232,1.2850949,0.29359831,0.86174624,0.38419836,-0.13215324,-0.29165129,-0.23448868,0.1788641,0.91840326,0.13113477,0.29806958,0.29747347,0.31577414,0.88089505,0.85496049,0.37345805,0.36047572,0.72845215,1.2649555,0.76555082,0.43918969,0.43139366,0.38098863
-15.683573,0.93512928,0.32383069,3,7,0,23.953115,0.46345391,-0.064754932,0.010761078,-0.076012048,0.20322332,0.53732396,0.40829593,1.1667893,-0.54597323,-0.023185102,-0.055377361,-0.027637337,-0.34226319,-0.19271644,-0.090445842,-0.033524205,-0.84948996,-0.51458636,-0.48448696,-0.33560767,-0.057991397,-0.097646446,-1.3434061,-0.19443839,-0.03196872,-0.90461122,-0.68217575,-0.56604566,-0.16367925,-1.7871064,-0.082015893,-0.092412247,-0.095060849,-0.029551843,-0.31196879,-0.044611638,-0.040016963,-0.47565413,0.41750041,-0.0017901482,0.6036169,0.4614302,0.3261708,0.76224626,0.64976209,0.94126009,0.47511673,0.59522617,0.60781843,0.32275125,0.10774048,0.15757362,0.33653968,0.76104193,0.44585427,0.54210745,0.46874089,0.42543972,0.78356175,0.76688604,0.64006443,0.6519352,0.65481401,0.95389201,0.81030131,0.41545977,0.4250658,0.61159117
-14.894671,0.99465477,0.32383069,4,15,0,17.651369,0.39862302,-0.053377566,0.00509154,-0.36368497,0.080610577,0.48988522,0.33525759,1.4548626,-0.2625758,-0.11203125,0.15801385,0.098542954,-0.13709408,-0.97583686,-0.046503974,0.14740172,-0.63012639,-0.11051476,-1.3763776,-0.24518356,0.17272967,0.15513636,-0.7830018,0.12502539,0.019923092,-0.38827201,-1.2125053,-1.3776782,-0.45489758,-1.5034811,0.17296505,0.17184132,0.17388304,0.1691366,-0.28423353,-0.035918324,0.012693447,-1.3208556,0.31324378,0.25353492,0.44020802,0.36983141,0.26441248,0.49161097,0.72259769,0.92279482,0.57485848,0.74713827,0.40966188,0.30693968,0.016341188,0.064976363,0.53619941,0.89516331,0.31394292,0.35549624,0.55826639,0.59058568,0.62402833,0.61406136,0.48536707,0.52160396,0.50278611,0.96721678,0.82092089,0.28281316,0.30962556,0.42032942
-15.338114,0.92438818,0.32383069,4,15,0,19.409491,0.8054609,-0.091801041,0.027459487,-0.65956028,-0.17379629,0.51070914,0.36895765,1.0334688,0.0067074022,0.00021421106,0.077668391,-0.01830288,0.057225662,0.074806004,0.070220711,-0.23323963,-1.6653303,-0.053450614,-0.49632976,-0.110703,-0.02239912,0.025943826,-0.47171084,-0.38436424,-0.14618278,-0.8823238,-0.34298583,-2.2733763,-0.026458569,-2.2456408,0.077874818,0.056350689,-0.065197254,-0.067660777,-0.46302855,0.060871108,0.028746158,-0.55303399,0.13945182,0.14565247,0.48873026,0.33796267,-0.07545021,0.96989487,0.54641884,1.2911609,0.31103342,1.189276,0.60452124,-0.22674414,-0.16544285,-0.11920365,0.61308823,0.64514823,0.25287126,0.51136483,0.33860613,0.80013827,0.83125001,0.79540554,0.49158541,0.42298731,0.69754375,1.1992342,0.88384487,0.4314418,0.38404074,0.58546204
-16.405593,0.91102319,0.32383069,2,7,0,25.033075,0.81662248,-0.10199699,0.029055156,-0.72538825,-0.31196706,0.54179654,0.31710221,1.2643772,0.044952882,0.056928389,0.20481495,0.096526042,0.22318635,0.20187645,0.22759872,-0.074687503,-2.5151418,-0.11112311,-0.26019059,0.056562572,0.099005464,0.17183769,-0.19685129,-0.66373708,0.050066766,-1.4584719,-0.16953222,-3.8673526,0.15813857,-3.2936431,0.19810291,0.22868084,-0.023824418,0.10495214,-0.49540039,0.19884998,0.15310601,-0.31886669,0.19269783,0.186344,0.57059016,0.33641303,-0.035893476,1.0746587,0.52002454,1.2473723,0.25704172,1.2617643,0.68615429,-0.1865413,-0.16205575,-0.10777268,0.70715001,0.57614223,0.30998944,0.5826514,0.28331439,0.9077042,0.88012528,0.84175387,0.57957898,0.51354097,0.72575228,1.1583229,0.88183978,0.42137066,0.37597568,0.66788655
-16.543784,0.89415845,0.32383069,4,15,0,21.106233,0.46316178,-0.098685683,0.015427441,-0.64400113,-0.1636823,0.50109264,0.31700444,2.0483301,-0.28245621,0.018400621,0.18237811,-0.39473127,0.053073953,0.067008538,-0.034683386,0.19572384,-1.202366,0.14450925,-0.58466668,0.040754843,0.099536427,0.19481203,-0.15253507,-0.30022934,0.12996248,-0.99041312,-0.78140193,-3.3935531,-0.43773074,-1.616936,0.10700026,0.064978077,0.20795802,0.21491664,-0.85293435,-0.72033936,-0.63742624,-0.55398152,0.32089781,0.20617494,0.59773083,0.14568255,0.18851879,0.81906158,0.73060166,0.91712031,0.46347207,0.8689949,0.59538319,0.19497506,-0.16186766,-0.083977986,0.72275754,0.67358384,0.35827491,0.4952405,0.45083847,0.85337856,0.63368996,0.60924871,0.65716561,0.68206263,0.43359087,0.94512191,0.96651063,0.062984269,0.082485245,0.6030774
-18.754439,0.93866416,0.32383069,3,15,0,21.235132,0.57965888,-0.014687738,0.021727634,-0.40392634,-0.037474117,0.56988388,0.44009805,-0.40968904,-0.17419075,-0.85184207,-0.15718525,-0.14649751,-0.098830971,-0.21222115,-0.098350337,-0.39320865,-0.77549213,-0.23169839,-0.6846842,-0.21901055,-0.35187641,-0.30965806,-0.51582735,-0.36251444,-0.20800037,-0.76553986,-0.86267654,-1.4155933,-0.23744485,-1.529689,-0.22319839,-0.41872845,-0.35543584,-0.17047441,-0.22097478,-0.4652999,-0.30471787,-0.7811781,0.17159303,0.54032186,0.34881566,0.6368085,0.015870006,0.78981888,0.50810387,1.3380617,0.48777754,1.2274226,0.52334987,-0.21634725,0.313488,0.28621756,0.59777516,0.68000686,0.29374508,0.50844529,0.54419178,0.71437351,0.7677349,0.74466571,0.2799355,0.14762041,0.8156795,1.1673456,0.71809865,0.8771099,0.78285473,0.485632
