# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-02 14:51:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/Rtmpu1xK6p/standata-1674702fdf9975.json
# init = /tmp/Rtmpu1xK6p/init-1674708d7c04e_3.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604021651-3-921d5f.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604021651-3-563209.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.266329
# Diagonal elements of inverse mass matrix:
# 0.0312439, 0.000631009, 6.23436e-05, 0.0431103, 0.0536749, 0.00466276, 0.0192331
-14.907443,0.99118524,0.26632886,4,15,0,20.292198,0.66126648,-0.099971985,0.022473222,-0.56305967,-0.2383465,0.49024384,0.29110554,1.5179635,-0.087377697,0.27447157,0.26782407,4.8181865e-05,0.27814837,0.30447173,0.31479713,0.31467488,-3.0592571,0.31111734,-0.4127527,0.31505548,0.17777234,0.27009862,-0.63134301,-1.0134878,0.16431205,-1.4523256,-0.058042422,-3.1471469,0.039375778,-3.0233344,0.2267743,0.25650383,0.24569019,0.30470957,-0.244978,0.014081619,-0.025719183,-0.4373904,0.26118789,0.083012868,0.5895421,0.26891182,0.079170536,0.95749632,0.50752095,0.99120886,0.2437542,0.97391872,0.6487661,0.003574631,-0.15257848,-0.087362954,0.59948408,0.52546784,0.34012033,0.54731812,0.25149001,0.76603113,0.78381416,0.75220964,0.6223728,0.59968147,0.60848569,0.95797319,0.80810709,0.27411664,0.25964833,0.64287122
-17.45717,0.88058065,0.26632886,4,15,0,20.403121,0.31897342,-0.052801937,0.010115653,0.039740629,0.19605484,0.55781234,0.42428556,0.93380784,-0.76618418,-0.073474758,-0.13703726,-0.062790048,-0.55109327,-0.14927366,-0.10181058,-0.1523733,-0.81473633,-0.75969293,-0.3454569,-0.5080553,-0.25787024,-0.31791599,-1.2716474,-0.44317249,-0.064959807,-1.1525548,-0.69645171,-0.54954937,-0.24091499,-1.5456454,-0.16098384,-0.16129194,-0.12102871,-0.15415784,-0.25416067,-0.066222319,-0.065969922,-0.34475683,0.50366617,0.065413716,0.66481436,0.47921373,0.41980834,0.82232242,0.62033654,0.81920922,0.47926959,0.49865927,0.68030883,0.40092868,0.26583464,0.30378728,0.33995091,0.62934703,0.5348319,0.62672731,0.47809349,0.41914578,0.74590642,0.73096792,0.68917034,0.68946331,0.64628777,0.81744095,0.7633106,0.45916115,0.4602893,0.68070328
-18.552605,0.98617452,0.26632886,3,7,0,20.543009,0.27471623,-0.024923891,0.008069518,0.17463304,0.2824727,0.53957548,0.45313266,0.32276336,-0.66525053,-0.16268127,-0.13900004,-0.14268161,-0.53141512,-0.32843598,-0.13495489,-0.20343164,-0.7544865,-0.83152408,-0.50523277,-0.44101855,-0.50531578,-0.5273579,-1.5091388,-0.46396245,-0.12741671,-0.94876716,-0.74066805,-0.34736508,-0.32506243,-1.3367349,-0.13844076,-0.13219193,-0.20734481,-0.23193636,-0.1843394,-0.15827858,-0.1501505,-0.51761692,0.46998501,0.12042267,0.56911382,0.57930062,0.40733926,0.71264972,0.55581708,0.82326263,0.49252447,0.46225699,0.60607961,0.35889158,0.39396366,0.40528896,0.24671671,0.62821341,0.50446405,0.58078774,0.50185332,0.30057209,0.71507052,0.70472449,0.56743181,0.54450744,0.68122659,0.79277596,0.65295656,0.61266594,0.59672513,0.59967647
-14.628408,0.99254679,0.26632886,4,15,0,22.783874,0.78224769,-0.082995418,0.011372375,-0.43296208,-0.062050736,0.55312596,0.32101471,1.7390657,-0.2205108,0.17901874,0.21498104,0.20644299,0.022701609,-0.29675272,0.15479828,0.12347674,-1.6043274,0.21216949,-0.96861386,-0.028168803,0.14364289,0.20290492,-0.8778101,0.21631455,0.063978554,-0.64422247,-0.45350408,-1.6886293,0.20660255,-4.015578,0.18750994,0.15803222,-0.15842382,0.065236896,-0.21211839,0.20835418,0.21565143,-0.92264989,0.30039863,0.088859104,0.52200178,0.54736854,0.2002824,0.67449599,0.61352445,1.1390798,0.38726419,1.032612,0.5056074,0.22493883,-0.12323528,-0.054525027,0.52491126,0.98553486,0.32221973,0.42138663,0.37183257,0.62675343,0.95297986,0.93402681,0.57839577,0.6105499,0.7782861,1.1770494,0.79750572,0.45698977,0.48140135,0.51528273
-15.742003,0.96665717,0.26632886,3,7,0,17.230671,0.72758242,-0.074897334,0.010092709,-0.31777783,-0.10841134,0.59993532,0.32697348,1.6398061,-0.56597459,0.10740085,0.1491183,0.094936329,-0.26588974,-0.12392101,0.18107027,0.18468963,-1.7319191,0.19820091,-0.59921225,-0.34027918,0.19701964,0.16703117,-0.81848907,0.17053796,0.17127571,-1.0217031,-0.35134392,-1.6257758,0.19793416,-4.4564701,0.086893253,0.03889329,-0.39484171,0.16021731,-0.040586877,0.17896311,0.16252886,-0.56454478,0.40442067,0.1399025,0.60321117,0.64912382,0.31526328,0.73725542,0.56180995,1.0551957,0.35745648,1.0125515,0.58688614,0.33955432,0.02025148,0.082597559,0.53357792,0.9220736,0.42309242,0.51088301,0.34302046,0.62463291,1.0146485,0.99771474,0.65478279,0.68498979,0.85631991,1.0909908,0.72630938,0.56535312,0.58823296,0.59595749
-14.674436,0.99732946,0.26632886,3,15,0,17.714686,0.48555635,-0.062452906,0.023560747,-0.1523891,0.31705077,0.44054678,0.29414544,0.21690579,0.089649123,0.26807958,0.297542,-0.026211671,0.30382968,0.24044412,0.24238218,0.2196761,-1.4521272,-0.67881928,-0.67908155,0.17658744,0.2958703,0.28332398,-3.090767,-0.9953714,0.072116227,-1.2821207,-1.0379632,-0.5523704,-0.57010353,-1.6503675,0.28858562,0.20143687,0.29573749,0.3034647,-0.51814186,0.23189231,0.13983955,-0.79044168,0.1929259,-0.079650789,0.46470156,0.26068992,0.012567486,0.89451837,0.60387977,1.1213266,0.44862524,0.58744874,0.58739374,-0.14891719,0.039182348,0.060879483,0.23346925,0.52568397,0.29936513,0.52401877,0.48202274,0.38512003,0.61091642,0.58165131,0.44712449,0.36629769,0.53947454,1.0148694,0.87735186,0.38772264,0.33107606,0.56466791
