# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-02 13:55:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpMifgYK/standata-164fbd40dfbaa5.json
# init = /tmp/RtmpMifgYK/init-164fbd5adf7dcb_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604021555-1-40c93a.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604021555-1-2289c8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.181509
# Diagonal elements of inverse mass matrix:
# 0.0304366, 0.000549146, 6.99545e-05, 0.0465914, 0.060581, 0.00612115, 0.0630911, 0.809025, 1.03164, 0.8443, 0.831506, 0.982351, 0.832926, 0.922155, 0.788626, 0.816709, 0.835109, 0.83571, 0.914059, 0.853148, 0.779488, 0.705634, 0.719707, 0.903613, 0.643098, 0.992524, 0.728828, 0.816709, 0.908166, 0.699949, 0.856741, 0.985042, 0.833672, 0.866755, 0.79102, 0.59275, 0.79909, 0.90599
-59.409091,0.65045104,0.18150893,4,15,0,69.372653,0.65225795,-0.080792689,0.014721778,-0.26772019,-0.060097388,0.5446873,0.34702127,0.12394735,-2.3059313,-2.2223352,-0.0049361621,0.32571099,0.37890086,1.0963207,0.17393639,-0.022314986,-0.95430346,0.99748319,-0.53632163,0.35492316,-0.72887574,0.066097272,0.95201406,2.2795393,1.5555974,1.148165,0.62464138,0.12364533,0.25873342,-0.27302703,-1.3592031,0.53546427,1.3163771,-2.0927305,1.5361865,1.0935292,0.068437631,0.65878537,-0.28581408,-0.35434381,-0.10285158,-0.058591941,-0.043737154,0.071428146,0.0030291831,-0.03460276,-0.1410119,0.028382264,-0.081549132,-0.042981569,-0.10874012,-0.081868275,0.064916088,0.24228887,0.23768294,0.27567418,0.059259141,0.025030499,0.041132142,-0.033724441,-0.1661148,0.06636938,0.17136078,-0.12657115,0.19040626,0.154639,0.093261762,0.13153811,1.4055308,0.039867064,-0.31213774,1.151633,1.0186939,0.18244015,0.66855449,0.45980917,0.43338839,0.53051976,0.55856654,0.52210169,1.0213485,0.62201323,-0.13480255,0.39256553,0.59624536,0.57784208,1.0146285,-0.06479377,1.0103908,1.0196027,0.56910606,0.19261151,0.45075313,1.1021411,0.54970674,0.50104217,0.65416794,0.17229597,-0.1904844,0.28155809,0.019876218,0.44756506,0.82686216,0.6177977,0.53817702,0.30429653,0.62118995,0.71221857,0.4896236,0.63122819,0.94020569,0.79881525,0.44007144,0.81701905,0.87680712,0.29926018,0.72565095,0.088407977,0.75892963,0.6566325,0.46803099,0.085087517,0.3717051,1.0119839,0.50583101,0.60777562,1.1337255,0.095254807,0.36292771
-63.362562,0.97949476,0.18150893,5,31,0,80.529765,0.52414533,-0.04777331,0.012373628,-0.35691854,-0.026225414,0.53712317,0.26481704,0.084027008,-1.2830876,-1.2670322,-1.7729943,-0.052099443,-1.1195338,0.36256802,-1.2506125,0.25902063,0.05892786,2.204778,1.6411836,0.21723889,0.26566967,1.0218347,0.48963253,2.3170354,1.8825929,1.1580692,-0.028028161,0.40015668,1.6471516,-1.2622517,-0.78309592,-0.8555967,0.63679709,-2.35817,0.78644856,0.66341902,0.069502043,0.71243815,-0.10781401,-0.13608067,-0.18272579,-0.07188093,-0.15438575,-0.015010042,-0.13157656,-0.028201913,-0.040021979,0.11326307,0.13213385,0.11124182,0.082890526,0.12440824,0.018881533,0.16681462,0.18500757,0.20503581,-0.016651559,0.016966278,0.093741255,-0.1080762,-0.097422347,-0.071893231,0.04194498,-0.14952344,0.066082919,0.062326287,0.03915243,0.067117452,0.88992345,0.24254623,0.52786286,-0.074878367,0.87694423,-0.40645374,0.71327993,-0.13816437,0.071902682,0.89151456,0.43491485,0.99314453,0.98624949,0.80001286,0.65393218,0.6826413,1.0876496,0.35949062,0.56609085,0.36303403,0.50303262,0.56244834,0.37820294,0.73564843,-0.026212255,1.0742295,0.23131957,0.25363827,0.94811876,0.3967744,0.28206426,0.53229172,0.1618509,0.27808864,0.67047605,0.29876306,0.50177465,0.34214739,0.44723125,0.90757428,0.64513378,0.91060791,1.1339875,0.84198468,0.71394325,0.70072967,0.67002189,0.33108796,0.75738213,0.29052464,0.76485123,0.56002338,0.40005988,0.10208822,0.39323078,0.71838303,0.35976963,0.4115402,1.1156639,0.15733731,0.21089023
-60.176402,0.98033377,0.18150893,4,31,0,84.810851,0.7618698,-0.11231275,0.034258972,-0.19252067,0.43275758,0.60271849,0.46207952,0.11642968,0.97981848,-0.087050796,-0.82799421,-0.30801564,-0.03364996,-0.26563242,-0.67428154,0.25621529,-0.26018415,0.78215196,0.38593899,-0.15245162,-1.9102241,-0.11299525,0.038964544,-0.6253559,-0.74459504,-0.13234322,-0.38882182,0.3158418,-1.6294138,1.6452439,-1.0524852,-1.4176382,-0.28723433,1.5520641,0.37836961,-0.57474401,-0.35322068,1.5279905,0.11407995,0.028080836,-0.069624005,-0.031813178,-0.011463624,-0.026865237,-0.078958493,0.017270025,-0.029913644,0.063014671,0.053639767,0.034077927,-0.13440754,-0.087579315,-0.0024155372,-0.069974024,-0.099911833,-0.088461672,-0.048275973,0.015040534,-0.10940333,0.17165886,-0.071406951,-0.16505516,-0.05816967,0.11397443,0.044053452,-0.061963645,-0.064012398,0.026961344,0.73478715,0.95752346,-0.39763111,0.82228041,0.80810668,0.57884029,0.51535717,-0.23668579,0.53398319,1.0552186,0.43975514,0.62114836,1.7982307,1.0807085,0.49600746,0.50321422,0.22911618,0.11695083,-0.48866453,-1.1633292,1.010923,1.4393108,1.1140458,-0.40342491,-0.13532435,1.2675756,0.32423133,0.81364508,0.84662626,0.23976219,0.27631342,0.60789194,0.32268212,0.69061375,0.84240939,0.62736925,0.34806275,0.49226436,0.74467652,0.71642313,0.49925499,0.76239228,1.4359921,0.78433248,0.7352331,0.75539948,0.77958891,-0.11578286,0.1731863,-0.35784199,1.2566486,0.6171662,0.484901,-0.044372886,0.37044214,1.2710189,0.98818314,0.48140041,1.4583934,-0.13512609,-0.13907148
-54.567088,0.94145584,0.18150893,5,31,0,79.300742,0.71742172,-0.05859296,0.010901189,-0.49384938,-0.053766773,0.55316591,0.23892166,0.1308098,-1.2371014,-0.83695013,-0.53406508,-1.2171687,0.93504484,0.18099966,0.56146013,0.15702284,0.6974688,0.50719886,1.5835086,0.2711973,1.7963184,0.26761851,-0.26830832,1.252748,1.0790262,0.89831735,-1.3039411,-0.25113038,0.92862593,-0.61762405,-0.0036827851,0.71929347,2.7633039,0.96482092,0.12330203,0.37979783,0.29608956,-0.5901469,-0.16182499,-0.15675257,-0.11858667,-0.21354723,0.002444395,-0.021638143,0.029979246,-0.009343013,0.058414589,0.064205552,0.19453176,0.16748218,0.26959195,0.23089663,-0.020157567,0.14842795,0.17039137,0.20624716,-0.17789449,-0.098619041,-0.017064153,-0.11380236,-0.061957754,0.094090636,0.3715755,0.3057759,0.016129114,0.051091267,0.059559269,0.017101649,1.2738851,0.60455938,0.38414016,-0.07693093,0.79559296,0.71275828,0.7044522,0.43062659,0.2242101,1.425396,1.3745529,0.89866624,1.3715665,1.3041914,0.85828207,0.73312212,0.5565391,0.26527253,0.63976345,0.1337311,0.49338856,0.10710366,0.49443302,0.0276223,0.18517176,1.1709908,0.80116346,0.087967569,1.6665842,-0.41926608,0.072731477,0.51925194,0.082757082,0.2522985,0.64133453,0.44942394,0.53093513,0.50676459,0.43504419,1.1911907,0.61390747,1.2094261,1.38365,1.1407267,0.86682103,0.73913734,0.57985665,0.1851855,0.80106303,0.11195058,0.69304498,0.39900027,0.462362,0.086764246,0.57315275,0.95562084,0.7361191,0.28827922,1.2663063,0.031590525,0.14876008
-59.169562,1,0.18150893,5,31,0,71.164768,0.43861635,-0.052611817,0.022745469,0.069411282,0.17739138,0.5974701,0.33778512,0.045086626,1.3215541,1.0916909,-0.54470258,-0.4669339,-0.85497774,0.1939116,-1.0902266,1.1538012,0.62991159,0.84693258,-1.0399724,0.77730758,-1.1947965,-0.37977655,0.14666727,-1.4363808,-1.0187562,0.2372491,1.0482408,0.12979447,-0.25163677,0.77212601,-0.91192828,0.68731529,-2.2117643,-0.36670206,0.95042645,-0.77274177,-0.85443804,0.90432661,0.059584416,0.066126932,-0.0035719544,-0.0059914657,-0.026687812,0.015793469,-0.034848841,0.052237977,0.044268665,0.060127468,0.0016725216,0.031934064,-0.011286054,-0.0077880535,0.02249618,-0.040694634,-0.041288527,-0.024493725,0.050526996,0.025466609,0.01725433,0.045318042,-0.015319723,0.030988727,-0.093844091,-0.061397411,0.042851521,-0.030186469,-0.046110824,-0.021039155,0.11031658,0.86732434,0.4046406,0.7562349,0.79586399,0.31714233,0.54574634,0.72524736,0.36468533,0.69908588,1.315656,0.49206233,1.6184534,1.0353394,0.052170275,0.65759399,0.75777302,1.0131946,0.46137117,-0.04432449,1.427863,0.48485032,0.20126853,0.40873307,0.58735636,1.2721067,0.60288654,0.31110902,1.288465,0.37092622,0.13635872,0.50573007,0.52497249,0.78055147,0.81279508,0.56662093,0.64087345,0.38874354,0.73391849,0.69043295,0.74741455,0.43077425,0.93977595,0.83505145,0.50687026,0.82023868,0.77187793,0.33239398,0.27941102,0.093549288,0.79658034,0.72533152,0.58792439,0.27130626,0.41775426,1.037165,0.7761146,0.60874802,0.99341348,0.31508817,0.094780276
-57.926374,0.97412522,0.18150893,5,31,0,79.44871,0.35225308,-0.033610758,0.010116162,-0.13150671,0.17120699,0.47185148,0.31396692,0.1155785,-1.5504877,-1.9548803,0.36103897,0.048633509,1.600407,-0.47473787,1.0306542,1.0610782,-0.1805132,0.0030097588,1.3962524,-2.1987172,1.1927428,0.32846113,0.072188145,1.1904228,0.27549357,0.30405493,-1.0478384,-0.47077231,0.0058239699,0.35100234,0.94477538,-0.46597501,1.9296394,1.3227015,-0.38691208,-0.37455059,0.80053221,-1.2385517,-0.17920305,-0.27242376,-0.031559634,-0.053924764,0.1089443,-0.08625936,0.057961239,0.092158068,-0.0072849887,0.0042311965,0.1318748,-0.04298428,0.12024354,0.10742793,0.0089966925,0.12624046,0.071550052,0.083464555,-0.12813643,-0.10057511,-0.087803443,0.0060310287,0.077115701,-0.053856695,0.21223215,0.23743167,-0.04471872,-0.047713224,0.054204598,-0.0279442,0.51570011,-0.2785129,0.54665343,0.57265619,0.07387363,0.73002421,0.82260479,0.90224852,0.27660861,0.73720241,0.60275874,0.70555109,0.71829031,1.2001775,0.26012927,0.64492107,0.91700924,0.27756711,0.46479911,-0.13429011,0.86242873,0.46749399,0.11067295,0.51098644,0.33513052,1.4608006,0.84371525,0.17944495,1.0312204,0.44514282,0.11398222,0.25525794,0.029617978,0.4076496,0.5456941,0.51454568,0.36312327,0.55796898,0.52331269,0.6270023,0.47128123,0.80015537,0.82959973,0.73304853,0.68327122,0.57309844,0.59245356,0.27945401,0.44912901,0.066450114,0.5993714,0.34255594,0.43804306,0.30003851,0.43586838,0.82007151,0.71074789,0.299224,0.8590903,0.24530423,0.13883563
