# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-02 13:55:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpMifgYK/standata-164fbd40dfbaa5.json
# init = /tmp/RtmpMifgYK/init-164fbd5adf7dcb_3.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604021555-3-40c93a.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604021555-3-2289c8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.145959
# Diagonal elements of inverse mass matrix:
# 0.0315089, 0.00066721, 7.86069e-05, 0.0530892, 0.0650315, 0.00766792, 0.0448306, 1.15265, 1.13111, 0.78551, 0.945365, 0.975933, 0.888242, 0.863907, 0.963265, 0.897779, 0.924645, 0.982119, 0.865068, 0.979481, 0.845219, 0.894108, 0.678813, 0.88258, 0.76914, 0.896116, 0.962348, 0.90559, 0.860968, 0.832823, 0.948181, 0.961232, 0.785558, 0.890561, 0.927398, 0.928576, 1.03393, 1.10329
-50.456137,0.9694504,0.14595899,5,31,0,65.490628,0.41788055,-0.072695016,0.015439695,-0.16378919,0.19895128,0.4941012,0.30922103,0.21077215,0.030342952,0.57654037,-0.53370192,-1.482387,0.55282997,0.24552368,-0.15108334,0.19403709,2.2942336,-0.43100654,1.0875643,-0.06864828,0.2461349,-2.2308792,0.76683305,1.0936157,0.31504888,0.88524006,-0.31633725,0.32177415,0.074954253,0.59063683,0.30659051,1.1291131,0.94491559,-0.071692183,-0.37802154,-0.6830766,0.95792775,-1.6954849,0.0063954493,0.11682118,-0.089558425,-0.30107359,0.012090682,0.036274178,-0.026418435,0.030728377,0.4403744,0.097862213,0.31354136,0.25578167,0.23412304,-0.039611276,0.21632604,0.31154142,0.22969608,0.31857688,-0.05073275,0.053896133,0.047902612,0.13200892,0.10821386,0.2379856,0.2330569,0.12130458,-0.079676413,-0.15149077,0.09575281,-0.10514899,1.077408,0.19088629,0.21689027,0.002997811,0.42768142,0.55620349,-0.046197979,1.0050108,1.0474464,0.81987017,0.53825361,1.1396933,1.1635747,0.77698576,1.0558682,0.45626716,0.39435622,0.57603672,0.96293343,-0.14500251,1.3372972,0.90336626,0.25742174,0.17309878,0.81470047,1.1422055,0.16013156,-0.070851532,0.8413476,-0.029300243,0.15938964,0.47661263,0.47279584,0.46004822,0.34808571,0.61780944,0.32185484,0.44642303,0.64663466,0.99879592,0.38945459,0.94158262,1.1775796,0.90536189,0.62301125,0.75646693,0.93243346,0.32410449,0.67219771,-0.073567758,0.92697488,0.63632874,0.43153992,0.33814646,0.70790732,1.0701047,0.74467951,0.32828351,0.78635843,0.14093591,0.080635302
-49.900039,0.90538344,0.14595899,5,31,0,72.378815,0.50258992,-0.05960998,0.013994366,-0.38861663,-0.31158671,0.66333773,0.304578,0.26840076,-1.8369446,-1.1421972,-0.3908423,-0.048342905,0.41949806,0.68034277,-0.51836339,1.3087499,-1.5984496,0.73745256,-0.56309715,-0.068569533,0.16730522,2.160011,-0.041347541,0.58115868,0.098791168,-0.037333166,0.359083,0.0086783992,0.55215691,-0.21451537,-0.85173258,0.63055602,0.090564466,0.76942259,0.60762964,-0.30805453,-1.5148282,1.2748932,-0.49303732,-0.45210184,-0.25321185,-0.17771575,-0.06856885,0.074477597,-0.17194071,0.25381176,-0.36482378,0.036606162,-0.17426224,-0.15092599,-0.068397383,0.24156281,-0.071790503,0.078625634,0.0093366585,-0.0020722834,0.051835403,-0.0049138855,0.085074858,-0.075230049,-0.2481612,0.16924172,0.049778096,0.20956745,0.16308826,-0.06524164,-0.37577492,-0.1527493,1.2752097,0.19078789,-0.19560361,0.58087129,0.66778747,1.3890933,0.17501212,0.23317951,1.0217017,0.90580071,0.10092401,-0.12426615,0.15662207,0.62861477,0.30824547,0.66196814,0.75538927,0.25635798,0.81519301,0.44850836,0.78536926,0.80885976,0.1579667,-0.020459178,0.48506091,1.0091296,0.97522505,0.93165746,0.78382211,-0.16818285,-0.034442917,0.37364008,0.055916826,0.43492606,0.73197588,0.63890501,0.69403722,0.21549265,0.97897601,0.73410874,0.6677644,0.47235273,0.76724716,0.8607333,0.77928162,0.75517494,0.82255003,0.31487498,0.762327,0.50887435,0.71738343,0.79304056,0.54509845,0.14716625,0.55027948,0.98962362,0.95819543,0.72173771,0.8780978,-0.10793379,0.19037087
-53.900679,0.97367655,0.14595899,5,31,0,68.30321,0.27030453,-0.03540557,0.013020634,-0.34448976,-0.024484827,0.70604899,0.30959258,0.22178687,-0.82255563,-1.3911849,-0.98558913,-1.0036958,-0.29954805,0.11649101,-0.36959088,0.4917708,-1.2283914,0.66256642,1.045307,-0.33474497,-0.75648676,3.1031952,0.4825338,-0.14418215,0.55617243,-0.032003343,-0.96978351,-0.63633851,-0.26877557,0.29435782,-0.77480997,0.11086114,-0.56675359,-0.044090644,0.42173395,0.18725653,-0.48887725,0.98738313,-0.18243204,-0.35146588,-0.29546917,-0.33592722,-0.24861282,-0.069786359,-0.16276752,0.010676753,-0.31012997,-0.035596558,0.085312355,-0.0089830105,-0.15853128,0.26282384,0.01170259,-0.081731518,0.041928655,0.012343372,-0.25927478,-0.24958989,-0.25391358,-0.032873334,-0.24131797,0.024587545,-0.12049315,-0.069932479,0.093535052,0.051049516,-0.063880404,0.056896817,0.8134578,0.52360858,0.035568185,-0.086430422,-0.046549881,0.54951621,0.70163998,1.0019698,0.71458955,0.80404545,0.47045367,1.0148688,1.4188755,0.57284596,1.0152449,0.57115739,0.41536468,0.036252787,1.1542187,0.42719281,0.93103221,0.48277057,0.13485085,0.31426684,0.51943948,0.72516611,0.6604629,1.1225219,1.1376417,0.55129551,0.29750699,0.70385455,0.17045553,0.40877278,0.40106735,0.37294123,0.52313499,0.5759104,0.67569847,0.68589479,0.58775698,0.85084036,1.0261364,0.59471782,1.0719299,0.72310477,0.64622777,0.48596376,0.81433835,0.364871,0.71152487,0.41972751,0.52283567,0.18070968,0.7453409,0.789755,0.67023777,0.67378057,1.1434942,0.36718157,0.39141222
-60.664279,0.91227073,0.14595899,5,31,0,79.2117,0.85950527,-0.10194963,-0.0063507749,-0.25461852,0.0061102063,0.52323813,0.38451113,0.19307206,-1.788638,0.72623725,-0.4098559,-0.81685867,-0.40092528,-0.2587231,-0.36700113,-0.66629156,1.7115893,-0.039972406,-1.2698757,0.33111213,-0.10335353,-2.4234011,-0.28863426,0.88977106,-0.8911456,0.53633118,0.40264483,0.78295746,-0.3505735,-1.0843406,-0.44600293,0.74373448,2.5050178,0.39717175,0.025232122,-0.33434617,-0.84832301,-1.4985571,-0.34533603,0.018393821,-0.13137617,-0.21767934,-0.18307164,-0.10735213,-0.14092759,-0.194488,0.18403002,-0.0018288257,-0.19286768,-0.10259994,-0.07912508,-0.33224865,-0.11854922,0.075679345,-0.17027487,-0.069113567,0.042705901,0.13538664,0.059208189,-0.21008083,-0.14852684,0.14359435,0.49986733,0.33344208,0.0048716179,-0.063694113,-0.17289973,-0.28753236,3.113436,0.39358822,0.99626401,-0.083570965,0.88846213,0.76193605,-0.08304748,0.55295126,1.0772388,1.0175047,0.32916239,0.81953325,1.2803193,1.4105218,0.29350611,0.6581317,0.055981976,-0.8081118,0.35418351,-0.019062401,1.0136149,0.55784138,0.57084261,0.79031304,0.60526583,0.61698688,0.55070495,0.067819788,0.28958639,-0.44958099,0.53849922,0.040299079,0.44292698,0.11665046,0.86347801,0.70372545,0.29588867,0.11550224,0.51056936,0.96682275,0.26982369,1.1427572,1.0009092,1.0049934,0.30235118,0.66969821,0.47968643,-0.36460466,0.29302267,-0.15111448,0.81310175,0.61371114,0.43675521,0.29526824,0.47994103,0.81496356,0.68492354,0.3342873,0.81029111,-0.49227226,0.43039412
-67.490019,0.9842397,0.14595899,4,15,0,80.219682,0.73293323,-0.12091325,-0.0084070427,-0.23200451,0.097487924,0.57521199,0.36183188,0.25592277,-1.8921747,0.90618313,-0.30650418,-0.95132219,0.73618309,-0.19510405,-0.92584262,-0.23883958,2.4431338,0.25958062,-1.2454909,-0.53672918,-0.30108304,-1.525167,0.21654389,1.3260022,-1.1785466,-0.15333183,1.0226095,0.48976081,-0.36462231,-1.2584765,-1.8075647,1.3713587,3.3841315,-1.1917329,0.2994395,0.075041514,-0.32426789,-0.84530938,-0.4842506,0.059109147,-0.14772192,-0.31477248,0.016829942,-0.11040865,-0.29643178,-0.15231487,0.44756382,0.1613689,-0.13254402,-0.1335599,-0.05456641,-0.25136551,0.01382564,0.28264669,-0.17258187,-0.13106229,0.23000128,0.18063407,0.094974819,-0.28798567,-0.49513517,0.35096191,0.90939627,0.23510232,0.076633388,0.027083985,-0.054569269,-0.14583977,3.7330554,-0.15420552,0.99979792,0.36837086,0.22529037,1.232205,0.14192711,-0.066403551,1.6882485,0.78198066,0.30896681,1.4531327,0.47831038,1.1658802,0.31437716,0.37490208,0.59875509,-0.51874097,-0.28888409,-0.1400627,1.0848912,1.0501012,0.12872593,0.11077756,0.6287781,1.2450442,0.58165776,0.023943789,1.121188,-0.062042113,1.3875738,-0.045015821,0.6214526,0.19128369,0.73901033,1.1309227,0.13410881,0.084180257,0.7401081,1.0713831,0.24544657,1.2599297,0.96349815,1.0018534,0.58125964,0.71583964,0.80839655,-0.35209051,0.28467741,-0.014503898,1.0565197,0.80533896,0.2524378,0.096177829,0.82898099,1.3174475,0.69680636,0.52091681,0.84404978,-0.38412973,0.78109528
-71.305648,0.9932272,0.14595899,5,31,0,84.066669,0.13067742,-0.033656273,0.03115074,-0.23533534,0.37826634,0.56266504,0.51025582,0.012528812,1.4686642,-1.1726003,0.069370066,-0.051415204,-0.62556436,0.43239678,0.85299049,0.68542524,-2.1838027,-0.03183507,1.2176736,0.44093761,0.41258301,1.5911286,-0.18301579,-0.8327682,1.54733,0.54834995,-1.0932257,-0.60844167,0.42706487,1.3352235,1.6355678,-0.93935188,-3.0632887,1.4376808,0.030835379,-0.45910343,0.17831125,0.62251371,0.018400618,-0.007795697,0.0027233609,0.0013523117,-0.0052822846,0.0061428778,0.012473021,0.011188627,-0.018944323,-0.0043375977,0.008252388,0.0077570618,0.0054180222,0.015155993,-0.00016122104,-0.0080897636,0.014430111,0.014209171,-0.012676398,-0.011038405,-0.0060272858,0.014251879,0.021709686,-0.011768963,-0.039723302,-0.0061151677,0.00038633066,-0.0056804729,-0.00085725898,0.0025326537,-0.64105376,0.8894232,0.24711286,0.94492759,-0.032366505,0.042921245,1.547791,1.1461249,0.8812322,1.0967756,0.60584703,1.342034,0.56519769,0.089540671,0.91417028,1.605679,0.88062655,0.63397799,0.7873177,0.66463503,-0.022866195,0.36960494,0.14655407,0.022251943,0.34756488,1.8934122,0.68687249,0.69372053,1.5630085,0.095800003,0.19962519,0.70439659,0.27378414,0.7579905,0.37988045,0.29591392,0.36035661,0.86582762,0.48511882,0.64509587,0.47267185,0.36661655,1.0541815,0.41817102,0.86036532,0.44790609,0.73217605,0.39093259,0.52621105,0.34903678,1.1476301,0.55119011,0.18290446,0.076917299,0.7682264,1.1366529,0.78330515,0.45004916,1.2641978,0.4008599,-0.25072928
