# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-02 14:03:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpQN9xFN/standata-16589946682221.json
# init = /tmp/RtmpQN9xFN/init-165899325782a1_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604021603-1-7f6954.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604021603-1-882d48.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.122591
# Diagonal elements of inverse mass matrix:
# 0.0323665, 0.000639958, 7.60532e-05, 0.048057, 0.0559575, 0.00772104, 0.0365181, 1.15292, 0.860946, 1.01953, 0.776013, 0.690346, 0.809686, 0.847176, 0.968701, 0.948858, 1.0049, 0.821615, 0.822046, 0.815766, 0.801895, 0.794995, 0.822432, 0.859382, 0.962787, 1.01256, 0.923539, 0.834634, 0.899566, 0.853385, 0.900707, 0.755704, 0.97677, 0.975429, 1.0574, 1.01211, 1.0183, 0.859633
-58.746898,0.97734668,0.12259105,5,31,0,76.76158,0.64599126,-0.062327773,0.018837503,-0.48356738,0.24086541,0.57132463,0.31496756,0.084840828,-0.62426302,-0.36552649,1.9905625,-0.33736635,0.91534934,1.234789,-1.0336547,-0.58702861,1.1730055,1.7557389,0.79847103,-0.0050645329,-0.023334921,-0.71789767,-0.32453876,-0.84553237,0.65519128,-2.6957478,-1.6683641,1.177961,0.83748625,0.75728111,-0.20572559,-0.86897965,1.3068575,0.087703428,-0.30122618,0.34575115,0.58933912,-0.30506833,-0.052962991,-0.043274416,0.15129092,0.0069543145,0.077720696,0.11952863,0.0011657093,-0.023515061,0.091488198,0.15646811,0.12423667,0.065307691,0.069938955,-0.032663667,-0.020312163,-0.071735666,0.05558697,-0.19531361,-0.21222517,-0.13336855,-0.069719067,-0.016431789,-0.05213278,-0.081895213,0.033257887,-0.020112241,-0.015665465,0.022254354,0.050423084,-0.014881299,0.81976068,0.45568842,-0.205341,0.93689899,0.76629382,0.0067115445,0.85457139,0.84457737,1.2107351,0.70236654,1.5079154,0.28726532,0.0095216908,0.58338249,0.039077231,1.1588969,1.1370831,-0.10176901,0.097100358,0.49350475,1.1757871,0.85761735,0.58814522,0.96462663,0.074055815,0.34038572,1.5107481,1.2325188,0.72948638,0.34390459,0.20157706,0.13549605,0.18593355,0.57824882,0.42912543,0.11891495,0.87724536,0.86036476,1.4433613,0.79106776,1.1941426,0.63155658,0.0014532673,0.053526076,-0.01807081,0.52606449,0.95032469,0.32221575,0.24875831,0.50665686,0.54097486,0.68794871,0.71670555,0.37598741,0.29829239,0.70092278,1.3826046,1.0743734,0.51041518,0.50543101,0.47911039
-63.558956,0.99858034,0.12259105,5,31,0,78.776054,0.66217404,-0.092144173,0.018613629,-0.1480902,-0.11755133,0.48356394,0.39169326,0.15073185,0.64158854,0.47369184,1.0088371,1.5943058,-0.8827436,1.0889559,0.60215867,1.2706034,-0.44805055,1.1792062,3.1270351,0.12189596,1.0396452,0.90252013,-2.4525364,0.3399803,0.19168911,-0.24715072,-1.1638626,-0.44963867,0.57318704,-0.26970792,-0.45567082,-0.64068203,1.139938,0.77386592,-0.72199966,-0.29711549,1.3843936,0.49840716,0.096707825,0.093322058,0.17454015,0.30029341,-0.053572213,0.1872497,0.18495411,0.27691566,0.10035156,0.26260271,0.56603107,0.28299497,0.41976493,0.24213416,-0.055696534,0.051245859,0.028893654,-0.024944207,-0.13870735,-0.13607619,-0.010670192,-0.051604529,-0.079412681,-0.094220448,0.074760946,0.060521475,-0.094211611,-0.074676224,0.16247518,0.079349621,1.2882948,0.67784055,-0.54098856,1.2553759,0.073195199,0.81530612,1.3530052,-0.066365131,1.3500455,0.76567575,1.3909505,0.95879448,0.59984343,0.55623383,0.16086098,0.11697423,1.0762498,-0.061939574,0.67169648,0.35911873,0.31611268,0.915979,0.57802938,0.95228227,0.75894709,0.40344614,1.1162652,0.37556859,1.1409854,0.74183669,0.62922645,0.4736181,-0.073273187,0.83939492,0.73910752,0.17027224,1.1471492,0.52226026,1.0812226,0.19244397,0.96144034,1.2665732,0.46236193,0.39220745,0.2788857,0.25583965,0.49347735,0.46595633,0.58209328,-0.045784658,0.31846671,0.89642957,0.82846529,0.62410189,0.60307909,0.81186071,0.85309456,0.50124532,0.34163598,0.57595164,0.77865827
-61.282736,0.99511956,0.12259105,5,31,0,79.972232,0.73033819,-0.072471728,0.020121335,-0.25285839,0.013166179,0.65286511,0.32397013,0.071864361,-0.38463077,0.74648432,-0.19449149,-2.2372094,1.0253372,-1.3242171,-0.33755071,-0.99765375,1.0454883,-2.0722673,-1.0494998,0.39556637,-1.1286456,-0.37439337,2.2319418,-0.38265364,-0.84730714,0.16461192,0.028175197,-0.070481277,-0.73437133,-1.7575222,1.427587,-0.56724826,-0.4917465,-0.72270754,1.0924031,1.7840714,-0.88007466,0.11954097,-0.027641244,0.045025517,-0.013158416,-0.14774937,0.04736643,-0.092884531,-0.064981696,-0.096166505,0.012417183,-0.16387437,-0.13846029,-0.048181991,-0.13313967,-0.05918275,0.061051963,-0.027499159,-0.060891186,-0.0099862675,-0.014810848,-0.017966176,-0.057214864,-0.1286486,-0.015918106,-0.080132694,-0.083410126,-0.10211963,0.040226339,0.11027778,-0.063374529,-0.014263755,0.92849484,0.067114923,0.23587823,0.64206883,0.05044673,0.41049429,0.67345363,0.68369514,1.6792435,0.17316619,0.82315087,1.0320213,0.053486584,0.20460887,0.54737625,0.36778311,0.420691,0.317736,0.86617885,0.51646251,0.65629144,1.190907,0.87418561,0.71565609,0.3628257,1.4652627,1.1226173,1.02315,0.48466518,0.010175206,1.0035752,0.37107868,0.17458787,0.65040244,0.5037124,0.287328,0.91784466,0.53911343,1.1669871,0.42913246,0.87781659,0.60250361,0.091018096,0.0077630246,0.12133593,0.56118478,0.77546802,0.41802872,0.65743592,0.41900239,0.62205018,0.97900023,0.8808257,0.65612224,0.54864797,0.84102594,1.1024704,0.89669283,0.81530315,0.61201227,0.71476674
-62.413308,0.97708084,0.12259105,5,31,0,79.359905,0.45247599,-0.075989608,0.012626409,-0.19505254,0.047009196,0.51584403,0.36292122,0.21165911,-0.13769275,-0.9484625,1.2163011,2.3083101,-1.2767299,1.9620678,0.37471391,0.94701478,-0.27627355,3.1509612,0.37329527,-0.63505466,1.2759546,-0.36757962,0.74010241,0.46678399,0.64171954,-0.83935959,-1.521591,1.0626588,0.51650876,0.60044044,-1.4892891,-0.35782308,-0.23762177,0.15726203,-1.2050037,-1.041468,0.98381278,0.75871871,-0.029143925,-0.20165858,0.22399975,0.47809783,-0.18752909,0.39179403,0.24543082,0.28425623,0.11002387,0.7196694,0.3797569,0.10793451,0.41024103,0.050885172,0.23533801,0.098799082,0.13582579,-0.11963685,-0.28525949,-0.10489809,-0.020928424,0.064938971,-0.18220929,-0.058789005,-0.059185362,-0.01399358,-0.20573319,-0.25960374,0.14256532,0.1635,1.3968034,0.22094309,0.17827362,0.83662804,0.36595895,-0.0034687399,1.5293082,0.74037475,0.44782534,-0.26436112,1.5358037,1.0105098,0.059185805,0.57339054,0.31702356,0.39246236,0.79915242,-0.12148477,0.1540116,-0.31485221,0.17378683,0.58758849,0.75119183,-0.32065004,0.14044673,1.1929379,0.074723014,0.63699355,0.33557632,0.38723485,0.42430785,0.38242144,-0.17628261,0.85396029,0.84983128,0.11687307,1.2078704,0.84393619,1.1334232,0.50358206,1.3542496,1.0146329,0.40834381,0.45828626,0.15741269,0.6577441,0.73653413,0.58065428,0.43812766,0.10081169,0.42182347,0.72881988,0.79512008,0.49052892,0.62789114,0.53947143,0.85001183,0.5811492,0.058161987,0.47161199,0.80280666
-54.248198,0.99879295,0.12259105,5,31,0,80.8806,0.81329995,-0.079940059,0.02167137,-0.49006333,0.07025061,0.53765209,0.33206028,0.24034561,-0.18970396,1.5321904,-1.0935704,0.75104523,-0.65670413,-0.66625371,-0.0047279473,1.1292039,1.3673695,0.39657568,-0.062497384,0.50626792,-0.44511397,0.44946656,0.093878844,-0.16635051,1.2475881,-0.23884168,-1.0653985,-0.6888867,0.30498087,0.66603719,1.118616,0.26960103,-0.80350582,-1.6257436,0.043126801,0.048186558,1.2591534,1.1143459,-0.045594514,0.34514154,-0.22555614,0.12540643,-0.12858475,-0.16832055,-0.092429658,0.22803366,0.34428178,0.16242825,0.091600697,0.16857293,0.026345671,0.16061441,0.14889999,-0.039981615,0.29985233,0.049973505,-0.10687252,-0.13552728,0.058822193,0.17018118,0.27857779,0.19626205,0.019485553,-0.12470056,0.10490233,0.10056669,0.37454798,0.35347201,0.9931902,0.57203271,0.087978665,-0.13271609,0.90490297,0.21124436,0.80040205,0.91957954,1.8046394,0.92069992,1.5588739,0.87078419,-0.20654593,-0.21725302,1.1303497,0.67671854,1.1223056,0.60180286,1.063131,0.023172814,0.69375495,1.0267292,0.99809503,1.3511857,0.50485904,1.324068,1.4161659,0.81447964,1.1766321,0.77625748,1.3621005,0.12119252,0.42408732,0.22969961,0.57920348,-0.13325187,0.65888625,0.56829542,1.6155809,0.79779371,1.2531042,0.62752447,0.059042707,-0.097011541,0.082002675,0.63712763,0.85670835,0.55196306,0.50477698,0.36392884,0.50438162,0.93545152,1.0178375,0.74528085,0.61891196,0.77072283,1.2029596,1.0392945,0.60664162,0.85054755,0.87727963
-60.630806,0.99020024,0.12259105,5,31,0,80.413622,0.61373934,-0.071148922,0.011940772,-0.37147538,0.16210771,0.61655555,0.31667323,0.15056076,-0.11607353,-1.1261461,1.2303069,0.35766129,0.45864656,1.1497478,1.735079,-1.4294458,-0.023133415,-0.50722083,-0.016829873,-0.64700302,2.5869805,1.6354294,0.94221896,0.96549634,-1.3222682,-1.5650894,-0.72373969,-1.1667303,2.1201204,-1.9548133,0.48482431,-0.47743815,1.8111905,0.51609069,-0.2462651,-0.087910365,0.97474511,0.12932563,-0.017476118,-0.1685344,0.15914301,0.074195708,0.075447487,0.1872839,0.31525734,-0.12148929,0.0050343638,-0.058212031,-0.013308123,-0.093784258,0.26096631,0.24755343,0.2535596,0.14536586,-0.1990817,-0.289998,-0.2884502,-0.35629097,-0.054456218,-0.33089428,-0.17290016,-0.220332,0.017792227,-0.079059283,-0.11452768,-0.098673441,0.027208842,-0.04636807,1.4625219,-0.081373893,-0.55811447,0.99350769,1.0409606,0.40015706,0.5909933,1.160895,1.1741538,0.38584688,1.0530017,0.49336672,0.16540039,0.24732081,0.68442623,0.23934368,1.2944287,0.19381952,0.1816386,0.12736733,-0.15893985,0.60455422,0.71723845,0.84105203,0.96952969,0.57204346,1.5680117,0.75427001,0.6181404,0.17179921,0.8147444,0.34072401,0.017400175,0.72265695,0.58506956,0.33248009,0.92755021,1.1553115,1.1451261,0.65331557,0.88868095,0.55587638,0.15808557,0.28010883,0.32121543,0.81111401,1.2102199,0.19097477,0.20698713,0.353177,0.29952726,0.81070827,0.51583079,0.43019166,0.39498281,0.74196478,1.2003811,0.90297173,0.36321349,0.49906466,0.52672744
