# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-02 14:03:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpQN9xFN/standata-16589946682221.json
# init = /tmp/RtmpQN9xFN/init-165899325782a1_2.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604021603-2-7f6954.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604021603-2-882d48.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.13925
# Diagonal elements of inverse mass matrix:
# 0.028484, 0.00075924, 6.36802e-05, 0.0496051, 0.0626455, 0.00735124, 0.0367266, 1.18066, 0.910426, 0.834736, 0.761578, 0.778982, 0.802783, 0.920315, 0.850833, 0.859627, 0.90131, 0.781142, 0.980693, 0.760197, 0.916174, 0.901216, 0.935478, 0.808336, 0.740758, 0.929003, 0.951546, 1.12625, 0.891572, 0.975219, 1.00979, 0.882396, 0.807313, 0.808212, 0.84913, 0.861885, 0.896385, 0.959805
-56.436628,0.99855538,0.13924956,5,31,0,79.608887,0.801486,-0.069815922,0.0035772866,-0.3405727,0.072861786,0.72046141,0.33314953,0.27468921,-1.9735717,0.298723,0.80525019,0.38521218,-1.0857325,1.6829621,0.78414741,-0.68747078,2.1844782,0.23518672,-0.54403418,0.001000975,-0.57490814,0.13880064,-1.3433116,-0.7987065,0.21944747,-1.4199936,-0.075683961,-2.0479681,0.90296369,-0.49096537,-0.1821188,-0.18322833,-1.3556911,0.45486126,0.01379338,-0.78640809,0.4791967,0.062623595,-0.54211885,-0.05616512,0.12086616,0.025616936,-0.33364343,0.32986825,0.24320845,-0.21338711,0.41579259,0.068135576,-0.10197226,-0.034951168,-0.16154253,0.03053347,-0.26009724,-0.21939606,0.060279853,-0.34505491,-0.2133589,-0.49438427,-0.081130163,-0.20151552,-0.18184222,-0.13089866,-0.36756206,-0.10668801,-0.013922307,-0.19822857,0.073213395,0.0015207262,2.0076181,-0.15627289,0.11161628,1.0508074,0.62007239,-0.43799232,1.1964711,0.57572599,0.84827179,0.769253,1.4555651,0.42928242,-0.11942008,-0.37189565,0.59114835,0.55555548,1.6486975,0.21705516,-0.12015509,0.17754468,0.082392751,1.6669514,1.4879572,0.0017936609,0.80555315,0.38781854,0.7085954,0.99179061,0.42580329,0.70058813,0.34815882,-0.074436184,0.18597741,0.73303761,0.85049798,0.091745511,0.94454539,1.0817055,1.1208281,1.0579698,1.2236659,0.44250559,0.48304897,-0.11610258,0.14575099,0.35484247,1.1773106,0.5103834,0.12857625,0.39786969,0.1762794,1.0669844,0.93664492,0.5017247,0.62164064,0.60964307,1.3133699,0.92543754,0.47276633,0.79468926,0.56611585
-64.741564,0.89044203,0.13924956,5,31,0,78.60147,0.20598799,-0.04895051,0.02410044,0.046811151,0.5667124,0.50049173,0.35904581,0.079822043,1.1741901,-0.55010857,0.24668953,0.59852322,0.94691522,-1.2887811,-0.07401781,0.74646502,-1.0308748,0.99015169,1.0010701,-2.2756998,0.37699011,0.55267514,2.2475471,0.57838943,-0.69234708,-0.6019524,-1.6658498,2.6168064,-1.4911675,0.11391778,0.30707707,1.1925065,1.176343,0.40997873,-0.28024381,0.21529572,0.44305881,1.2052995,0.093726253,-0.019068878,0.032427762,0.06805086,0.093719248,-0.062389211,-0.0066986408,0.083778459,-0.023519816,0.094935058,0.11636429,-0.10176546,0.022970584,0.067399874,0.18907838,0.046168226,-0.055264558,-0.0642126,-0.14549437,-0.012928519,-0.14051457,-0.082013474,-0.070299438,-0.0056185501,0.021754839,-0.0069116462,-0.041041544,-0.012597709,0.0048166031,0.073159885,-0.15500098,0.47899588,-0.35063815,0.6418064,-0.13339208,0.55134891,0.62768942,0.57559091,0.92549729,0.087992795,-0.046207108,1.1184533,-0.37319021,0.44501221,0.067882799,0.60207697,0.66640237,0.7826546,0.31730882,0.36344472,0.059548997,0.24692411,0.28769119,0.6544103,0.0029049279,0.19832699,1.9120316,0.84869174,0.24427774,0.43066908,1.1759797,0.41856317,-0.051596546,0.60971699,0.26577711,0.23775658,0.97009456,0.78656471,1.1925288,0.65368879,0.43322292,0.84052149,-0.15190229,0.2892726,0.33944097,0.39634025,0.50778089,0.38680063,0.61027138,0.57479181,0.34136483,0.34861943,0.37854902,0.47067868,0.43257274,0.47742701,0.96769573,1.0172709,0.35793284,0.30277985,0.7682375
-59.005325,0.99401633,0.13924956,5,31,0,83.142902,0.65193436,-0.1025386,0.019584158,-0.074844736,0.26246826,0.50961459,0.40353311,0.15270279,-0.15267629,-0.39864554,0.44235675,1.5273816,0.85595321,-1.489124,-1.0200729,2.1680799,0.77241347,-1.1735875,0.81007001,-0.55339973,0.9382033,0.77158412,0.5866047,1.0585607,-0.0045120411,-0.84996925,-0.07333236,0.70458995,-1.1495463,-0.49325869,-1.3447845,0.14164662,1.7844527,1.5736342,-0.34133271,0.63381515,1.6230337,0.08358366,-0.023314095,-0.064770953,0.054894395,0.213989,0.15614992,-0.15970409,-0.15645049,0.32099803,0.21986102,-0.080209383,0.13905017,-0.010470217,0.15179165,0.17466273,0.20981264,0.16164518,-0.00068900127,-0.12200208,-0.081966083,-0.026262381,-0.16868688,-0.14812287,-0.24898803,-0.087683685,0.10312518,0.11503762,-0.052524153,0.058136808,0.20970099,0.023019881,1.3566322,0.71484783,-0.398093,0.83442858,0.61942119,0.33522233,0.87330283,0.03169983,1.79295,1.0341999,0.192647,0.9842278,0.27216187,0.24137152,0.19324943,1.1167892,1.1107413,0.6200298,0.068493225,-0.16210023,-0.45753316,0.065505359,0.95603562,0.55447452,0.83809508,1.3293888,1.0819151,0.82465963,0.53015967,0.14867913,0.77658251,0.34245186,-0.39828899,0.73318232,0.5648342,0.35948772,0.82319811,0.46970211,1.364957,0.57200908,0.4598778,0.84688834,0.15692319,0.05504221,0.15173516,0.40949136,0.83881885,0.4252397,0.4817836,0.26771832,0.32690907,0.69988183,0.69149595,0.47683756,0.6391302,0.77800004,1.1561019,0.8507374,0.36926212,0.52331667,0.73174388
-57.615173,0.99922988,0.13924956,5,31,0,74.664503,0.67605657,-0.07254595,0.030328963,-0.36537781,0.124493,0.60370519,0.3042792,0.062036256,-1.6126764,0.18109397,-0.13096878,1.0450299,1.2888656,0.78495513,0.23349128,-0.56280936,-0.36993281,0.91969529,-0.32858166,-0.60282982,0.89878241,-1.0939304,-0.74111618,-0.9261766,0.23504248,-1.0754836,0.24544611,0.22184419,0.33859727,0.96887055,-0.55821595,-0.51821214,0.010670063,0.75707576,-2.6421153,0.28853424,-0.79822097,1.0422601,-0.1000444,-0.014149123,-0.025865935,0.029623277,0.068861083,0.057700225,0.047552061,-0.020501308,-0.019107047,0.051962828,-0.00093242774,-0.029468851,0.034123017,-0.062551952,-0.067658974,-0.057456529,0.014581156,-0.05754277,-0.021122188,-0.017749841,-0.0056653355,0.035738751,-0.0090410399,-0.01985096,-0.0046586473,0.024741182,-0.14677328,-0.044264027,-0.067922202,0.0506561,0.29417237,0.73948382,0.21839361,0.94579856,0.54495495,0.015120075,0.7692306,0.47071967,1.1996211,0.48561185,0.75861004,1.2261412,-0.32050309,0.58056732,-0.092111346,0.46378732,0.42289934,1.1191562,0.3904558,0.29751504,0.54568385,0.57140875,1.1299054,0.63050254,1.0418697,0.82150054,1.4598556,1.0845003,0.64072634,0.46147256,0.52394696,0.15258425,0.12205483,0.56318403,0.470036,0.091259636,1.2082015,0.71915301,1.4086088,0.47510917,1.086948,0.75728304,-0.23017923,0.14072762,0.063335163,0.42930794,0.58501119,0.40861404,0.62705567,0.52077057,0.67017899,0.85045581,0.85490469,0.54774901,0.42232596,0.78031707,1.3035445,0.8691407,0.58219841,0.47793621,0.7765519
-53.433421,0.99101409,0.13924956,5,31,0,74.382907,0.63352421,-0.082277353,0.017215869,-0.34323035,-0.00061508313,0.61281953,0.27749075,0.035372323,-1.1548175,0.87911906,0.082133234,0.25570356,0.61071911,1.0198513,0.90942794,0.60145301,-0.37057404,0.58287322,-0.96315869,-0.32982792,0.20265879,-0.30469502,0.26919517,-0.67943835,-1.4289604,-0.2893547,1.7980817,-0.34627097,-0.40122804,0.10067689,0.35851879,-0.70649855,-0.77508647,0.63115341,-1.3707623,0.40333484,-0.54854602,-0.45988944,-0.040848578,0.019889453,-0.001640093,0.0025235497,0.018337928,0.037058725,0.045371398,0.027252505,0.0029173466,0.02689312,-0.015437652,-0.013321141,-0.0018377739,-0.0043031274,0.008960579,-0.024033313,-0.050545647,-0.027103932,0.021712173,0.0019063953,-0.019965981,-0.014172239,-0.007591703,-0.038557702,-0.045331856,-0.018750734,-0.063913064,-0.024093449,-0.046684305,-0.036041399,1.3886517,0.51998159,0.35714993,0.98170391,0.50764407,-0.055142034,1.0187635,0.65576382,1.1819741,1.2514712,0.69881777,1.2272502,0.39250191,-0.13002005,0.015464601,0.23814521,1.1437312,-0.21342435,1.1216381,0.23133885,0.95944591,0.5193418,0.23036727,0.54732545,0.66868407,0.44715242,1.2506788,1.0669465,0.0044363203,0.17300909,0.30356206,0.35814026,0.14695071,0.65862781,0.49844808,0.27648353,0.97328109,0.72374804,1.1738102,0.46293319,0.971354,0.68205469,0.19796493,0.04254312,0.096309778,0.56235945,0.78016751,0.40572681,0.58689631,0.48425556,0.68597574,0.89588624,0.87694902,0.68481474,0.64413148,0.72110557,1.111971,0.85033004,0.45947878,0.43137886,0.6591588
-56.989955,0.98591941,0.13924956,5,31,0,67.463786,0.68240587,-0.074933474,0.029305793,-0.28834344,0.056826077,0.58987752,0.34781839,0.049438123,0.58973461,0.25460874,-1.3363074,-0.54491436,0.89914458,-0.577956,0.62128604,1.0673078,0.12060648,1.1353189,-0.3425316,-0.14662418,0.31579356,-0.044198621,-0.34305105,0.045280752,-0.66780086,-1.3940884,1.5771253,-1.3683229,1.3240115,1.1172056,-1.023652,-0.64742784,-0.384067,0.33040846,-1.6771417,-0.8473882,-1.1460626,-0.94797933,0.029155373,0.019480464,-0.057519765,-0.034497838,0.037862077,-0.020946947,0.019618033,0.048929856,0.021877312,0.062927324,0.01375802,0.0057641801,0.022879907,0.0075931692,-0.0012533516,0.0022385954,-0.033014822,-0.076089271,0.0056238197,-0.045384348,0.0088401135,0.030607447,-0.022381199,-0.032261198,-0.030441328,-0.011421387,-0.088883831,-0.079063808,-0.083645215,-0.065255904,0.36455626,0.84164418,0.040166488,0.56440423,0.17635663,-0.53262843,1.6175463,1.2312164,2.2309481,0.71985068,1.2931782,0.30195998,0.15725376,-0.33248163,-0.010100217,0.63331791,0.41858343,-0.077536321,0.47740551,0.44116415,0.39233279,1.0207353,0.50955772,0.65125808,0.57769122,0.57314996,0.73916547,0.41286271,0.680019,-0.066927943,0.94418812,0.3206024,0.093526814,0.56727119,0.43703457,0.1056512,1.1413254,0.58502408,1.3505553,0.40203949,1.0413489,0.79508998,-0.1326425,0.14126273,0.14993572,0.44745016,0.55601487,0.39236225,0.62920289,0.42896766,0.59045916,0.90369819,0.88931541,0.57717339,0.46305748,0.78284464,1.1531425,0.81397494,0.55836425,0.48063266,0.68673536
