# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-02 14:40:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/Rtmpr1W9LL/standata-166b7e5d8dba65.json
# init = /tmp/Rtmpr1W9LL/init-166b7e5113cc86_3.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604021640-3-58ea82.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604021640-3-4471d1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.166869
# Diagonal elements of inverse mass matrix:
# 0.0353724, 0.000745535, 7.27524e-05, 0.0460283, 0.0575561, 0.00821172, 0.0321133, 1.05438, 0.967511, 0.844394, 0.897751, 0.84955, 0.799233, 1.04135, 1.12058, 1.01594, 1.07562, 0.84869, 0.957945, 0.826427, 0.888422, 0.943974, 0.926636, 0.836258, 0.809301, 1.04766, 0.946739, 1.02051, 0.979529, 1.0523, 0.884953, 1.09878, 1.01964, 0.805182, 1.03521, 0.977437, 0.957689, 0.950679
-57.694827,0.98892503,0.16686924,5,31,0,78.367916,0.67402807,-0.04956951,0.0071901037,-0.26775243,0.035553754,0.45646446,0.33695066,0.13345154,0.16502585,-1.4319498,1.203977,-0.74259132,-0.94040898,1.6055869,-0.77028033,0.14623976,-0.0068207552,1.5072597,1.2735448,-1.1489781,-1.220657,-0.21604969,1.5604083,-0.40627568,-0.76795444,0.67091403,-1.4454015,-0.6834765,-0.11416997,-0.46681714,0.23286501,0.7255584,-0.97609826,0.2782683,-0.036454094,-0.53513304,-0.37292287,2.6052925,0.022022955,-0.17951122,0.14042223,-0.062902315,-0.13134849,0.1650814,-0.034791677,-0.0064226285,-0.018577936,0.17367863,0.19821906,-0.042604314,-0.080361285,-0.026494748,0.13991031,-0.054218117,-0.10248471,0.048509402,-0.12930838,-0.1345617,-0.084719287,-0.1147456,-0.071589445,-0.0098872428,-0.1430094,-0.056757305,-0.045993033,-0.10040874,-0.098705338,0.28233881,1.059347,0.17273133,0.25496042,0.36128394,0.7550663,-0.04189714,0.82086066,1.1967827,0.6186109,0.46791616,0.44935745,0.44871876,0.48837553,0.15033629,-0.35349697,0.34467497,0.51153098,-0.034872024,-0.17641494,-0.05741749,0.62597674,1.3002316,0.97575878,0.67175864,0.42724095,0.45613132,1.5896789,0.45570693,0.50334186,0.40082342,1.0332021,0.23642936,-0.080693291,0.48996763,0.50543642,0.020477704,0.61406045,0.44801027,1.0030646,0.32948661,1.0445761,0.54155378,0.11917347,-0.11459604,-0.020487662,0.49876512,0.8508312,0.12734179,0.34154276,0.21073318,0.28710838,0.72706689,0.68532287,0.31004607,0.38816733,0.56603142,0.97182654,0.55027379,0.41912323,0.43341717,0.63065641
-55.433305,0.99620154,0.16686924,5,31,0,73.898049,0.49967383,-0.083542965,0.017630272,-0.59150011,-0.32325038,0.67398439,0.31245049,0.2453258,-0.71304555,-0.19971881,-0.12315135,2.1279214,0.046281504,-0.91996484,0.89804836,0.5602263,0.93328123,-2.0381556,-0.70731313,0.84126296,0.57670005,-0.32379027,-0.65434238,0.72753082,0.17264069,-3.222375,-0.33482736,-0.17449897,0.80609072,-0.36519471,0.73295701,-0.22814767,0.75741022,-0.23180929,0.47541005,0.96179,1.5251279,-1.5128721,-0.17492847,-0.091197169,-0.068222239,0.40252604,0.045248667,-0.18222344,0.11622317,0.16957772,0.28080111,-0.38282159,-0.22585695,0.072425686,0.063904571,-0.036465925,-0.11080403,0.17848208,0.042353215,-0.72696302,-0.49186575,-0.50092398,-0.26886181,-0.3039514,-0.15717409,-0.21240442,-0.043240149,-0.18249198,0.082319212,0.22305035,0.34241358,-0.32962587,1.7292603,1.0844105,0.51073277,0.89115589,0.39542216,0.42999301,1.3300469,0.53708126,0.61506978,0.85590819,0.70340198,0.34010162,0.33071958,-0.26797662,0.86645277,0.99748733,0.72222288,0.41010244,0.23154535,-0.011158178,0.67935378,0.02922379,0.14841834,0.94962353,0.37816305,0.86061048,1.0536973,1.302169,-0.03237596,0.68103976,0.39740065,0.31528111,0.36649042,0.68833257,0.8474174,0.39140144,0.8576719,0.81033286,1.1977185,0.7533407,0.76184199,0.56984115,0.36920311,0.19569696,0.15212429,0.77962961,0.85421306,0.59162508,-0.016041325,-0.016310983,0.52293807,0.60286543,0.54251488,0.63141528,0.56527112,0.6773723,0.828223,1.0172698,0.65734399,0.7703655,0.46344565
-60.447711,0.88706063,0.16686924,5,31,0,78.292927,0.58100137,-0.07917352,0.028968016,-0.24331644,0.10709784,0.7671055,0.36022989,0.10208847,-1.0367813,-0.48214167,-0.47739491,1.5109957,0.34843998,-0.23958994,-0.52192577,1.5969328,1.2923759,-2.4491079,1.3362913,0.23223107,0.38320758,0.25562486,0.2280667,-0.082248972,-0.99127405,-1.3684255,-2.1461771,-0.077063746,-1.508051,0.76709473,-0.57566637,-0.65588142,-0.92193674,-1.3947207,-0.0091009815,0.58146981,0.85978496,-0.71965683,-0.10584342,-0.074133167,-0.073096914,0.086230705,0.027083539,-0.020968638,-0.050860649,0.13507366,0.14893258,-0.19721842,0.076070085,0.042161414,0.062096951,0.041440292,0.052568367,-0.0083966718,-0.10119765,-0.16609911,-0.27783987,-0.23705664,-0.28485191,-0.13963977,-0.20711619,-0.21002874,-0.23637207,-0.28958623,-0.073728408,-0.016096912,-0.001106386,-0.12520961,0.65302352,0.2163137,-0.014364733,1.2416836,-0.049525562,0.23367738,1.5241657,0.66448041,0.8093173,0.10187764,0.99636757,1.1073553,-0.067314269,0.39503951,0.44850768,0.59339109,0.54250557,-0.030897212,0.96117999,0.056962599,0.070768203,0.29266713,0.2533756,1.1465802,-0.035429829,0.99195401,0.91666882,0.71214173,0.72702593,0.53890799,0.91719063,0.41351156,0.14619297,0.78449184,0.65783923,0.32409727,1.362598,0.74566476,1.5395187,0.74773624,0.83065436,1.0810934,0.14526416,0.37663883,0.38528968,0.67074734,0.66975539,0.54768958,0.75858177,0.36060079,0.56887139,0.72804773,0.83706026,0.6317923,0.53271787,0.6823557,0.98800586,1.06138,0.70484607,0.65252737,0.85280484
-58.820117,0.99389015,0.16686924,5,31,0,77.629679,0.63731752,-0.078554089,0.028654796,-0.26373207,0.085594043,0.75656747,0.36119708,0.087301478,-0.76525354,-0.27555279,-0.62714889,1.6888255,0.19239157,-0.27481367,-0.44283176,1.3254068,0.97348502,-2.2813603,1.1254994,0.20304041,0.32831347,0.33748022,0.3100867,-0.017893794,-1.038498,-1.3257943,-1.9488535,-0.0014656886,-1.6406431,0.63734408,-0.53557533,-0.68871636,-1.0252831,-1.6958498,0.089695148,0.49970315,0.69568466,-0.39501251,-0.066807765,-0.04000345,-0.068788132,0.093003128,0.016606205,-0.018475225,-0.036367603,0.10096225,0.10328714,-0.15765333,0.050945854,0.028488685,0.042660673,0.041549153,0.053182077,-0.0015621546,-0.090662408,-0.1399765,-0.22442505,-0.1898403,-0.24515167,-0.12677911,-0.17795076,-0.1833276,-0.21086945,-0.26878217,-0.057812958,-0.018971665,-0.015530041,-0.0835339,0.64756369,1.1376014,0.64847225,0.23080743,0.63741955,0.35981374,1.0749325,0.71034887,1.0999582,0.84952422,1.1620658,0.64789387,0.010021345,0.19347713,-0.059903346,1.0108779,0.86552578,1.2364718,0.42293004,-0.17867954,0.24911218,0.79502446,1.0066373,0.45309597,0.85509722,0.81171431,1.1165046,0.40755627,0.914837,0.28799198,0.095250562,0.42070553,0.17279344,0.7537066,0.69330946,0.28412386,1.3240641,0.72788756,1.5279438,0.67128088,0.9168876,1.0189424,0.10465145,0.32601084,0.35415071,0.66080571,0.70757942,0.52485021,0.74830621,0.38263583,0.60363058,0.7927335,0.87527624,0.6263562,0.5261759,0.73323429,1.0331182,1.041597,0.7283752,0.66546712,0.85783828
-59.127981,0.92334739,0.16686924,5,31,0,81.052753,0.77885689,-0.092273657,0.015377058,-0.40268591,-0.084412143,0.38445305,0.33002599,0.077175304,0.4294792,1.0826133,1.1181794,-0.18985075,0.35729685,0.18109477,0.62446019,-1.1371676,0.65131719,2.5952423,-0.62575606,0.64705859,-0.76727552,0.35144348,1.1772064,0.94540846,0.83476816,-1.3146529,0.66656178,-1.4373844,1.6583978,-1.6712331,0.37118674,1.030374,0.6518065,1.2718446,-0.24428593,0.4386602,0.30707774,0.82570961,0.033145188,0.089185979,0.099517655,0.035702069,0.048219786,0.037763372,0.075342384,-0.037667534,0.057890085,0.20579593,0.040705976,0.079571585,0.010193373,0.053789697,0.11777207,0.072962185,0.064423486,-0.072875059,0.0045573445,-0.062463637,0.06535468,-0.061868258,0.0055024307,0.075240208,0.073237586,0.11282654,0.01263164,0.048806834,0.054578468,0.087220126,1.5129075,-0.33032246,0.52427467,0.29036805,-0.21733969,-0.12247021,0.88300938,0.53356872,1.4993054,0.055271778,1.2039655,0.48934107,0.10648195,-0.60546529,0.35073081,0.42660853,0.77240452,0.2134886,0.31734332,0.56646745,0.57199307,0.83992181,1.0969374,0.25115726,0.19712796,0.074273738,1.1620715,0.39236016,0.01552103,0.023878577,0.87526483,0.18649892,-0.060392861,0.51838142,0.37006171,0.071131703,0.68356915,0.47999105,0.90144961,0.2137177,1.0255675,0.46594266,0.097096245,-0.27737902,-0.16285785,0.45025927,0.75390236,0.25843779,0.25872563,0.15142823,0.39691759,0.85886983,0.70784169,0.47613123,0.56248434,0.68346294,1.0695579,0.64642931,0.31821748,0.33746302,0.51774709
-61.671608,0.96796886,0.16686924,5,31,0,82.336804,0.69583323,-0.11425441,0.030145609,-0.12716078,0.34588426,0.64021925,0.32009916,0.088800422,-1.5319914,1.0057319,0.10794589,2.0328866,-0.47489539,0.15656445,-0.011155765,-0.49871979,-0.39327356,-1.2937385,2.3726796,-1.5215049,1.0223778,-0.41813764,0.68826905,-0.84894666,-0.52516527,-1.9208342,-1.5776813,0.46460538,0.13282483,-0.9155298,-0.4176715,-0.42786655,-1.8118409,-1.3071089,-0.82577651,1.4662445,-0.38426737,-0.061945297,-0.13604148,0.052438874,-0.0070824205,0.14098132,-0.029242054,0.012975772,0.0051150285,-0.030720717,-0.033826067,-0.11219115,0.1423517,-0.070296274,0.076360776,-0.035839914,0.024742447,-0.075386821,-0.046634897,-0.17616693,-0.21684177,-0.16789399,-0.13493065,-0.16714599,-0.15978396,-0.13559409,-0.22626074,-0.22597903,-0.11442944,0.039859166,-0.084011762,-0.048763835,1.079236,-0.0043823797,-0.21452486,0.45109749,0.87491709,0.24824127,1.0216447,0.47775516,0.62362549,0.42660169,0.85465981,0.93284626,0.13223462,-0.13648763,-0.18180845,0.22434588,0.49506353,1.3052958,0.88839763,0.68477774,0.3904215,1.2928327,0.81521924,0.77384797,0.709977,0.48581889,0.995808,0.84034205,-0.082293744,0.57220925,1.1384465,0.28645468,-0.22718779,0.82191042,0.5079385,0.15400061,1.3561874,0.80661664,1.3305924,0.47068771,0.58430912,1.0791854,-0.026990668,0.075057561,0.028465832,0.33091053,0.610871,0.49284094,0.64472552,0.30989828,0.3509236,0.83387534,0.76107856,0.68888284,0.65590724,0.56001565,1.0571943,1.0707572,0.47076771,0.30805263,0.87240931
