# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-02 14:51:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmpu1xK6p/standata-167470796e5daa.json
# init = /tmp/Rtmpu1xK6p/init-16747055bc2ccc_1.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604021651-1-4e7299.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604021651-1-1a53d9.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.11952
# Diagonal elements of inverse mass matrix:
# 0.032001, 0.000660547, 6.93422e-05, 0.0474266, 0.0607527, 0.00839762, 0.0421631, 1.01569, 0.850171, 0.783314, 0.942043, 0.903718, 0.751913, 1.02691, 0.901031, 0.771282, 1.1102, 0.757314, 0.862144, 0.913434, 0.838389, 0.75791, 0.875846, 0.878548, 0.755522, 0.887922, 0.85471, 1.09979, 1.00978, 0.899621, 0.913798, 0.808693, 1.01916, 0.849723, 0.970054, 0.823263, 0.821643, 0.891089
-65.025785,0.99907106,0.11951978,5,31,0,86.684172,0.57440204,-0.072726139,0.021542371,-0.3109012,0.078463093,0.43587961,0.36027087,6.7050043e-05,0.78792838,-0.11178504,-1.5993814,-0.26287819,0.67149591,1.5435749,0.022545672,1.503399,1.7814782,-0.33581236,-0.46603053,-0.12211122,0.48803654,-2.644569,-0.65747064,0.018756975,0.49793512,0.11719725,0.44176424,-0.60870518,0.11386035,0.22021459,2.2061407,0.90156186,0.24948303,-0.93382752,1.6278806,-0.44745756,-0.8574476,0.39242808,5.2830632e-05,5.9588087e-06,-9.5317603e-05,-3.5421424e-05,3.7199873e-05,0.00010317954,5.339286e-05,0.00010255932,0.00014312314,1.8536882e-05,5.5809255e-06,2.5799584e-06,3.3333112e-05,-0.0001406633,-9.1159369e-05,1.257656e-06,3.3386571e-05,1.8932409e-05,3.875725e-05,1.2174732e-05,2.8008823e-05,3.3222171e-05,0.00012082515,8.3492353e-05,6.4990549e-05,1.9534101e-05,0.00012002942,3.4353797e-05,-9.6873455e-06,4.4446606e-05,0.7002629,-0.039401612,-0.097343831,-0.82266687,-0.06354469,0.53351041,0.51272049,0.19254164,1.7445249,0.12153142,0.6555339,0.85817441,-0.10543665,-0.5517327,-0.57005346,0.16623299,0.96436394,0.16110413,0.42624917,0.40935743,0.13126209,0.67253887,0.73049966,-0.081292113,0.88815975,0.49345608,0.99780287,0.34643251,0.83221922,0.65183558,0.18145659,0.19119949,-0.016393074,0.46627479,0.28488993,0.02241538,0.84321875,0.51835167,1.0415289,0.33175415,0.74585172,0.55620405,-0.094939246,-0.052687904,-0.015807646,0.35403075,0.53641292,0.27976396,0.48241753,0.35285898,0.50126069,0.67510855,0.64692869,0.46959859,0.41669691,0.56837571,0.97052313,0.78382922,0.35626653,0.31972788,0.54156683
-63.301521,0.99763554,0.11951978,5,31,0,81.398416,0.44102359,-0.066996318,0.014563851,-0.31389883,0.06115726,0.47911834,0.33609936,0.00034413018,0.92677181,0.33586692,1.8810325,-0.092592645,-0.020824396,-0.40896819,-0.4955493,-0.50751484,-1.8528284,0.025431205,-0.85619652,-0.83199293,0.87168711,2.2687985,0.17625049,0.85373223,0.30578217,-1.153896,-0.90927395,0.63537225,0.45003374,-1.4527087,-2.0353313,-1.5271432,-0.2603011,1.3007169,-0.19730664,-0.29958935,-0.1468198,-1.1869422,0.00031893015,0.00019168829,0.00070499677,0.00027765045,0.00012876733,-2.1046023e-05,-5.9671965e-05,-7.5851853e-06,-0.00044984087,7.0653934e-06,-0.0002555892,-0.00035635346,1.961604e-05,0.0007535788,0.00047558477,0.00029379503,0.00010522887,-0.00033608925,-0.00041437558,-0.00024059363,-0.000110828,-0.00046287954,-0.00071351806,-0.0005838368,-0.00039142622,-7.8630418e-05,-0.00010097227,-0.00014892426,-0.00011119373,-0.00042644112,1.1084711,0.53459583,-0.052209637,0.58575526,0.14236747,0.32661401,1.0606304,0.68452834,0.90341996,0.81091387,0.86039776,0.16731269,0.21338196,-0.11823902,0.69328121,0.12477709,0.89397467,0.61914655,0.76518353,1.3692008,0.8863603,0.58350709,0.058279366,0.25033749,0.061662084,1.1342523,1.6923371,0.41803591,0.01855247,0.1530512,0.65621648,0.30069747,0.11574355,0.51765422,0.30420423,0.1820044,0.75308445,0.62334506,0.9379673,0.44569476,0.70848915,0.55191326,0.13681781,0.017649649,0.063081054,0.4626377,0.64204309,0.35040082,0.4838473,0.44942459,0.57105019,0.64738824,0.62635299,0.54022362,0.52862289,0.5276247,0.92009274,0.82027244,0.30080988,0.29363466,0.54878514
-63.368393,0.98871432,0.11951978,5,31,0,83.505256,0.41351824,-0.048656616,0.015268693,-0.14733302,0.27072861,0.51725226,0.33487179,0.00073481122,-0.062098434,1.5354679,-1.9679036,-1.2327268,1.739737,0.21324947,0.29058292,-2.3202439,0.33889153,0.26185223,-0.50513691,-0.50226552,1.1084758,0.18255569,0.91298832,-0.22305777,-1.1187191,-0.15856767,-1.7632734,-1.1048159,0.57946578,0.097876097,1.2598292,1.9451371,-0.27515866,-0.87376011,-1.0113337,-0.25517125,0.71974338,-0.16172802,-4.5630626e-05,0.0010809925,-0.0012981894,-0.0010952766,0.00104316,0.00028538729,0.00041090196,-0.0015098279,-0.00025938708,-6.6461026e-05,-0.0005118568,-0.00057735079,0.00023053542,-6.6877529e-05,0.00031742739,-0.00016390535,-0.00082204732,-0.00039395163,-0.0013256147,-0.0014662097,-0.00066207716,-0.00060588091,-5.2110388e-05,0.00047257714,-0.00030130754,-0.00061901166,-0.00095836596,-0.00069569126,-1.5447349e-05,-0.00037555846,0.54052012,0.56184399,0.88376729,0.27183848,0.45880972,-0.39016085,0.79145322,0.21084009,1.3043115,0.20551904,0.89632816,0.44142695,0.09784978,0.26033009,0.62907196,0.4968719,0.80248998,0.2213154,-0.17138976,0.45170119,-0.22726443,0.79318822,0.25546417,0.10286239,0.60460239,0.83532383,1.199368,1.0467707,0.48044756,0.89099038,0.87679676,0.3110324,0.11605493,0.4999071,0.40108927,0.19321645,0.77152422,0.68707185,1.0772052,0.56235654,0.65751546,0.56849618,0.10283219,0.15756755,0.18034886,0.36232829,0.71328439,0.37465812,0.51923909,0.57804811,0.46325811,0.6651195,0.64546277,0.49980828,0.45897261,0.59747113,1.0229419,0.87097688,0.46032401,0.43230789,0.55710158
-59.7065,0.99820485,0.11951978,5,31,0,80.474668,0.5470377,-0.077983883,0.016311187,-0.36124082,-0.11790674,0.40703218,0.34598852,0.12475928,-0.22513151,-0.617173,2.2100662,1.2319216,-2.2593074,0.028454324,-0.16645806,2.5669042,-0.061337431,0.25610263,0.29953602,0.39481058,-0.83196692,0.13638139,-0.5622426,0.46897135,1.3186356,-0.52614092,1.2157943,0.82731298,-0.63643976,-0.068857994,-1.1211488,-2.1560861,0.19746535,0.70797321,0.90180001,-0.35121085,-0.35109914,0.48820079,-0.028087246,-0.081576112,0.2553466,0.20310386,-0.23118167,-0.027846851,-0.053878085,0.28833713,0.086829053,0.083691188,0.097330007,0.097979762,-0.0041129047,0.061436117,0.015483675,0.058508529,0.16451202,-0.004616352,0.13607176,0.15643567,0.051901166,0.062834936,-0.021792795,-0.12483156,0.013437461,0.05730827,0.14848737,0.046956685,0.030367585,0.099606422,1.2107158,0.16164276,-0.284473,0.68767534,0.64942589,-0.43954,0.38050987,0.30295122,1.3822808,0.16603786,1.2703897,0.96360149,0.47889611,-0.2317707,1.0369488,0.043608527,0.47873992,0.99503561,0.48686673,0.95605824,1.1856416,0.57410887,0.46077596,1.0308418,0.13968131,0.23678729,0.83475713,1.2880313,0.14998607,0.20627174,0.41127817,0.20831575,-0.067014737,0.73935022,0.47796309,-0.12822814,0.71757865,0.36593722,1.0983804,0.29967195,0.81954528,0.61655881,0.15659473,-0.10388277,0.014976528,0.43414144,0.54426201,0.45517157,0.4354772,0.35129139,0.69891361,0.72475612,0.71225577,0.49269751,0.38049272,0.54464928,0.85239879,0.79180418,0.31002618,0.28824704,0.6166753
-56.127171,0.99434913,0.11951978,5,31,0,78.313233,0.53549321,-0.044413046,0.0089694672,-0.25823768,0.05502635,0.62713183,0.27315518,0.06296808,-0.06235882,-0.47326914,1.7775371,-0.073488668,0.39776062,0.041863303,-0.71074147,1.0500072,0.43400925,-0.65539202,-1.3256885,-1.2480034,0.01809071,-1.1056636,-0.18097294,-0.082656559,-1.7717377,-2.2393646,0.94304524,-1.6446895,-0.68501886,-0.41428088,0.0016234141,-0.27086776,-0.7330461,-1.1231401,-0.67494973,-0.4337529,-0.64739062,-0.58028115,-0.0039266152,-0.029835628,0.10524234,0.024668838,0.032577663,0.015365704,-0.018771232,0.07123657,0.054116978,-0.015728677,-0.062960422,-0.092703994,-0.052422455,-0.053196262,-0.028796719,-0.0052047248,-0.11156292,-0.17091529,-0.078478431,-0.14443995,-0.14486402,-0.13003858,-0.12033506,-0.12242127,-0.14083558,-0.16888687,-0.096613856,-0.091918949,-0.11186723,-0.09089339,1.0353236,0.5678429,0.32041945,0.077223945,0.94202582,0.088335755,0.72402144,0.7492206,0.9279339,0.73929206,1.0918716,0.63891185,0.10098402,0.28666852,0.26989133,-0.087894207,0.46159143,0.47111421,0.26094398,0.93595885,0.39703558,0.34927375,0.68114914,0.33241295,0.92692452,0.62239496,0.90141622,0.99851206,0.69624615,0.35996696,0.33259325,0.40512465,0.30409868,0.65306598,0.6798882,0.36786743,0.705353,0.66973769,1.201133,0.62443185,0.95165977,0.50204442,0.22117438,0.16165298,0.19188023,0.53559683,0.95024385,0.32646824,0.34902079,0.49223,0.48887108,0.73606012,0.73785947,0.44613126,0.44106493,0.65814053,0.95537377,0.71630259,0.55242584,0.5311218,0.47352136
-59.893055,0.99066007,0.11951978,5,31,0,76.008049,0.58403973,-0.048202006,0.0078047381,-0.12403843,-0.18815798,0.66552742,0.32571539,0.18540805,-0.95423678,-1.2147136,1.5205573,0.57121727,-0.18510722,0.63098674,0.50007402,0.96255768,1.846256,-0.96797105,-1.1749874,-2.1367184,-0.21789016,-0.899284,0.518903,0.28100647,-1.2049629,-2.850853,1.7155011,0.13474837,-2.2794085,-0.38925463,0.51979125,-0.1825714,-0.36160716,0.22954801,-0.39327875,-1.1073912,0.82810767,0.66273957,-0.17692318,-0.26231495,0.21697128,0.097833809,-0.039046264,0.097795555,0.11000886,0.16884359,0.35284711,-0.090478718,-0.16939906,-0.41348867,-0.24155426,-0.12211278,0.029236097,0.052100863,-0.22340982,-0.57323084,-0.15067815,-0.2091739,-0.54044629,-0.39975489,-0.31249712,-0.3344133,-0.34783493,-0.3036819,-0.19531312,-0.31944705,-0.047755904,-0.0004793575,1.189418,0.67459418,0.15327949,0.31625512,0.78001528,0.13969119,1.2417098,-0.15929197,0.84490512,0.7779088,0.48141528,0.12746694,0.5508657,-0.004471347,-0.0045365387,0.027598238,0.78941903,0.10191486,0.85657354,0.6926148,0.18832126,0.7703424,0.39278741,0.27378103,0.39620337,1.0361081,0.15409731,-0.23736131,0.31119899,0.98493682,0.47691248,0.375158,0.044291173,0.90615424,0.92187666,0.4464902,0.90074187,0.56320997,1.0750014,0.67584087,0.89876558,0.52106148,0.071968935,0.077688087,0.23463524,0.58789231,0.83068615,0.34854399,0.068316039,0.16695295,0.41462962,0.52276685,0.65125081,0.40463869,0.39299766,0.61871932,0.61372872,0.37553956,0.46770439,0.74757378,0.69320062
