# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-02 14:51:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/Rtmpu1xK6p/standata-167470796e5daa.json
# init = /tmp/Rtmpu1xK6p/init-16747055bc2ccc_2.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604021651-2-4e7299.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604021651-2-1a53d9.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.130409
# Diagonal elements of inverse mass matrix:
# 0.0280564, 0.000633922, 6.48204e-05, 0.0416457, 0.0534833, 0.00701333, 0.0303826, 2.1759, 0.888294, 0.845965, 0.956249, 0.844051, 0.945862, 1.02205, 0.797222, 0.835961, 1.01896, 0.885076, 0.889828, 0.908142, 0.859008, 0.771073, 0.93091, 1.0373, 0.803584, 0.999242, 1.01172, 1.03092, 0.966924, 1.12194, 0.919076, 0.740128, 1.0054, 0.907091, 0.994067, 0.943373, 0.85297, 0.888801
-63.604342,0.94389064,0.13040856,5,31,0,87.349619,0.6033739,-0.043791391,0.021625236,0.2563406,0.79603933,0.35829467,0.46364048,0.078347666,0.24507118,0.68550648,1.0240744,0.044866032,-0.82958319,-0.71054747,-1.2447865,-0.70914384,0.34324318,-0.093926614,-0.81466049,-0.54874216,-1.0157075,-0.40384355,-0.77948366,-0.62480588,0.64833567,-0.25799144,-0.55966422,1.4043916,2.7524488,0.041486438,0.29743173,-0.64595102,-0.18069414,1.0250811,-0.91706022,1.0196971,-1.7774865,-0.0039861798,0.019200755,0.056803385,0.08772608,0.041603123,-0.044437404,-0.052448674,-0.10256666,-0.053855213,0.0030540653,-0.015861569,-0.067174948,-0.06796022,-0.11008222,-0.038644339,-0.07309154,-0.048952082,0.050795586,-0.00137413,-0.024388955,0.040302932,0.15673976,0.08394165,0.097613531,0.038104978,0.04695732,0.10855054,-0.037866861,0.065986668,-0.094297739,0.01401888,-0.57521525,0.37369216,-1.6048636,0.25353764,0.3745743,-0.94930936,1.0456662,0.2761615,1.5725237,0.54664649,0.65607857,0.33587143,0.084187464,-0.60336492,-1.0727216,-0.037375171,0.034564789,0.59707796,0.7321178,0.93659367,1.6007793,1.0228859,1.1195953,-0.95525443,0.66351343,0.46519774,1.4662274,1.6434043,0.91582804,0.58978512,-0.1635801,0.091540441,-0.4047609,0.38636493,0.41925999,-0.13429597,0.65477157,0.46335726,1.2143738,0.46521963,0.27366307,0.36343646,-0.33230626,-0.089394801,-0.012952413,-0.32020366,0.63826879,0.22839743,0.38479934,0.47650861,-0.074949773,0.79528614,0.69686295,0.36350886,0.21159269,0.65582797,1.2561909,0.76575507,0.59907828,0.37355052,0.41848583
-66.812869,0.98088791,0.13040856,5,31,0,85.922409,0.87185664,-0.054285042,0.0078204684,0.11981569,0.16045418,0.36705778,0.46146603,0.0067425391,-0.5313486,-1.3140606,-0.28954741,-0.907532,-0.79820846,-1.5509816,-0.43999723,0.30611653,-0.077745523,1.0359682,0.98615759,-0.54365489,0.30408558,-0.1291089,0.31017454,0.83484484,-1.7635262,-0.35786387,0.6172703,-1.9999882,-0.85887579,-0.11965753,-1.0202123,-1.5930105,-1.7641625,-0.41616823,-0.60641735,-0.24171559,-1.4046072,-0.1275132,-0.0035826387,-0.0094746162,-0.0035429506,-0.0084611178,-0.0077484335,-0.013292006,-0.011215481,-0.0041366158,-0.0057155444,0.0026334834,0.0040967145,-0.0019437215,0.0017096542,-0.0038503784,-0.0028115235,0.0056289739,-0.011890644,-0.0063809016,-0.0028074652,-0.010535425,-0.011023285,-0.0088509831,-0.012899648,-0.017079741,-0.02003042,-0.016501923,-0.010005737,-0.0086402595,-0.016287248,-0.0071938185,0.69619307,1.2064255,-0.65900177,-0.40210933,1.1933664,-0.021597312,1.0131612,-0.058880215,1.4822509,0.013811491,0.67360254,0.58550653,-0.11256861,0.070235578,-0.83679527,0.18468049,0.51171674,-0.38936346,0.85719631,-0.29804737,0.47802816,1.1956885,1.8527913,0.8084276,0.26189258,0.24583569,0.73072496,0.51634533,0.44392271,1.0058895,0.052084682,0.17716624,-0.36856394,0.32482527,0.69365168,0.1048424,0.42284278,0.17199384,0.88876551,0.029885216,0.62256536,0.32518078,0.12218892,-0.090425683,-0.051808424,-0.07707312,0.78587408,0.18542347,0.25961665,0.023846215,-0.016274293,0.95753515,0.94692867,0.35082591,0.36500221,0.83579402,0.89779608,0.29697969,0.63932564,0.64573507,0.31945441
-70.415964,0.98865254,0.13040856,5,31,0,88.536927,0.54142182,-0.088895997,0.0060283701,-0.13755238,0.66954658,0.39049945,0.43460328,0.010791078,-0.2684444,0.53866485,-0.015622009,-0.94866109,-1.2487456,-1.5462012,1.1554362,0.18927161,0.50060991,1.7554818,2.1549533,0.21003618,0.35777819,1.1000294,0.81001148,0.092172731,-0.77271752,-1.9457789,-0.421437,-0.65766539,-0.6789663,-0.096788682,-2.3442614,0.64643892,-0.32670264,-1.8803683,7.2561542e-05,-1.0504557,-1.2353233,1.0312434,-0.0028968045,0.004903324,-9.3902475e-05,-0.0091268411,-0.014365434,-0.020065313,-0.0026662557,-0.0031640834,0.00031882026,0.01513488,0.023759651,0.012503931,0.01527153,0.010631699,0.011952775,0.00099464316,-0.0083384553,-0.022585419,-0.018371154,-0.021154409,-0.021321998,-0.016269515,-0.031849801,-0.010950284,-0.015733212,-0.027668109,-0.0059424814,-0.015051828,-0.019494891,0.0039593184,1.7731599,0.04509745,-0.01799587,0.45633889,0.68324922,0.21410828,0.26471403,0.69513401,0.82579651,1.0503424,0.21720436,-0.076763411,-0.7580004,-0.035310932,-0.3838937,0.37698062,1.3374191,0.80156812,-0.70176937,-0.095190602,0.1878708,0.13819198,-0.064010254,1.3686603,0.75294779,1.1923592,1.7877441,0.90593927,-0.01693125,0.27434316,0.089966998,0.19250586,-0.37707434,0.38959916,0.16051669,0.11687091,0.4037605,0.94409409,1.1177883,0.69858036,0.32295636,0.34052003,0.24397998,-0.31075586,-0.22949541,0.10318103,1.1543666,0.17352153,0.20396649,0.64490407,0.14839387,0.56431231,0.55521679,0.4428567,0.54126404,0.35817733,1.189326,1.0825066,-0.022195412,0.030271284,0.34338795
-62.300993,0.99979941,0.13040856,5,31,0,89.894371,0.67279675,-0.044131485,0.02479694,-0.18966376,-0.18335826,0.42968039,0.33955555,0.13305004,-0.62087141,-1.3009344,2.1688898,-0.97994219,1.6473448,1.9080085,0.61875364,-0.52152455,1.1868028,2.0303753,-0.84897771,-0.88275981,-0.99338099,-0.73453923,1.6127668,0.49238251,-0.15615676,0.13314593,-0.29169979,1.2156008,0.27049783,0.67296947,0.41330255,-0.58265669,1.1808861,-0.74405702,-1.0283158,-0.79444964,-0.73772773,0.48938277,-0.082606964,-0.18825057,0.24711204,-0.077670438,0.19436921,0.2768139,0.22356086,-0.0067729078,0.16937543,0.29649628,0.032306442,-0.060325066,-0.097523219,-0.048416289,0.16403799,0.065511511,-0.020776662,0.0094250594,-0.026246235,0.063355516,0.032318455,0.079793947,0.080294179,-0.02859368,0.11783443,-0.023877575,-0.12731605,-0.14399626,-0.12370343,0.04076695,-0.21029881,0.52238319,-0.4906417,1.1174751,0.39386736,-0.3501581,1.0419566,0.91809632,1.0215401,-0.061904981,1.8510568,0.63791955,0.3058488,0.36100076,0.43172455,0.67094063,0.87919803,0.25346644,1.4316633,0.37835062,0.55520794,1.4360928,0.87375722,0.43868506,-0.070813608,0.8135579,1.1559027,0.69631974,1.0653878,0.36923425,1.1028939,0.08890475,-0.094779057,0.66770671,0.46326278,0.1813967,1.172242,0.35190169,0.93912056,0.19615584,1.2236418,0.61293241,-0.28518525,0.054976418,0.1031192,0.4706234,0.32976434,0.27483724,0.54526798,0.048578248,0.51784317,0.84517858,0.86382623,0.45587601,0.23283657,0.9128034,0.77345684,0.26760262,0.59262769,0.53215168,0.5890379
-51.431102,0.99225411,0.13040856,5,31,0,74.449477,0.5199034,-0.08268548,0.011539845,-0.23328732,0.39862495,0.47359861,0.26423759,0.32466506,0.12010966,0.33716189,-0.50743159,-0.59980844,-0.28795172,-0.19865513,0.33379269,0.075285596,1.4397011,2.0280404,0.38662667,-1.0211137,1.0520053,0.81198598,1.2930329,0.052048248,0.46468857,-2.2827864,-0.81935743,-0.3184053,1.106272,-0.36580209,-0.053080441,1.1981128,-0.19480978,0.43400223,0.40937974,1.0682239,-1.0628809,0.73455127,0.038995409,0.11573921,-0.14149427,-0.19756195,-0.11846981,-0.10646444,0.0020884648,-0.030182337,0.35588069,0.63526601,0.3402569,-0.10014496,0.3589712,0.29477012,0.50804311,0.016898247,0.15086814,-0.64305328,-0.55762582,-0.5577755,-0.15236188,-0.25836086,-0.22437427,0.15636704,-0.061459327,0.059393146,0.1593889,0.38014149,-0.19657756,0.25510304,1.4953372,0.21658695,-0.09266935,0.4756158,-0.0095087715,-0.0090824631,0.59331817,0.84761354,1.1197231,1.5802142,1.1720504,0.46873296,0.37085455,0.67329887,0.30688049,0.92919338,1.09906,0.19903103,-0.41535428,0.082007219,0.076944665,0.63051507,-0.10338099,0.35752823,1.1754583,0.79783523,1.2073076,1.1832369,0.44366898,-0.038872177,0.50524062,0.31148243,-0.019741475,0.35323792,0.061339692,0.052805292,0.5446012,0.84870809,1.083756,0.97729494,1.1814305,0.82054538,0.093175231,0.21171565,0.21554837,0.80677625,0.97114702,0.4463544,-0.24667106,0.049044255,-0.15653081,0.51126619,0.38617499,0.32570156,0.73700736,0.42896711,1.2092698,1.1911922,0.55173108,-0.0017172539,0.74461084
-50.77926,0.92770013,0.13040856,5,31,0,69.460723,0.70673174,-0.068406305,0.020507735,-0.40383282,0.12140813,0.46345149,0.29541346,0.085653102,-0.59185069,0.56779335,0.60517298,0.34861474,0.26158746,0.93445085,-0.0071899656,0.2112419,0.41544049,-1.3899218,0.2598166,0.1458767,-1.3816915,-0.20058919,0.53046138,0.73261001,-0.40101899,0.34080034,0.23996323,0.030888746,-1.280109,-1.7201105,0.51119887,-1.4467095,-0.42420498,0.19508126,0.0089646996,-1.0223882,0.98832032,0.68958712,-0.050693848,0.03440586,0.046097368,0.036287345,0.027568527,0.085954,0.047512841,0.037635389,0.056610968,-0.088648353,0.0042585471,0.0092809526,-0.089846811,-0.0034457728,0.041073188,0.06275032,-0.034348521,0.015491307,0.018617852,0.015670162,-0.067129097,-0.13787086,-0.054137286,-0.13948513,-0.10492162,-0.080414571,-0.027237496,-0.09964741,0.032865879,0.032783403,0.70048908,-0.39445163,-0.10581908,0.32398143,0.545122,0.10375041,0.31011747,0.7345905,1.3530064,0.5967874,1.0477945,0.54542253,-0.2641353,-0.22279097,0.0841511,0.801533,0.65714342,-0.13126015,0.070278276,0.19574233,0.50045055,0.53240099,1.0462544,0.32079958,0.19649798,0.21556248,1.1293668,1.2000551,-0.15418458,0.47202418,0.10794187,0.073973235,0.076233721,0.43135467,0.41536625,-0.0082229108,0.83072257,0.63865859,1.2909588,0.4724034,0.83756437,0.47621309,-0.13980126,-0.19186773,-0.071103315,0.4311686,0.83321778,0.17511042,0.41802959,0.45509453,0.54537781,0.67966516,0.58216753,0.33306326,0.19627649,0.54242459,1.1039942,0.81575869,0.34968716,0.44664881,0.49044369
