# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_no_phylo_term_model
# start_datetime = 2026-04-02 13:47:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpbGYqkg/standata-16467a1f45fb39.json
# init = /tmp/RtmpbGYqkg/init-16467a3854a37a_2.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-202604021547-2-9f447c.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/base_fit/cont_no_phylo_term-profile-202604021547-2-381730.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_no_phylo_term_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,intercept,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.314849
# Diagonal elements of inverse mass matrix:
# 0.031354, 0.000703548, 6.99289e-05, 0.0451162, 0.0487903, 0.00535987, 0.0189852
-14.730371,0.92742833,0.3148489,4,15,0,17.761465,0.66174461,-0.090485473,0.021742295,-0.29892681,0.22136069,0.55382918,0.33553852,1.1382365,-1.1779835,-0.21108857,-1.2978984,-2.6917735,0.12400803,-0.32305669,-1.0090536,0.14825342,0.0006413155,-0.26516969,-0.0086661081,-0.044618201,0.049489276,0.16522389,0.17132029,-0.34271504,0.17274028,-1.4588436,0.14989828,-0.30103175,0.12966144,-0.33148874,0.10959793,-0.91630407,0.16719416,-0.31837343,-0.29898998,-0.13667742,0.15433386,0.1678498,0.55156316,0.29411576,0.57552014,0.80317205,0.59488273,0.36576029,0.51592985,0.625232,0.80295078,0.38586366,0.79770277,1.2214037,0.83317916,0.74205919,0.68009428,0.65920285,-0.0087461388,0.39381207,-0.072248712,1.0267366,0.60112305,0.36293199,0.11955917,0.50472331,0.96359498,0.66734155,0.37396775,1.2640999,-0.064970059,0.034317541
-14.034767,0.99376693,0.3148489,4,15,0,16.310001,0.61100143,-0.054076106,0.01531531,-0.26586337,0.10438551,0.56506363,0.3450294,0.75633644,-1.1779738,-0.2369386,-0.93422445,-2.7045123,-0.072981093,0.080841742,-0.90680553,-0.012110734,0.12282959,0.10305877,0.031720974,0.060201124,0.042918215,0.12238757,0.12916822,-0.69659451,0.061059203,-1.1005413,0.010330917,0.087350829,-0.020546522,0.058048903,0.0074977664,-0.96097562,-0.08335772,-0.66122146,-0.33101713,-0.0043023163,0.091963434,0.10126849,0.56127725,0.30162979,0.50694942,0.82370296,0.47208819,0.57622591,0.50046931,0.50647704,0.92704032,0.59984831,0.83563693,1.1422475,0.8439575,0.62632263,0.76175717,0.55231678,0.1415276,0.45539355,0.17918702,0.81734681,0.50135555,0.55596255,0.18105948,0.48680713,0.76673112,0.56182392,0.36328092,1.1886585,0.11257023,0.10225756
-17.927065,0.82879764,0.3148489,3,7,0,19.800867,0.84164098,-0.090477014,0.0098058226,0.014007706,0.14326052,0.55527406,0.35415547,1.6599089,-0.17951076,-0.59975109,-0.93849727,-4.7191705,0.09776826,0.073181166,-0.073240513,0.11749833,-0.22782434,0.033085918,0.10063331,0.092833562,0.061921064,-0.050922619,-0.071999263,-0.44866932,0.11825433,-2.5901019,-0.24529787,0.11566601,0.10833429,0.11822448,-0.3246758,-2.1578294,-0.11073945,-0.49698774,-0.16536299,0.11800527,0.10187898,-0.49230663,0.27368291,0.42464167,0.5150687,1.1016742,0.77311828,0.59269665,0.21964564,0.71992364,0.70500525,0.55312594,0.9319737,1.0811429,1.119744,0.49349161,0.9189357,0.62261247,0.014398123,0.17561877,-0.30233289,0.67073241,0.64807918,0.68534413,0.33364248,0.24424348,0.75989398,0.60688153,0.43287955,1.0164251,-0.065689421,0.3916221
-15.668192,1,0.3148489,2,3,0,18.06092,0.78909372,-0.084472206,0.012029356,-0.11463329,0.20582724,0.53600211,0.34235437,1.4471922,-0.35640075,-0.32801528,-0.77419276,-3.8946055,0.14214835,0.0087211322,-0.37800582,0.125729,-0.11034663,-0.028867075,0.14641578,0.035161204,0.15280696,0.10768962,0.093744772,-0.66971925,0.15102297,-2.3135192,-0.024103549,0.11969368,0.074657892,0.091149047,-0.074078574,-1.5555908,-0.15971458,-0.70354962,-0.33809347,0.079059416,0.11811633,-0.11438145,0.34554772,0.33578163,0.46619644,0.97406598,0.64963312,0.51611443,0.35279986,0.62008922,0.75155497,0.49354161,0.96080202,1.1661806,0.99381091,0.5969738,0.81782721,0.56085405,-0.021365772,0.23962029,-0.20373619,0.78832039,0.56451027,0.57961842,0.23070161,0.36714219,0.72926503,0.5519158,0.36071876,1.1316271,-0.090389381,0.25034127
-17.924386,0.98402875,0.3148489,4,15,0,19.193613,0.7307701,-0.081980841,0.023155685,-0.088572906,0.30811341,0.5292006,0.47150597,0.65420623,-0.44941295,-0.33799085,-0.93917702,-1.8753994,-0.22885759,-0.26073686,-0.54938826,-0.19634041,-0.35201741,-0.23099281,-0.33572538,-0.24794663,-0.18863828,-0.18813459,-0.18055528,-0.43510087,-0.1694696,-1.6278814,-0.28068957,-0.25033298,-0.20059475,-0.29052244,-0.18668903,-0.99917673,-0.16810783,-0.41337581,-0.41392559,-0.31842036,-0.16742129,-0.16856847,0.35428767,0.27564017,0.58590646,0.87152988,0.53431067,0.49597154,0.41227703,0.58600593,0.71326979,0.53147004,0.72619315,1.1895801,0.90217358,0.60332502,0.77730469,0.65481007,0.032356261,0.19407881,-0.2247205,0.8923582,0.57799065,0.46575366,0.09329149,0.39175301,0.97898966,0.66909767,0.3687285,1.2593757,-0.011669382,-0.025421475
-16.25164,0.98769601,0.3148489,3,15,0,19.895369,0.87134531,-0.092879016,0.010193356,-0.24645343,0.084763443,0.5687896,0.35832435,1.871925,-0.70741576,-0.37112214,-0.66515218,-4.2107814,0.10714395,-0.0034452659,-0.3401774,0.099151878,0.074097017,-0.062206982,0.085508466,-0.10041063,0.087354851,0.082217396,-2.8487421e-05,-0.66188736,0.088593083,-1.5070993,0.037039371,0.06629688,0.052042955,0.085702025,-0.14829108,-1.4683963,-0.24719928,-0.71789032,-0.34343768,0.00045228458,0.018099857,-0.27711851,0.45742007,0.35053584,0.44539885,1.0530298,0.70775506,0.5313031,0.33901179,0.65403864,0.90755352,0.49131789,1.0749398,1.2309949,1.0717066,0.61961904,0.866076,0.5555433,-0.069454073,0.35611646,-0.13439674,0.80271013,0.58079566,0.62539255,0.25623034,0.36388103,0.69825029,0.53964915,0.35975566,1.1657039,-0.15141338,0.31422274
