# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = cont_pglmm_noise_reg_model
# start_datetime = 2026-04-02 13:47:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpbGYqkg/standata-16467a5e957a5c.json
# init = /tmp/RtmpbGYqkg/init-16467a1dff0db8_4.json
# random
#   seed = 42
# output
#   file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-202604021547-4-386bfe.csv
#   diagnostic_file =  (Default)
#   refresh = 200
#   sig_figs = 8 (Default)
#   profile_file = /home/pupu/Desktop/Uni/Genomics/Bacterial/Project/Group7/scripts/Phylo/pglmm_output/simple_tree.nwk/pglmm_fit/cont_pglmm_noise_reg-profile-202604021547-4-a5294d.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=cont_pglmm_noise_reg_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,centered_cov_intercept,sigma_resid,sigma_phylo,std_phylo_effects.1,std_phylo_effects.2,std_phylo_effects.3,std_phylo_effects.4,std_phylo_effects.5,std_phylo_effects.6,std_phylo_effects.7,std_phylo_effects.8,std_phylo_effects.9,std_phylo_effects.10,std_phylo_effects.11,std_phylo_effects.12,std_phylo_effects.13,std_phylo_effects.14,std_phylo_effects.15,std_phylo_effects.16,std_phylo_effects.17,std_phylo_effects.18,std_phylo_effects.19,std_phylo_effects.20,std_phylo_effects.21,std_phylo_effects.22,std_phylo_effects.23,std_phylo_effects.24,std_phylo_effects.25,std_phylo_effects.26,std_phylo_effects.27,std_phylo_effects.28,std_phylo_effects.29,std_phylo_effects.30,phylo_effect.1,phylo_effect.2,phylo_effect.3,phylo_effect.4,phylo_effect.5,phylo_effect.6,phylo_effect.7,phylo_effect.8,phylo_effect.9,phylo_effect.10,phylo_effect.11,phylo_effect.12,phylo_effect.13,phylo_effect.14,phylo_effect.15,phylo_effect.16,phylo_effect.17,phylo_effect.18,phylo_effect.19,phylo_effect.20,phylo_effect.21,phylo_effect.22,phylo_effect.23,phylo_effect.24,phylo_effect.25,phylo_effect.26,phylo_effect.27,phylo_effect.28,phylo_effect.29,phylo_effect.30,intercept,yrep.1,yrep.2,yrep.3,yrep.4,yrep.5,yrep.6,yrep.7,yrep.8,yrep.9,yrep.10,yrep.11,yrep.12,yrep.13,yrep.14,yrep.15,yrep.16,yrep.17,yrep.18,yrep.19,yrep.20,yrep.21,yrep.22,yrep.23,yrep.24,yrep.25,yrep.26,yrep.27,yrep.28,yrep.29,yrep.30,lin_pred.1,lin_pred.2,lin_pred.3,lin_pred.4,lin_pred.5,lin_pred.6,lin_pred.7,lin_pred.8,lin_pred.9,lin_pred.10,lin_pred.11,lin_pred.12,lin_pred.13,lin_pred.14,lin_pred.15,lin_pred.16,lin_pred.17,lin_pred.18,lin_pred.19,lin_pred.20,lin_pred.21,lin_pred.22,lin_pred.23,lin_pred.24,lin_pred.25,lin_pred.26,lin_pred.27,lin_pred.28,lin_pred.29,lin_pred.30
# Adaptation terminated
# Step size = 0.150067
# Diagonal elements of inverse mass matrix:
# 0.0392578, 0.000863202, 7.03618e-05, 0.0611159, 0.0746225, 0.00655136, 0.0544917, 1.19725, 1.18711, 0.761417, 1.04284, 1.07753, 1.01531, 0.931391, 0.629107, 0.712498, 0.828436, 0.848808, 0.82469, 0.977629, 0.785582, 0.893203, 0.87306, 0.939743, 0.800265, 0.988832, 0.819027, 0.796505, 0.87121, 0.875621, 0.79682, 0.96151, 0.859029, 0.911808, 0.858585, 0.816153, 0.839067, 0.99508
-63.257262,0.97234872,0.15006703,5,31,0,75.961178,0.96268819,-0.11853716,0.027415303,-0.46333697,-0.28357369,0.63364666,0.34763276,0.24431089,-1.5746966,-2.2492277,-1.3158202,-0.1049579,0.36388028,0.63081848,0.40766979,0.51144103,0.28253067,-0.4245906,-0.082664476,-1.1674498,1.5496278,2.2966978,-0.62089847,0.3298898,1.9802709,-2.1274913,-0.45484963,-0.2058912,-0.71471733,0.38294286,-0.058259511,1.6012803,-0.6955378,2.5425161,2.1848274,-0.82462854,0.17150173,-0.44207572,-0.38471553,-0.6456871,-0.47380041,-0.24559948,-0.14980722,0.016398102,0.0070006018,0.032295754,0.009735257,-0.11383971,-0.075630933,-0.22732213,0.17577467,0.393985,-0.19416616,-0.019042376,0.34246668,-0.072205634,-0.16183508,-0.13407056,-0.22946894,0.011395392,-0.06989321,0.3912102,-0.10841786,0.48939674,0.53377711,-0.14476062,-0.0087921324,-0.066825673,1.6145545,0.58000519,0.038686943,0.69999909,0.39258911,0.17666694,0.59691002,0.39473233,0.26514127,0.60226649,0.6675456,0.42397319,1.039354,1.2371927,1.4332258,1.0477857,1.3358577,0.068934882,1.0296822,-0.11211335,1.0133695,1.0320084,0.31573073,0.25387702,0.60284246,1.142987,1.1327653,1.1917567,0.010018099,0.75150403,0.35781208,0.389774,-0.27165686,0.25179504,0.89002786,0.62250128,0.57260593,0.16658785,0.83689048,1.2093399,0.46336685,0.57129179,0.95010436,1.3496443,0.85407423,0.77489073,0.81831331,0.31013734,0.50096484,-0.20027777,0.68934327,0.53927318,0.57243722,0.08293734,0.53931892,1.1127521,1.3352795,1.0060102,1.078992,-0.11691033,-0.012854101
-61.096598,0.99083345,0.15006703,5,31,0,81.285341,0.64052821,-0.088209516,0.01344729,-0.35357814,0.14170662,0.5388173,0.29878514,0.21008786,-1.544542,1.4299435,-0.36676265,-3.7322756,0.82858636,0.83964082,-1.5428788,0.4163824,0.45867374,2.3231036,-0.15054764,0.95992685,-1.1996193,-1.8514202,0.35944567,1.1379437,-0.69353435,2.4395313,0.46622284,-0.89699445,1.0947024,0.41352972,-0.65430058,1.4765512,1.8266412,-1.0825523,-0.53093831,-0.51539288,0.95217074,-0.25607007,-0.32448952,0.17649609,-0.10160662,-0.78380841,-0.10495835,0.1009562,-0.31083974,0.0083021578,0.035236017,0.39161749,0.12135677,0.24052103,-0.025173065,-0.17959265,0.05839905,0.22284362,-0.041814434,0.291747,0.074183716,-0.1619028,0.02204938,0.068615606,-0.11763175,0.31020547,0.42649016,0.046400054,-0.11154369,-0.1193092,0.10846646,0.053139733,1.660266,-0.044774591,0.9418973,0.049704678,0.41451765,0.65366867,0.14768415,0.56365565,0.6682497,0.36522381,0.80898322,1.0515516,1.6483175,0.79504537,0.19396308,0.560956,0.66181202,-0.51620978,1.0242889,-0.28595694,1.2465232,0.60957391,0.30063158,0.37643897,0.67754982,0.77891266,0.86537047,-0.060769921,1.2709128,-0.83314653,0.12187123,0.24473507,0.49456364,0.3668172,0.018191439,0.53730356,0.43005763,0.18830219,0.6259131,0.84495342,0.701576,1.0533232,1.4073242,0.798331,0.57098336,0.70167624,0.78834155,-0.088724111,0.74592901,0.066279511,0.79645702,0.58516527,0.45694488,0.084506683,0.82166712,1.1802502,0.60433572,0.23787859,1.0193831,-0.0087492106,0.26515811
-58.011203,0.7401244,0.15006703,5,31,0,76.540482,0.61632587,-0.062858255,0.01474268,-0.017875506,0.14636881,0.50495104,0.27219881,0.16027128,-1.4453524,1.0492019,-0.44365907,-2.623291,0.65571683,1.0483336,-2.117919,0.1185234,1.3197302,2.0124973,0.99171597,0.70135711,-0.11793509,-1.1923575,-0.16623781,1.4847149,-0.81949862,2.8311877,0.84280156,-0.64292896,1.6155597,0.19192852,-0.074407082,2.2679949,2.1851933,0.045352007,0.40121249,-0.22485559,-0.0017157789,-0.35154003,-0.23164849,0.082288048,-0.094783247,-0.43738149,-0.062888786,0.1161312,-0.30403157,-0.038797751,0.13729524,0.29182318,0.25366625,0.28085122,0.1736473,0.071414771,-0.011254003,0.21783186,-0.034003476,0.26164964,0.12082945,-0.06041382,0.12163306,0.039537047,0.0084040989,0.36349446,0.40145826,0.23472294,0.064302841,-0.029142732,-0.011448932,-0.038422044,0.7632587,0.48019224,0.32533401,0.85078634,0.5829366,0.6858618,0.86723852,-0.34007594,0.17799009,0.70540557,0.98559538,0.67080266,1.0409028,1.1714742,0.31430527,0.54557528,0.6384228,-0.16253107,0.30438437,-0.025808675,0.66684867,0.81346518,1.1291074,0.32140339,0.78939653,0.94920835,1.1142803,0.73823325,0.3455574,-0.33212887,0.14838738,0.099860046,0.4276256,0.44026031,0.41785152,0.49282977,0.66533667,-0.0028762224,0.53547529,0.80006372,0.85318796,0.914775,1.2279877,1.0493644,0.53110202,0.75667355,0.81173037,0.097691716,0.48537804,0.020434535,0.59378159,0.6777133,0.58966745,0.23500954,0.65794851,1.2017543,0.8335528,0.46294453,0.94440299,0.080466324,0.13330246
-59.163741,0.97564805,0.15006703,5,31,0,81.979688,0.4693784,-0.042605654,0.01052505,-0.45564596,-0.051502067,0.51271059,0.38604565,0.056706669,0.76888046,-1.4653236,-0.30716981,1.6279492,0.50014703,0.70493265,1.1338993,2.0151451,0.50152074,-0.94119678,-0.85348838,-0.06275501,0.27333298,1.4991296,1.1976174,0.021584282,1.1007972,-1.3001924,-0.28530038,0.90123254,-0.91353176,1.0370851,-0.43225673,-0.67468019,-0.73089742,0.9685495,0.84968684,0.071451704,-0.70959181,0.69807298,0.04360065,-0.06404936,-0.019342184,0.081357194,0.045473265,0.043767811,0.077100289,0.12817496,0.080622085,0.019021307,0.0031023884,0.012712951,0.036598004,0.079595948,0.10115795,0.055157516,0.10642257,0.046535909,-0.00421274,0.052806807,0.0094061711,0.068868645,0.0073440799,-0.038258866,-0.046785952,0.020057421,0.048182911,0.0090494294,-0.02792969,-0.0030718829,0.95273842,0.82585617,-0.066500365,0.54133832,0.93080897,0.5001164,0.068292252,0.14349294,0.78909701,1.1005947,0.80532694,0.19964335,0.85683592,0.88001562,0.27461133,1.387042,-0.19171454,0.19189593,0.1425628,0.63934023,0.56935977,-0.35524432,0.65412558,0.40219356,0.10326418,-0.077032001,0.89153861,0.61271382,1.133333,0.144885,0.34804229,0.73936632,0.19330076,0.37510982,0.73647901,0.44329119,0.49465687,0.59891888,0.54229591,1.052547,0.48081393,0.80934869,1.0250752,0.70613641,0.70673874,0.6997656,0.48843694,0.22375625,0.66658572,0.39667697,0.81657971,0.41332548,0.51612556,0.18049026,0.47742039,0.53384417,0.45774411,0.34485716,1.0441035,0.063505707,0.1264871
-55.749076,0.96653759,0.15006703,5,31,0,76.339365,0.85477232,-0.092051832,0.026225367,-0.26988594,0.31126121,0.63307217,0.325022,0.22914257,-1.2946341,0.73806134,-0.51440912,-2.5299983,0.32155633,0.68043854,-1.6327466,0.34789094,-0.15036574,1.5058639,0.36136585,-0.7497628,-0.67099297,-1.0919593,-0.53520334,-0.46677085,0.39869855,1.6694246,-0.36882466,-1.4203444,1.5135403,0.56511656,0.46555907,1.8422934,0.47966927,1.6200367,-1.3474717,-0.97453994,0.42448353,-0.12020754,-0.29665577,0.061744863,-0.15395823,-0.61111144,-0.15910661,0.07780782,-0.36671731,-0.01138361,-0.098059244,0.21113492,0.10811843,-0.0035675401,-0.069173647,-0.17014641,-0.16775425,-0.17912635,-0.037659242,0.17304814,-0.12367169,-0.36899261,-0.08237673,0.054060287,0.060382128,0.42214784,0.1728711,0.42639268,-0.30876313,-0.25426034,-0.056945573,-0.085088545,0.86372256,-0.084981275,0.2004827,0.68570204,0.86507606,0.7612183,0.63382415,0.46921065,0.59443876,1.0072802,0.90354962,1.3077633,1.1064529,0.91963756,0.34094493,0.68707136,0.29393489,0.61174874,0.90675499,-0.33525823,1.2106913,0.88792231,-0.18373546,0.36455017,1.1401275,1.5438276,1.0396174,0.22630699,1.0348652,-0.22989461,0.2843256,0.24538661,0.34324516,0.47952492,0.37393643,0.41194032,0.64251226,0.20461005,0.61928486,0.88129494,0.81682422,1.0614282,1.4752317,0.95050747,0.61479794,0.7126188,0.5312747,-0.027303269,0.53407518,-0.23266654,0.74251734,0.54019224,0.58303387,0.13555727,0.96975458,1.2504273,1.1532867,0.07861164,1.3049345,-0.095573393,-0.14591101
-56.830836,0.99839426,0.15006703,5,31,0,72.602383,0.94476492,-0.11195743,0.028851213,-0.31942795,0.093374416,0.65372866,0.28248184,0.19729145,-1.7344285,0.6667649,-1.1404098,-1.7024053,0.64685497,1.0482234,-0.75059857,-0.44901879,-0.56295593,1.4754142,-0.4321784,0.49411298,-0.42200457,-0.55906597,-0.82846169,0.055923593,0.14047347,2.016643,-0.72279371,-1.1138271,1.0112718,0.92844647,0.74772027,2.7003859,0.40379624,2.0539415,-1.1088603,-1.319749,0.23918562,-0.21135423,-0.3421879,0.011249331,-0.27271682,-0.41709644,-0.078976378,0.12741966,-0.14243984,-0.13755796,-0.18275499,0.12386606,-0.082381601,-0.010219095,-0.088440756,-0.1288511,-0.21606552,-0.094605381,-0.076470125,0.15709132,-0.17899421,-0.28919126,-0.11697721,0.10378547,0.11134029,0.53276304,0.15980862,0.45409705,-0.21876865,-0.28174964,-0.10937108,-0.13701087,1.2208114,0.1100916,0.4515528,0.40481973,0.27539375,0.35617993,0.61713189,0.11774881,0.7817203,0.57386589,0.3427707,0.36356589,1.258449,1.2469584,0.93104566,0.75630863,0.76784738,0.104901,0.26156713,-0.68112073,0.72329941,0.64520997,0.76540733,-0.068264676,0.70430143,1.0639874,1.7317129,0.22186433,1.5986952,0.024215379,-0.15773096,0.2833527,0.35308809,0.44849531,0.68253593,0.62720242,0.69754083,0.24874953,0.61981862,0.87981693,0.72860872,0.74249462,1.3837403,1.0502689,0.53432937,0.74103072,0.72624807,-0.091815792,0.57769927,-0.33309248,0.74376553,0.61836755,0.65481094,0.22355395,0.90423801,1.3845791,1.2889196,0.23356795,1.1825834,-0.19038339,-0.1536608
